S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-03-30,220.00,228.00,216.00,223.13,1.65,"114,621.00","25,615,623.30"
2,2025-03-27,221.10,221.10,213.20,219.50,1.25,"103,403.00","22,552,001.70"
3,2025-03-26,218.00,219.00,213.70,216.80,0.39,"98,613.00","21,347,460.60"
4,2025-03-25,221.10,221.10,213.00,215.95,-0.40,"103,090.00","22,173,491.10"
5,2025-03-24,211.40,217.00,211.40,216.81,0.53,"48,592.00","10,435,651.10"
6,2025-03-23,218.10,220.00,215.00,215.67,-1.86,"174,636.00","37,980,175.90"
7,2025-03-20,222.90,222.90,219.00,219.75,-0.70,"197,055.00","43,215,259.10"
8,2025-03-19,226.00,226.50,220.50,221.30,-2.08,"157,618.00","35,044,975.70"
9,2025-03-18,228.40,228.40,220.10,226.00,0.89,"54,418.00","12,161,718.30"
10,2025-03-17,222.00,232.00,220.50,224.00,0.45,"75,564.00","17,117,613.50"
11,2025-03-16,230.00,230.00,222.00,223.00,-2.19,"63,139.00","14,139,508.00"
12,2025-03-12,225.00,229.40,224.00,228.00,1.83,"131,493.00","29,820,603.50"
13,2025-03-11,228.50,231.40,223.00,223.90,-1.37,"100,205.00","22,734,891.60"
14,2025-03-10,225.20,232.00,225.20,227.00,-0.83,"84,266.00","19,232,957.40"
15,2025-03-09,231.00,231.80,227.10,228.90,-1.76,"87,187.00","19,964,249.50"
16,2025-03-06,234.90,235.10,231.50,233.00,-0.85,"63,490.00","14,804,985.20"
17,2025-03-05,235.20,235.20,229.10,235.00,0.99,"148,430.00","34,459,629.10"
18,2025-03-04,230.80,238.00,230.80,232.70,-1.19,"199,406.00","46,861,127.10"
19,2025-03-03,242.00,242.00,234.00,235.50,-1.83,"216,182.00","51,426,764.90"
20,2025-03-02,237.10,240.00,236.00,239.90,3.18,"205,026.00","48,801,397.90"
21,2025-02-27,235.60,244.80,232.50,232.50,0.65,"265,931.00","62,785,368.60"
22,2025-02-25,236.30,236.30,229.60,231.00,-1.28,"104,773.00","24,225,529.70"
23,2025-02-24,235.60,238.00,233.00,234.00,0.43,"127,743.00","30,033,459.20"
24,2025-02-23,224.00,236.50,222.00,233.00,1.97,"260,209.00","60,300,756.00"
25,2025-02-20,230.00,230.00,227.00,228.50,0.66,"117,823.00","26,913,021.40"
26,2025-02-18,230.10,233.90,226.40,227.00,0.62,"250,848.00","57,667,427.90"
27,2025-02-17,221.50,228.60,219.00,225.60,2.78,"266,980.00","60,106,820.90"
28,2025-02-16,221.00,221.00,218.00,219.50,0.23,"83,510.00","18,351,541.10"
29,2025-02-13,219.30,223.60,215.00,219.00,0.92,"113,835.00","25,046,276.00"
30,2025-02-12,219.00,221.90,216.00,217.00,0.46,"68,232.00","14,906,066.00"
31,2025-02-11,219.00,222.50,215.50,216.00,-0.55,"195,362.00","42,583,757.60"
32,2025-02-10,217.00,223.20,215.00,217.20,0.32,"159,070.00","34,766,536.30"
33,2025-02-09,209.50,220.30,209.50,216.50,1.31,"225,213.00","48,769,526.80"
34,2025-02-06,215.00,216.00,213.00,213.70,-0.60,"67,796.00","14,544,802.10"
35,2025-02-05,218.10,218.10,215.00,215.00,-0.46,"79,060.00","17,042,792.40"
36,2025-02-04,219.90,222.00,215.30,216.00,-0.32,"115,920.00","25,283,945.40"
37,2025-02-03,216.00,223.00,215.00,216.70,1.40,"169,647.00","37,263,458.30"
38,2025-02-02,207.00,214.70,207.00,213.70,2.74,"339,418.00","71,743,572.10"
39,2025-01-28,206.10,210.00,206.00,208.00,0.73,"166,646.00","34,653,090.00"
40,2025-01-27,206.10,209.00,205.50,206.50,-0.58,"46,356.00","9,607,466.00"
41,2025-01-26,205.00,210.80,205.00,207.70,-0.67,"55,559.00","11,546,743.00"
42,2025-01-23,213.90,216.00,209.10,209.10,-1.37,"77,399.00","16,419,399.10"
43,2025-01-22,207.00,213.00,207.00,212.00,2.12,"65,919.00","13,858,266.10"
44,2025-01-21,208.00,209.00,206.20,207.60,-0.91,"30,124.00","6,245,407.70"
45,2025-01-20,211.10,213.40,209.50,209.50,0.72,"67,967.00","14,383,095.60"
