S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-03-30,250.00,255.00,247.20,250.36,0.22,"61,465.00","15,490,406.80"
2,2025-03-27,253.00,253.00,244.20,249.82,0.71,"38,682.00","9,627,931.20"
3,2025-03-26,240.50,250.20,240.50,248.05,1.13,"31,396.00","7,754,411.10"
4,2025-03-25,250.00,250.00,244.60,245.28,-2.32,"86,457.00","21,255,663.90"
5,2025-03-24,251.90,251.90,244.00,251.10,1.61,"457,313.00","114,548,432.50"
6,2025-03-23,255.00,255.00,247.00,247.11,-1.29,"68,774.00","17,060,294.70"
7,2025-03-20,250.00,251.90,248.00,250.34,-0.26,"70,004.00","17,489,646.60"
8,2025-03-19,253.10,257.60,250.00,251.00,-0.79,"46,315.00","11,637,106.10"
9,2025-03-18,258.50,258.50,252.10,253.00,-0.20,"26,811.00","6,785,023.90"
10,2025-03-17,258.80,258.80,250.40,253.50,-0.20,"27,777.00","7,046,327.40"
11,2025-03-16,257.00,259.00,252.20,254.00,0.00,"60,787.00","15,439,568.40"
12,2025-03-12,253.00,258.00,253.00,254.00,-0.39,"36,175.00","9,226,612.50"
13,2025-03-11,260.00,260.00,252.00,255.00,-1.16,"116,397.00","29,715,055.00"
14,2025-03-10,256.50,263.80,256.50,258.00,-0.77,"37,093.00","9,582,191.10"
15,2025-03-09,260.00,275.00,257.10,260.00,-0.46,"66,079.00","17,086,194.20"
16,2025-03-06,267.00,267.00,256.90,261.20,-0.31,"59,370.00","15,458,313.30"
17,2025-03-05,269.50,269.50,259.10,262.00,-1.02,"88,783.00","23,152,347.10"
18,2025-03-04,270.00,271.00,260.00,264.70,-1.23,"119,352.00","31,503,312.00"
19,2025-03-03,275.40,277.00,265.60,268.00,-1.11,"96,838.00","26,116,591.00"
20,2025-03-02,268.20,271.00,264.10,271.00,3.04,"120,013.00","32,096,943.10"
21,2025-02-27,261.50,269.90,258.90,263.00,2.53,"136,760.00","35,850,823.60"
22,2025-02-25,255.00,259.40,253.50,256.50,0.59,"79,195.00","20,212,337.10"
23,2025-02-24,255.20,260.00,253.50,255.00,-0.08,"97,803.00","25,105,213.10"
24,2025-02-23,250.00,257.90,250.00,255.20,0.08,"80,917.00","20,557,288.80"
25,2025-02-20,255.00,263.00,252.90,255.00,-1.16,"66,937.00","17,091,878.80"
26,2025-02-18,263.10,263.10,257.00,258.00,0.00,"64,925.00","16,826,509.90"
27,2025-02-17,255.70,260.00,251.60,258.00,1.26,"104,068.00","26,680,602.60"
28,2025-02-16,251.00,254.80,251.00,254.80,1.31,"59,605.00","15,039,584.80"
29,2025-02-13,255.20,255.60,250.30,251.50,-1.49,"30,602.00","7,739,036.60"
30,2025-02-12,253.00,255.40,251.20,255.30,1.11,"35,362.00","8,981,056.80"
31,2025-02-11,252.00,253.80,250.00,252.50,0.20,"40,580.00","10,212,371.90"
32,2025-02-10,253.50,254.00,250.20,252.00,-0.12,"46,404.00","11,680,738.20"
33,2025-02-09,265.20,265.20,252.10,252.30,-2.96,"76,872.00","19,762,456.80"
34,2025-02-06,259.00,268.00,252.00,260.00,2.36,"103,780.00","27,037,785.00"
35,2025-02-05,254.50,260.00,252.10,254.00,-0.08,"40,342.00","10,288,277.00"
36,2025-02-04,261.10,261.10,254.00,254.20,-0.70,"65,021.00","16,777,382.80"
37,2025-02-03,255.00,262.00,251.20,256.00,1.39,"122,306.00","31,465,087.80"
38,2025-02-02,249.00,252.50,246.50,252.50,3.06,"127,938.00","32,001,105.60"
39,2025-01-28,245.00,246.90,244.30,245.00,-0.53,"58,427.00","14,343,251.50"
40,2025-01-27,249.90,249.90,246.00,246.30,-0.69,"30,248.00","7,456,299.00"
41,2025-01-26,246.00,251.40,246.00,248.00,-0.80,"40,372.00","10,020,682.40"
42,2025-01-23,259.00,259.00,250.00,250.00,-1.57,"41,626.00","10,518,658.30"
43,2025-01-22,250.00,260.00,245.00,254.00,2.42,"101,885.00","25,574,271.80"
44,2025-01-21,256.00,256.00,247.00,248.00,-1.20,"42,552.00","10,568,990.50"
45,2025-01-20,250.20,255.00,250.00,251.00,-1.45,"102,302.00","25,674,840.90"
46,2025-01-19,252.00,255.00,251.00,254.70,1.07,"99,063.00","25,108,123.30"
47,2025-01-16,259.00,259.00,252.00,252.00,-1.95,"80,820.00","20,545,556.40"
48,2025-01-15,258.30,258.90,255.50,257.00,-1.34,"75,059.00","19,302,409.30"
49,2025-01-13,261.10,261.90,256.00,260.50,-0.15,"173,677.00","44,780,763.04"
50,2025-01-12,262.00,266.00,260.80,260.90,-1.10,"16,224.00","4,253,800.20"
51,2025-01-09,265.00,266.00,260.00,263.80,-0.75,"83,543.00","21,943,642.30"
52,2025-01-08,271.30,271.30,265.00,265.80,-0.08,"44,633.00","11,890,466.50"
53,2025-01-07,272.00,272.00,265.50,266.00,-0.75,"25,492.00","6,788,940.90"
54,2025-01-06,269.00,269.00,264.70,268.00,1.32,"63,720.00","16,939,690.10"
55,2025-01-05,266.00,266.00,264.00,264.50,-1.20,"72,876.00","19,318,556.80"
56,2025-01-02,267.00,269.00,265.20,267.70,0.22,"34,854.00","9,286,069.80"
57,2025-01-01,267.00,268.50,266.20,267.10,0.41,"24,811.00","6,626,963.60"
58,2024-12-31,274.80,274.80,265.70,266.00,-1.44,"55,267.00","14,759,605.60"
59,2024-12-29,273.00,275.80,269.30,269.90,-0.77,"49,431.00","13,473,461.60"
60,2024-12-26,271.90,273.00,262.10,272.00,2.03,"123,843.00","33,426,342.10"
61,2024-12-24,267.40,270.00,262.60,266.60,1.68,"63,593.00","16,957,526.50"
62,2024-12-23,267.00,268.20,261.30,262.20,-0.30,"54,386.00","14,275,268.30"
63,2024-12-22,259.80,267.00,259.80,263.00,-0.79,"37,385.00","9,859,071.20"
64,2024-12-19,265.00,266.00,263.00,265.10,-0.34,"40,994.00","10,854,675.30"
65,2024-12-18,265.20,269.70,265.00,266.00,-0.37,"40,102.00","10,656,386.80"
66,2024-12-17,271.30,271.30,263.60,267.00,0.38,"44,627.00","11,875,971.20"
67,2024-12-16,265.20,269.00,264.00,266.00,-0.93,"52,892.00","14,046,015.20"
68,2024-12-12,282.50,282.50,268.20,268.50,-3.07,"42,271.00","11,525,235.00"
69,2024-12-11,264.00,277.00,264.00,277.00,3.75,"105,228.00","28,288,147.70"
70,2024-12-10,269.00,271.50,265.00,267.00,0.00,"23,482.00","6,254,752.80"
71,2024-12-09,267.00,270.00,264.60,267.00,0.00,"74,373.00","19,811,747.80"
72,2024-12-08,271.40,280.00,265.00,267.00,-2.91,"181,908.00","49,107,564.90"
73,2024-12-05,277.50,278.00,275.00,275.00,-0.90,"51,524.00","14,212,328.50"
74,2024-12-04,284.50,284.50,276.30,277.50,-0.54,"52,293.00","14,556,599.50"
75,2024-12-03,283.30,283.30,275.00,279.00,0.43,"44,139.00","12,220,252.50"
76,2024-12-02,285.10,285.10,276.00,277.80,-0.64,"86,642.00","24,049,833.10"
77,2024-12-01,280.00,280.90,277.30,279.60,-0.96,"44,253.00","12,376,781.70"
78,2024-11-28,285.00,286.00,281.00,282.30,-0.42,"51,209.00","14,471,165.20"
79,2024-11-27,287.00,287.00,282.20,283.50,0.18,"39,872.00","11,319,390.80"
80,2024-11-26,284.70,285.50,280.00,283.00,1.36,"50,857.00","14,366,105.50"
81,2024-11-25,284.40,284.40,276.60,279.20,0.11,"32,958.00","9,196,279.60"
82,2024-11-24,285.60,285.60,277.10,278.90,-0.39,"48,883.00","13,613,853.40"
83,2024-11-21,281.20,283.00,278.00,280.00,-0.43,"70,864.00","19,831,327.50"
84,2024-11-20,280.20,285.00,280.20,281.20,-0.64,"29,338.00","8,262,083.10"
