S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-03-30,208.10,218.00,208.10,214.99,1.28,"182,992.00","39,475,831.00"
2,2025-03-27,213.80,214.00,208.00,212.27,1.27,"111,802.00","23,634,781.90"
3,2025-03-26,207.30,210.00,205.00,209.61,2.09,"105,923.00","22,054,567.20"
4,2025-03-25,207.00,212.80,203.00,205.31,-2.65,"254,953.00","52,267,282.90"
5,2025-03-24,208.00,214.00,206.20,210.89,0.51,"128,445.00","26,984,416.70"
6,2025-03-23,213.00,214.90,209.20,209.83,-1.71,"140,428.00","29,624,683.20"
7,2025-03-20,217.00,217.00,213.00,213.47,-0.71,"90,423.00","19,374,614.90"
8,2025-03-19,216.00,219.00,214.00,215.00,-0.69,"134,850.00","29,065,132.10"
9,2025-03-18,220.40,220.40,215.50,216.50,0.19,"69,849.00","15,129,835.10"
10,2025-03-17,216.40,219.30,215.50,216.10,-0.87,"104,466.00","22,686,932.00"
11,2025-03-16,221.00,221.00,216.40,218.00,-0.68,"109,120.00","23,716,419.70"
12,2025-03-12,218.30,220.00,217.50,219.50,0.73,"84,454.00","18,503,844.50"
13,2025-03-11,220.00,221.20,217.10,217.90,-0.55,"107,082.00","23,419,485.90"
14,2025-03-10,222.40,223.80,218.00,219.10,-0.41,"140,665.00","30,918,179.20"
15,2025-03-09,220.00,224.00,219.60,220.00,-1.74,"146,814.00","32,424,773.20"
16,2025-03-06,228.80,228.80,222.50,223.90,-0.22,"172,198.00","38,596,881.90"
17,2025-03-05,230.00,230.00,224.00,224.40,-1.58,"121,631.00","27,490,040.30"
18,2025-03-04,231.20,233.90,227.00,228.00,-1.38,"280,997.00","64,339,152.30"
19,2025-03-03,239.20,241.00,231.00,231.20,-2.24,"304,787.00","71,352,881.10"
20,2025-03-02,233.70,237.90,231.00,236.50,2.34,"204,816.00","48,272,746.70"
21,2025-02-27,226.50,241.00,226.50,231.10,4.05,"346,108.00","80,224,752.60"
22,2025-02-25,224.30,225.40,220.00,222.10,0.00,"104,635.00","23,326,157.70"
23,2025-02-24,219.60,228.00,219.60,222.10,-0.85,"135,354.00","30,374,255.10"
24,2025-02-23,226.90,227.00,213.00,224.00,0.67,"240,186.00","53,573,975.40"
25,2025-02-20,224.00,227.10,222.20,222.50,-0.67,"116,540.00","26,152,689.10"
26,2025-02-18,228.40,230.50,223.90,224.00,0.00,"355,170.00","80,867,306.40"
27,2025-02-17,221.30,225.90,218.00,224.00,2.94,"235,079.00","52,484,000.20"
28,2025-02-16,217.10,219.70,216.30,217.60,0.42,"80,291.00","17,501,107.80"
29,2025-02-13,217.00,220.00,216.00,216.70,-0.14,"151,967.00","32,941,661.50"
30,2025-02-12,217.90,220.00,216.10,217.00,-0.32,"107,486.00","23,436,610.10"
31,2025-02-11,216.00,220.00,216.00,217.70,-0.14,"69,744.00","15,223,935.80"
32,2025-02-10,220.00,220.90,216.10,218.00,-0.23,"149,007.00","32,457,471.20"
33,2025-02-09,216.70,220.00,216.00,218.50,0.28,"111,825.00","24,371,973.70"
34,2025-02-06,222.40,222.40,217.10,217.90,-0.95,"107,101.00","23,426,875.30"
35,2025-02-05,222.30,223.90,219.60,220.00,-0.90,"103,269.00","22,839,481.90"
36,2025-02-04,225.00,226.50,221.10,222.00,-0.67,"119,459.00","26,791,688.80"
37,2025-02-03,224.00,228.90,223.00,223.50,0.68,"223,810.00","50,467,934.70"
38,2025-02-02,218.00,223.00,217.80,222.00,2.07,"163,667.00","36,295,281.00"
39,2025-01-28,216.10,219.70,215.30,217.50,0.05,"130,275.00","28,374,486.90"
40,2025-01-27,220.50,220.50,215.60,217.40,-0.32,"92,839.00","20,172,705.00"
41,2025-01-26,223.00,223.00,216.10,218.10,-1.49,"145,890.00","31,892,477.00"
42,2025-01-23,226.70,227.40,221.00,221.40,-1.29,"152,553.00","34,092,639.50"
43,2025-01-22,219.30,226.00,218.00,224.30,1.40,"256,408.00","57,401,858.40"
44,2025-01-21,224.40,224.40,219.00,221.20,-0.36,"116,109.00","25,648,575.20"
45,2025-01-20,221.30,230.00,221.10,222.00,2.30,"252,973.00","56,705,134.70"
46,2025-01-19,216.20,219.00,215.10,217.00,-0.87,"83,095.00","18,046,838.90"
47,2025-01-16,220.00,221.00,216.80,218.90,-0.09,"132,947.00","28,951,482.50"
48,2025-01-15,218.10,222.50,218.10,219.10,-0.27,"79,494.00","17,468,345.90"
49,2025-01-13,221.00,222.70,219.00,219.70,-1.26,"148,022.00","32,515,735.70"
50,2025-01-12,225.00,225.00,220.10,222.50,-0.58,"88,530.00","19,614,751.40"
51,2025-01-09,226.00,228.00,222.00,223.80,-0.84,"180,599.00","40,397,901.90"
52,2025-01-08,233.40,233.40,224.50,225.70,-1.40,"399,194.00","90,265,309.60"
53,2025-01-07,234.60,234.60,226.00,228.90,-0.48,"115,795.00","26,521,593.70"
54,2025-01-06,226.00,230.00,223.50,230.00,2.22,"184,972.00","42,122,746.20"
55,2025-01-05,225.00,226.00,221.50,225.00,-0.44,"383,506.00","85,850,377.40"
56,2025-01-02,230.00,230.60,223.00,226.00,-1.74,"216,238.00","48,692,823.80"
57,2025-01-01,242.70,242.70,227.10,230.00,-3.36,"384,436.00","88,817,904.60"
58,2024-12-31,245.90,249.90,233.00,238.00,-1.29,"1,508,557.00","359,492,034.80"
59,2024-12-29,248.80,250.00,239.10,241.10,-1.19,"1,065,655.00","261,082,664.80"
60,2024-12-26,230.00,249.70,226.10,244.00,5.86,"2,099,594.00","507,783,703.90"
61,2024-12-24,223.30,232.00,219.00,230.50,5.25,"365,473.00","83,002,283.00"
62,2024-12-23,213.20,219.50,213.20,219.00,1.86,"101,124.00","21,864,883.60"
63,2024-12-22,215.60,220.00,214.10,215.00,-2.27,"185,837.00","40,235,512.05"
64,2024-12-19,223.00,224.60,219.00,220.00,-1.30,"119,007.00","26,223,420.20"
65,2024-12-18,223.50,225.00,220.50,222.90,-0.40,"119,734.00","26,711,271.50"
66,2024-12-17,226.40,226.40,220.60,223.80,0.81,"78,991.00","17,572,142.20"
67,2024-12-16,225.00,225.00,221.00,222.00,-1.33,"130,342.00","28,967,174.80"
68,2024-12-12,236.10,236.10,225.00,225.00,-2.81,"150,406.00","34,640,875.30"
69,2024-12-11,221.00,232.00,221.00,231.50,3.39,"143,870.00","32,549,101.60"
70,2024-12-10,226.90,226.90,221.00,223.90,-0.27,"88,443.00","19,695,009.90"
71,2024-12-09,228.00,228.00,221.60,224.50,-0.04,"102,000.00","22,814,184.10"
72,2024-12-08,228.00,230.00,224.00,224.60,-2.52,"202,914.00","45,893,730.90"
73,2024-12-05,231.00,234.00,229.40,230.40,-0.17,"94,745.00","21,855,310.30"
74,2024-12-04,237.50,237.50,230.80,230.80,-0.90,"120,664.00","28,088,444.00"
75,2024-12-03,236.60,236.60,230.60,232.90,0.39,"105,531.00","24,570,737.30"
76,2024-12-02,230.00,239.20,230.00,232.00,-0.64,"149,608.00","34,916,624.30"
77,2024-12-01,242.70,242.70,233.10,233.50,-1.89,"130,998.00","30,762,077.30"
78,2024-11-28,242.50,244.00,238.00,238.00,-1.65,"100,304.00","24,007,948.80"
79,2024-11-27,238.00,243.90,238.00,242.00,1.68,"146,117.00","35,256,563.10"
80,2024-11-26,237.70,242.30,233.80,238.00,2.10,"117,411.00","27,748,163.20"
81,2024-11-25,237.90,237.90,232.00,233.10,-0.09,"105,125.00","24,550,644.80"
82,2024-11-24,239.70,239.70,232.50,233.30,-0.72,"113,694.00","26,656,695.00"
83,2024-11-21,241.00,241.00,234.00,235.00,-1.26,"153,946.00","36,309,121.80"
84,2024-11-20,243.00,243.00,237.00,238.00,-0.96,"130,664.00","31,186,425.30"
85,2024-11-19,244.00,247.80,240.30,240.30,-1.52,"143,285.00","34,761,208.50"
86,2024-11-17,245.20,250.00,243.40,244.00,-0.49,"157,485.00","38,809,940.80"
87,2024-11-14,248.90,248.90,242.40,245.20,-0.04,"122,464.00","30,077,069.85"
88,2024-11-13,250.10,251.00,245.00,245.30,-1.96,"104,210.00","25,795,878.60"
89,2024-11-12,255.00,257.00,249.00,250.20,-1.11,"149,082.00","37,592,962.10"
90,2024-11-11,250.00,257.00,248.50,253.00,1.81,"329,696.00","83,378,113.80"
91,2024-11-10,244.00,249.00,241.50,248.50,2.60,"181,536.00","44,734,363.80"
92,2024-11-06,245.00,245.00,241.20,242.20,-1.54,"118,819.00","28,836,261.80"
93,2024-11-05,250.90,250.90,245.00,246.00,-0.53,"62,522.00","15,411,031.50"
94,2024-10-30,256.00,256.00,246.00,247.30,-1.79,"165,901.00","41,314,924.00"
95,2024-10-29,245.90,253.00,242.30,251.80,4.44,"296,756.00","73,644,299.80"
96,2024-10-28,241.90,242.70,237.30,241.10,1.64,"136,083.00","32,685,409.90"
97,2024-10-27,239.00,241.00,237.00,237.20,-1.17,"280,328.00","66,757,806.70"
