S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-03-30,305.00,307.00,301.00,302.11,0.40,"68,603.00","20,832,019.50"
2,2025-03-27,305.80,305.80,299.10,300.92,0.36,"35,512.00","10,688,481.90"
3,2025-03-26,295.00,300.10,295.00,299.84,1.42,"48,219.00","14,411,429.00"
4,2025-03-25,297.00,299.00,294.30,295.64,-1.39,"54,652.00","16,195,505.70"
5,2025-03-24,303.90,304.00,297.00,299.80,0.53,"33,861.00","10,151,333.00"
6,2025-03-23,307.80,307.80,297.10,298.22,-1.27,"69,542.00","20,846,131.30"
7,2025-03-20,303.00,306.00,301.00,302.05,-0.05,"47,430.00","14,341,143.20"
8,2025-03-19,303.90,306.80,302.20,302.20,-0.43,"41,091.00","12,493,597.00"
9,2025-03-18,311.10,311.10,303.00,303.50,-0.49,"29,742.00","9,061,064.50"
10,2025-03-17,301.20,308.00,301.20,305.00,0.33,"25,458.00","7,780,278.90"
11,2025-03-16,305.70,310.00,301.00,304.00,-0.98,"69,086.00","21,041,436.60"
12,2025-03-12,307.10,310.00,305.00,307.00,0.03,"40,434.00","12,385,163.00"
13,2025-03-11,312.00,312.00,305.00,306.90,-0.36,"68,977.00","21,209,676.60"
14,2025-03-10,311.80,312.00,307.20,308.00,-0.48,"73,489.00","22,738,893.60"
15,2025-03-09,309.00,313.00,307.00,309.50,0.06,"70,173.00","21,730,913.90"
16,2025-03-06,310.00,312.50,307.20,309.30,-0.03,"94,166.00","29,137,816.20"
17,2025-03-05,315.00,316.90,309.20,309.40,-1.84,"71,733.00","22,340,619.00"
18,2025-03-04,324.00,324.00,314.00,315.20,-0.94,"133,010.00","41,961,273.90"
19,2025-03-03,329.20,329.20,318.00,318.20,-1.43,"139,589.00","44,916,147.30"
20,2025-03-02,323.80,325.00,318.00,322.80,1.67,"169,981.00","54,496,581.80"
21,2025-02-27,313.10,323.00,311.00,317.50,3.42,"230,178.00","72,728,739.50"
22,2025-02-25,311.00,311.00,305.20,307.00,0.49,"71,756.00","21,999,816.00"
23,2025-02-24,306.00,312.00,304.00,305.50,0.49,"70,744.00","21,694,772.90"
24,2025-02-23,299.90,308.00,298.00,304.00,-0.65,"144,013.00","43,889,284.10"
25,2025-02-20,306.20,311.00,300.10,306.00,0.33,"121,664.00","37,257,000.00"
26,2025-02-18,309.00,309.00,302.20,305.00,0.56,"125,867.00","38,504,499.80"
27,2025-02-17,302.90,304.00,294.10,303.30,2.12,"137,788.00","41,341,714.80"
28,2025-02-16,295.00,298.00,293.00,297.00,1.33,"67,686.00","19,992,271.00"
29,2025-02-13,296.30,296.30,290.00,293.10,0.90,"29,949.00","8,752,280.10"
30,2025-02-12,296.00,299.00,290.10,290.50,0.10,"56,156.00","16,415,724.80"
31,2025-02-11,285.00,294.90,285.00,290.20,0.03,"65,129.00","18,979,035.70"
32,2025-02-10,293.00,297.90,290.10,290.10,-0.96,"69,863.00","20,487,586.50"
33,2025-02-09,300.00,300.00,292.10,292.90,-0.71,"63,785.00","18,774,358.70"
34,2025-02-06,303.00,303.00,294.20,295.00,-1.67,"47,712.00","14,145,184.90"
35,2025-02-05,296.00,300.00,294.40,300.00,1.04,"48,269.00","14,350,437.20"
36,2025-02-04,304.00,304.00,295.10,296.90,-0.64,"87,887.00","26,322,446.30"
