S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-02-04,"1,112.00","1,112.00","1,111.00","1,111.00",-1.16,50.00,"55,575.00"
2,2026-02-01,"1,124.00","1,124.00","1,124.00","1,124.00",0.00,55.00,"61,820.00"
3,2026-01-27,"1,124.00","1,124.00","1,124.00","1,124.00",-1.24,25.00,"28,100.00"
4,2026-01-20,"1,138.10","1,138.10","1,138.10","1,138.10",-2.00,14.00,"15,933.40"
5,2026-01-18,"1,185.00","1,185.00","1,185.00","1,161.30",-2.00,1.00,"1,161.30"
6,2026-01-13,"1,178.10","1,185.00","1,178.10","1,185.00",2.60,365.00,"430,578.00"
7,2026-01-08,"1,155.00","1,155.00","1,155.00","1,155.00",0.00,50.00,"57,750.00"
8,2026-01-06,"1,155.00","1,155.00","1,155.00","1,155.00",-0.17,40.00,"46,200.00"
9,2026-01-05,"1,157.00","1,157.00","1,157.00","1,157.00",-1.95,25.00,"28,925.00"
10,2025-12-31,"1,180.00","1,180.00","1,180.00","1,180.00",0.00,253.00,"298,540.00"
11,2025-12-28,"1,162.10","1,180.00","1,162.10","1,180.00",-0.24,225.00,"265,052.50"
12,2025-12-18,"1,159.70","1,182.80","1,159.70","1,182.80",4.03,200.00,"234,250.00"
13,2025-12-17,"1,137.00","1,137.00","1,137.00","1,137.00",0.35,25.00,"28,425.00"
14,2025-12-15,"1,133.00","1,133.00","1,133.00","1,133.00",0.18,25.00,"28,325.00"
15,2025-12-14,"1,131.00","1,131.00","1,131.00","1,131.00",-1.57,25.00,"28,275.00"
16,2025-12-11,"1,196.20","1,196.20","1,196.20","1,149.00",-3.95,2.00,"2,321.30"
17,2025-12-10,"1,196.20","1,196.20","1,196.20","1,196.20",1.98,450.00,"538,290.00"
18,2025-11-18,"1,173.00","1,173.00","1,150.00","1,173.00",0.00,126.00,"145,475.00"
19,2025-11-17,"1,171.00","1,173.00","1,171.00","1,173.00",2.00,"1,175.00","1,376,325.00"
20,2025-11-16,"1,150.00","1,150.00","1,150.00","1,150.00",0.12,25.00,"28,750.00"
21,2025-11-13,"1,148.60","1,148.60","1,148.60","1,148.60",2.00,100.00,"114,860.00"
22,2025-11-12,"1,126.00","1,148.50","1,126.00","1,126.10",1.80,"1,025.00","1,167,092.50"
23,2025-11-04,"1,126.00","1,126.00","1,126.00","1,106.20",-1.76,1.00,"1,106.20"
24,2025-11-03,"1,122.10","1,144.50","1,122.10","1,126.00",2.35,23.00,"26,044.00"
25,2025-11-02,"1,142.10","1,142.10","1,122.00","1,100.10",-3.68,28.00,"31,369.40"
26,2025-10-30,"1,165.00","1,165.00","1,165.00","1,142.10",-1.97,1.00,"1,142.10"
27,2025-10-13,"1,152.00","1,165.00","1,152.00","1,165.00",3.10,"1,075.00","1,251,405.00"
28,2025-10-12,"1,130.00","1,130.00","1,130.00","1,130.00",0.62,25.00,"28,250.00"
