S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-03-30,398.00,402.00,394.50,396.04,0.39,"32,934.00","13,087,532.90"
2,2025-03-27,382.00,395.00,382.00,394.51,1.69,"15,262.00","5,994,828.20"
3,2025-03-26,380.00,390.00,380.00,387.96,1.96,"13,546.00","5,218,095.90"
4,2025-03-25,391.00,391.00,380.00,380.49,-3.19,"50,912.00","19,530,353.30"
5,2025-03-24,385.00,395.00,384.00,393.03,0.81,"22,901.00","8,972,404.30"
6,2025-03-23,392.50,396.00,389.00,389.88,-2.39,"31,588.00","12,376,391.90"
7,2025-03-20,397.90,404.00,396.00,399.42,0.36,"34,567.00","13,810,330.30"
8,2025-03-19,400.00,400.00,395.00,398.00,-0.48,"23,415.00","9,318,502.50"
9,2025-03-18,408.30,408.30,399.00,399.90,-0.10,"20,918.00","8,371,406.20"
10,2025-03-17,405.00,407.00,400.10,400.30,-1.11,"31,400.00","12,648,993.80"
11,2025-03-16,409.90,410.00,404.00,404.80,-1.89,"39,168.00","15,883,164.10"
12,2025-03-12,418.00,419.70,411.00,412.60,0.12,"30,675.00","12,715,830.30"
13,2025-03-11,415.00,427.00,406.00,412.10,0.10,"123,977.00","51,889,209.30"
14,2025-03-10,411.00,413.00,407.00,411.70,0.44,"50,413.00","20,648,399.80"
15,2025-03-09,415.10,415.10,407.10,409.90,-1.23,"42,870.00","17,589,531.70"
16,2025-03-06,407.90,415.80,406.00,415.00,1.74,"47,028.00","19,400,514.60"
17,2025-03-05,419.00,422.20,403.00,407.90,-1.47,"80,552.00","33,041,351.60"
18,2025-03-04,415.10,421.00,412.00,414.00,-0.43,"54,502.00","22,672,482.60"
19,2025-03-03,419.90,426.40,415.00,415.80,0.19,"65,900.00","27,631,448.90"
20,2025-03-02,406.00,416.00,405.20,415.00,2.72,"57,843.00","23,824,423.40"
21,2025-02-27,402.90,409.00,397.00,404.00,2.28,"63,828.00","25,648,536.60"
22,2025-02-25,391.00,397.00,391.00,395.00,0.25,"30,334.00","11,963,153.50"
23,2025-02-24,395.00,398.00,393.00,394.00,-0.25,"56,100.00","22,134,355.30"
24,2025-02-23,390.00,397.90,389.00,395.00,-0.25,"48,262.00","18,941,421.20"
25,2025-02-20,400.10,400.50,396.00,396.00,-0.80,"33,691.00","13,380,065.00"
26,2025-02-18,401.90,403.00,397.10,399.20,0.50,"52,192.00","20,901,911.60"
27,2025-02-17,400.00,400.00,394.10,397.20,0.30,"40,882.00","16,267,192.10"
28,2025-02-16,400.00,400.00,392.00,396.00,0.51,"42,798.00","16,834,186.70"
29,2025-02-13,400.00,400.00,393.20,394.00,-0.25,"22,862.00","9,025,729.30"
30,2025-02-12,398.00,400.90,395.00,395.00,-0.38,"32,251.00","12,858,750.70"
31,2025-02-11,400.00,403.40,395.20,396.50,0.25,"19,709.00","7,829,164.30"
32,2025-02-10,397.00,400.00,394.50,395.50,-0.63,"20,998.00","8,312,485.50"
33,2025-02-09,401.00,405.00,397.30,398.00,-0.50,"27,567.00","11,008,060.50"
34,2025-02-06,403.00,405.00,399.00,400.00,-0.87,"39,555.00","15,838,777.20"
35,2025-02-05,404.00,410.00,401.20,403.50,-0.12,"25,552.00","10,315,309.00"
36,2025-02-04,405.00,411.50,401.00,404.00,-0.25,"38,939.00","15,786,452.10"
37,2025-02-03,412.00,414.00,400.10,405.00,-1.22,"51,488.00","21,011,708.70"
38,2025-02-02,398.00,413.00,398.00,410.00,3.02,"61,113.00","24,962,999.90"
39,2025-01-28,389.90,399.00,387.00,398.00,3.11,"61,585.00","24,172,357.50"
40,2025-01-27,385.00,392.00,382.00,386.00,-0.34,"51,025.00","19,817,929.20"
41,2025-01-26,383.00,392.00,380.00,387.30,0.60,"25,137.00","9,729,647.90"
42,2025-01-23,389.00,392.00,380.20,385.00,-0.26,"64,904.00","25,071,658.10"
43,2025-01-22,381.00,394.00,379.00,386.00,1.31,"39,833.00","15,469,426.80"
44,2025-01-21,385.00,385.00,378.70,381.00,0.08,"52,154.00","19,844,795.50"
45,2025-01-20,384.00,386.70,379.10,380.70,-0.34,"23,879.00","9,111,899.50"
46,2025-01-19,386.20,390.00,380.00,382.00,-1.14,"38,449.00","14,698,141.80"
47,2025-01-16,390.00,392.00,386.40,386.40,-0.67,"16,867.00","6,555,155.70"
48,2025-01-15,396.00,396.00,388.00,389.00,0.00,"11,894.00","4,628,251.20"
49,2025-01-13,385.30,392.90,385.10,389.00,-0.87,"36,240.00","14,101,827.80"
50,2025-01-12,398.00,400.00,392.00,392.40,-1.16,"15,214.00","5,994,712.00"
51,2025-01-09,405.00,405.00,395.00,397.00,-1.24,"29,802.00","11,843,208.80"
52,2025-01-08,396.00,403.00,395.00,402.00,1.52,"39,187.00","15,623,408.40"
53,2025-01-07,400.00,400.00,396.00,396.00,-1.00,"15,967.00","6,352,682.20"
54,2025-01-06,389.10,401.80,388.00,400.00,1.55,"33,220.00","13,189,002.80"
55,2025-01-05,391.00,398.00,390.50,393.90,-0.18,"25,082.00","9,843,189.00"
56,2025-01-02,396.00,396.20,386.00,394.60,-0.35,"19,208.00","7,531,659.20"
57,2025-01-01,390.00,399.00,390.00,396.00,1.80,"19,586.00","7,755,616.60"
58,2024-12-31,395.00,395.30,386.00,389.00,-1.89,"30,523.00","11,877,298.30"
59,2024-12-29,402.00,404.90,395.10,396.50,-1.61,"29,431.00","11,762,009.30"
60,2024-12-26,400.00,409.90,400.00,403.00,-0.98,"19,360.00","7,839,320.00"
61,2024-12-24,401.00,413.00,395.00,407.00,1.75,"48,790.00","19,789,615.20"
62,2024-12-23,402.10,405.00,399.00,400.00,-0.25,"45,923.00","18,422,458.90"
63,2024-12-22,417.00,418.00,400.00,401.00,-4.52,"62,577.00","25,350,731.70"
64,2024-12-19,424.00,427.90,420.00,420.00,-0.97,"46,687.00","19,728,459.40"
65,2024-12-18,430.00,435.00,424.10,424.10,-0.91,"18,583.00","7,936,112.30"
66,2024-12-17,427.00,430.50,422.10,428.00,-0.53,"37,364.00","15,921,315.80"
67,2024-12-16,435.00,438.90,430.10,430.30,-1.98,"17,314.00","7,497,744.50"
68,2024-12-12,448.50,448.50,437.00,439.00,-1.04,"28,737.00","12,701,264.80"
69,2024-12-11,440.00,443.60,433.10,443.60,1.74,"19,369.00","8,508,027.20"
70,2024-12-10,436.10,442.70,436.00,436.00,0.23,"20,832.00","9,122,042.00"
71,2024-12-09,437.10,445.00,431.50,435.00,-1.14,"31,667.00","13,851,941.10"
72,2024-12-08,446.00,449.40,434.00,440.00,-1.35,"49,899.00","21,889,961.80"
73,2024-12-05,454.90,454.90,445.10,446.00,-0.67,"44,952.00","20,121,345.90"
