S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,441.00,441.00,433.00,434.20,-1.38,"31,749.00","13,847,934.50"
2,2025-03-30,439.30,449.00,435.10,440.27,0.22,"28,640.00","12,698,946.50"
3,2025-03-27,445.90,445.90,434.10,439.30,0.47,"28,602.00","12,501,468.90"
4,2025-03-26,447.00,447.00,432.30,437.24,-0.24,"14,713.00","6,420,648.30"
5,2025-03-25,440.00,440.00,426.00,438.31,-0.60,"40,694.00","17,539,492.30"
6,2025-03-24,429.00,442.00,423.10,440.96,3.02,"36,163.00","15,692,435.10"
7,2025-03-23,441.00,441.00,427.30,428.02,-2.88,"35,197.00","15,230,819.00"
8,2025-03-20,444.90,445.00,440.00,440.73,0.14,"25,689.00","11,357,284.40"
9,2025-03-19,440.20,459.00,440.00,440.10,-0.54,"44,877.00","19,971,709.50"
10,2025-03-18,456.90,456.90,440.20,442.50,-1.23,"42,551.00","18,950,252.60"
11,2025-03-17,452.00,456.80,445.80,448.00,-0.67,"23,700.00","10,660,971.10"
12,2025-03-16,463.00,463.00,447.60,451.00,-2.38,"49,532.00","22,399,823.90"
13,2025-03-12,461.20,469.90,458.00,462.00,-0.43,"58,894.00","27,271,977.00"
14,2025-03-11,453.50,478.00,450.00,464.00,0.32,"156,099.00","73,434,940.20"
15,2025-03-10,464.00,464.00,455.00,462.50,0.54,"37,395.00","17,177,909.10"
16,2025-03-09,476.90,476.90,458.70,460.00,-1.71,"35,922.00","16,643,981.40"
17,2025-03-06,455.00,471.90,455.00,468.00,1.08,"69,792.00","32,609,290.50"
18,2025-03-05,458.00,465.00,456.00,463.00,-0.64,"49,032.00","22,564,339.40"
19,2025-03-04,455.10,470.00,455.10,466.00,0.93,"40,384.00","18,726,921.60"
20,2025-03-03,459.70,479.90,456.20,461.70,-1.56,"83,210.00","38,881,027.80"
21,2025-03-02,464.00,470.00,455.30,469.00,3.08,"61,483.00","28,560,527.80"
