S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,564.00,565.00,543.00,545.76,-2.32,"27,526.00","15,101,876.80"
2,2025-03-30,545.00,565.00,545.00,558.71,2.59,"31,191.00","17,362,183.20"
3,2025-03-27,530.20,549.60,530.20,544.58,2.27,"26,359.00","14,326,287.40"
4,2025-03-26,521.10,537.00,521.00,532.50,2.31,"14,437.00","7,660,352.60"
5,2025-03-25,530.10,541.00,519.50,520.50,-3.52,"36,837.00","19,445,283.30"
6,2025-03-24,520.00,559.00,519.00,539.48,3.77,"34,410.00","18,537,108.80"
7,2025-03-23,530.00,540.00,518.70,519.86,-1.96,"27,003.00","14,196,167.80"
8,2025-03-20,536.00,542.90,530.00,530.27,-1.80,"19,701.00","10,526,630.30"
9,2025-03-19,535.00,555.00,535.00,540.00,-1.01,"16,992.00","9,247,210.90"
10,2025-03-18,561.00,561.00,540.00,545.50,-0.82,"19,390.00","10,624,309.20"
11,2025-03-17,561.80,565.10,547.10,550.00,-0.54,"17,974.00","9,967,481.20"
12,2025-03-16,561.00,564.00,541.00,553.00,-2.12,"35,065.00","19,269,242.10"
13,2025-03-12,568.00,577.00,561.00,565.00,-0.18,"15,776.00","8,963,370.90"
14,2025-03-11,586.50,593.00,564.00,566.00,-1.57,"34,036.00","19,434,676.20"
15,2025-03-10,589.50,599.50,572.40,575.00,-0.52,"21,106.00","12,261,095.90"
16,2025-03-09,588.00,600.00,574.10,578.00,-3.00,"41,875.00","24,409,290.40"
17,2025-03-06,600.00,604.00,590.00,595.90,1.00,"26,708.00","15,922,751.40"
18,2025-03-05,615.90,615.90,590.00,590.00,-2.67,"40,631.00","24,268,765.70"
19,2025-03-04,629.90,630.30,604.00,606.20,-1.91,"34,834.00","21,262,924.50"
20,2025-03-03,634.70,645.00,615.00,618.00,-0.69,"39,162.00","24,413,573.60"
21,2025-03-02,614.00,626.90,609.00,622.30,3.37,"53,172.00","32,983,788.40"
22,2025-02-27,612.00,624.00,600.00,602.00,0.33,"31,904.00","19,202,997.80"
23,2025-02-25,610.00,617.00,598.00,600.00,-0.83,"36,170.00","21,940,209.70"
24,2025-02-24,625.00,625.00,597.10,605.00,-1.29,"54,427.00","32,937,627.20"
25,2025-02-23,605.70,628.00,595.00,612.90,-0.83,"51,533.00","31,542,855.10"
26,2025-02-20,619.00,645.50,600.00,618.00,1.81,"70,088.00","43,634,082.70"
27,2025-02-18,634.00,634.00,597.80,607.00,-2.51,"66,968.00","40,803,773.70"
28,2025-02-17,650.10,650.10,618.00,622.60,-2.38,"75,319.00","47,245,828.60"
29,2025-02-16,601.00,647.50,601.00,637.80,7.19,"126,650.00","79,684,693.00"
30,2025-02-13,580.00,598.00,580.00,595.00,3.48,"85,748.00","50,680,836.00"
31,2025-02-12,577.00,585.00,562.20,575.00,0.72,"51,859.00","29,894,132.80"
32,2025-02-11,578.00,579.00,562.10,570.90,-0.07,"16,996.00","9,684,755.30"
33,2025-02-10,583.90,590.00,570.30,571.30,-0.47,"62,320.00","36,217,786.10"
34,2025-02-09,581.00,591.00,546.20,574.00,0.70,"74,013.00","42,318,681.40"
35,2025-02-06,575.00,591.40,565.00,570.00,0.88,"83,847.00","48,553,329.60"
36,2025-02-05,525.00,572.00,523.00,565.00,7.62,"99,398.00","55,022,901.20"
37,2025-02-04,547.00,550.00,522.00,525.00,-2.42,"37,904.00","20,182,909.20"
38,2025-02-03,557.90,558.90,535.00,538.00,-1.65,"41,323.00","22,568,014.90"
39,2025-02-02,555.00,564.00,540.00,547.00,0.00,"53,684.00","29,514,691.60"
40,2025-01-28,548.00,558.00,527.00,547.00,1.48,"39,273.00","21,165,462.50"
41,2025-01-27,525.00,551.40,515.00,539.00,2.67,"63,842.00","34,521,105.50"
42,2025-01-26,550.00,550.00,517.50,525.00,-5.41,"99,746.00","52,882,562.10"
43,2025-01-23,569.00,569.00,548.00,555.00,-0.54,"48,612.00","26,990,760.90"
44,2025-01-22,540.00,572.20,540.00,558.00,2.20,"37,674.00","21,084,805.30"
45,2025-01-21,555.00,570.00,545.00,546.00,-1.62,"24,240.00","13,406,736.60"
46,2025-01-20,580.00,581.00,551.10,555.00,-2.65,"53,047.00","29,755,258.90"
47,2025-01-19,544.00,593.00,544.00,570.10,4.03,"39,482.00","22,590,367.30"
48,2025-01-16,582.00,582.00,540.00,548.00,-5.19,"96,287.00","53,149,508.40"
49,2025-01-15,602.80,602.80,574.00,578.00,-2.20,"55,153.00","32,141,175.80"
50,2025-01-13,600.00,615.50,587.10,591.00,-2.31,"54,398.00","32,581,904.30"
51,2025-01-12,628.00,630.00,599.10,605.00,-3.35,"23,928.00","14,561,047.90"
52,2025-01-09,654.00,660.00,624.00,626.00,-2.49,"45,314.00","28,834,690.10"
53,2025-01-08,623.10,664.00,623.00,642.00,2.52,"67,821.00","44,055,063.60"
54,2025-01-07,620.00,632.00,610.00,626.20,1.33,"65,578.00","40,678,236.50"
55,2025-01-06,612.00,624.00,604.90,618.00,0.98,"22,197.00","13,656,105.00"
56,2025-01-05,615.00,625.00,611.00,612.00,0.99,"24,746.00","15,314,911.70"
57,2025-01-02,607.00,610.00,580.10,606.00,0.50,"28,922.00","17,424,798.50"
58,2025-01-01,585.00,610.90,585.00,603.00,3.08,"38,280.00","22,978,598.90"
59,2024-12-31,600.00,600.00,548.10,585.00,-3.94,"126,968.00","71,340,125.20"
60,2024-12-29,622.10,629.00,608.10,609.00,-3.64,"52,250.00","32,168,542.90"
61,2024-12-26,651.00,654.70,630.00,632.00,-2.81,"30,139.00","19,230,049.90"
62,2024-12-24,640.00,665.00,636.00,650.30,1.61,"70,639.00","46,229,522.90"
63,2024-12-23,634.00,640.00,628.00,640.00,2.40,"25,660.00","16,292,664.70"
64,2024-12-22,649.00,650.00,624.30,625.00,-2.04,"27,224.00","17,142,293.80"
65,2024-12-19,643.10,661.00,637.00,638.00,-2.15,"44,252.00","28,415,918.00"
66,2024-12-18,665.90,669.80,650.00,652.00,-0.15,"34,817.00","22,901,279.50"
67,2024-12-17,643.00,669.00,634.10,653.00,1.40,"48,980.00","32,015,479.80"
68,2024-12-16,665.00,672.00,640.00,644.00,-4.73,"86,909.00","56,327,888.10"
69,2024-12-12,705.00,714.00,673.00,676.00,-3.43,"65,214.00","44,794,245.60"
70,2024-12-11,677.20,715.00,665.00,700.00,5.42,"86,941.00","60,317,571.90"
71,2024-12-10,672.00,685.90,655.00,664.00,0.62,"37,839.00","25,038,077.70"
72,2024-12-09,667.00,677.80,650.00,659.90,-0.90,"73,119.00","48,286,594.10"
73,2024-12-08,690.00,690.00,658.00,665.90,-3.07,"70,059.00","46,832,451.30"
74,2024-12-05,711.00,715.00,680.00,687.00,-3.24,"73,900.00","51,144,472.40"
75,2024-12-04,702.00,739.00,702.00,710.00,-0.14,"59,978.00","43,136,920.30"
76,2024-12-03,692.00,716.50,692.00,711.00,3.04,"78,146.00","55,396,179.20"
77,2024-12-02,708.90,711.80,688.00,690.00,-1.13,"77,790.00","54,140,259.90"
78,2024-12-01,696.70,711.00,695.10,697.90,-1.83,"86,962.00","60,950,500.20"
79,2024-11-28,726.90,730.00,709.00,710.90,-1.31,"80,118.00","57,506,567.40"
80,2024-11-27,741.60,741.60,719.00,720.30,-0.94,"59,355.00","43,117,218.70"
81,2024-11-26,727.10,734.90,716.00,727.10,1.99,"70,819.00","51,497,176.20"
82,2024-11-25,665.50,716.00,665.50,712.90,4.99,"87,012.00","61,498,646.60"
83,2024-11-24,712.90,714.00,672.00,679.00,-2.86,"86,354.00","60,159,702.90"
84,2024-11-21,729.00,730.00,698.10,699.00,-3.20,"98,841.00","69,844,733.30"
85,2024-11-20,710.00,733.00,702.10,722.10,1.78,"100,518.00","72,215,568.40"
86,2024-11-19,724.00,745.00,708.70,709.50,-2.00,"106,418.00","76,840,931.80"
87,2024-11-17,758.80,758.80,722.00,724.00,-2.69,"132,087.00","97,656,946.80"
88,2024-11-14,749.00,768.00,738.00,744.00,0.54,"156,076.00","117,654,831.10"
89,2024-11-13,730.00,745.00,720.20,740.00,3.21,"136,422.00","100,577,961.60"
90,2024-11-12,720.00,733.90,705.00,717.00,1.49,"119,122.00","86,169,024.60"
91,2024-11-11,709.60,734.00,696.00,706.50,-2.42,"141,177.00","100,658,692.90"
92,2024-11-10,700.00,736.00,700.00,724.00,1.40,"117,240.00","85,336,876.50"
93,2024-11-06,690.00,717.00,690.00,714.00,3.48,"83,454.00","58,934,631.60"
94,2024-11-05,688.50,709.90,680.50,690.00,0.00,"54,243.00","37,574,975.40"
95,2024-10-30,700.00,714.00,684.00,690.00,-1.71,"100,555.00","69,605,162.30"
96,2024-10-29,723.00,735.00,700.00,702.00,-0.99,"126,208.00","90,783,246.20"
97,2024-10-28,678.00,710.00,667.10,709.00,6.62,"217,141.00","151,490,107.70"
98,2024-10-27,651.90,671.10,650.00,665.00,2.01,"93,234.00","61,915,071.50"
99,2024-10-24,665.00,681.90,651.00,651.90,-1.08,"94,578.00","63,118,959.00"
100,2024-10-23,660.90,682.00,650.00,659.00,1.70,"155,288.00","103,733,078.80"
101,2024-10-22,613.00,649.80,613.00,648.00,4.52,"77,883.00","49,533,917.40"
102,2024-10-21,642.00,648.00,615.00,620.00,-3.13,"88,954.00","55,955,852.80"
103,2024-10-20,646.00,674.90,623.00,640.00,-2.88,"119,938.00","77,416,498.90"
104,2024-10-17,666.00,678.10,651.70,659.00,0.30,"70,881.00","47,113,485.10"
105,2024-10-16,666.00,686.00,651.70,657.00,0.15,"73,798.00","49,572,078.10"
106,2024-10-15,625.00,663.90,625.00,656.00,5.47,"56,438.00","36,539,412.10"
107,2024-10-09,617.00,631.00,612.50,622.00,0.00,"40,679.00","25,283,095.10"
108,2024-10-08,645.00,645.00,616.00,622.00,-2.81,"68,179.00","42,537,475.70"
109,2024-10-07,655.80,672.00,625.00,640.00,-0.47,"95,089.00","62,301,608.60"
110,2024-10-06,610.90,650.00,592.20,643.00,7.35,"96,326.00","60,652,508.20"
111,2024-10-02,598.00,620.10,577.00,599.00,2.17,"114,056.00","68,675,651.20"
112,2024-10-01,543.60,586.30,538.50,586.30,10.00,"66,112.00","37,925,569.00"
113,2024-09-30,510.00,534.00,510.00,533.00,4.51,"53,508.00","27,985,870.30"
114,2024-09-29,525.00,525.00,509.00,510.00,-2.49,"32,031.00","16,515,512.00"
115,2024-09-26,540.00,540.00,517.00,523.00,-1.32,"52,621.00","27,839,319.00"
116,2024-09-25,503.70,539.90,496.00,530.00,3.92,"80,168.00","41,764,420.90"
117,2024-09-24,525.10,550.80,506.00,510.00,-3.59,"70,208.00","36,451,723.60"
118,2024-09-23,590.00,590.00,527.00,529.00,-8.57,"111,565.00","60,439,614.90"
119,2024-09-22,591.00,605.00,578.60,578.60,-0.24,"49,555.00","29,124,660.40"
120,2024-09-18,591.60,615.00,566.00,580.00,0.00,"92,761.00","54,549,383.60"
121,2024-09-16,605.00,629.00,574.00,580.00,-5.57,"95,524.00","56,570,201.60"
122,2024-09-15,655.00,661.00,613.20,614.20,-5.07,"89,741.00","57,410,211.60"
