S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,"1,056.00","1,063.00","1,050.00","1,056.08",-1.22,"1,328.00","1,398,755.00"
2,2025-03-30,"1,083.00","1,105.00","1,069.10","1,069.13",0.57,"5,084.00","5,500,477.40"
3,2025-03-27,"1,074.00","1,074.00","1,050.00","1,063.03",0.68,752.00,"796,014.00"
4,2025-03-26,"1,022.00","1,060.80","1,022.00","1,055.86",1.89,"1,563.00","1,631,296.70"
5,2025-03-25,"1,072.00","1,079.00","1,016.20","1,036.30",-3.38,"2,680.00","2,794,228.00"
6,2025-03-24,"1,069.00","1,074.00","1,054.00","1,072.53",2.01,"1,642.00","1,756,130.00"
7,2025-03-23,"1,073.20","1,073.20","1,050.00","1,051.42",-3.46,"6,460.00","6,852,975.00"
8,2025-03-20,"1,088.00","1,094.00","1,081.10","1,089.15",-0.53,875.00,"950,582.90"
9,2025-03-19,"1,117.70","1,117.70","1,086.00","1,094.90",-0.82,575.00,"626,675.00"
10,2025-03-18,"1,108.90","1,119.00","1,085.00","1,104.00",-0.44,"3,266.00","3,599,030.30"
11,2025-03-17,"1,080.00","1,111.00","1,058.50","1,108.90",2.30,"11,612.00","12,452,786.80"
12,2025-03-16,"1,090.00","1,094.40","1,074.00","1,084.00",-1.00,"2,901.00","3,124,454.00"
13,2025-03-12,"1,078.00","1,098.50","1,076.10","1,095.00",-0.27,"2,151.00","2,320,992.90"
14,2025-03-11,"1,087.00","1,098.00","1,081.00","1,098.00",-0.27,"9,053.00","9,840,418.90"
15,2025-03-10,"1,110.00","1,123.00","1,095.00","1,101.00",-0.63,"3,200.00","3,515,040.00"
16,2025-03-09,"1,103.00","1,124.00","1,097.00","1,108.00",0.45,"2,902.00","3,203,302.60"
17,2025-03-06,"1,120.00","1,129.80","1,100.00","1,103.00",-1.52,"5,173.00","5,747,460.00"
18,2025-03-05,"1,145.00","1,148.00","1,120.00","1,120.00",-0.62,"4,890.00","5,504,232.20"
19,2025-03-04,"1,161.70","1,161.70","1,127.00","1,127.00",-1.05,"3,423.00","3,868,219.80"
20,2025-03-03,"1,190.00","1,190.00","1,135.00","1,139.00",-2.40,"6,843.00","7,892,952.60"
21,2025-03-02,"1,138.00","1,170.00","1,121.00","1,167.00",4.54,"9,546.00","10,995,066.10"
22,2025-02-27,"1,132.10","1,154.00","1,085.00","1,116.30",0.57,"6,027.00","6,638,242.10"
23,2025-02-25,"1,135.00","1,135.00","1,110.00","1,110.00",-0.28,"5,114.00","5,738,836.00"
24,2025-02-24,"1,145.10","1,145.10","1,112.00","1,113.10",-1.15,"7,235.00","8,096,561.30"
25,2025-02-23,"1,145.00","1,146.00","1,122.00","1,126.10",-2.06,"5,213.00","5,888,317.70"
26,2025-02-20,"1,131.00","1,149.80","1,127.00","1,149.80",-0.02,"1,467.00","1,660,397.00"
