S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,516.00,520.00,504.90,507.78,-1.88,"105,487.00","53,794,065.30"
2,2025-03-30,511.00,527.50,510.00,517.50,0.59,"141,806.00","73,805,159.20"
3,2025-03-27,500.40,517.00,500.40,514.49,1.49,"110,266.00","56,588,949.00"
4,2025-03-26,496.00,509.90,488.00,506.93,2.57,"72,931.00","36,569,862.60"
5,2025-03-25,501.00,507.50,493.00,494.25,-2.50,"102,794.00","51,304,836.20"
6,2025-03-24,498.30,510.00,498.30,506.93,0.69,"89,760.00","45,387,570.40"
7,2025-03-23,490.60,512.00,490.60,503.46,0.58,"129,509.00","65,411,852.40"
8,2025-03-20,497.80,510.00,497.80,500.56,-1.45,"95,857.00","48,226,072.50"
9,2025-03-19,504.00,520.00,504.00,507.90,-1.23,"44,484.00","22,673,730.00"
10,2025-03-18,519.00,522.90,513.00,514.20,0.18,"44,326.00","22,906,852.20"
11,2025-03-17,519.20,523.90,513.00,513.30,-1.29,"85,271.00","43,972,732.30"
12,2025-03-16,530.00,535.90,517.70,520.00,-1.33,"217,169.00","114,817,298.00"
13,2025-03-12,540.60,540.60,520.00,527.00,-0.57,"319,765.00","169,887,138.40"
14,2025-03-11,538.10,550.00,518.80,530.00,-1.85,"261,679.00","139,474,365.50"
15,2025-03-10,544.00,550.00,534.00,540.00,-0.74,"233,563.00","126,819,596.40"
16,2025-03-09,530.00,544.00,527.00,544.00,2.06,"318,008.00","170,435,033.60"
17,2025-03-06,530.00,535.00,517.40,533.00,1.54,"214,566.00","113,420,062.70"
18,2025-03-05,512.00,529.00,510.00,524.90,2.70,"316,456.00","164,556,053.20"
19,2025-03-04,488.00,515.00,481.00,511.10,5.60,"350,900.00","177,197,991.00"
20,2025-03-03,481.20,499.00,480.60,484.00,-1.43,"93,442.00","45,589,262.80"
21,2025-03-02,490.00,499.80,486.00,491.00,1.03,"105,833.00","52,110,966.30"
22,2025-02-27,475.00,488.00,466.00,486.00,3.82,"118,167.00","56,717,685.90"
23,2025-02-25,465.00,479.90,465.00,468.10,-0.30,"42,981.00","20,222,547.30"
24,2025-02-24,458.70,479.40,458.70,469.50,0.32,"84,184.00","39,737,307.90"
25,2025-02-23,456.70,468.00,450.20,468.00,0.43,"113,172.00","52,460,039.30"
26,2025-02-20,471.20,474.00,465.00,466.00,-1.85,"85,244.00","39,955,061.70"
27,2025-02-18,469.00,488.00,469.00,474.80,-0.77,"100,611.00","47,920,892.10"
28,2025-02-17,488.00,493.50,476.50,478.50,-1.14,"113,458.00","54,659,418.50"
29,2025-02-16,495.00,496.90,483.10,484.00,-1.02,"101,195.00","49,204,178.90"
30,2025-02-13,508.70,508.70,488.00,489.00,-1.96,"99,329.00","48,857,609.00"
31,2025-02-12,501.00,501.00,486.10,498.80,1.38,"139,686.00","69,426,221.60"
32,2025-02-11,469.50,494.00,469.50,492.00,2.71,"139,919.00","68,224,059.10"
33,2025-02-10,480.00,487.00,476.00,479.00,0.00,"130,551.00","62,679,922.70"
34,2025-02-09,490.10,499.00,476.00,479.00,-2.24,"232,915.00","112,832,926.40"
35,2025-02-06,501.70,507.00,487.50,490.00,-2.95,"377,241.00","186,971,940.20"
36,2025-02-05,516.00,516.00,497.00,504.90,-0.22,"166,382.00","83,999,603.70"
37,2025-02-04,495.50,524.00,495.50,506.00,3.90,"281,196.00","143,608,064.70"
38,2025-02-03,459.00,495.00,459.00,487.00,6.10,"634,620.00","302,263,929.60"
39,2025-02-02,470.50,474.00,458.00,459.00,-0.50,"140,335.00","65,280,282.60"
40,2025-01-28,466.00,467.00,450.00,461.30,0.94,"319,781.00","145,696,283.90"
41,2025-01-27,471.80,478.90,455.70,457.00,-1.72,"240,606.00","112,623,384.00"
42,2025-01-26,441.00,471.00,441.00,465.00,4.49,"211,799.00","97,925,561.20"
43,2025-01-23,454.90,454.90,442.20,445.00,-0.22,"84,893.00","38,038,809.50"
44,2025-01-22,427.00,450.00,427.00,446.00,2.76,"201,953.00","89,256,929.10"
45,2025-01-21,445.00,450.00,432.10,434.00,-2.36,"107,558.00","47,030,138.60"
46,2025-01-20,456.00,458.00,442.00,444.50,-0.98,"108,498.00","48,704,216.00"
47,2025-01-19,441.60,454.00,433.20,448.90,3.67,"151,807.00","67,795,373.50"
48,2025-01-16,423.80,435.00,419.70,433.00,3.37,"112,102.00","48,064,693.80"
49,2025-01-15,412.00,421.10,412.00,418.90,1.18,"32,243.00","13,495,989.90"
50,2025-01-13,425.20,425.20,414.00,414.00,-0.72,"35,586.00","14,781,548.20"
51,2025-01-12,420.10,422.00,416.00,417.00,-0.48,"34,715.00","14,554,696.80"
