S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-23,781.00,781.00,760.00,760.22,-1.41,"18,308.00","14,052,427.20"
2,2025-04-22,757.80,790.00,757.8,771.09,-0.28,"12,881.00","10,000,731.90"
3,2025-04-21,742.70,800.00,729.0,773.23,6.19,"41,075.00","31,189,699.40"
4,2025-04-20,735.00,740.00,718.0,728.18,-2.44,"20,779.00","15,113,781.40"
5,2025-04-17,773.00,773.00,728.0,746.40,-1.71,"26,009.00","19,599,243.80"
6,2025-04-16,783.00,798.60,758.0,759.36,-1.19,"15,399.00","11,793,159.00"
7,2025-04-15,770.00,790.00,755.0,768.54,1.4,"26,631.00","20,588,148.50"
8,2025-04-13,771.00,772.10,746.1,757.93,0.25,"14,120.00","10,709,533.20"
9,2025-04-10,775.00,788.00,750.0,756.05,-2.14,"30,261.00","23,241,593.80"
10,2025-04-09,762.20,800.00,762.2,772.61,-0.65,"3,741.00","2,902,595.80"
11,2025-04-08,779.00,780.00,764.0,777.70,0.01,"11,667.00","8,980,962.60"
12,2025-04-07,800.00,800.00,776.2,777.64,-1.88,"11,202.00","8,757,349.00"
13,2025-04-03,790.70,822.00,788.0,792.55,-1.76,"27,692.00","22,154,692.00"
14,2025-04-02,775.40,819.00,775.4,806.75,1.97,"25,749.00","20,752,780.30"
15,2025-04-01,816.70,816.70,783.0,791.19,-1.19,"16,471.00","13,097,689.90"
16,2025-03-30,797.30,810.00,769.1,800.70,2.42,"24,321.00","19,401,561.00"
17,2025-03-27,757.10,800.00,757.1,781.76,1.28,"15,234.00","11,917,266.00"
18,2025-03-26,780.00,795.00,754.6,771.88,0.42,"13,805.00","10,708,446.80"
19,2025-03-25,790.00,793.00,764.0,768.68,-4.53,"20,393.00","15,854,030.90"
20,2025-03-24,800.00,815.00,784.0,805.13,1.76,"17,492.00","14,034,578.90"
21,2025-03-23,854.00,854.00,780.0,791.21,-7.27,"41,296.00","33,147,974.20"
22,2025-03-20,929.10,929.10,853.2,853.20,-10.0,"17,151.00","14,647,065.60"
23,2025-03-19,866.40,960.00,798.0,948.00,7.24,"120,276.00","102,624,580.10"
24,2025-03-18,835.00,901.00,803.7,884.00,7.28,"119,190.00","100,463,246.70"
25,2025-03-17,795.00,834.70,795.0,824.00,2.87,"38,875.00","31,874,188.10"
26,2025-03-16,824.00,824.00,800.0,801.00,-1.11,"19,928.00","16,163,374.80"
27,2025-03-12,784.00,820.00,783.1,810.00,1.38,"32,806.00","26,399,242.80"
28,2025-03-11,804.00,830.00,789.2,799.00,-2.56,"35,598.00","28,949,394.40"
29,2025-03-10,834.20,867.00,804.0,820.00,0.26,"85,540.00","70,639,866.20"
30,2025-03-09,758.40,817.90,758.4,817.90,9.99,"54,311.00","44,376,440.40"
31,2025-03-06,682.00,743.60,679.0,743.60,10.0,"65,792.00","47,512,396.10"
32,2025-03-05,715.00,729.30,668.5,676.00,-3.74,"47,637.00","32,846,908.50"
33,2025-03-04,715.00,732.00,690.1,702.30,-1.64,"41,374.00","29,282,243.30"
34,2025-03-03,765.00,790.00,686.7,714.00,-6.42,"96,820.00","69,979,222.30"
35,2025-03-02,805.80,805.80,760.0,763.00,-3.42,"22,390.00","17,292,728.90"
36,2025-02-27,852.00,852.00,765.9,790.00,-7.17,"81,222.00","64,453,879.10"
37,2025-02-25,769.30,851.00,769.3,851.00,8.41,"49,460.00","39,824,027.30"
38,2025-02-24,814.00,860.00,765.2,785.00,-5.42,"79,266.00","63,617,240.00"
39,2025-02-23,801.00,855.00,798.0,830.00,1.84,"40,602.00","33,714,149.80"
40,2025-02-20,865.00,865.00,815.0,815.00,-5.78,"28,307.00","23,390,304.50"
41,2025-02-18,931.00,931.00,855.0,865.00,-8.95,"45,378.00","39,147,792.30"
42,2025-02-17,885.30,950.00,837.9,950.00,9.45,"80,105.00","69,770,262.30"
43,2025-02-16,887.00,902.00,840.0,868.00,-2.24,"35,784.00","30,688,381.80"
44,2025-02-13,891.80,929.90,853.6,887.90,-2.43,"58,684.00","51,893,580.40"
45,2025-02-12,865.90,925.90,865.9,910.00,7.18,"29,452.00","26,671,171.20"
46,2025-02-11,924.50,"1,010.80",849.0,849.00,-10.0,"113,139.00","103,868,963.70"
47,2025-02-10,921.00,950.00,877.9,943.30,4.46,"111,749.00","102,295,584.40"
48,2025-02-09,928.00,928.00,882.0,903.00,-4.64,"46,470.00","41,777,217.90"
49,2025-02-06,"1,007.50","1,007.50",925.2,946.90,-7.89,"69,332.00","65,415,036.20"
50,2025-02-05,955.00,"1,028.00",905.6,"1,028.00",9.01,"101,311.00","96,891,173.10"
51,2025-02-04,962.90,"1,080.00",940.0,943.00,-4.02,"104,561.00","102,554,899.10"
52,2025-02-03,911.00,982.50,911.0,982.50,10.0,"182,171.00","173,908,301.00"
53,2025-02-02,795.80,893.20,795.8,893.20,10.0,"202,412.00","174,259,077.20"
54,2025-01-28,850.00,850.00,793.8,812.00,-2.87,"98,142.00","80,930,947.80"
