S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,613.00,616.00,581.30,593.98,-1.28,"7,293.00","4,300,798.00"
2,2025-03-30,593.00,634.00,585.00,601.68,1.43,"10,956.00","6,660,456.30"
3,2025-03-27,575.00,600.00,572.00,593.17,2.38,"5,083.00","2,975,612.40"
4,2025-03-26,575.00,582.00,565.30,579.40,1.06,"7,233.00","4,153,922.40"
5,2025-03-25,598.00,598.00,571.00,573.32,-4.22,"8,521.00","4,941,316.40"
6,2025-03-24,592.00,605.00,582.00,598.61,0.91,"4,037.00","2,406,286.50"
7,2025-03-23,600.80,612.80,592.00,593.23,-3.23,"6,717.00","4,035,661.30"
8,2025-03-20,599.00,617.00,599.00,613.05,0.52,"5,280.00","3,226,838.80"
9,2025-03-19,601.10,613.00,597.10,609.90,0.41,"6,440.00","3,872,536.30"
10,2025-03-18,618.00,624.00,600.00,607.40,-1.48,"18,333.00","11,142,119.80"
11,2025-03-17,614.50,631.00,612.10,616.50,0.21,"4,651.00","2,881,202.10"
12,2025-03-16,625.10,647.00,615.20,615.20,-1.88,"4,889.00","3,055,243.50"
13,2025-03-12,625.40,640.00,625.40,627.00,-1.26,"8,761.00","5,525,020.40"
14,2025-03-11,640.00,650.00,628.00,635.00,-0.78,"7,652.00","4,853,696.80"
15,2025-03-10,640.00,662.00,640.00,640.00,-1.69,"7,916.00","5,125,157.70"
16,2025-03-09,650.00,667.00,649.00,651.00,-1.36,"10,495.00","6,853,129.40"
17,2025-03-06,676.90,676.90,652.40,660.00,-0.75,"8,944.00","5,898,960.50"
18,2025-03-05,646.00,675.00,646.00,665.00,1.06,"12,603.00","8,229,843.50"
19,2025-03-04,672.00,680.00,650.00,658.00,-3.24,"18,093.00","12,010,547.30"
20,2025-03-03,690.00,696.00,662.00,680.00,-1.45,"35,679.00","24,133,031.10"
21,2025-03-02,678.50,700.00,678.50,690.00,0.00,"11,938.00","8,245,453.20"
22,2025-02-27,691.40,695.00,677.00,690.00,1.78,"9,442.00","6,477,037.80"
23,2025-02-25,695.00,695.00,675.00,677.90,-0.60,"13,479.00","9,120,918.00"
24,2025-02-24,680.30,699.00,680.00,682.00,-1.30,"10,995.00","7,530,375.30"
25,2025-02-23,684.60,700.00,681.00,691.00,-1.07,"15,182.00","10,488,225.50"
26,2025-02-20,701.00,705.00,695.10,698.50,-1.61,"10,105.00","7,066,046.70"
27,2025-02-18,729.00,729.00,703.20,709.90,-0.99,"22,064.00","15,701,332.30"
28,2025-02-17,725.00,728.00,706.00,717.00,0.42,"27,655.00","19,733,685.40"
29,2025-02-16,706.90,721.00,685.10,714.00,2.76,"27,139.00","19,045,574.70"
30,2025-02-13,721.10,721.10,690.00,694.80,-1.73,"17,965.00","12,505,156.50"
31,2025-02-12,702.70,725.00,686.00,707.00,2.61,"24,088.00","17,130,042.40"
32,2025-02-11,687.00,692.00,680.00,689.00,0.29,"12,994.00","8,900,251.00"
33,2025-02-10,696.00,696.00,671.00,687.00,0.59,"24,258.00","16,470,396.50"
34,2025-02-09,704.80,704.80,680.20,683.00,-1.16,"23,382.00","16,054,811.50"
35,2025-02-06,706.00,719.70,686.10,691.00,-2.12,"25,453.00","17,778,554.30"
36,2025-02-05,701.10,720.00,701.10,706.00,-0.84,"14,379.00","10,211,911.20"
37,2025-02-04,733.20,733.20,710.00,712.00,-0.96,"17,322.00","12,384,636.00"
38,2025-02-03,726.00,749.70,716.00,718.90,-2.85,"50,781.00","36,812,718.30"
39,2025-02-02,720.00,760.20,720.00,740.00,0.74,"45,848.00","34,170,258.30"
40,2025-01-28,744.00,744.00,717.40,734.60,0.36,"23,449.00","17,174,965.20"
41,2025-01-27,732.00,745.50,724.00,732.00,-0.14,"31,370.00","23,085,042.20"
42,2025-01-26,717.00,745.00,717.00,733.00,1.52,"34,370.00","25,266,303.70"
43,2025-01-23,720.00,730.00,710.00,722.00,0.28,"34,946.00","25,070,271.10"
44,2025-01-22,712.00,729.00,706.00,720.00,1.41,"28,949.00","20,819,730.60"
45,2025-01-21,718.00,725.00,701.00,710.00,-1.18,"24,217.00","17,200,838.80"
46,2025-01-20,720.00,745.00,716.10,718.50,-1.79,"27,926.00","20,363,520.50"
47,2025-01-19,717.50,744.60,710.00,731.60,3.23,"51,747.00","37,712,563.00"
48,2025-01-16,708.90,719.00,703.00,708.70,1.82,"39,030.00","27,748,571.90"
49,2025-01-15,669.00,705.00,669.00,696.00,4.66,"28,504.00","19,855,978.20"
50,2025-01-13,697.00,697.00,663.00,665.00,-2.78,"21,831.00","14,616,056.70"
51,2025-01-12,717.00,717.00,672.00,684.00,-2.70,"19,118.00","13,101,707.20"
52,2025-01-09,736.90,736.90,700.00,703.00,-2.70,"22,362.00","15,907,215.90"
53,2025-01-08,715.00,723.00,701.10,722.50,2.48,"32,958.00","23,465,426.80"
54,2025-01-07,678.00,719.80,673.00,705.00,4.29,"93,018.00","65,371,316.10"
55,2025-01-06,663.00,680.00,663.00,676.00,1.67,"25,410.00","17,101,894.50"
56,2025-01-05,650.30,667.60,650.20,664.90,1.36,"6,609.00","4,365,816.30"
57,2025-01-02,623.00,656.70,623.00,656.00,4.29,"11,671.00","7,552,719.30"
58,2025-01-01,630.00,639.00,621.10,629.00,0.24,"6,577.00","4,135,011.80"
59,2024-12-31,640.00,640.00,619.10,627.50,-1.95,"10,405.00","6,504,860.50"
60,2024-12-29,676.20,676.20,637.00,640.00,-3.47,"15,926.00","10,339,040.40"
61,2024-12-26,660.20,670.00,659.10,663.00,-0.76,"20,876.00","13,881,777.50"
62,2024-12-24,666.00,688.50,666.00,668.10,0.62,"31,442.00","21,273,311.00"
63,2024-12-23,674.00,687.00,660.00,664.00,-1.48,"26,612.00","17,925,958.70"
64,2024-12-22,630.00,681.90,630.00,674.00,5.15,"40,304.00","26,789,073.20"
65,2024-12-19,646.00,656.00,639.00,641.00,-1.52,"14,545.00","9,389,340.50"
66,2024-12-18,640.00,661.00,640.00,650.90,1.23,"21,045.00","13,803,386.80"
67,2024-12-17,628.00,648.00,621.10,643.00,2.23,"7,976.00","5,070,462.60"
68,2024-12-16,647.30,650.00,628.00,629.00,-2.83,"9,717.00","6,213,197.40"
69,2024-12-12,670.00,670.00,647.10,647.30,-1.48,"16,110.00","10,578,816.00"
70,2024-12-11,646.60,662.00,637.00,657.00,3.63,"29,399.00","19,190,231.50"
71,2024-12-10,632.00,650.00,630.00,634.00,-0.52,"12,592.00","8,035,313.30"
72,2024-12-09,645.00,651.00,634.10,637.30,0.25,"6,774.00","4,333,227.70"
73,2024-12-08,650.00,661.00,635.00,635.70,-2.05,"23,281.00","14,925,820.40"
74,2024-12-05,659.00,672.00,649.00,649.00,-3.13,"15,524.00","10,280,797.30"
75,2024-12-04,669.80,683.40,659.10,670.00,0.03,"23,570.00","15,835,939.50"
76,2024-12-03,639.00,685.00,639.00,669.80,3.20,"52,615.00","35,463,793.30"
77,2024-12-02,640.00,665.00,639.10,649.00,0.62,"9,972.00","6,425,297.00"
78,2024-12-01,670.00,670.00,627.30,645.00,-1.83,"10,434.00","6,743,305.40"
79,2024-11-28,693.60,693.60,655.10,657.00,-3.38,"13,258.00","8,823,978.20"
80,2024-11-27,689.00,689.00,665.50,680.00,0.15,"7,623.00","5,160,755.30"
81,2024-11-26,684.10,684.10,657.10,679.00,-2.72,"31,424.00","20,934,619.80"
82,2024-11-25,630.00,698.00,630.00,698.00,8.59,"14,699.00","9,523,335.40"
83,2024-11-24,656.80,656.80,633.00,642.80,-0.19,"12,828.00","8,264,491.30"
84,2024-11-21,659.90,675.20,643.00,644.00,-0.46,"57,424.00","38,324,251.00"
85,2024-11-20,630.00,652.00,625.00,647.00,1.09,"10,910.00","6,994,729.50"
86,2024-11-19,666.50,679.00,636.10,640.00,-5.87,"8,577.00","5,580,141.40"
87,2024-11-17,690.00,696.80,670.00,679.90,-2.59,"27,258.00","18,567,584.70"
88,2024-11-14,649.00,712.00,639.60,698.00,7.55,"26,378.00","17,257,309.70"
89,2024-11-13,647.70,665.00,640.00,649.00,2.17,"12,764.00","8,263,054.70"
90,2024-11-12,687.00,699.80,678.20,686.00,1.80,"55,408.00","38,200,824.40"
91,2024-11-11,698.00,705.00,655.00,673.90,-1.62,"24,029.00","16,367,974.20"
92,2024-11-10,638.50,690.00,635.10,685.00,7.70,"45,844.00","30,805,929.00"
93,2024-11-06,621.00,636.00,615.00,636.00,2.32,"12,010.00","7,499,058.00"
94,2024-11-05,642.60,642.60,618.20,621.60,-1.33,"7,666.00","4,834,972.10"
95,2024-10-30,617.00,652.00,612.00,630.00,3.62,"16,559.00","10,427,270.00"
96,2024-10-29,605.10,618.90,602.00,608.00,1.00,"11,208.00","6,857,763.00"
97,2024-10-28,581.00,602.00,574.10,602.00,3.61,"6,998.00","4,157,559.90"
98,2024-10-27,575.00,584.00,573.00,581.00,1.57,"3,405.00","1,967,120.20"
