S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,516.00,517.00,509.10,512.21,-0.88,"9,724.00","4,983,028.20"
2,2025-03-30,502.00,522.00,502.00,516.74,2.98,"21,447.00","11,055,593.60"
3,2025-03-27,503.50,505.00,493.10,501.78,-0.26,"15,018.00","7,517,363.70"
4,2025-03-26,483.00,518.00,480.00,503.11,4.35,"7,122.00","3,507,859.70"
5,2025-03-25,490.40,499.00,481.10,482.14,-3.16,"14,859.00","7,213,575.90"
6,2025-03-24,487.50,505.00,480.20,497.88,0.22,"10,592.00","5,259,758.50"
7,2025-03-23,515.00,516.50,495.00,496.80,-3.52,"14,530.00","7,386,279.80"
8,2025-03-20,534.00,534.00,513.00,514.95,-1.75,"12,350.00","6,391,204.00"
9,2025-03-19,528.00,534.00,522.00,524.10,-0.83,"12,152.00","6,406,290.30"
10,2025-03-18,516.10,536.50,516.10,528.50,0.48,"9,993.00","5,268,354.90"
11,2025-03-17,523.20,534.90,523.20,526.00,-0.28,"10,825.00","5,712,181.80"
12,2025-03-16,529.00,533.00,527.30,527.50,-1.64,"7,751.00","4,096,287.50"
13,2025-03-12,530.00,536.30,525.10,536.30,1.00,"15,377.00","8,169,795.60"
14,2025-03-11,536.00,548.00,530.00,531.00,-1.98,"16,644.00","8,894,219.90"
15,2025-03-10,555.00,564.00,541.00,541.70,-2.13,"21,488.00","11,847,496.80"
16,2025-03-09,531.00,580.00,531.00,553.50,2.50,"48,314.00","26,856,388.90"
17,2025-03-06,539.50,545.70,522.10,540.00,2.08,"22,472.00","12,028,449.30"
18,2025-03-05,536.00,540.00,528.00,529.00,-1.31,"18,043.00","9,588,581.60"
19,2025-03-04,551.00,553.60,536.00,536.00,-2.37,"27,499.00","14,975,185.10"
20,2025-03-03,568.00,569.10,546.70,549.00,-1.61,"24,730.00","13,688,424.60"
21,2025-03-02,559.00,562.00,552.00,558.00,1.81,"31,579.00","17,563,983.50"
22,2025-02-27,542.00,557.20,535.00,548.10,1.52,"28,410.00","15,528,202.40"
23,2025-02-25,522.50,545.00,522.50,539.90,2.06,"24,132.00","12,917,034.80"
24,2025-02-24,540.00,544.00,526.00,529.00,-0.94,"24,989.00","13,267,457.40"
25,2025-02-23,527.30,542.00,527.30,534.00,-0.74,"27,194.00","14,566,541.40"
26,2025-02-20,552.00,558.40,538.00,538.00,-2.54,"35,259.00","19,187,413.10"
27,2025-02-18,568.00,590.00,548.00,552.00,-0.90,"38,318.00","21,335,620.80"
28,2025-02-17,576.10,576.10,551.80,557.00,-1.40,"41,852.00","23,339,060.60"
29,2025-02-16,569.00,571.00,551.00,564.90,-0.72,"34,036.00","19,093,787.30"
30,2025-02-13,583.40,583.40,565.00,569.00,-0.52,"36,712.00","20,991,628.50"
31,2025-02-12,568.00,585.90,568.00,572.00,0.03,"31,644.00","18,236,468.60"
32,2025-02-11,562.00,583.90,562.00,571.80,1.56,"41,927.00","23,919,496.10"
33,2025-02-10,570.00,582.00,555.00,563.00,-1.57,"33,180.00","18,716,630.20"
34,2025-02-09,563.50,589.90,563.50,572.00,-0.52,"53,971.00","30,804,148.40"
35,2025-02-06,594.00,595.00,570.00,575.00,-3.18,"58,729.00","33,933,181.80"
36,2025-02-05,569.00,608.00,569.00,593.90,5.68,"118,884.00","70,234,483.70"
37,2025-02-04,539.00,565.00,529.10,562.00,5.24,"104,983.00","58,143,195.20"
38,2025-02-03,553.00,553.00,520.10,534.00,-1.69,"49,293.00","26,379,213.90"
39,2025-02-02,539.00,551.00,538.00,543.20,0.61,"46,572.00","25,399,927.20"
40,2025-01-28,532.00,550.00,525.00,539.90,3.43,"80,776.00","43,377,495.80"
41,2025-01-27,537.90,537.90,522.00,522.00,-1.69,"32,717.00","17,261,569.30"
42,2025-01-26,545.00,545.00,525.30,531.00,-0.75,"39,298.00","20,883,244.60"
43,2025-01-23,520.00,538.90,520.00,535.00,0.94,"60,323.00","32,121,285.40"
44,2025-01-22,501.90,542.00,501.90,530.00,3.50,"48,591.00","25,589,703.30"
45,2025-01-21,525.00,525.00,510.00,512.10,-1.52,"27,987.00","14,487,923.10"
46,2025-01-20,534.00,543.90,516.00,520.00,-2.62,"72,774.00","38,411,839.70"
47,2025-01-19,516.10,544.50,516.00,534.00,3.67,"79,096.00","42,188,359.80"
48,2025-01-16,493.60,530.00,491.00,515.10,6.43,"98,480.00","50,561,798.40"
49,2025-01-15,466.00,494.40,466.00,484.00,1.89,"12,645.00","6,117,638.20"
50,2025-01-13,480.70,490.00,475.00,475.00,-3.06,"14,064.00","6,748,547.30"
51,2025-01-12,504.00,504.00,487.00,490.00,-1.01,"10,246.00","5,051,540.50"
52,2025-01-09,495.00,505.00,486.00,495.00,1.23,"22,787.00","11,297,515.80"
53,2025-01-08,490.00,500.60,482.30,489.00,-0.37,"17,324.00","8,481,405.50"
54,2025-01-07,506.00,506.90,483.00,490.80,-1.25,"19,088.00","9,429,162.40"
55,2025-01-06,480.00,499.80,480.00,497.00,3.54,"19,990.00","9,891,675.30"
56,2025-01-05,462.00,480.00,461.00,480.00,2.37,"7,804.00","3,706,724.00"
57,2025-01-02,461.00,474.00,461.00,468.90,1.93,"7,501.00","3,506,936.70"
58,2025-01-01,468.00,474.90,460.00,460.00,0.22,"5,717.00","2,666,084.30"
59,2024-12-31,470.00,470.00,457.00,459.00,-3.37,"9,949.00","4,610,737.40"
60,2024-12-29,476.00,485.00,472.00,475.00,-2.06,"14,570.00","6,928,103.90"
61,2024-12-26,496.50,496.50,477.20,485.00,-0.82,"8,372.00","4,025,135.00"
62,2024-12-24,501.90,506.70,485.40,489.00,-1.01,"12,796.00","6,375,660.00"
63,2024-12-23,477.30,495.70,477.00,494.00,3.56,"11,471.00","5,545,636.40"
64,2024-12-22,489.00,489.00,465.10,477.00,-0.52,"11,083.00","5,222,358.10"
65,2024-12-19,480.00,489.60,470.00,479.50,-0.21,"13,058.00","6,195,946.20"
66,2024-12-18,480.00,497.00,480.00,480.50,0.10,"9,698.00","4,714,968.60"
67,2024-12-17,484.00,490.00,475.00,480.00,-0.41,"10,464.00","5,049,259.40"
68,2024-12-16,505.00,505.00,481.30,482.00,-4.95,"20,689.00","10,180,060.10"
69,2024-12-12,511.10,517.00,507.10,507.10,-0.57,"12,614.00","6,445,533.60"
70,2024-12-11,518.00,518.00,503.00,510.00,0.39,"19,013.00","9,662,533.30"
71,2024-12-10,504.00,510.00,503.00,508.00,1.20,"10,903.00","5,518,106.20"
72,2024-12-09,513.00,516.00,500.00,502.00,-0.20,"10,469.00","5,288,198.60"
73,2024-12-08,510.00,520.00,503.00,503.00,-2.35,"13,975.00","7,081,728.00"
74,2024-12-05,516.00,520.50,515.00,515.10,-0.56,"17,113.00","8,854,758.50"
75,2024-12-04,522.10,532.50,518.00,518.00,-1.33,"21,219.00","11,154,527.30"
76,2024-12-03,520.00,531.40,520.00,525.00,1.45,"20,473.00","10,789,407.40"
77,2024-12-02,518.00,535.00,517.00,517.50,-0.12,"64,244.00","33,408,754.50"
78,2024-12-01,527.00,528.00,518.00,518.10,-1.97,"24,436.00","12,763,696.90"
79,2024-11-28,551.00,557.90,528.30,528.50,-3.38,"30,532.00","16,588,772.40"
80,2024-11-27,545.00,553.00,534.10,547.00,1.67,"55,706.00","30,479,440.70"
81,2024-11-26,516.00,540.00,507.00,538.00,5.49,"39,519.00","20,638,485.50"
82,2024-11-25,518.00,528.00,509.00,510.00,-1.54,"17,549.00","9,063,201.10"
83,2024-11-24,505.00,525.30,505.00,518.00,3.02,"27,709.00","14,323,927.00"
84,2024-11-21,532.10,542.60,502.80,502.80,-6.00,"31,988.00","16,693,704.70"
85,2024-11-20,513.00,534.90,513.00,534.90,3.24,"30,228.00","15,917,537.30"
86,2024-11-19,546.00,546.00,517.00,518.10,-5.11,"53,958.00","28,398,717.40"
87,2024-11-17,550.00,583.00,544.50,546.00,-0.73,"52,450.00","29,213,705.50"
88,2024-11-14,530.00,562.00,527.20,550.00,4.96,"63,258.00","34,486,272.90"
