S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,490.00,491.00,481.00,483.04,-1.48,"39,625.00","19,183,954.50"
2,2025-03-30,485.00,498.30,480.00,490.31,0.35,"68,326.00","33,491,371.20"
3,2025-03-27,478.00,498.00,477.30,488.59,2.10,"45,311.00","21,816,264.70"
4,2025-03-26,482.00,483.00,476.50,478.53,0.34,"33,332.00","15,983,913.00"
5,2025-03-25,485.00,485.00,476.00,476.91,-2.62,"53,572.00","25,705,588.10"
6,2025-03-24,485.30,496.30,478.60,489.75,1.32,"46,495.00","22,591,590.70"
7,2025-03-23,496.00,496.00,482.00,483.35,-1.60,"43,867.00","21,329,286.70"
8,2025-03-20,499.00,499.00,490.10,491.23,-1.52,"31,034.00","15,319,492.20"
9,2025-03-19,501.00,503.70,495.00,498.80,-0.70,"28,874.00","14,392,380.30"
10,2025-03-18,504.20,507.00,495.00,502.30,-0.32,"53,148.00","26,631,111.40"
11,2025-03-17,506.00,510.00,500.00,503.90,-0.24,"25,453.00","12,824,806.40"
12,2025-03-16,511.00,512.00,504.00,505.10,-0.96,"29,650.00","15,020,292.10"
13,2025-03-12,507.10,515.50,507.10,510.00,-0.58,"29,039.00","14,853,732.50"
14,2025-03-11,517.00,525.60,512.00,513.00,-0.64,"43,104.00","22,376,521.60"
15,2025-03-10,532.00,534.00,515.10,516.30,-1.66,"23,864.00","12,463,393.70"
16,2025-03-09,530.00,533.40,520.00,525.00,-0.87,"68,805.00","36,392,707.80"
17,2025-03-06,525.50,529.70,518.00,529.60,1.30,"43,314.00","22,659,791.70"
18,2025-03-05,533.00,533.00,521.00,522.80,-1.91,"47,580.00","24,924,370.40"
19,2025-03-04,540.00,541.00,530.00,533.00,-1.11,"57,440.00","30,785,549.40"
20,2025-03-03,556.20,558.30,537.00,539.00,-2.12,"91,865.00","49,966,390.20"
21,2025-03-02,540.00,551.00,536.00,550.70,1.98,"125,379.00","68,684,198.90"
22,2025-02-27,528.40,540.00,515.00,540.00,2.90,"73,973.00","39,237,016.60"
23,2025-02-25,517.00,530.00,510.60,524.80,0.15,"100,372.00","51,892,435.20"
24,2025-02-24,513.10,525.30,511.00,524.00,1.37,"51,064.00","26,497,812.90"
25,2025-02-23,516.00,520.00,508.00,516.90,-0.21,"43,214.00","22,258,748.80"
26,2025-02-20,520.10,524.00,511.60,518.00,-0.77,"37,492.00","19,353,206.20"
27,2025-02-18,530.20,530.20,520.00,522.00,-0.76,"37,625.00","19,748,161.30"
28,2025-02-17,535.00,535.00,525.00,526.00,-1.31,"30,226.00","16,012,876.50"
29,2025-02-16,528.30,534.00,527.00,533.00,-0.19,"33,847.00","17,979,540.20"
30,2025-02-13,520.10,540.60,520.00,534.00,0.95,"103,270.00","55,041,697.60"
31,2025-02-12,515.60,531.90,515.60,529.00,0.76,"59,327.00","31,407,334.70"
32,2025-02-11,516.50,529.00,515.10,525.00,0.02,"44,446.00","23,280,349.30"
33,2025-02-10,531.00,531.00,517.50,524.90,0.15,"48,931.00","25,590,475.10"
34,2025-02-09,535.10,536.00,523.00,524.10,-2.04,"62,587.00","33,159,205.40"
35,2025-02-06,526.50,543.00,518.00,535.00,2.81,"156,443.00","83,275,436.90"
36,2025-02-05,527.60,527.60,520.00,520.40,-0.69,"59,283.00","31,033,842.30"
37,2025-02-04,527.00,533.00,523.00,524.00,-0.47,"78,784.00","41,511,465.90"
38,2025-02-03,511.00,541.60,511.00,526.50,1.64,"160,753.00","85,521,170.40"
39,2025-02-02,507.00,520.50,507.00,518.00,2.57,"88,364.00","45,373,090.60"
40,2025-01-28,505.00,510.20,498.00,505.00,-0.67,"58,366.00","29,370,376.60"
41,2025-01-27,511.00,511.00,503.30,508.40,-0.49,"26,490.00","13,399,285.10"
42,2025-01-26,510.00,516.80,502.20,510.90,-1.56,"19,977.00","10,244,313.50"
43,2025-01-23,520.00,520.00,505.10,519.00,0.80,"38,557.00","19,717,041.00"
