S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-09,691.00,760.00,691.00,702.73,0.44,"16,043.00","11,315,208.90"
2,2025-04-08,687.0,702.0,683.0,699.68,0.23,"6,120.00","4,237,193.30"
3,2025-04-07,691.0,709.9,691.0,698.1,-0.96,"2,018.00","1,412,889.70"
4,2025-04-03,707.5,714.9,698.0,704.88,-1.07,"8,338.00","5,876,796.60"
5,2025-04-02,708.1,718.5,705.0,712.5,-1.26,"2,336.00","1,657,735.80"
6,2025-04-01,720.0,731.0,707.1,721.62,-1.16,"2,710.00","1,949,577.00"
7,2025-03-30,705.0,744.2,705.0,730.1,2.22,"2,503.00","1,831,414.90"
8,2025-03-27,707.0,716.8,705.0,714.23,1.09,"5,505.00","3,900,486.80"
9,2025-03-26,675.0,709.9,675.0,706.5,3.13,"3,675.00","2,545,722.50"
10,2025-03-25,714.1,714.1,681.3,685.03,-4.73,"7,774.00","5,400,199.20"
11,2025-03-24,726.0,738.0,715.0,719.02,-0.89,"5,111.00","3,716,017.10"
12,2025-03-23,750.5,755.0,725.0,725.46,-4.73,"4,115.00","3,046,924.00"
13,2025-03-20,751.0,763.0,741.0,761.48,1.53,"7,895.00","5,951,798.10"
14,2025-03-19,738.0,772.0,738.0,750.0,0.94,"2,889.00","2,158,943.90"
15,2025-03-18,762.0,762.0,742.0,743.0,-0.67,"2,888.00","2,180,424.10"
16,2025-03-17,743.1,750.0,735.0,748.0,-0.13,"2,800.00","2,072,567.00"
17,2025-03-16,753.0,765.0,738.0,749.0,-2.47,"4,402.00","3,292,611.60"
18,2025-03-12,746.1,770.0,740.0,768.0,1.72,"4,505.00","3,383,598.00"
19,2025-03-11,765.1,792.0,746.9,755.0,-2.83,"8,671.00","6,610,245.20"
20,2025-03-10,772.1,797.0,772.1,777.0,-1.26,"1,720.00","1,339,719.00"
21,2025-03-09,801.7,801.7,770.0,786.9,0.11,"7,797.00","6,051,584.70"
22,2025-03-06,770.0,800.0,765.0,786.0,0.68,"11,497.00","8,918,187.40"
23,2025-03-05,788.0,797.9,778.1,780.7,-1.05,"4,426.00","3,470,351.30"
24,2025-03-04,790.2,803.0,780.0,789.0,-0.5,"12,278.00","9,706,601.40"
25,2025-03-03,801.0,829.0,788.0,793.0,-2.7,"14,069.00","11,245,617.50"
26,2025-03-02,805.1,818.0,798.3,815.0,0.49,"9,728.00","7,845,050.40"
27,2025-02-27,826.0,826.0,803.0,811.0,-1.7,"11,966.00","9,709,612.00"
28,2025-02-25,800.0,835.0,792.3,825.0,2.48,"15,866.00","12,945,177.10"
29,2025-02-24,815.0,832.0,800.0,805.0,-0.86,"16,582.00","13,374,985.40"
30,2025-02-23,845.0,845.0,809.0,812.0,-2.05,"12,093.00","9,866,951.80"
31,2025-02-20,824.1,840.8,823.5,829.0,-0.84,"13,856.00","11,520,930.40"
32,2025-02-18,845.0,861.7,830.0,836.0,0.12,"26,500.00","22,300,398.60"
33,2025-02-17,820.0,844.9,820.0,835.0,0.6,"16,559.00","13,867,021.80"
34,2025-02-16,827.1,839.0,820.0,830.0,-0.6,"12,587.00","10,392,247.50"
