S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-11-23,555.00,572.00,555.00,556.00,-1.77,"66,360.00","37,317,592.60"
2,2025-11-20,600.0,619.0,561.0,566.0,-4.91,"93,546.00","55,447,315.20"
3,2025-11-19,551.9,595.2,537.0,595.2,10.0,"122,135.00","70,292,740.50"
4,2025-11-18,545.8,555.0,538.1,541.1,0.39,"44,476.00","24,290,301.30"
5,2025-11-17,534.4,554.0,510.0,539.0,2.86,"60,615.00","31,992,259.50"
6,2025-11-16,558.0,558.0,523.0,524.0,-6.09,"55,621.00","29,451,514.40"
7,2025-11-13,520.0,574.0,502.0,558.0,6.88,"56,540.00","30,759,008.80"
8,2025-11-12,580.0,580.0,520.0,522.1,-8.72,"123,835.00","65,747,144.00"
9,2025-11-11,545.8,588.7,545.8,572.0,6.88,"149,771.00","85,254,641.90"
10,2025-11-10,491.2,535.2,491.2,535.2,9.99,"3,280.00","1,754,256.00"
11,2025-11-09,451.0,486.6,451.0,486.6,9.99,970.0,"470,413.00"
12,2025-11-06,402.2,442.4,402.2,442.4,10.0,460.0,"201,909.00"
