S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,205.90,205.90,199.00,199.73,-1.08,"80,789.00","16,175,785.20"
2,2025-03-30,200.00,205.90,199.00,201.92,1.29,"186,167.00","37,877,002.30"
3,2025-03-27,201.00,201.00,195.50,199.34,1.13,"81,164.00","16,182,840.40"
4,2025-03-26,193.00,200.10,193.00,197.11,1.27,"103,478.00","20,375,783.10"
5,2025-03-25,197.00,198.80,194.00,194.63,-2.59,"145,802.00","28,478,381.40"
6,2025-03-24,195.00,202.00,194.00,199.81,2.17,"128,034.00","25,374,797.20"
7,2025-03-23,201.20,201.20,195.00,195.56,-1.94,"173,390.00","34,057,455.50"
8,2025-03-20,200.00,201.20,199.00,199.43,-0.29,"100,488.00","20,083,518.00"
9,2025-03-19,202.00,204.00,199.80,200.00,-1.04,"116,815.00","23,429,260.40"
10,2025-03-18,204.90,205.00,201.70,202.10,-0.39,"88,357.00","17,935,191.50"
11,2025-03-17,202.10,205.80,202.00,202.90,0.00,"97,850.00","19,862,200.80"
12,2025-03-16,206.00,208.00,201.10,202.90,-0.98,"100,525.00","20,413,275.00"
13,2025-03-12,205.00,206.00,202.00,204.90,0.84,"117,619.00","24,072,766.10"
14,2025-03-11,209.00,209.00,202.00,203.20,-1.84,"166,446.00","33,960,555.00"
15,2025-03-10,211.00,212.90,206.50,207.00,-0.96,"157,042.00","32,866,318.50"
16,2025-03-09,215.00,215.00,206.60,209.00,-2.79,"318,487.00","66,884,048.40"
17,2025-03-06,216.00,218.00,213.10,215.00,-0.42,"163,931.00","35,260,902.70"
18,2025-03-05,216.80,221.00,214.00,215.90,-0.42,"269,732.00","58,552,146.30"
19,2025-03-04,215.00,225.00,212.00,216.80,1.45,"708,166.00","155,914,142.00"
20,2025-03-03,221.00,225.90,213.70,213.70,-2.86,"321,290.00","70,134,489.90"
21,2025-03-02,215.00,220.40,214.00,220.00,3.29,"492,107.00","107,116,411.40"
22,2025-02-27,203.10,215.00,198.00,213.00,6.93,"567,564.00","118,132,275.50"
23,2025-02-25,199.00,201.70,198.50,199.20,-0.35,"79,751.00","15,946,255.50"
24,2025-02-24,202.00,202.00,198.10,199.90,0.91,"152,007.00","30,405,368.30"
25,2025-02-23,199.00,200.00,194.10,198.10,-0.05,"153,068.00","30,390,207.50"
26,2025-02-20,201.00,203.00,198.00,198.20,-0.90,"100,432.00","20,002,388.00"
27,2025-02-18,204.90,204.90,199.50,200.00,-0.45,"126,934.00","25,562,601.90"
28,2025-02-17,205.00,205.00,200.00,200.90,-1.03,"131,568.00","26,613,841.20"
29,2025-02-16,199.10,204.00,195.10,203.00,2.01,"214,248.00","42,883,561.50"
30,2025-02-13,200.00,202.00,198.20,199.00,-0.50,"91,198.00","18,207,748.90"
31,2025-02-12,200.10,202.20,199.00,200.00,-0.10,"92,677.00","18,588,938.20"
32,2025-02-11,198.00,202.80,198.00,200.20,-0.40,"79,187.00","15,913,782.20"
33,2025-02-10,201.10,204.80,199.00,201.00,-0.50,"158,487.00","31,912,502.30"
34,2025-02-09,206.00,207.00,202.00,202.00,-0.98,"110,046.00","22,475,655.40"
35,2025-02-06,204.00,208.00,203.10,204.00,-0.97,"181,564.00","37,227,086.60"
36,2025-02-05,206.00,207.90,204.00,206.00,0.98,"181,201.00","37,356,582.20"
37,2025-02-04,204.00,207.90,203.00,204.00,-0.73,"153,544.00","31,448,822.84"
38,2025-02-03,207.00,211.20,205.10,205.50,0.00,"259,488.00","53,795,251.80"
39,2025-02-02,197.90,207.50,197.90,205.50,4.85,"278,060.00","56,785,707.20"
40,2025-01-28,199.60,199.60,194.30,196.00,0.10,"108,326.00","21,250,050.80"
41,2025-01-27,196.00,199.40,194.30,195.80,-0.61,"88,629.00","17,386,528.80"
42,2025-01-26,197.00,199.20,196.00,197.00,-0.15,"94,563.00","18,636,757.50"
43,2025-01-23,200.90,202.50,197.10,197.30,-0.85,"102,706.00","20,574,075.30"
44,2025-01-22,193.00,200.00,193.00,199.00,2.58,"162,636.00","32,259,395.10"
45,2025-01-21,196.00,197.00,194.00,194.00,-0.51,"52,104.00","10,174,559.60"
46,2025-01-20,196.00,198.90,195.00,195.00,-0.51,"70,611.00","13,914,866.30"
47,2025-01-19,194.10,198.90,194.10,196.00,0.98,"76,797.00","15,056,435.90"
48,2025-01-16,194.00,197.90,193.30,194.10,-0.46,"82,645.00","16,069,997.30"
49,2025-01-15,197.50,199.90,194.80,195.00,-1.27,"74,772.00","14,704,012.10"
50,2025-01-13,196.00,200.00,196.00,197.50,0.00,"69,911.00","13,798,054.70"
51,2025-01-12,200.50,202.00,197.10,197.50,-1.25,"70,363.00","13,967,676.20"
52,2025-01-09,201.00,203.00,199.00,200.00,-0.99,"94,552.00","18,949,035.90"
53,2025-01-08,207.00,207.00,201.00,202.00,-0.98,"62,920.00","12,742,898.40"
54,2025-01-07,206.00,206.80,201.00,204.00,0.10,"103,157.00","21,006,120.30"
55,2025-01-06,197.50,204.00,194.00,203.80,4.03,"157,401.00","31,532,751.30"
56,2025-01-05,195.00,198.00,193.40,195.90,1.24,"71,429.00","13,952,063.20"
57,2025-01-02,195.00,196.20,192.00,193.50,-0.77,"56,043.00","10,870,368.80"
58,2025-01-01,194.00,196.00,193.00,195.00,0.52,"47,886.00","9,303,652.30"
59,2024-12-31,196.40,196.40,191.50,194.00,-1.22,"132,900.00","25,670,723.80"
60,2024-12-29,199.00,200.00,196.00,196.40,-1.85,"87,959.00","17,344,009.50"
61,2024-12-26,203.00,204.00,200.10,200.10,-1.91,"65,258.00","13,168,533.60"
62,2024-12-24,205.90,206.80,202.10,204.00,0.00,"91,390.00","18,724,337.30"
63,2024-12-23,196.00,204.00,196.00,204.00,4.72,"175,196.00","35,134,568.80"
64,2024-12-22,198.10,200.00,193.00,194.80,-1.62,"103,240.00","20,232,562.20"
65,2024-12-19,201.10,202.50,197.00,198.00,-1.49,"134,390.00","26,657,906.00"
66,2024-12-18,203.90,204.90,200.00,201.00,-0.50,"108,059.00","21,809,662.70"
67,2024-12-17,204.00,204.90,200.30,202.00,-0.44,"123,315.00","24,969,537.90"
68,2024-12-16,207.50,207.90,202.00,202.90,-2.22,"153,889.00","31,333,855.20"
69,2024-12-12,213.00,213.00,207.20,207.50,-2.17,"118,002.00","24,703,077.22"
70,2024-12-11,208.00,212.20,207.10,212.10,1.97,"109,697.00","22,968,600.00"
71,2024-12-10,208.00,212.00,207.00,208.00,0.00,"81,783.00","17,031,885.80"
72,2024-12-09,209.00,212.50,207.00,208.00,-0.38,"134,912.00","28,194,947.60"
73,2024-12-08,211.10,212.00,207.10,208.80,-1.51,"171,185.00","35,766,676.20"
74,2024-12-05,217.00,217.90,211.80,212.00,-1.85,"176,101.00","37,682,910.20"
75,2024-12-04,215.00,221.00,212.50,216.00,1.65,"377,685.00","82,262,081.50"
76,2024-12-03,212.90,217.00,211.00,212.50,0.71,"211,563.00","45,348,788.70"
77,2024-12-02,212.00,216.00,210.00,211.00,0.48,"133,597.00","28,490,402.70"
78,2024-12-01,209.00,211.90,206.00,210.00,-1.18,"106,088.00","22,209,469.00"
79,2024-11-28,217.50,218.60,212.00,212.50,-1.39,"118,283.00","25,231,188.80"
80,2024-11-27,215.00,217.90,213.00,215.50,1.17,"136,758.00","29,595,695.60"
81,2024-11-26,211.00,215.00,210.00,213.00,2.40,"147,725.00","31,490,151.50"
82,2024-11-25,210.00,211.40,206.00,208.00,0.34,"115,730.00","24,169,633.20"
83,2024-11-24,209.10,213.00,207.00,207.30,-1.52,"131,436.00","27,561,666.00"
84,2024-11-21,214.90,217.00,209.00,210.50,-2.05,"205,029.00","43,297,655.10"
85,2024-11-20,214.00,215.00,210.00,214.90,0.75,"163,176.00","34,856,082.00"
86,2024-11-19,216.10,219.70,212.10,213.30,-1.71,"204,463.00","43,997,353.90"
87,2024-11-17,220.30,224.70,217.00,217.00,0.46,"249,732.00","55,082,241.20"
88,2024-11-14,215.00,219.70,214.00,216.00,0.51,"210,916.00","45,824,829.10"
89,2024-11-13,219.00,219.50,214.00,214.90,-1.42,"126,478.00","27,416,676.20"
