S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,248.90,250.00,240.20,242.40,-1.19,"87,082.00","21,223,324.00"
2,2025-03-30,236.00,250.00,234.30,245.32,3.91,"184,871.00","45,252,834.60"
3,2025-03-27,237.40,237.40,233.00,236.10,1.44,"94,911.00","22,349,585.80"
4,2025-03-26,232.00,235.00,227.50,232.75,2.32,"59,757.00","13,866,906.30"
5,2025-03-25,230.00,233.90,227.10,227.47,-3.04,"121,168.00","27,748,143.30"
6,2025-03-24,229.00,237.90,227.00,234.61,2.32,"109,888.00","25,694,818.10"
7,2025-03-23,243.00,243.00,228.00,229.30,-3.83,"177,445.00","41,086,647.70"
8,2025-03-20,244.90,244.90,237.50,238.43,-1.43,"81,378.00","19,443,963.00"
9,2025-03-19,244.00,247.80,240.00,241.90,-0.66,"69,185.00","16,737,932.20"
10,2025-03-18,247.00,250.00,243.10,243.50,-1.02,"66,553.00","16,324,232.00"
11,2025-03-17,249.80,249.80,243.10,246.00,0.00,"100,337.00","24,609,774.80"
12,2025-03-16,250.00,253.00,245.10,246.00,-1.44,"113,599.00","28,106,511.40"
13,2025-03-12,249.90,252.00,245.50,249.60,1.88,"154,256.00","38,401,233.10"
14,2025-03-11,250.00,251.00,243.00,245.00,-1.80,"158,659.00","39,106,810.70"
15,2025-03-10,256.30,256.30,247.30,249.50,-1.11,"146,041.00","36,733,319.50"
16,2025-03-09,260.00,260.00,252.10,252.30,-2.96,"132,313.00","33,584,885.70"
17,2025-03-06,259.90,261.00,253.00,260.00,0.93,"198,622.00","51,221,327.60"
18,2025-03-05,258.00,264.10,255.10,257.60,-0.31,"177,834.00","46,076,133.00"
19,2025-03-04,263.00,268.20,256.00,258.40,-0.69,"291,280.00","76,469,485.10"
20,2025-03-03,269.20,273.00,260.00,260.20,-2.91,"252,809.00","66,471,619.50"
21,2025-03-02,266.00,268.80,260.10,268.00,2.33,"309,970.00","82,018,509.60"
22,2025-02-27,254.90,262.80,251.00,261.90,4.22,"360,274.00","93,166,818.30"
23,2025-02-25,251.00,254.00,248.90,251.30,0.12,"151,789.00","38,217,056.50"
24,2025-02-24,249.90,254.20,246.00,251.00,1.78,"230,363.00","57,540,335.30"
25,2025-02-23,244.10,251.00,243.00,246.60,-0.96,"175,466.00","43,443,740.30"
26,2025-02-20,247.90,256.00,247.90,249.00,-1.54,"188,310.00","46,910,547.40"
27,2025-02-18,248.70,263.00,248.70,252.90,-0.28,"275,873.00","69,491,983.40"
28,2025-02-17,251.00,259.80,251.00,253.60,-0.90,"182,779.00","46,826,238.80"
29,2025-02-16,250.00,260.00,250.00,255.90,0.31,"171,036.00","43,973,260.40"
30,2025-02-13,263.00,265.00,255.10,255.10,-1.92,"195,294.00","50,581,034.20"
31,2025-02-12,255.00,266.00,254.10,260.10,2.04,"264,418.00","69,207,983.50"
32,2025-02-11,255.00,257.90,251.00,254.90,0.35,"268,719.00","68,353,684.60"
33,2025-02-10,265.70,265.70,252.00,254.00,-2.50,"335,705.00","86,233,252.70"
34,2025-02-09,275.20,275.20,259.90,260.50,-3.48,"446,197.00","117,467,303.80"
35,2025-02-06,276.00,276.00,268.00,269.90,-0.26,"465,257.00","126,050,371.10"
36,2025-02-05,273.00,279.80,270.00,270.60,0.71,"725,007.00","199,143,376.10"
37,2025-02-04,253.40,272.80,248.50,268.70,6.25,"973,479.00","254,063,134.60"
38,2025-02-03,250.30,258.40,246.30,252.90,-0.16,"397,667.00","100,081,151.70"
39,2025-02-02,246.10,254.00,246.10,253.30,4.97,"505,095.00","126,466,992.10"
40,2025-01-28,232.00,242.50,232.00,241.30,2.90,"229,415.00","54,821,391.00"
41,2025-01-27,238.00,238.00,231.10,234.50,0.21,"134,848.00","31,658,018.60"
42,2025-01-26,237.70,238.90,231.40,234.00,-0.43,"131,175.00","30,696,295.20"
43,2025-01-23,238.00,239.00,234.00,235.00,-0.42,"153,273.00","36,235,757.80"
44,2025-01-22,232.80,238.00,230.00,236.00,2.65,"188,784.00","44,306,266.50"
45,2025-01-21,236.10,236.10,228.10,229.90,-0.69,"94,577.00","21,866,996.90"
46,2025-01-20,231.30,232.80,228.00,231.50,2.03,"119,722.00","27,581,848.30"
47,2025-01-19,231.00,231.00,225.00,226.90,-0.04,"83,041.00","18,902,795.00"
48,2025-01-16,233.00,233.00,226.00,227.00,-1.26,"74,636.00","16,988,389.70"
49,2025-01-15,229.00,235.60,227.00,229.90,0.57,"88,011.00","20,264,331.30"
50,2025-01-13,234.00,234.00,227.00,228.60,-2.31,"98,787.00","22,665,354.10"
51,2025-01-12,236.00,236.50,231.00,234.00,-0.81,"68,317.00","15,951,049.20"
52,2025-01-09,239.70,239.70,230.00,235.90,0.38,"277,759.00","64,770,634.80"
53,2025-01-08,240.00,240.00,233.00,235.00,-0.42,"78,658.00","18,455,944.70"
54,2025-01-07,240.00,240.00,232.00,236.00,-0.42,"151,110.00","35,750,766.50"
55,2025-01-06,233.00,237.40,227.00,237.00,3.22,"159,855.00","37,460,884.50"
56,2025-01-05,220.10,229.60,220.10,229.60,2.50,"115,688.00","26,068,771.70"
57,2025-01-02,225.00,225.00,221.00,224.00,1.08,"45,049.00","10,068,898.20"
58,2025-01-01,222.00,224.00,220.00,221.60,0.32,"70,895.00","15,696,405.00"
59,2024-12-31,228.80,228.80,218.00,220.90,-1.56,"111,521.00","24,621,527.20"
60,2024-12-29,226.50,230.90,224.00,224.40,-2.39,"113,721.00","25,743,709.20"
61,2024-12-26,228.30,235.00,228.30,229.90,-1.16,"71,820.00","16,550,854.00"
62,2024-12-24,228.00,236.60,228.00,232.60,0.69,"115,125.00","26,940,497.80"
63,2024-12-23,229.50,231.00,225.00,231.00,2.67,"86,207.00","19,724,235.00"
64,2024-12-22,228.00,229.00,222.00,225.00,0.63,"107,737.00","24,259,533.40"
65,2024-12-19,234.00,234.00,223.60,223.60,-2.78,"118,536.00","26,768,490.20"
66,2024-12-18,236.60,236.60,229.00,230.00,-0.86,"144,823.00","33,400,934.30"
67,2024-12-17,237.00,237.00,229.60,232.00,-0.85,"113,002.00","26,423,192.20"
68,2024-12-16,237.30,239.90,232.00,234.00,-3.03,"158,036.00","37,097,036.20"
69,2024-12-12,246.00,248.00,239.00,241.30,-1.91,"143,021.00","34,549,561.00"
70,2024-12-11,241.00,246.00,237.40,246.00,3.02,"117,992.00","28,552,762.70"
71,2024-12-10,240.00,244.00,236.50,238.80,-0.13,"116,921.00","28,001,767.00"
72,2024-12-09,239.00,248.10,238.30,239.10,-1.60,"143,905.00","34,821,956.60"
73,2024-12-08,250.00,255.00,240.10,243.00,-2.41,"218,250.00","53,306,258.60"
74,2024-12-05,256.00,258.10,247.70,249.00,-2.35,"226,474.00","57,086,875.50"
75,2024-12-04,249.00,259.50,248.30,255.00,2.70,"393,873.00","100,390,981.40"
76,2024-12-03,253.90,255.00,248.00,248.30,-0.28,"242,745.00","61,007,017.40"
77,2024-12-02,250.00,258.00,247.00,249.00,-0.40,"369,556.00","93,276,610.00"
78,2024-12-01,247.70,253.90,243.00,250.00,-1.07,"331,471.00","82,305,548.40"
79,2024-11-28,260.00,263.00,251.50,252.70,-2.62,"387,264.00","98,753,371.20"
80,2024-11-27,252.00,260.00,249.00,259.50,4.59,"650,676.00","166,269,481.20"
81,2024-11-26,243.70,251.80,240.00,248.10,3.76,"265,043.00","65,108,254.10"
82,2024-11-25,244.00,244.00,235.60,239.10,-0.38,"315,981.00","75,608,434.80"
83,2024-11-24,245.00,249.60,238.00,240.00,-3.23,"483,802.00","117,435,320.80"
84,2024-11-21,259.90,259.90,248.00,248.00,-2.71,"725,097.00","183,001,392.50"
