S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-09,661.00,690.00,650.00,680.99,2.90,"5,053.00","3,423,627.00"
2,2025-04-08,674.9,674.9,650.7,661.77,-0.11,"3,022.00","1,980,230.00"
3,2025-04-07,664.0,677.0,651.0,662.51,-2.16,"6,097.00","4,041,326.70"
4,2025-04-03,700.0,700.0,667.0,677.17,-1.79,"11,001.00","7,431,821.20"
5,2025-04-02,699.7,699.7,677.0,689.52,0.46,"2,638.00","1,813,212.80"
6,2025-04-01,705.0,705.0,670.3,686.33,-0.7,"5,950.00","4,063,151.20"
7,2025-03-30,690.0,718.0,686.0,691.2,2.13,"6,924.00","4,799,348.00"
8,2025-03-27,666.0,679.8,655.0,676.81,1.48,"5,933.00","3,964,581.60"
9,2025-03-26,664.0,667.3,642.0,666.93,1.93,"4,505.00","2,954,127.30"
10,2025-03-25,658.3,671.4,640.0,654.32,-2.58,"9,385.00","6,114,089.00"
11,2025-03-24,675.0,675.0,656.6,671.68,0.63,"4,942.00","3,282,256.20"
12,2025-03-23,670.0,680.0,655.4,667.5,-1.02,"11,303.00","7,545,219.10"
13,2025-03-20,693.0,693.0,667.5,674.39,-0.81,"6,269.00","4,212,784.90"
14,2025-03-19,680.7,686.0,666.0,679.9,-0.57,"19,213.00","12,995,989.00"
15,2025-03-18,693.0,702.0,681.5,683.8,-1.6,"5,378.00","3,705,433.60"
16,2025-03-17,705.0,735.0,683.2,694.9,-0.01,"15,398.00","10,744,840.00"
17,2025-03-16,714.0,714.0,687.1,695.0,-2.66,"8,535.00","5,944,783.00"
18,2025-03-12,698.1,715.0,698.1,714.0,0.85,"4,525.00","3,199,592.70"
19,2025-03-11,714.5,734.0,708.0,708.0,-2.88,"44,514.00","31,944,291.00"
20,2025-03-10,747.0,749.9,715.0,729.0,-1.35,"9,808.00","7,070,080.60"
21,2025-03-09,711.0,744.5,711.0,739.0,2.21,"10,278.00","7,457,354.50"
22,2025-03-06,735.0,748.0,715.1,723.0,-1.63,"5,079.00","3,690,123.00"
23,2025-03-05,725.3,739.7,710.8,735.0,-0.68,"22,021.00","15,944,208.80"
24,2025-03-04,770.0,781.0,730.1,740.0,-2.25,"15,290.00","11,341,524.50"
25,2025-03-03,770.0,770.2,741.0,757.0,-1.17,"28,640.00","21,667,002.00"
26,2025-03-02,766.0,775.0,755.1,766.0,0.0,"15,830.00","12,099,257.60"
27,2025-02-27,765.0,779.0,755.0,766.0,0.13,"15,678.00","12,009,368.00"
28,2025-02-25,753.5,781.9,750.0,765.0,-0.39,"17,062.00","12,968,375.50"
29,2025-02-24,750.1,790.0,750.1,768.0,0.66,"34,954.00","27,012,685.30"
30,2025-02-23,770.0,798.0,760.0,763.0,-2.68,"32,342.00","25,104,053.60"
31,2025-02-20,790.0,810.0,782.0,784.0,-2.0,"22,712.00","17,982,374.60"
32,2025-02-18,807.0,830.0,800.0,800.0,-2.44,"27,461.00","22,342,787.40"
33,2025-02-17,820.0,831.0,814.1,820.0,0.74,"94,017.00","77,133,315.10"
34,2025-02-16,809.0,825.9,809.0,814.0,-0.12,"42,062.00","34,384,959.70"
35,2025-02-13,797.0,818.0,772.3,815.0,3.43,"62,784.00","50,124,239.80"
36,2025-02-12,780.0,797.0,776.0,788.0,0.25,"37,894.00","29,665,157.50"
37,2025-02-11,770.0,804.0,770.0,786.0,0.77,"28,688.00","22,437,896.20"
38,2025-02-10,770.0,800.0,765.6,780.0,-0.13,"46,454.00","36,315,929.40"
39,2025-02-09,785.0,815.0,780.1,781.0,-2.36,"25,372.00","20,052,693.80"
40,2025-02-06,800.0,823.0,792.0,799.9,-1.85,"36,461.00","29,393,706.50"
41,2025-02-05,838.0,838.0,810.6,815.0,-1.69,"53,556.00","43,856,285.50"
42,2025-02-04,800.0,838.0,798.0,829.0,4.02,"65,319.00","53,676,806.30"
43,2025-02-03,796.6,811.0,782.0,797.0,2.05,"85,842.00","68,566,648.80"
44,2025-02-02,770.0,790.0,770.0,781.0,1.43,"91,543.00","71,220,653.90"
45,2025-01-28,769.2,780.0,765.0,770.0,-1.79,"47,884.00","37,065,644.80"
46,2025-01-27,778.3,810.0,775.5,784.0,-1.13,"50,246.00","39,841,575.10"
47,2025-01-26,766.0,800.0,750.0,793.0,3.52,"175,575.00","134,449,146.70"
48,2025-01-23,755.0,769.0,751.0,766.0,1.46,"40,725.00","30,911,553.60"
49,2025-01-22,730.0,765.0,730.0,755.0,3.42,"69,254.00","52,259,600.90"
50,2025-01-21,714.0,744.0,706.0,730.0,2.53,"53,754.00","39,063,318.90"
51,2025-01-20,725.5,725.5,706.0,712.0,0.0,"35,958.00","25,588,278.90"
52,2025-01-19,701.0,715.0,695.0,712.0,1.42,"39,750.00","28,170,286.50"
53,2025-01-16,700.0,719.7,694.3,702.0,0.14,"61,434.00","43,301,169.20"
54,2025-01-15,660.0,708.0,660.0,701.0,5.73,"29,446.00","20,254,667.30"
55,2025-01-13,687.0,687.0,655.0,663.0,-1.79,"30,645.00","20,414,155.50"
56,2025-01-12,695.0,695.0,675.0,675.1,-2.71,"8,807.00","6,004,347.50"
57,2025-01-09,703.0,714.0,685.0,693.9,-1.42,"26,847.00","18,651,565.50"
58,2025-01-08,700.0,725.0,695.0,703.9,0.06,"39,622.00","27,914,892.80"
59,2025-01-07,683.5,716.8,683.0,703.5,2.93,"43,636.00","30,644,652.20"
60,2025-01-06,697.0,703.8,679.3,683.5,-0.94,"44,983.00","31,037,880.10"
61,2025-01-05,667.0,700.0,658.1,690.0,2.37,"26,383.00","18,021,845.50"
