S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-12-10,"1,400.00","1,400.00","1,240.30","1,250.00",-9.30,"40,684.00","52,851,462.40"
2,2025-12-09,"1,324.00","1,417.00","1,225.10","1,378.10",6.1,"21,580.00","29,637,768.00"
3,2025-12-08,"1,204.50","1,298.90","1,113.00","1,298.90",9.99,"70,662.00","86,206,493.00"
4,2025-12-07,"1,095.00","1,180.90","1,095.00","1,180.90",9.99,"4,200.00","4,956,815.00"
5,2025-12-03,976.0,"1,073.60",976.0,"1,073.60",10.0,"1,330.00","1,424,998.00"
6,2025-12-02,905.0,976.0,905.0,976.0,10.0,"1,260.00","1,227,309.00"
7,2025-12-01,822.8,887.3,822.8,887.3,9.99,870.00,"770,368.00"
8,2025-11-30,748.0,806.7,748.0,806.7,9.99,"1,280.00","1,031,134.00"
9,2025-11-27,680.1,733.4,680.1,733.4,9.99,940.0,"687,023.00"
10,2025-11-26,618.3,666.8,618.3,666.8,10.0,680.0,"452,233.00"
11,2025-11-25,562.1,606.2,562.1,606.2,10.0,550.0,"332,326.00"
12,2025-11-24,511.0,551.1,511.0,551.1,10.0,400.0,"219,456.00"
13,2025-11-23,464.6,501.0,464.6,501.0,9.99,250.0,"124,354.00"
14,2025-11-20,422.3,455.5,422.3,455.5,10.0,200.0,"90,283.00"
15,2025-11-19,384.0,414.1,384.0,414.1,9.99,120.0,"48,951.00"
16,2025-11-18,349.1,376.5,349.1,376.5,9.99,110.0,"40,740.00"
17,2025-11-17,305.3,342.3,305.3,342.3,9.99,130.0,"43,516.00"
18,2025-11-16,293.4,311.2,293.4,311.2,6.07,60.0,"17,957.00"
