S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,535.00,535.00,519.00,521.00,-1.39,"10,372.00","5,426,371.70"
2,2025-03-30,527.00,540.00,521.00,528.34,1.27,"18,439.00","9,746,033.50"
3,2025-03-27,510.00,526.00,510.00,521.71,0.52,"3,750.00","1,957,327.50"
4,2025-03-26,519.80,522.00,507.70,519.00,1.43,"9,053.00","4,674,571.20"
5,2025-03-25,525.00,525.00,506.00,511.66,-2.66,"8,579.00","4,369,755.70"
6,2025-03-24,521.00,539.40,515.00,525.63,1.13,"12,318.00","6,436,920.30"
7,2025-03-23,537.10,550.00,519.00,519.77,-4.67,"18,199.00","9,599,390.00"
8,2025-03-20,557.50,557.50,545.00,545.24,-0.32,"15,054.00","8,276,203.10"
9,2025-03-19,544.00,549.90,535.00,547.00,0.55,"24,318.00","13,231,713.60"
10,2025-03-18,546.00,550.00,536.10,544.00,-0.37,"15,434.00","8,380,220.00"
11,2025-03-17,546.00,554.00,545.20,546.00,-0.46,"5,932.00","3,244,096.10"
12,2025-03-16,560.00,560.00,545.00,548.50,-0.27,"16,114.00","8,807,656.20"
13,2025-03-12,560.80,560.80,543.90,550.00,0.02,"13,379.00","7,355,588.50"
14,2025-03-11,565.00,576.00,545.00,549.90,-0.74,"20,912.00","11,535,294.50"
15,2025-03-10,574.00,581.00,550.00,554.00,-2.10,"30,523.00","17,167,917.00"
16,2025-03-09,561.10,572.00,560.10,565.90,0.87,"19,266.00","10,862,118.80"
17,2025-03-06,574.00,574.00,560.00,561.00,-0.71,"23,048.00","12,948,505.60"
18,2025-03-05,571.00,580.00,557.60,565.00,0.75,"26,282.00","14,860,629.90"
19,2025-03-04,577.00,597.70,560.00,560.80,-2.47,"47,880.00","27,238,909.20"
20,2025-03-03,590.10,590.10,570.50,575.00,-2.51,"25,628.00","14,818,686.00"
21,2025-03-02,590.00,595.00,583.10,589.80,1.34,"24,115.00","14,186,998.20"
22,2025-02-27,575.00,588.40,573.00,582.00,0.52,"22,075.00","12,790,644.40"
23,2025-02-25,579.00,585.00,575.00,579.00,0.66,"33,321.00","19,243,792.30"
24,2025-02-24,590.00,590.00,575.00,575.20,-1.22,"60,815.00","35,298,844.30"
25,2025-02-23,585.00,597.00,580.00,582.30,-0.97,"56,673.00","33,357,386.10"
26,2025-02-20,604.00,606.90,582.00,588.00,-1.18,"92,472.00","54,614,328.30"
27,2025-02-18,614.00,614.00,594.20,595.00,-2.31,"70,864.00","42,604,616.30"
28,2025-02-17,617.00,628.00,609.10,609.10,0.02,"110,130.00","67,985,895.80"
29,2025-02-16,590.00,615.00,581.00,609.00,4.46,"110,214.00","66,120,512.00"
30,2025-02-13,586.00,590.00,580.30,583.00,-1.19,"32,427.00","18,913,076.80"
31,2025-02-12,601.00,601.00,583.50,590.00,0.00,"56,309.00","33,157,404.80"
32,2025-02-11,597.70,602.00,585.00,590.00,0.68,"111,399.00","66,100,528.00"
33,2025-02-10,603.00,603.00,583.00,586.00,-2.32,"74,506.00","43,821,988.80"
34,2025-02-09,600.00,617.00,594.00,599.90,-1.49,"68,572.00","41,233,295.20"
35,2025-02-06,637.00,637.00,603.70,609.00,-2.64,"71,254.00","44,036,887.10"
36,2025-02-05,644.00,652.40,611.60,625.50,-1.04,"224,442.00","140,124,134.80"
37,2025-02-04,587.00,643.50,577.00,632.10,8.05,"188,121.00","116,275,369.90"
38,2025-02-03,573.00,586.00,565.60,585.00,4.07,"89,336.00","51,589,235.20"
39,2025-02-02,569.00,571.00,560.00,562.10,0.73,"64,184.00","36,285,022.20"
40,2025-01-28,555.00,580.00,555.00,558.00,0.54,"54,497.00","30,807,882.10"
41,2025-01-27,572.00,572.00,551.90,555.00,-1.40,"33,866.00","18,982,849.30"
42,2025-01-26,558.00,569.00,552.00,562.90,1.62,"57,276.00","32,099,906.70"
43,2025-01-23,565.00,565.00,548.00,553.90,-0.02,"35,612.00","19,659,104.80"
44,2025-01-22,540.00,558.00,533.00,554.00,2.59,"35,379.00","19,538,261.00"
45,2025-01-21,567.10,567.10,530.00,540.00,-2.88,"68,341.00","36,848,764.90"
46,2025-01-20,560.00,564.00,546.20,556.00,-0.25,"33,843.00","18,794,699.70"
47,2025-01-19,566.00,566.00,551.00,557.40,0.07,"40,108.00","22,393,545.30"
48,2025-01-16,551.10,560.00,550.70,557.00,1.64,"55,408.00","30,784,330.80"
49,2025-01-15,538.00,560.00,527.80,548.00,3.79,"65,048.00","35,509,952.80"
50,2025-01-13,545.70,545.70,520.00,528.00,-1.31,"18,291.00","9,616,378.40"
51,2025-01-12,555.00,555.00,530.50,535.00,-3.60,"24,480.00","13,199,964.60"
52,2025-01-09,536.00,555.00,526.10,555.00,3.87,"55,855.00","30,416,083.20"
53,2025-01-08,519.40,537.00,519.40,534.30,0.83,"16,870.00","8,986,956.40"
54,2025-01-07,521.60,539.00,511.00,529.90,-0.38,"12,377.00","6,499,135.30"
55,2025-01-06,492.20,535.00,492.10,531.90,6.38,"30,428.00","15,680,320.10"
56,2025-01-05,500.00,509.00,490.00,500.00,-0.74,"3,715.00","1,846,476.70"
57,2025-01-02,529.00,544.00,518.50,539.00,3.26,"24,940.00","13,196,524.20"
58,2025-01-01,515.00,522.00,513.00,522.00,1.36,"5,135.00","2,659,602.20"
59,2024-12-31,530.00,530.00,510.00,515.00,-1.89,"18,599.00","9,612,524.20"
60,2024-12-29,524.90,530.00,521.00,524.90,-0.55,"8,753.00","4,570,258.90"
61,2024-12-26,515.10,528.00,515.10,527.80,1.50,"7,754.00","4,076,999.40"
62,2024-12-24,536.00,537.00,520.00,520.00,-1.52,"16,620.00","8,783,544.80"
63,2024-12-23,522.00,532.60,512.00,528.00,-0.19,"6,810.00","3,574,605.80"
64,2024-12-22,517.10,532.00,517.10,529.00,0.38,"8,165.00","4,270,821.80"
65,2024-12-19,523.10,539.70,522.00,527.00,-0.57,"18,695.00","9,870,829.70"
66,2024-12-18,530.20,537.00,526.00,530.00,-0.56,"6,205.00","3,288,325.80"
67,2024-12-17,526.40,538.00,526.40,533.00,-0.74,"13,013.00","6,947,967.00"
68,2024-12-16,536.00,538.90,527.20,537.00,-0.04,"14,423.00","7,648,034.30"
69,2024-12-12,553.00,553.00,537.20,537.20,-1.61,"25,864.00","14,005,791.90"
70,2024-12-11,531.20,555.00,531.20,546.00,1.11,"21,187.00","11,470,160.50"
71,2024-12-10,531.00,541.00,527.50,540.00,0.95,"17,101.00","9,084,607.50"
72,2024-12-09,545.00,546.00,530.00,534.90,-0.94,"12,012.00","6,409,493.30"
73,2024-12-08,540.20,556.90,529.40,540.00,-1.82,"28,890.00","15,464,720.60"
74,2024-12-05,555.00,571.20,549.00,550.00,-2.83,"39,191.00","21,954,074.10"
75,2024-12-04,554.90,574.00,552.20,566.00,1.80,"64,940.00","36,486,635.70"
76,2024-12-03,551.00,560.00,543.10,556.00,1.48,"41,738.00","23,147,018.50"
77,2024-12-02,536.70,554.00,536.60,547.90,0.53,"46,622.00","25,611,124.30"
78,2024-12-01,537.00,548.00,536.10,545.00,-0.37,"35,057.00","18,971,911.20"
79,2024-11-28,555.00,558.70,546.00,547.00,-1.44,"28,329.00","15,631,139.90"
80,2024-11-27,559.90,560.00,550.00,555.00,0.00,"31,898.00","17,722,144.80"
81,2024-11-26,535.00,559.00,535.00,555.00,5.09,"58,311.00","32,095,941.70"
82,2024-11-25,524.00,533.00,523.00,528.10,-0.71,"7,479.00","3,947,319.40"
83,2024-11-24,520.30,537.00,520.20,531.90,0.36,"12,239.00","6,477,517.00"
84,2024-11-21,535.00,536.00,526.00,530.00,0.00,"16,935.00","8,993,792.20"
85,2024-11-20,516.00,532.00,516.00,530.00,1.34,"6,630.00","3,499,677.20"
86,2024-11-19,555.00,555.00,522.10,523.00,-4.56,"16,823.00","8,887,279.90"
87,2024-11-17,545.00,554.00,538.00,548.00,1.67,"40,085.00","21,841,344.20"
88,2024-11-14,530.00,561.00,518.00,539.00,3.65,"26,796.00","14,401,207.20"
89,2024-11-13,532.00,532.00,520.00,520.00,-2.26,"10,191.00","5,339,418.40"
90,2024-11-12,538.00,548.00,519.00,532.00,-1.10,"12,539.00","6,666,794.80"
