S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,885.00,890.00,870.00,882.32,-0.28,"2,964.00","2,614,925.90"
2,2025-04-01,885.00,890.00,870.00,882.32,-0.28,"2,964.00","2,614,925.90"
3,2025-03-30,895.00,908.00,883.00,884.82,0.07,"6,404.00","5,717,190.50"
4,2025-03-27,882.50,899.00,876.20,884.17,0.95,"6,132.00","5,432,541.60"
5,2025-03-26,865.00,879.80,863.00,875.83,1.46,"1,596.00","1,387,874.60"
6,2025-03-25,877.00,894.20,860.00,863.23,-3.22,"8,451.00","7,364,841.10"
7,2025-03-24,887.00,914.90,871.10,891.99,0.49,"4,261.00","3,798,520.30"
8,2025-03-23,906.00,906.00,885.10,887.63,-1.74,"7,790.00","6,955,820.90"
9,2025-03-20,909.00,911.00,900.00,903.32,-0.62,"3,529.00","3,191,424.20"
10,2025-03-19,907.00,915.00,906.00,909.00,-1.16,"2,661.00","2,419,038.00"
11,2025-03-18,906.00,933.00,900.00,919.70,1.51,"4,297.00","3,906,047.00"
12,2025-03-17,920.00,920.00,900.70,906.00,0.00,"2,807.00","2,544,806.00"
13,2025-03-16,917.00,920.00,901.30,906.00,-1.21,"6,107.00","5,550,427.50"
14,2025-03-12,927.00,930.00,917.00,917.10,-1.05,"4,173.00","3,844,528.50"
15,2025-03-11,945.00,945.00,923.00,926.80,-1.51,"6,799.00","6,311,216.50"
16,2025-03-10,947.00,965.70,936.00,941.00,-0.95,"10,332.00","9,777,391.60"
17,2025-03-09,964.00,970.00,948.00,950.00,-1.35,"7,110.00","6,792,133.40"
18,2025-03-06,947.10,990.00,947.10,963.00,0.63,"6,592.00","6,331,714.20"
19,2025-03-05,966.10,966.10,952.10,957.00,-0.94,"4,659.00","4,455,804.00"
20,2025-03-04,969.00,980.00,966.00,966.10,-1.01,"7,787.00","7,565,439.30"
21,2025-03-03,991.00,"1,001.90",976.00,976.00,-1.42,"11,354.00","11,183,072.30"
22,2025-03-02,960.00,"1,000.00",960.00,990.10,3.35,"14,162.00","13,957,608.40"
23,2025-02-27,950.00,960.00,941.20,958.00,1.05,"12,321.00","11,736,524.10"
24,2025-02-25,955.00,959.90,941.10,948.00,-0.11,"7,330.00","6,954,473.60"
25,2025-02-24,973.00,973.00,949.00,949.00,-0.52,"12,848.00","12,269,716.50"
26,2025-02-23,944.00,962.00,943.80,954.00,-0.93,"12,011.00","11,469,333.00"
27,2025-02-20,961.00,975.00,956.00,963.00,0.21,"9,337.00","9,031,508.90"
28,2025-02-18,979.70,979.70,960.00,961.00,0.05,"10,940.00","10,563,630.30"
29,2025-02-17,985.00,"1,011.00",960.10,960.50,-1.18,"10,434.00","10,155,610.50"
30,2025-02-16,972.00,985.00,953.00,972.00,0.00,"9,614.00","9,359,305.00"
31,2025-02-13,"1,008.70","1,008.70",965.40,972.00,-1.72,"11,236.00","11,057,263.00"
32,2025-02-12,985.00,"1,008.00",980.10,989.00,1.12,"18,904.00","18,833,638.50"
33,2025-02-11,951.00,985.00,951.00,978.00,2.84,"12,623.00","12,256,398.40"
34,2025-02-10,980.70,980.70,948.00,951.00,-1.96,"12,901.00","12,347,696.30"
35,2025-02-09,996.00,996.00,968.50,970.00,-0.82,"9,655.00","9,447,959.20"
36,2025-02-06,988.00,988.00,966.50,978.00,0.82,"9,155.00","8,919,744.00"
37,2025-02-05,955.10,991.00,953.50,970.00,0.94,"9,558.00","9,351,431.70"
38,2025-02-04,985.00,990.10,961.00,961.00,-3.13,"6,180.00","6,019,048.00"
39,2025-02-03,"1,015.00","1,019.00",975.10,992.00,-1.00,"12,289.00","12,174,570.80"
40,2025-02-02,"1,000.00","1,010.00",987.00,"1,002.00",1.21,"17,536.00","17,536,151.30"
41,2025-01-28,977.00,994.00,977.00,990.00,1.43,"8,077.00","7,983,747.60"
42,2025-01-27,"1,026.00","1,027.00",971.50,976.00,-3.08,"11,003.00","10,922,615.60"
43,2025-01-26,966.00,"1,015.00",952.10,"1,007.00",4.24,"27,999.00","28,123,145.20"
44,2025-01-23,965.00,985.00,940.00,966.00,-0.10,"15,210.00","14,679,518.00"
45,2025-01-22,960.00,979.00,956.00,967.00,0.83,"11,472.00","11,059,732.80"
46,2025-01-21,985.30,993.00,955.00,959.00,-2.64,"13,323.00","12,873,271.00"
47,2025-01-20,974.10,"1,008.00",974.10,985.00,1.76,"24,003.00","23,762,088.50"
48,2025-01-19,919.00,969.00,910.00,968.00,6.14,"19,524.00","18,461,259.90"
49,2025-01-16,901.00,922.90,901.00,912.00,0.00,"9,507.00","8,693,564.40"
50,2025-01-15,887.00,927.90,887.00,912.00,1.33,"6,719.00","6,163,802.10"
51,2025-01-13,895.20,910.00,895.20,900.00,0.56,"7,693.00","6,938,670.90"
