S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,324.00,330.00,322.00,323.22,-1.28,"30,187.00","9,783,463.30"
2,2025-03-30,320.00,331.60,317.50,327.42,2.14,"37,020.00","12,151,936.10"
3,2025-03-27,318.00,324.00,315.00,320.57,1.04,"28,567.00","9,109,068.10"
4,2025-03-26,315.00,323.00,313.00,317.27,0.59,"28,319.00","8,997,983.60"
5,2025-03-25,322.00,324.00,314.60,315.41,-3.20,"44,862.00","14,319,051.20"
6,2025-03-24,325.00,331.00,322.20,325.85,0.20,"28,008.00","9,149,588.10"
7,2025-03-23,329.00,335.00,324.10,325.19,-1.54,"40,567.00","13,283,317.20"
8,2025-03-20,330.00,332.00,329.00,330.28,-0.52,"33,640.00","11,125,820.20"
9,2025-03-19,333.00,337.80,331.00,332.00,-0.48,"23,392.00","7,787,973.30"
10,2025-03-18,331.00,336.90,331.00,333.60,0.45,"27,073.00","9,039,331.60"
11,2025-03-17,331.00,339.70,331.00,332.10,0.03,"35,095.00","11,742,417.60"
12,2025-03-16,332.00,336.00,330.00,332.00,-0.87,"36,887.00","12,248,329.90"
13,2025-03-12,333.00,335.00,330.10,334.90,0.57,"31,202.00","10,375,143.30"
14,2025-03-11,335.20,338.10,330.00,333.00,-1.19,"55,513.00","18,459,433.10"
15,2025-03-10,340.00,346.50,335.00,337.00,-0.88,"73,743.00","24,928,541.90"
16,2025-03-09,342.00,345.00,338.30,340.00,-1.45,"63,877.00","21,770,961.40"
17,2025-03-06,345.20,352.00,343.00,345.00,-0.06,"37,923.00","13,099,397.60"
18,2025-03-05,349.00,353.90,345.20,345.20,-2.73,"43,190.00","15,055,189.60"
19,2025-03-04,353.80,359.50,347.90,354.90,-0.87,"76,895.00","27,101,182.60"
20,2025-03-03,352.80,369.00,352.80,358.00,-0.56,"72,106.00","25,801,530.60"
21,2025-03-02,350.40,360.90,350.40,360.00,1.98,"80,541.00","28,805,957.30"
22,2025-02-27,342.00,355.00,341.00,353.00,3.22,"66,864.00","23,294,027.70"
23,2025-02-25,344.00,352.90,340.20,342.00,-0.87,"55,896.00","19,277,341.30"
24,2025-02-24,348.00,348.00,341.00,345.00,0.85,"58,340.00","20,053,209.50"
25,2025-02-23,342.10,347.00,340.10,342.10,-1.18,"75,116.00","25,819,871.70"
26,2025-02-20,345.00,351.00,345.00,346.20,-0.66,"50,610.00","17,571,419.90"
27,2025-02-18,350.10,354.80,348.00,348.50,-0.54,"68,529.00","24,048,536.60"
28,2025-02-17,350.00,356.00,349.20,350.40,-0.17,"62,240.00","21,938,003.50"
29,2025-02-16,355.00,355.00,348.00,351.00,-0.57,"105,961.00","37,211,661.40"
30,2025-02-13,354.00,361.00,353.00,353.00,-1.40,"66,939.00","23,822,899.90"
31,2025-02-12,369.10,369.10,356.50,358.00,-1.08,"78,561.00","28,247,513.60"
32,2025-02-11,359.20,364.00,357.10,361.90,1.03,"41,119.00","14,778,587.20"
33,2025-02-10,367.40,367.40,356.20,358.20,-0.56,"95,660.00","34,493,958.00"
34,2025-02-09,366.20,371.90,360.00,360.20,-1.64,"58,833.00","21,358,771.50"
35,2025-02-06,372.50,375.00,366.00,366.20,-3.02,"84,311.00","31,179,414.90"
36,2025-02-05,392.00,392.00,374.80,377.60,-5.60,"338,574.00","128,975,046.00"
37,2025-02-04,365.10,405.00,365.00,400.00,8.25,"218,291.00","81,422,983.70"
38,2025-02-03,383.10,385.00,363.60,369.50,-2.25,"130,744.00","48,857,436.00"
39,2025-02-02,374.00,383.00,368.00,378.00,0.83,"146,520.00","55,460,770.60"
40,2025-01-28,367.00,379.00,363.50,374.90,1.90,"172,190.00","64,302,573.90"
41,2025-01-27,350.30,375.30,350.30,367.90,4.52,"152,104.00","55,473,867.00"
