S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-07,566.00,580.00,566.00,567.13,-1.49,"1,417.00","808,739.10"
2,2025-04-03,598.0,598.0,575.0,575.68,-1.85,"9,952.00","5,787,084.00"
3,2025-04-02,597.9,598.9,585.0,586.56,0.02,"4,721.00","2,781,902.30"
4,2025-04-01,609.0,609.0,580.2,586.46,-1.94,"7,641.00","4,480,384.60"
5,2025-03-30,569.7,601.5,561.0,598.04,2.88,"9,642.00","5,677,033.10"
6,2025-03-27,565.0,585.0,560.0,581.29,4.64,"9,424.00","5,396,429.50"
7,2025-03-26,538.2,559.0,538.2,555.52,1.35,"3,450.00","1,900,402.00"
8,2025-03-25,592.0,592.0,545.4,548.12,-6.22,"9,512.00","5,313,431.70"
9,2025-03-24,589.9,591.0,569.1,584.48,0.79,"3,192.00","1,861,962.00"
10,2025-03-23,581.2,588.0,578.0,579.89,0.44,"13,654.00","7,934,983.80"
11,2025-03-20,567.5,593.0,567.5,577.33,-0.29,"3,776.00","2,184,412.00"
12,2025-03-19,585.0,586.0,575.0,579.0,-1.18,"4,663.00","2,708,216.30"
13,2025-03-18,599.0,599.0,580.0,585.9,-1.2,"1,676.00","983,209.50"
14,2025-03-17,595.0,605.0,580.0,593.0,-0.34,"7,328.00","4,297,535.70"
15,2025-03-16,583.1,611.0,583.1,595.0,0.0,"6,459.00","3,869,159.50"
16,2025-03-12,606.1,609.1,595.0,595.0,-1.94,"6,894.00","4,145,112.20"
17,2025-03-11,626.0,626.0,605.0,606.8,-1.17,"9,015.00","5,467,373.60"
18,2025-03-10,610.0,631.0,610.0,614.0,-0.81,"12,207.00","7,514,805.80"
19,2025-03-09,626.0,636.0,612.5,619.0,-0.96,"9,287.00","5,761,911.50"
20,2025-03-06,627.0,635.0,612.1,625.0,1.63,"7,226.00","4,482,850.00"
21,2025-03-05,610.0,622.0,609.7,615.0,0.0,"12,881.00","7,916,063.40"
22,2025-03-04,625.0,646.5,613.5,615.0,-3.15,"10,738.00","6,660,050.30"
23,2025-03-03,630.0,651.0,625.3,635.0,-0.63,"10,319.00","6,489,023.80"
24,2025-03-02,633.2,647.0,630.3,639.0,-0.31,"19,935.00","12,720,751.40"
25,2025-02-27,650.0,650.0,630.0,641.0,0.31,"5,605.00","3,555,413.40"
26,2025-02-25,645.0,671.0,633.0,639.0,-0.93,"11,585.00","7,435,095.70"
27,2025-02-24,650.0,660.0,638.1,645.0,0.78,"9,629.00","6,232,274.00"
28,2025-02-23,649.0,650.0,636.0,640.0,-1.39,"15,314.00","9,817,487.90"
29,2025-02-20,660.3,670.0,649.0,649.0,-1.67,"17,877.00","11,742,534.30"
30,2025-02-18,660.0,685.0,660.0,660.0,-0.06,"11,228.00","7,464,478.10"
31,2025-02-17,678.0,691.0,660.1,660.4,-2.16,"18,018.00","12,037,141.90"
32,2025-02-16,672.0,695.0,665.7,675.0,0.49,"8,777.00","5,938,021.10"
33,2025-02-13,672.1,691.0,671.5,671.7,-1.94,"13,702.00","9,305,018.80"
34,2025-02-12,667.8,702.0,667.8,685.0,1.03,"16,422.00","11,314,920.10"
35,2025-02-11,663.0,714.0,663.0,678.0,2.26,"16,070.00","10,937,392.20"
36,2025-02-10,665.0,685.0,662.1,663.0,-1.54,"10,922.00","7,353,892.40"
37,2025-02-09,662.0,688.6,662.0,673.4,-0.21,"14,359.00","9,734,875.50"
38,2025-02-06,691.2,691.2,667.2,674.8,-0.46,"17,101.00","11,536,392.90"
39,2025-02-05,695.6,695.6,672.1,677.9,-0.6,"14,220.00","9,680,134.50"
40,2025-02-04,676.9,695.0,666.2,682.0,2.63,"25,932.00","17,729,277.20"
41,2025-02-03,680.8,690.0,658.7,664.5,-2.99,"25,307.00","17,006,740.80"
42,2025-02-02,701.2,701.2,672.0,685.0,-0.36,"29,946.00","20,652,233.40"
43,2025-01-28,700.0,700.0,684.0,687.5,-0.35,"18,408.00","12,662,497.30"
44,2025-01-27,693.0,709.7,682.4,689.9,-0.45,"29,194.00","20,403,126.00"
45,2025-01-26,661.0,701.5,653.0,693.0,6.78,"46,792.00","31,907,208.50"
46,2025-01-23,639.0,650.0,639.0,649.0,1.56,"12,462.00","8,016,494.00"
47,2025-01-22,649.0,652.0,627.1,639.0,0.0,"18,448.00","11,856,589.40"
48,2025-01-21,660.0,661.9,637.0,639.0,-1.68,"13,849.00","8,928,242.00"
49,2025-01-20,669.9,670.0,642.0,649.9,-1.96,"13,303.00","8,735,923.80"
50,2025-01-19,632.1,662.9,632.1,662.9,2.93,"27,084.00","17,682,000.30"
51,2025-01-16,625.0,649.9,625.0,644.0,2.06,"30,576.00","19,634,318.70"
52,2025-01-15,609.0,646.0,609.0,631.0,3.6,"16,529.00","10,368,680.20"
53,2025-01-13,620.0,622.0,605.0,609.1,-1.44,"14,462.00","8,904,165.00"
54,2025-01-12,648.0,648.0,613.5,618.0,-4.19,"14,114.00","8,874,797.30"
55,2025-01-09,643.0,659.0,634.9,645.0,-0.92,"35,605.00","22,952,930.10"
56,2025-01-08,663.0,663.0,640.0,651.0,-0.02,"28,032.00","18,266,043.80"
57,2025-01-07,645.2,655.0,631.0,651.1,0.91,"31,121.00","19,990,295.70"
58,2025-01-06,649.7,654.0,641.2,645.2,1.29,"28,588.00","18,546,299.70"
59,2025-01-05,624.7,639.0,613.0,637.0,3.92,"37,924.00","23,771,117.00"
60,2025-01-02,592.0,619.8,592.0,613.0,1.66,"19,155.00","11,728,351.40"
61,2025-01-01,580.0,610.0,576.0,603.0,3.08,"17,424.00","10,429,610.20"
62,2024-12-31,600.0,636.0,565.0,585.0,-3.47,"23,851.00","13,770,410.90"
63,2024-12-29,620.0,628.0,600.0,606.0,-2.32,"34,727.00","21,348,854.30"
64,2024-12-26,610.0,644.9,610.0,620.4,0.06,"36,453.00","22,739,191.80"
65,2024-12-24,603.0,630.0,603.0,620.0,0.81,"38,262.00","23,847,431.10"
66,2024-12-23,600.0,619.0,600.0,615.0,0.49,"13,455.00","8,238,982.70"
67,2024-12-22,609.0,633.0,588.0,612.0,1.32,"46,481.00","28,503,013.80"
68,2024-12-19,570.0,606.7,570.0,604.0,4.5,"47,755.00","28,217,410.30"
69,2024-12-18,566.0,598.0,563.0,578.0,0.71,"21,195.00","12,302,861.70"
70,2024-12-17,560.0,586.9,560.0,573.9,1.22,"26,256.00","14,997,680.20"
71,2024-12-16,568.0,581.0,545.1,567.0,-2.07,"23,342.00","13,246,482.40"
72,2024-12-12,601.0,609.0,578.3,579.0,-1.86,"22,772.00","13,373,380.20"
73,2024-12-11,579.3,590.0,557.0,590.0,3.87,"19,097.00","11,014,058.50"
74,2024-12-10,584.0,584.0,566.0,568.0,-0.87,"3,767.00","2,139,144.00"
75,2024-12-09,583.4,594.9,560.1,573.0,0.16,"11,604.00","6,673,471.10"
76,2024-12-08,563.7,592.0,563.7,572.1,-0.5,"14,077.00","8,149,804.80"
77,2024-12-05,592.0,592.8,573.0,575.0,-1.07,"9,898.00","5,766,297.00"
78,2024-12-04,579.0,609.9,579.0,581.2,-1.51,"20,888.00","12,430,981.20"
79,2024-12-03,565.1,619.0,565.1,590.1,2.57,"26,123.00","15,518,576.60"
80,2024-12-02,589.0,620.9,575.0,575.3,-4.28,"17,338.00","10,197,479.60"
81,2024-12-01,585.0,601.0,573.3,601.0,1.01,"14,174.00","8,332,804.40"
82,2024-11-28,625.0,634.0,595.0,595.0,-2.94,"14,880.00","9,027,852.00"
83,2024-11-27,620.0,637.0,602.1,613.0,-1.13,"30,936.00","19,086,528.20"
84,2024-11-26,595.0,622.0,585.3,620.0,2.31,"24,966.00","15,108,858.20"
85,2024-11-25,604.0,616.0,582.1,606.0,-1.3,"19,471.00","11,634,113.30"
86,2024-11-24,641.0,666.8,603.0,614.0,-2.32,"24,658.00","15,196,596.10"
87,2024-11-21,646.0,655.0,616.3,628.6,-0.99,"55,571.00","35,233,305.60"
88,2024-11-20,627.2,652.6,603.4,634.9,-0.78,"26,581.00","16,775,914.50"
89,2024-11-19,654.0,654.0,599.0,639.9,-0.34,"69,280.00","43,235,711.80"
90,2024-11-17,619.0,670.0,619.0,642.1,1.92,"61,376.00","39,679,377.60"
91,2024-11-14,622.0,645.0,601.1,630.0,3.28,"53,517.00","33,751,762.60"
92,2024-11-13,602.0,647.0,586.0,610.0,2.88,"60,937.00","37,533,803.90"
93,2024-11-12,546.0,592.9,535.1,592.9,10.0,"93,438.00","54,025,627.90"
94,2024-11-11,534.1,555.0,528.1,539.0,-1.08,"15,912.00","8,649,928.80"
95,2024-11-10,527.0,549.8,527.0,544.9,2.42,"24,665.00","13,344,741.50"
96,2024-11-06,526.0,536.5,518.0,532.0,1.14,"10,565.00","5,566,463.90"
97,2024-11-05,530.0,558.0,508.0,526.0,-2.01,"8,754.00","4,574,825.00"
98,2024-10-30,555.9,560.0,532.1,536.8,-2.4,"11,896.00","6,420,680.90"
99,2024-10-29,533.0,552.0,527.3,550.0,2.23,"19,831.00","10,846,244.10"
100,2024-10-28,483.2,542.3,483.2,538.0,9.13,"35,256.00","18,418,134.90"
101,2024-10-27,499.8,509.7,484.1,493.0,0.61,"7,257.00","3,553,758.90"
102,2024-10-24,479.0,498.0,479.0,490.0,0.35,"7,582.00","3,713,543.80"
103,2024-10-23,501.8,505.0,487.5,488.3,-0.75,"6,020.00","2,946,357.00"
104,2024-10-22,480.0,505.0,479.2,492.0,2.5,"7,073.00","3,457,308.80"
105,2024-10-21,486.1,490.0,473.0,480.0,-2.83,"9,318.00","4,483,490.70"
106,2024-10-20,490.0,499.0,480.6,494.0,-0.6,"8,475.00","4,163,701.60"
107,2024-10-17,505.7,509.0,485.0,497.0,0.24,"9,825.00","4,910,979.20"
108,2024-10-16,490.1,506.9,490.1,495.8,-0.44,"6,120.00","3,068,858.10"
109,2024-10-15,501.7,501.7,483.4,498.0,1.22,"1,269.00","625,195.60"
110,2024-10-09,485.0,504.9,485.0,492.0,0.61,"2,554.00","1,263,994.10"
111,2024-10-08,508.0,508.0,479.4,489.0,-2.0,"2,650.00","1,302,793.60"
112,2024-10-07,500.0,509.7,490.0,499.0,-0.16,"4,323.00","2,149,692.70"
113,2024-10-06,504.5,512.9,486.0,499.8,1.03,"5,195.00","2,560,970.70"
114,2024-10-02,507.9,507.9,484.1,494.7,-0.86,"3,500.00","1,710,316.60"
