S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,331.00,334.90,320.00,327.09,-1.29,"38,138.00","12,389,408.30"
2,2025-03-30,321.00,335.00,319.00,331.36,2.94,"104,329.00","34,326,748.70"
3,2025-03-27,312.00,323.10,311.30,321.91,2.75,"43,977.00","14,061,884.60"
4,2025-03-26,300.50,314.90,300.50,313.30,2.20,"36,733.00","11,409,139.70"
5,2025-03-25,308.70,314.30,303.30,306.56,-2.62,"63,163.00","19,405,272.10"
6,2025-03-24,305.00,318.00,304.20,314.82,1.42,"40,073.00","12,598,636.70"
7,2025-03-23,326.00,327.80,310.00,310.40,-3.56,"62,214.00","19,498,044.90"
8,2025-03-20,325.00,336.80,320.00,321.86,-2.76,"55,587.00","17,981,680.90"
9,2025-03-19,328.10,335.00,325.40,331.00,-0.72,"25,318.00","8,305,393.40"
10,2025-03-18,342.90,342.90,327.40,333.40,-1.01,"57,221.00","18,971,484.70"
11,2025-03-17,343.00,343.00,330.60,336.80,-0.36,"31,099.00","10,403,819.30"
12,2025-03-16,343.50,348.00,331.10,338.00,-2.03,"77,885.00","26,177,659.60"
13,2025-03-12,335.00,345.00,332.30,345.00,2.07,"48,906.00","16,567,779.50"
14,2025-03-11,345.00,345.00,331.00,338.00,-0.50,"49,821.00","16,607,415.60"
15,2025-03-10,338.60,354.90,330.00,339.70,-0.93,"111,916.00","37,691,998.00"
16,2025-03-09,340.60,349.80,338.00,342.90,-0.58,"95,911.00","32,800,533.30"
17,2025-03-06,345.60,353.00,342.10,344.90,-0.89,"55,981.00","19,341,513.80"
18,2025-03-05,345.50,354.80,344.10,348.00,-0.26,"64,804.00","22,502,641.40"
19,2025-03-04,355.10,360.00,345.00,348.90,-1.75,"114,575.00","40,136,201.40"
20,2025-03-03,360.00,367.50,350.00,355.10,-1.63,"109,439.00","38,882,087.20"
21,2025-03-02,356.00,366.90,350.60,361.00,1.40,"67,021.00","24,116,351.40"
22,2025-02-27,355.80,361.00,340.00,356.00,2.01,"79,911.00","28,104,642.50"
23,2025-02-25,342.10,351.00,342.10,349.00,1.01,"36,032.00","12,495,715.90"
24,2025-02-24,345.00,365.00,341.30,345.50,0.29,"96,034.00","33,322,449.20"
25,2025-02-23,348.10,348.10,338.10,344.50,-2.10,"59,254.00","20,373,480.10"
26,2025-02-20,352.00,357.90,342.80,351.90,-0.03,"67,946.00","23,630,442.30"
27,2025-02-18,367.00,367.00,342.00,352.00,-2.20,"114,399.00","40,032,921.60"
28,2025-02-17,369.20,369.20,354.00,359.90,-0.58,"62,276.00","22,336,427.60"
29,2025-02-16,359.00,367.20,357.00,362.00,-0.55,"78,964.00","28,460,554.00"
30,2025-02-13,363.40,383.50,357.10,364.00,0.17,"76,850.00","27,772,143.40"
31,2025-02-12,370.00,370.00,358.10,363.40,0.11,"66,618.00","24,166,741.40"
32,2025-02-11,357.00,369.00,357.00,363.00,1.68,"90,684.00","32,743,020.70"
33,2025-02-10,363.10,373.00,355.00,357.00,-2.46,"154,455.00","55,614,876.20"
34,2025-02-09,375.00,384.00,365.10,366.00,-2.89,"90,952.00","33,887,372.20"
35,2025-02-06,363.50,384.00,363.50,376.90,1.65,"186,696.00","70,064,751.80"
36,2025-02-05,357.00,380.00,357.00,370.80,3.00,"118,084.00","43,243,778.10"
37,2025-02-04,362.10,374.90,358.20,360.00,-2.44,"59,722.00","21,671,161.90"
38,2025-02-03,379.80,387.00,363.00,369.00,-2.84,"194,026.00","71,982,273.20"
39,2025-02-02,373.00,391.00,373.00,379.80,1.77,"150,156.00","57,103,499.10"
40,2025-01-28,358.00,393.00,358.00,373.20,2.30,"195,658.00","72,985,319.30"
41,2025-01-27,356.60,371.30,356.60,364.80,0.27,"123,334.00","44,979,467.60"
42,2025-01-26,351.00,379.00,351.00,363.80,1.62,"118,247.00","43,445,734.30"
43,2025-01-23,364.00,364.00,351.00,358.00,0.25,"113,491.00","40,400,868.00"
44,2025-01-22,350.10,366.90,350.10,357.10,0.31,"94,345.00","34,036,827.10"
45,2025-01-21,373.00,373.00,355.00,356.00,-3.26,"110,420.00","39,847,851.30"
46,2025-01-20,368.70,374.50,356.00,368.00,1.71,"174,603.00","64,560,090.40"
47,2025-01-19,355.00,367.00,349.40,361.80,3.94,"160,047.00","57,724,572.60"
48,2025-01-16,350.00,355.90,342.10,348.10,0.03,"100,251.00","34,941,981.70"
49,2025-01-15,346.70,350.00,338.10,348.00,2.35,"71,807.00","24,794,555.90"
50,2025-01-13,343.40,349.00,335.20,340.00,-1.45,"84,060.00","28,602,942.00"
51,2025-01-12,357.00,359.00,340.00,345.00,-3.87,"126,316.00","43,930,597.10"
52,2025-01-09,360.50,367.50,353.00,358.90,1.53,"183,993.00","66,382,199.60"
53,2025-01-08,351.00,362.00,346.00,353.50,0.71,"88,933.00","31,456,537.00"
54,2025-01-07,333.00,353.00,332.10,351.00,5.41,"284,148.00","97,838,174.80"
