S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,696.00,701.00,683.10,691.20,-0.72,"11,144.00","7,748,193.80"
2,2025-03-30,699.00,713.00,686.10,696.18,1.54,"17,805.00","12,421,867.30"
3,2025-03-27,687.00,700.00,676.10,685.59,-0.21,"12,046.00","8,355,000.40"
4,2025-03-26,697.00,697.00,669.90,687.00,0.51,"11,365.00","7,815,506.50"
5,2025-03-25,690.10,702.70,673.30,683.51,-2.65,"24,473.00","16,927,951.00"
6,2025-03-24,680.00,705.00,680.00,702.15,1.42,"17,284.00","12,092,110.50"
7,2025-03-23,715.20,715.20,690.00,692.31,-2.96,"13,071.00","9,147,209.30"
8,2025-03-20,700.00,724.00,695.40,713.46,1.78,"21,805.00","15,524,305.30"
9,2025-03-19,702.00,715.70,700.20,701.00,-0.14,"22,020.00","15,462,818.30"
10,2025-03-18,692.40,712.90,692.40,702.00,1.01,"7,137.00","5,005,769.40"
11,2025-03-17,690.10,702.00,690.00,695.00,0.00,"10,371.00","7,228,018.00"
12,2025-03-16,688.70,702.00,688.70,695.00,-0.86,"28,232.00","19,679,093.60"
13,2025-03-12,700.00,707.00,695.40,701.00,0.00,"12,078.00","8,452,344.80"
14,2025-03-11,708.00,715.00,693.00,701.00,-0.28,"22,299.00","15,689,574.10"
15,2025-03-10,705.00,710.00,702.00,703.00,0.41,"26,123.00","18,456,544.40"
16,2025-03-09,695.10,710.00,695.10,700.10,-0.99,"25,087.00","17,653,190.50"
17,2025-03-06,715.00,729.00,695.00,707.10,-0.27,"13,256.00","9,413,838.80"
18,2025-03-05,707.30,715.00,701.30,709.00,-1.12,"15,495.00","10,973,622.60"
19,2025-03-04,725.00,735.00,707.20,717.00,0.21,"48,278.00","34,460,181.40"
20,2025-03-03,702.00,728.00,702.00,715.50,-0.07,"32,649.00","23,474,597.80"
21,2025-03-02,710.00,727.00,710.00,716.00,0.85,"17,727.00","12,706,080.80"
22,2025-02-27,723.00,724.00,706.00,710.00,-1.92,"17,944.00","12,803,692.20"
23,2025-02-25,716.60,731.00,716.60,723.90,-0.97,"19,809.00","14,271,641.20"
24,2025-02-24,751.80,754.00,723.00,731.00,-2.77,"23,706.00","17,385,907.80"
25,2025-02-23,735.00,761.00,724.00,751.80,0.24,"39,630.00","29,551,442.60"
26,2025-02-20,719.90,765.00,696.20,750.00,3.61,"44,127.00","31,989,304.90"
27,2025-02-18,695.10,732.00,695.10,723.90,2.10,"39,974.00","28,833,334.40"
28,2025-02-17,688.00,717.00,688.00,709.00,1.29,"27,916.00","19,877,695.50"
29,2025-02-16,711.70,714.90,691.60,700.00,0.27,"32,740.00","22,967,275.60"
30,2025-02-13,690.00,715.90,690.00,698.10,-0.84,"24,890.00","17,531,883.10"
31,2025-02-12,695.80,719.00,695.80,704.00,-0.85,"21,419.00","15,174,980.70"
32,2025-02-11,695.80,737.00,695.80,710.00,0.00,"19,847.00","14,110,017.00"
33,2025-02-10,707.10,735.60,707.10,710.00,-1.59,"28,269.00","20,215,239.80"
34,2025-02-09,680.00,745.00,680.00,721.50,4.11,"63,405.00","45,575,798.80"
35,2025-02-06,699.40,699.40,676.10,693.00,-0.01,"45,478.00","31,433,092.80"
36,2025-02-05,703.80,703.80,682.00,693.10,0.45,"37,833.00","26,135,412.10"
37,2025-02-04,685.90,699.00,675.30,690.00,1.32,"41,583.00","28,634,251.60"
38,2025-02-03,693.00,696.60,667.00,681.00,-0.29,"40,375.00","27,355,132.40"
39,2025-02-02,703.00,703.00,678.10,683.00,-1.01,"52,947.00","36,283,066.80"
40,2025-01-28,693.00,693.00,667.10,690.00,1.32,"37,249.00","25,369,076.60"
41,2025-01-27,683.40,694.50,670.00,681.00,1.64,"58,028.00","39,651,488.40"
42,2025-01-26,666.80,677.80,647.10,670.00,2.45,"41,162.00","27,520,994.70"
43,2025-01-23,639.00,668.00,639.00,654.00,0.31,"31,990.00","20,867,512.50"
44,2025-01-22,665.90,665.90,647.00,652.00,-0.29,"28,489.00","18,706,917.04"
45,2025-01-21,665.00,665.00,648.30,653.90,-0.17,"21,529.00","14,112,052.10"
46,2025-01-20,663.00,676.90,652.50,655.00,-1.65,"28,792.00","18,991,444.30"
47,2025-01-19,655.00,680.00,655.00,666.00,1.68,"48,813.00","32,677,978.00"
48,2025-01-16,659.90,664.90,647.00,655.00,1.06,"37,538.00","24,606,848.50"
49,2025-01-15,633.00,662.00,632.00,648.10,1.74,"23,832.00","15,492,171.70"
50,2025-01-13,641.00,655.00,634.00,637.00,-1.70,"24,616.00","15,800,811.60"
51,2025-01-12,641.50,657.00,641.00,648.00,-0.99,"18,333.00","11,873,810.00"
52,2025-01-09,678.00,682.00,644.00,654.50,-3.47,"36,639.00","24,210,815.50"
53,2025-01-08,666.00,694.00,655.00,678.00,2.03,"58,105.00","39,503,225.20"
54,2025-01-07,655.00,667.00,635.00,664.50,1.45,"70,061.00","45,335,563.40"
55,2025-01-06,640.50,655.50,627.00,655.00,4.30,"70,413.00","45,450,639.60"
56,2025-01-05,635.00,635.00,625.00,628.00,-0.35,"28,396.00","17,861,317.30"
57,2025-01-02,612.10,639.50,612.10,630.20,1.65,"59,999.00","37,895,737.20"
58,2025-01-01,620.50,634.90,611.00,620.00,1.14,"19,592.00","12,211,570.50"
59,2024-12-31,612.50,630.00,606.00,613.00,-1.92,"36,861.00","22,699,949.50"
60,2024-12-29,630.00,632.10,618.00,625.00,-0.24,"38,918.00","24,427,490.40"
61,2024-12-26,620.00,639.00,620.00,626.50,1.05,"29,623.00","18,729,296.80"
62,2024-12-24,637.00,640.00,620.00,620.00,-2.21,"22,664.00","14,237,745.60"
63,2024-12-23,628.70,635.00,623.50,634.00,1.44,"40,141.00","25,356,558.30"
64,2024-12-22,625.00,635.00,610.10,625.00,0.00,"37,433.00","23,400,583.70"
65,2024-12-19,620.10,656.00,618.50,625.00,-0.79,"17,073.00","10,664,715.50"
66,2024-12-18,618.00,677.00,618.00,630.00,0.00,"37,179.00","23,699,601.60"
67,2024-12-17,621.70,634.10,621.70,630.00,-0.16,"11,448.00","7,198,452.20"
68,2024-12-16,643.00,653.00,622.60,631.00,-3.66,"26,492.00","16,744,878.80"
69,2024-12-12,643.80,691.40,638.00,655.00,2.34,"59,931.00","39,421,341.40"
70,2024-12-11,616.00,647.00,616.00,640.00,3.90,"61,190.00","38,792,704.10"
71,2024-12-10,607.90,632.00,607.90,616.00,-0.69,"11,706.00","7,220,409.10"
72,2024-12-09,614.00,633.00,614.00,620.30,-0.35,"20,918.00","13,023,052.20"
73,2024-12-08,642.00,648.00,615.10,622.50,-1.19,"44,229.00","27,834,154.70"
74,2024-12-05,616.00,637.50,616.00,630.00,2.19,"49,225.00","30,601,732.00"
75,2024-12-04,620.00,653.00,616.50,616.50,-0.10,"40,390.00","25,741,461.50"
76,2024-12-03,614.00,630.00,603.10,617.10,2.47,"48,268.00","29,939,597.00"
77,2024-12-02,587.00,605.00,587.00,602.20,2.24,"37,632.00","22,622,519.20"
78,2024-12-01,595.00,607.00,585.00,589.00,-1.34,"40,354.00","24,091,855.00"
79,2024-11-28,607.00,620.00,592.00,597.00,-3.55,"26,651.00","16,155,279.30"
80,2024-11-27,631.00,641.50,615.10,619.00,-1.75,"40,652.00","25,385,686.00"
81,2024-11-26,604.00,632.00,586.00,630.00,5.92,"63,800.00","39,214,474.40"
82,2024-11-25,590.00,600.00,588.00,594.80,2.53,"28,576.00","16,933,648.90"
83,2024-11-24,576.30,585.00,566.00,580.10,2.67,"47,483.00","27,386,704.40"
84,2024-11-21,592.00,592.00,565.00,565.00,-2.75,"19,051.00","10,960,008.40"
85,2024-11-20,553.00,582.40,553.00,581.00,4.29,"14,220.00","8,071,869.70"
86,2024-11-19,588.20,600.00,557.10,557.10,-6.84,"27,636.00","16,047,465.10"
87,2024-11-17,597.00,610.00,591.00,598.00,0.17,"27,182.00","16,331,610.30"
88,2024-11-14,565.10,600.00,565.10,597.00,4.01,"35,948.00","21,193,986.00"
89,2024-11-13,555.00,580.00,555.00,574.00,1.83,"26,447.00","14,966,534.70"
90,2024-11-12,568.00,577.00,560.00,563.70,-0.41,"23,652.00","13,459,078.60"
91,2024-11-11,572.00,576.30,561.00,566.00,0.71,"45,759.00","26,059,533.50"
92,2024-11-10,552.00,567.10,541.00,562.00,1.83,"30,135.00","16,723,618.70"
93,2024-11-06,533.20,554.00,532.00,551.90,2.39,"10,155.00","5,487,777.80"
94,2024-11-05,530.00,551.40,526.40,539.00,0.73,"5,401.00","2,906,586.60"
95,2024-10-30,548.80,573.00,535.00,535.10,-4.45,"49,940.00","27,194,109.10"
96,2024-10-29,550.00,577.00,550.00,560.00,0.00,"15,712.00","8,818,640.30"
97,2024-10-28,556.50,589.50,549.10,560.00,2.64,"34,539.00","19,760,995.80"
98,2024-10-27,496.00,545.60,496.00,545.60,10.00,"73,036.00","38,488,429.90"
99,2024-10-24,502.80,503.70,488.00,496.00,0.61,"8,867.00","4,423,844.90"
100,2024-10-23,490.00,514.90,488.00,493.00,-1.20,"18,570.00","9,111,565.00"
101,2024-10-22,488.20,514.00,488.00,499.00,0.60,"4,058.00","1,997,310.00"
102,2024-10-21,525.30,525.30,490.10,496.00,-3.69,"17,361.00","8,611,578.10"
103,2024-10-20,519.50,550.00,494.90,515.00,-2.83,"28,382.00","14,609,057.10"
104,2024-10-17,539.00,540.00,512.00,530.00,0.00,"10,453.00","5,539,460.70"
105,2024-10-16,505.00,530.00,495.00,530.00,6.00,"17,729.00","9,154,627.10"
106,2024-10-15,506.90,506.90,487.30,500.00,0.60,"1,570.00","780,711.00"
107,2024-10-09,483.10,525.00,483.10,497.00,1.43,"7,977.00","3,910,116.10"
108,2024-10-08,517.00,517.00,485.00,490.00,-3.33,"5,192.00","2,556,931.90"
109,2024-10-07,498.00,506.90,492.10,506.90,3.45,"16,456.00","8,180,496.30"
110,2024-10-06,485.00,510.00,475.30,490.00,-0.81,"13,515.00","6,662,158.30"
111,2024-10-02,501.90,509.90,486.30,494.00,-1.20,"7,963.00","3,925,359.60"
112,2024-10-01,461.00,500.00,461.00,500.00,7.07,"9,608.00","4,725,180.50"
113,2024-09-30,457.00,467.00,457.00,467.00,2.19,"12,357.00","5,702,609.00"
114,2024-09-29,468.60,485.00,450.80,457.00,-4.39,"5,763.00","2,650,740.40"
115,2024-09-26,490.00,498.70,473.00,478.00,-0.83,"5,906.00","2,860,019.70"
116,2024-09-25,462.00,490.00,460.00,482.00,2.77,"5,376.00","2,564,091.60"
117,2024-09-24,490.00,499.00,469.00,469.00,-4.29,"11,906.00","5,630,950.40"
118,2024-09-23,500.00,505.00,490.00,490.00,-2.00,"9,496.00","4,712,504.90"
119,2024-09-22,514.00,515.00,499.00,500.00,-0.99,"9,071.00","4,582,857.90"
120,2024-09-18,509.00,520.00,501.60,505.00,-2.70,"11,392.00","5,805,169.00"
121,2024-09-16,545.70,545.70,513.00,519.00,-2.99,"12,595.00","6,553,257.20"
122,2024-09-15,576.00,576.00,535.00,535.00,-5.31,"39,105.00","21,563,816.50"
123,2024-09-12,534.90,570.00,530.00,565.00,7.62,"20,840.00","11,553,783.30"
124,2024-09-11,491.00,525.00,491.00,525.00,5.00,"31,886.00","16,127,687.00"
125,2024-09-10,530.00,530.40,499.00,500.00,-3.85,"19,012.00","9,629,949.80"
126,2024-09-09,530.10,534.00,515.50,520.00,-2.26,"12,601.00","6,625,747.40"
127,2024-09-08,530.10,550.00,527.30,532.00,-1.48,"15,559.00","8,324,566.90"
128,2024-09-05,550.00,560.00,538.10,540.00,-3.23,"19,790.00","10,737,310.20"
