S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-28,638.40,642.00,628.00,630.40,-1.54,"9,547.00","6,067,125.00"
2,2025-04-27,640.00,668.00,632.10,640.24,-0.33,"13,871.00","8,899,462.20"
3,2025-04-24,643.0,667.9,641.0,642.33,-1.98,"9,209.00","5,960,439.40"
4,2025-04-23,655.0,662.0,645.0,655.31,-1.28,"8,736.00","5,704,693.20"
5,2025-04-22,680.0,680.0,663.0,663.8,-0.57,"4,730.00","3,152,448.00"
6,2025-04-21,661.1,683.4,661.1,667.58,-0.51,"4,627.00","3,101,700.10"
7,2025-04-20,680.0,690.0,667.0,671.02,-3.25,"6,569.00","4,429,594.10"
8,2025-04-17,689.0,709.0,686.0,693.59,2.62,"22,822.00","15,953,526.80"
9,2025-04-16,681.0,722.0,655.1,675.88,1.14,"3,280.00","2,237,614.00"
10,2025-04-15,659.1,683.0,643.0,668.25,3.41,"11,150.00","7,369,632.00"
11,2025-04-13,653.1,666.0,642.0,646.24,-2.9,"18,659.00","12,125,079.40"
12,2025-04-10,668.0,679.0,661.0,665.53,-0.41,"6,450.00","4,305,167.00"
13,2025-04-09,675.0,677.7,662.0,668.3,0.76,"3,067.00","2,050,833.10"
14,2025-04-08,654.3,680.0,630.0,663.29,-0.57,"5,492.00","3,606,520.00"
15,2025-04-07,678.1,691.0,664.0,667.1,-3.24,"8,260.00","5,538,319.00"
16,2025-04-03,693.0,706.0,685.3,689.42,-2.07,"7,306.00","5,098,060.80"
17,2025-04-02,723.4,732.9,696.2,704.0,-0.74,"3,704.00","2,618,368.70"
18,2025-04-01,706.2,720.0,688.0,709.25,2.43,"6,579.00","4,595,218.70"
19,2025-03-30,673.2,717.0,673.2,692.45,1.59,"6,361.00","4,433,964.20"
20,2025-03-27,693.8,699.0,670.0,681.61,0.09,"11,325.00","7,669,066.10"
21,2025-03-26,661.1,683.0,661.1,680.97,3.06,"9,255.00","6,275,523.80"
22,2025-03-25,686.4,696.1,660.4,660.73,-5.66,"9,954.00","6,668,599.00"
23,2025-03-24,680.1,704.0,680.1,700.36,1.04,"5,772.00","4,037,690.50"
24,2025-03-23,705.1,706.0,681.5,693.12,-3.41,"14,261.00","9,926,541.60"
25,2025-03-20,710.0,720.0,701.0,717.62,-0.88,"10,116.00","7,203,425.00"
26,2025-03-19,723.0,728.9,700.0,724.0,0.14,"5,647.00","4,027,211.70"
27,2025-03-18,730.0,735.0,719.0,723.0,-1.4,"3,530.00","2,548,037.30"
28,2025-03-17,715.0,733.3,710.5,733.3,1.14,"5,802.00","4,173,082.90"
29,2025-03-16,720.0,730.0,702.0,725.0,-0.14,"10,660.00","7,584,707.50"
30,2025-03-12,706.0,728.3,706.0,726.0,0.83,"4,345.00","3,133,809.00"
31,2025-03-11,707.0,725.0,703.0,720.0,0.7,"12,480.00","8,908,867.70"
32,2025-03-10,736.9,745.0,700.1,715.0,-1.04,"17,007.00","12,170,870.70"
33,2025-03-09,741.0,759.0,717.0,722.5,-4.43,"15,394.00","11,266,566.60"
34,2025-03-06,753.2,768.0,750.0,756.0,-1.56,"9,986.00","7,551,847.00"
35,2025-03-05,739.0,779.2,730.0,768.0,3.43,"33,483.00","25,455,813.70"
36,2025-03-04,780.0,780.0,740.0,742.5,-3.32,"32,041.00","24,079,703.80"
37,2025-03-03,790.0,800.0,756.0,768.0,-1.54,"13,378.00","10,263,511.10"
38,2025-03-02,794.0,794.6,770.0,780.0,0.0,"20,581.00","16,095,762.40"
39,2025-02-27,785.0,809.0,780.0,780.0,-2.13,"40,670.00","32,291,037.90"
40,2025-02-25,755.0,817.0,755.0,797.0,4.46,"82,001.00","65,291,693.60"
41,2025-02-24,780.0,790.0,763.0,763.0,-2.18,"20,028.00","15,543,859.60"
42,2025-02-23,780.0,794.0,765.0,780.0,0.0,"37,125.00","29,123,279.40"
43,2025-02-20,755.6,794.4,755.6,780.0,1.17,"40,394.00","31,532,181.10"
44,2025-02-18,767.4,798.8,765.0,771.0,-1.53,"23,671.00","18,397,768.30"
45,2025-02-17,778.2,807.0,778.2,783.0,-1.39,"23,767.00","18,755,373.30"
46,2025-02-16,810.0,810.0,785.0,794.0,-0.77,"37,609.00","30,033,607.70"
47,2025-02-13,800.0,816.0,800.0,800.2,-0.1,"31,502.00","25,326,024.90"
48,2025-02-12,838.3,838.3,801.0,801.0,-2.54,"56,142.00","45,420,301.10"
49,2025-02-11,791.0,822.0,791.0,821.9,4.3,"74,827.00","60,641,903.10"
50,2025-02-10,761.5,795.0,761.5,788.0,1.42,"41,001.00","32,280,866.87"
51,2025-02-09,776.0,805.0,776.0,777.0,-1.71,"27,194.00","21,445,852.40"
52,2025-02-06,824.0,824.0,790.2,790.5,-2.25,"38,910.00","31,126,254.00"
53,2025-02-05,780.0,819.0,780.0,808.7,1.72,"47,541.00","38,176,493.90"
54,2025-02-04,807.0,821.0,781.3,795.0,0.38,"45,344.00","36,546,429.10"
55,2025-02-03,772.3,826.0,772.3,792.0,0.51,"43,811.00","34,905,440.14"
56,2025-02-02,822.0,837.4,784.0,788.0,-5.85,"112,946.00","91,281,303.50"
57,2025-01-28,839.0,844.0,815.2,837.0,-2.22,"68,816.00","56,778,196.90"
58,2025-01-27,856.0,890.4,824.0,856.0,1.99,"166,687.00","141,153,835.50"
59,2025-01-26,754.1,839.3,754.1,839.3,10.0,"200,674.00","163,180,885.40"
60,2025-01-23,780.0,795.0,761.0,763.0,-3.42,"60,582.00","46,607,496.80"
61,2025-01-22,790.5,805.0,780.0,790.0,1.94,"76,794.00","60,830,478.60"
62,2025-01-21,755.0,792.0,749.9,775.0,4.31,"205,830.00","158,362,686.90"
63,2025-01-20,713.1,748.6,713.1,743.0,3.92,"89,207.00","65,851,479.50"
64,2025-01-19,711.8,727.9,699.8,715.0,2.45,"68,288.00","48,795,065.72"
65,2025-01-16,699.7,715.0,690.0,697.9,1.0,"41,865.00","29,398,683.80"
66,2025-01-15,688.3,709.0,685.0,691.0,-1.13,"39,003.00","27,103,617.30"
67,2025-01-13,709.0,723.1,695.0,698.9,-3.17,"36,872.00","25,978,910.70"
68,2025-01-12,719.0,751.0,700.0,721.8,1.83,"70,167.00","50,841,616.70"
69,2025-01-09,695.0,723.0,695.0,708.8,-0.03,"30,644.00","21,682,619.90"
70,2025-01-08,718.0,730.0,701.0,709.0,-1.25,"41,022.00","29,496,646.10"
71,2025-01-07,725.0,738.0,706.0,718.0,-0.97,"28,870.00","20,831,125.20"
72,2025-01-06,700.0,732.0,693.0,725.0,5.58,"48,757.00","34,882,194.40"
73,2025-01-05,693.0,693.0,681.0,686.7,0.99,"22,134.00","15,247,942.90"
74,2025-01-02,690.3,690.3,670.0,680.0,0.46,"12,604.00","8,570,126.20"
75,2025-01-01,671.0,683.2,665.0,676.9,2.72,"9,155.00","6,174,419.10"
76,2024-12-31,669.4,675.0,648.0,659.0,-2.95,"24,914.00","16,278,665.40"
77,2024-12-29,683.0,695.0,672.2,679.0,-0.73,"20,748.00","14,075,989.60"
78,2024-12-26,691.0,700.0,684.0,684.0,-2.01,"33,285.00","23,044,534.40"
79,2024-12-24,692.0,711.9,683.1,698.0,-0.14,"25,568.00","17,810,113.80"
80,2024-12-23,675.0,700.0,675.0,699.0,3.16,"11,960.00","8,259,739.50"
81,2024-12-22,665.0,704.0,665.0,677.6,0.39,"15,469.00","10,513,676.80"
82,2024-12-19,690.0,700.0,665.0,675.0,-2.17,"29,510.00","20,185,996.50"
83,2024-12-18,686.0,720.0,683.1,690.0,0.57,"19,436.00","13,513,901.50"
84,2024-12-17,692.1,710.0,686.1,686.1,-2.68,"30,403.00","21,120,569.70"
85,2024-12-16,733.0,746.0,705.0,705.0,-5.62,"52,145.00","37,151,177.10"
86,2024-12-12,780.3,830.0,737.0,747.0,-2.35,"61,075.00","46,180,260.30"
87,2024-12-11,700.0,768.7,700.0,765.0,8.51,"94,614.00","70,152,156.40"
88,2024-12-10,677.0,715.0,677.0,705.0,2.17,"54,195.00","38,067,766.90"
89,2024-12-09,690.0,710.0,680.0,690.0,0.58,"37,218.00","25,815,872.90"
90,2024-12-08,703.0,703.0,667.5,686.0,-0.58,"43,133.00","29,279,400.80"
91,2024-12-05,704.0,723.0,680.0,690.0,-3.85,"42,886.00","29,903,245.20"
92,2024-12-04,675.0,725.0,665.4,717.6,8.38,"140,361.00","98,093,317.30"
93,2024-12-03,650.0,679.0,646.0,662.1,2.97,"75,716.00","50,528,785.10"
94,2024-12-02,638.0,652.0,636.3,643.0,0.47,"20,363.00","13,114,452.00"
95,2024-12-01,629.5,654.8,628.0,640.0,-0.36,"26,614.00","17,031,191.50"
96,2024-11-28,672.9,672.9,638.0,642.3,-2.84,"46,212.00","29,941,211.40"
