S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,829.90,829.90,795.00,806.38,-1.06,"4,065.00","3,262,072.40"
2,2025-03-30,828.00,829.00,805.00,815.00,0.37,"3,203.00","2,631,835.50"
3,2025-03-27,790.00,814.00,785.00,811.96,3.45,"12,990.00","10,366,292.60"
4,2025-03-26,805.20,805.20,766.10,784.91,-0.58,"8,713.00","6,855,854.60"
5,2025-03-25,807.50,840.00,780.10,789.49,-4.18,"4,984.00","3,949,382.70"
6,2025-03-24,834.30,834.30,795.00,823.90,0.72,"4,323.00","3,548,672.50"
7,2025-03-23,848.10,882.30,815.50,818.00,-1.63,"6,566.00","5,380,806.20"
8,2025-03-20,826.90,850.00,826.60,831.56,-0.89,"9,792.00","8,134,879.40"
9,2025-03-19,840.00,865.00,836.40,839.00,-1.29,"5,430.00","4,567,524.10"
10,2025-03-18,848.00,880.00,828.20,850.00,0.12,"14,988.00","12,532,478.10"
11,2025-03-17,856.00,890.00,833.00,849.00,-2.75,"13,725.00","11,683,907.80"
12,2025-03-16,901.00,919.00,860.10,873.00,-1.24,"16,085.00","13,968,980.80"
13,2025-03-12,877.10,940.00,850.00,884.00,2.79,"31,041.00","27,251,202.40"
14,2025-03-11,886.00,886.00,846.70,860.00,-1.27,"11,994.00","10,279,308.10"
15,2025-03-10,880.00,900.00,870.00,871.10,-2.01,"10,601.00","9,332,573.80"
16,2025-03-09,922.00,939.00,880.10,889.00,-1.66,"30,042.00","26,698,139.10"
17,2025-03-06,916.10,930.00,903.00,904.00,-1.74,"25,309.00","23,001,238.00"
18,2025-03-05,972.00,972.00,920.00,920.00,-3.46,"34,855.00","32,443,860.70"
19,2025-03-04,954.60,989.40,940.80,953.00,-2.16,"96,941.00","92,583,604.00"
20,2025-03-03,983.00,"1,002.60",965.10,974.00,1.04,"58,821.00","57,537,183.30"
21,2025-03-02,977.70,989.00,960.70,964.00,-3.37,"97,602.00","94,962,222.80"
22,2025-02-27,969.00,997.60,945.00,997.60,4.79,"49,302.00","47,477,609.70"
23,2025-02-25,931.00,959.00,930.00,952.00,2.41,"29,164.00","27,530,390.20"
24,2025-02-24,895.00,958.80,895.00,929.60,3.87,"200,188.00","182,356,414.40"
25,2025-02-23,910.00,910.00,870.80,895.00,-3.25,"31,218.00","27,902,259.70"
