S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,580.00,590.00,573.30,584.67,0.68,"74,161.00","43,236,873.70"
2,2025-03-30,571.00,599.00,562.10,580.73,-0.33,"37,897.00","22,268,380.60"
3,2025-03-27,570.00,589.00,564.00,582.64,0.88,"22,304.00","12,939,018.00"
4,2025-03-26,569.00,578.50,548.50,577.57,3.21,"55,421.00","31,761,854.00"
5,2025-03-25,580.00,580.00,558.00,559.61,-5.13,"24,077.00","13,728,280.20"
6,2025-03-24,591.80,593.00,571.59,589.86,1.65,"20,819.00","12,243,038.40"
7,2025-03-23,599.00,611.70,580.00,580.27,-3.24,"42,739.00","25,172,714.80"
8,2025-03-20,607.00,618.00,595.00,599.71,-1.22,"17,979.00","10,789,501.00"
9,2025-03-19,616.10,624.90,607.00,607.10,-2.24,"51,700.00","31,809,473.90"
10,2025-03-18,641.50,654.30,620.00,621.00,-1.27,"18,933.00","11,912,700.50"
11,2025-03-17,648.90,676.00,628.50,629.00,-1.41,"56,316.00","36,321,586.50"
12,2025-03-16,674.80,674.80,630.00,638.00,-7.33,"52,608.00","33,942,229.80"
13,2025-03-12,627.10,688.50,615.00,688.50,9.79,"185,243.00","118,527,352.10"
14,2025-03-11,634.00,659.00,616.50,627.10,0.50,"94,211.00","59,710,200.20"
15,2025-03-10,651.60,651.60,620.10,624.00,-2.33,"39,537.00","24,906,214.50"
16,2025-03-09,647.00,659.70,623.40,638.90,-1.24,"47,962.00","30,609,192.80"
17,2025-03-06,658.00,667.90,646.90,646.90,-1.25,"112,732.00","73,884,970.20"
18,2025-03-05,662.00,662.00,648.90,655.10,0.80,"116,269.00","76,253,423.80"
19,2025-03-04,655.00,669.00,643.00,649.90,-0.93,"45,951.00","29,908,684.90"
20,2025-03-03,645.00,680.30,641.00,656.00,2.01,"90,488.00","59,447,800.20"
21,2025-03-02,646.50,660.00,640.00,643.10,-1.97,"80,510.00","52,232,557.20"
22,2025-02-27,680.00,680.00,651.70,656.00,-1.80,"61,469.00","40,358,586.40"
23,2025-02-25,668.00,707.00,641.70,668.00,1.80,"157,075.00","104,112,436.90"
24,2025-02-24,680.00,680.00,655.00,656.20,-3.56,"144,189.00","95,879,666.30"
25,2025-02-23,709.60,709.60,679.90,680.40,-6.02,"282,581.00","195,130,242.60"
26,2025-02-20,730.70,730.70,693.10,724.00,-2.90,"234,359.00","166,953,782.70"
27,2025-02-18,680.00,745.60,667.00,745.60,9.65,"421,383.00","290,395,283.60"
28,2025-02-17,687.20,687.20,668.00,680.00,-3.02,"225,228.00","151,544,433.60"
29,2025-02-16,636.90,701.20,636.90,701.20,7.91,"255,340.00","168,356,604.20"
30,2025-02-13,648.00,679.30,641.30,649.80,1.37,"152,893.00","99,174,229.30"
31,2025-02-12,620.00,654.00,620.00,641.00,4.06,"259,601.00","166,027,912.30"
32,2025-02-11,592.00,637.00,582.00,616.00,4.02,"254,250.00","154,830,587.00"
33,2025-02-10,601.00,613.00,590.90,592.20,-2.60,"97,777.00","58,179,616.60"
34,2025-02-09,612.00,625.00,603.00,608.00,1.33,"173,943.00","106,699,028.00"
35,2025-02-06,597.00,621.00,590.00,600.00,0.00,"166,475.00","100,017,172.60"
36,2025-02-05,595.00,615.00,595.00,600.00,-0.17,"143,256.00","86,847,503.60"
37,2025-02-04,585.40,606.00,566.00,601.00,4.70,"320,453.00","190,225,472.00"
38,2025-02-03,590.50,590.50,563.60,574.00,-0.86,"79,154.00","45,421,691.50"
39,2025-02-02,590.00,599.90,577.10,579.00,-0.86,"116,177.00","68,047,719.50"
40,2025-01-28,586.60,594.00,576.10,584.00,1.55,"74,641.00","43,303,222.60"
41,2025-01-27,580.00,591.00,574.00,575.10,0.19,"72,025.00","41,920,029.00"
42,2025-01-26,583.00,590.00,570.00,574.00,0.35,"82,930.00","48,005,236.70"
43,2025-01-23,596.30,596.30,566.00,572.00,-2.17,"73,607.00","42,167,351.30"
44,2025-01-22,587.50,587.50,572.00,584.70,1.51,"88,342.00","51,054,563.30"
45,2025-01-21,586.00,592.00,575.00,576.00,-3.21,"109,427.00","63,532,127.60"
46,2025-01-20,601.00,618.00,593.00,595.10,-2.28,"118,250.00","71,168,053.00"
47,2025-01-19,581.00,609.00,581.00,609.00,3.57,"214,848.00","129,277,118.70"
48,2025-01-16,601.00,601.00,581.00,588.00,-1.18,"123,309.00","72,688,761.50"
49,2025-01-15,568.00,601.00,559.00,595.00,6.82,"305,421.00","180,495,804.20"
50,2025-01-13,555.00,571.00,550.80,557.00,-1.59,"60,119.00","33,532,340.40"
51,2025-01-12,572.00,574.10,555.00,566.00,-1.05,"101,101.00","56,849,230.60"
52,2025-01-09,589.00,589.00,566.10,572.00,-0.99,"144,729.00","82,903,027.80"
53,2025-01-08,566.00,579.00,560.00,577.70,2.07,"205,830.00","117,253,821.00"
54,2025-01-07,580.00,585.00,558.00,566.00,-2.41,"68,838.00","39,015,688.50"
55,2025-01-06,571.00,594.00,565.00,580.00,1.72,"234,346.00","135,835,384.10"
56,2025-01-05,547.70,578.00,527.30,570.20,6.18,"195,441.00","108,022,011.50"
57,2025-01-02,527.30,537.80,517.00,537.00,3.87,"72,848.00","38,544,769.90"
58,2025-01-01,526.60,526.60,508.00,517.00,0.14,"24,904.00","12,851,299.70"
59,2024-12-31,515.00,545.00,491.00,516.30,0.25,"171,601.00","86,577,336.10"
60,2024-12-29,518.30,530.00,515.00,515.00,-2.61,"26,716.00","13,922,456.90"
61,2024-12-26,529.00,539.50,525.10,528.80,-1.16,"19,252.00","10,222,223.20"
62,2024-12-24,540.00,547.00,535.00,535.00,-0.93,"34,356.00","18,488,989.20"
63,2024-12-23,525.00,544.00,525.00,540.00,1.52,"22,423.00","12,068,138.30"
64,2024-12-22,530.00,541.50,518.80,531.90,1.31,"36,721.00","19,477,595.50"
65,2024-12-19,530.10,550.00,513.00,525.00,-2.78,"55,781.00","29,510,257.60"
66,2024-12-18,545.00,559.00,538.50,540.00,0.37,"12,206.00","6,638,404.10"
67,2024-12-17,535.00,544.60,525.40,538.00,0.56,"28,575.00","15,355,764.60"
68,2024-12-16,550.00,555.00,535.00,535.00,-3.29,"45,520.00","24,774,421.00"
69,2024-12-12,553.00,569.90,553.00,553.20,-1.74,"81,215.00","45,521,319.70"
70,2024-12-11,550.70,566.00,550.70,563.00,1.08,"21,973.00","12,311,150.90"
71,2024-12-10,560.00,565.00,547.00,557.00,0.67,"56,239.00","31,204,819.80"
72,2024-12-09,553.20,574.00,551.00,553.30,-1.04,"66,183.00","37,020,468.60"
73,2024-12-08,563.30,574.00,558.30,559.10,-1.91,"74,544.00","42,029,574.50"
74,2024-12-05,580.00,580.00,559.20,570.00,-0.52,"132,577.00","75,023,608.70"
75,2024-12-04,601.60,601.60,570.30,573.00,-2.86,"161,421.00","93,959,257.30"
76,2024-12-03,581.50,594.40,571.00,589.90,3.47,"211,860.00","124,411,836.50"
77,2024-12-02,536.00,575.00,536.00,570.10,4.39,"254,142.00","144,022,825.60"
78,2024-12-01,550.00,559.00,539.00,546.10,-2.66,"95,526.00","52,068,849.50"
79,2024-11-28,580.00,589.00,553.00,561.00,-3.11,"134,052.00","75,776,596.20"
80,2024-11-27,565.00,581.40,550.30,579.00,4.51,"431,451.00","247,295,785.10"
81,2024-11-26,555.70,560.00,544.00,554.00,1.67,"101,595.00","55,983,715.60"
82,2024-11-25,560.80,560.80,542.50,544.90,-0.91,"114,319.00","62,788,389.70"
83,2024-11-24,573.00,573.00,545.00,549.90,-2.15,"318,427.00","176,586,769.50"
84,2024-11-21,584.00,619.00,560.00,562.00,-3.77,"126,388.00","72,282,426.30"
85,2024-11-20,579.00,584.00,569.00,584.00,-1.02,"230,378.00","132,387,727.20"
86,2024-11-19,620.00,623.10,579.90,590.00,-6.65,"402,032.00","239,482,270.30"
87,2024-11-17,612.00,670.00,602.10,632.00,1.35,"318,516.00","197,166,953.60"
88,2024-11-14,650.80,650.80,618.00,623.60,-6.08,"312,969.00","197,611,909.30"
89,2024-11-13,610.00,664.00,606.00,664.00,7.97,"295,475.00","182,287,670.00"
90,2024-11-12,588.00,625.00,588.00,615.00,3.33,"319,827.00","193,353,736.10"
91,2024-11-11,590.10,633.00,576.40,595.20,-0.33,"271,876.00","161,272,442.50"
92,2024-11-10,595.90,599.00,585.00,597.20,-1.78,"306,349.00","181,714,610.00"
93,2024-11-06,557.00,612.00,547.00,608.00,9.12,"422,588.00","239,448,084.20"
94,2024-11-05,545.00,564.00,541.00,557.20,1.66,"182,575.00","101,723,546.40"
95,2024-10-30,550.00,594.00,531.00,548.10,0.75,"215,953.00","117,715,982.90"
96,2024-10-29,505.00,566.00,505.00,544.00,5.63,"317,852.00","168,054,644.90"
97,2024-10-28,537.10,537.10,511.00,515.00,-6.02,"310,421.00","159,978,109.00"
98,2024-10-27,518.00,558.00,499.00,548.00,7.87,"274,133.00","139,150,546.00"
99,2024-10-24,470.00,515.00,455.10,508.00,7.88,"506,092.00","245,524,403.20"
100,2024-10-23,484.50,484.50,460.10,470.90,-0.86,"127,697.00","59,662,500.50"
101,2024-10-22,464.10,488.00,460.00,475.00,4.40,"233,669.00","109,995,973.90"
102,2024-10-21,434.00,477.00,434.00,455.00,4.84,"306,236.00","139,153,347.80"
103,2024-10-20,430.00,451.00,409.00,434.00,1.88,"313,431.00","137,461,661.70"
