S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-07,299.00,299.00,285.20,288.79,-2.11,"7,014.00","2,041,594.80"
2,2025-04-03,301.0,302.0,291.0,295.0,-0.37,"40,279.00","11,919,390.30"
3,2025-04-02,287.5,299.7,287.5,296.09,1.33,"9,637.00","2,854,605.50"
4,2025-04-01,295.0,299.8,290.3,292.21,-2.25,"12,318.00","3,611,010.30"
5,2025-03-30,284.1,304.0,284.1,298.93,3.4,"22,996.00","6,882,174.40"
6,2025-03-27,290.0,290.9,285.0,289.11,0.84,"12,970.00","3,730,139.90"
7,2025-03-26,278.0,291.0,278.0,286.71,3.49,"9,460.00","2,695,684.00"
8,2025-03-25,281.1,281.2,272.0,277.04,-3.29,"16,614.00","4,595,620.50"
9,2025-03-24,279.0,292.0,279.0,286.47,2.41,"8,210.00","2,360,102.00"
10,2025-03-23,295.0,295.0,277.1,279.73,-4.47,"19,668.00","5,588,183.40"
11,2025-03-20,297.4,300.0,292.0,292.82,-1.44,"17,008.00","5,004,836.10"
12,2025-03-19,307.0,307.0,297.1,297.1,-1.62,"13,150.00","3,923,226.00"
13,2025-03-18,297.3,305.0,297.2,302.0,0.67,"5,841.00","1,755,874.80"
14,2025-03-17,306.5,306.5,297.0,300.0,-0.2,"10,937.00","3,284,524.00"
15,2025-03-16,310.0,310.0,300.0,300.6,-2.4,"20,363.00","6,164,390.20"
16,2025-03-12,301.0,323.0,301.0,308.0,0.59,"14,887.00","4,548,757.80"
17,2025-03-11,311.0,318.0,303.8,306.2,-2.17,"13,430.00","4,136,356.00"
18,2025-03-10,311.0,338.2,311.0,313.0,0.0,"14,417.00","4,537,107.70"
19,2025-03-09,330.0,330.0,312.8,313.0,-3.69,"21,160.00","6,679,090.00"
20,2025-03-06,330.0,333.5,323.4,325.0,-0.61,"18,724.00","6,081,561.70"
21,2025-03-05,331.0,333.0,325.2,327.0,0.0,"46,689.00","15,359,549.40"
22,2025-03-04,332.0,332.0,321.5,327.0,0.0,"51,043.00","16,663,981.10"
23,2025-03-03,338.0,338.0,323.6,327.0,-1.8,"36,633.00","12,053,765.00"
24,2025-03-02,329.0,335.0,325.0,333.0,1.87,"48,952.00","16,147,715.40"
25,2025-02-27,315.1,326.9,315.1,326.9,3.74,"51,392.00","16,559,972.60"
26,2025-02-25,314.0,320.0,314.0,315.1,-0.28,"37,555.00","11,880,371.00"
27,2025-02-24,325.0,325.0,314.1,316.0,-1.25,"32,182.00","10,199,798.00"
28,2025-02-23,312.0,324.0,303.3,320.0,1.39,"51,736.00","16,209,070.50"
29,2025-02-20,315.0,330.8,315.0,315.6,-0.75,"36,329.00","11,638,897.30"
30,2025-02-18,332.5,339.0,316.1,318.0,-2.45,"58,067.00","18,682,320.00"
31,2025-02-17,341.7,341.7,325.0,326.0,-2.69,"31,620.00","10,358,769.10"
32,2025-02-16,339.1,339.1,318.0,335.0,0.75,"72,684.00","23,764,662.30"
33,2025-02-13,345.7,345.7,327.9,332.5,-1.92,"37,736.00","12,581,550.30"
34,2025-02-12,339.6,344.1,334.0,339.0,1.8,"77,225.00","26,249,188.80"
35,2025-02-11,330.0,335.5,322.1,333.0,2.15,"41,616.00","13,733,404.30"
36,2025-02-10,344.7,344.7,322.1,326.0,-3.55,"66,535.00","21,965,995.50"
37,2025-02-09,333.5,348.8,330.0,338.0,3.36,"170,089.00","57,675,691.70"
38,2025-02-06,329.9,337.0,326.0,327.0,-0.88,"58,747.00","19,455,831.10"
39,2025-02-05,327.7,331.3,323.2,329.9,2.68,"85,766.00","28,199,950.10"
40,2025-02-04,310.0,327.8,309.0,321.3,5.0,"94,558.00","30,390,628.20"
41,2025-02-03,315.0,315.8,303.9,306.0,-2.58,"41,021.00","12,697,669.70"
42,2025-02-02,325.3,325.3,314.0,314.1,-1.54,"59,627.00","18,973,731.60"
43,2025-01-28,312.1,321.0,301.1,319.0,4.25,"96,998.00","30,277,307.90"
44,2025-01-27,295.0,312.0,295.0,306.0,3.73,"68,953.00","21,011,076.80"
45,2025-01-26,300.3,300.7,291.1,295.0,0.17,"29,858.00","8,844,862.30"
46,2025-01-23,302.0,308.0,292.0,294.5,-1.51,"41,155.00","12,402,725.70"
47,2025-01-22,290.0,300.0,289.0,299.0,4.88,"27,187.00","8,022,373.30"
48,2025-01-21,293.8,297.0,285.1,285.1,-2.96,"22,195.00","6,456,885.90"
49,2025-01-20,286.5,295.9,285.0,293.8,4.04,"40,721.00","11,906,525.10"
50,2025-01-19,286.9,287.0,280.0,282.4,0.14,"9,704.00","2,747,230.50"
51,2025-01-16,286.0,286.6,279.1,282.0,0.36,"12,775.00","3,628,512.30"
52,2025-01-15,275.1,287.0,272.5,281.0,1.08,"10,923.00","3,047,371.00"
53,2025-01-13,285.0,286.0,278.0,278.0,-2.46,"8,451.00","2,375,344.00"
54,2025-01-12,290.0,295.0,284.5,285.0,-1.62,"9,102.00","2,628,782.50"
55,2025-01-09,290.3,290.5,280.2,289.7,1.68,"24,091.00","6,943,913.60"
56,2025-01-08,280.1,299.0,280.1,284.9,-0.11,"20,000.00","5,712,054.80"
57,2025-01-07,297.8,297.8,283.0,285.2,-2.33,"8,178.00","2,359,143.50"
58,2025-01-06,286.0,295.0,286.0,292.0,3.91,"24,568.00","7,163,709.80"
59,2025-01-05,270.0,292.0,265.0,281.0,4.46,"44,800.00","12,592,354.50"
60,2025-01-02,262.0,269.0,262.0,269.0,2.48,"4,877.00","1,299,506.10"
61,2025-01-01,261.1,266.0,261.0,262.5,-0.19,"5,166.00","1,358,407.90"
62,2024-12-31,267.0,267.0,259.5,263.0,-3.27,"10,510.00","2,783,369.50"
