S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-15,322.60,325.00,320.00,324.55,2.61,"31,062.00","10,032,145.90"
2,2025-04-13,312.6,322.0,312.6,316.28,-0.84,"20,584.00","6,542,563.00"
3,2025-04-10,323.6,324.0,313.2,318.96,0.51,"21,123.00","6,756,659.10"
4,2025-04-09,318.0,322.0,313.7,317.34,1.11,"22,338.00","7,131,228.50"
5,2025-04-08,316.0,318.0,312.2,313.85,-0.83,"34,256.00","10,757,461.60"
6,2025-04-07,323.9,323.9,315.0,316.47,-0.48,"21,900.00","6,944,355.80"
7,2025-04-03,321.0,321.9,315.2,318.01,0.18,"39,556.00","12,632,411.60"
8,2025-04-02,312.0,322.0,312.0,317.45,0.17,"17,765.00","5,667,622.10"
9,2025-04-01,322.9,322.9,315.0,316.9,-0.03,"31,384.00","9,955,086.10"
10,2025-03-30,319.6,322.0,313.3,317.0,1.15,"49,321.00","15,708,780.80"
11,2025-03-27,305.1,317.0,305.1,313.41,1.43,"56,446.00","17,685,342.20"
12,2025-03-26,306.8,313.0,301.1,309.0,2.72,"16,651.00","5,090,475.20"
13,2025-03-25,315.9,315.9,300.0,300.81,-4.25,"36,450.00","11,084,543.00"
14,2025-03-24,309.3,317.0,303.0,314.17,0.26,"33,579.00","10,469,241.50"
15,2025-03-23,324.0,324.0,313.0,313.36,-3.14,"75,009.00","23,698,478.50"
16,2025-03-20,332.0,332.0,320.0,323.52,-0.76,"36,014.00","11,663,575.20"
17,2025-03-19,332.0,337.0,323.0,326.0,-1.6,"54,333.00","18,069,502.50"
18,2025-03-18,324.3,335.9,321.4,331.3,4.18,"194,080.00","64,077,724.30"
19,2025-03-17,314.1,322.0,314.1,318.0,-0.31,"35,291.00","11,284,091.30"
20,2025-03-16,323.9,323.9,313.5,319.0,0.44,"31,012.00","9,817,269.00"
21,2025-03-12,323.9,323.9,317.2,317.6,-0.44,"38,706.00","12,398,345.40"
22,2025-03-11,325.0,328.9,317.5,319.0,-1.85,"31,346.00","10,142,603.90"
23,2025-03-10,326.0,330.6,320.0,325.0,-0.31,"36,780.00","11,915,751.80"
24,2025-03-09,336.0,336.0,323.0,326.0,-2.98,"30,637.00","9,981,112.70"
25,2025-03-06,337.6,337.6,326.8,336.0,1.51,"44,666.00","14,859,376.80"
26,2025-03-05,327.0,335.0,326.0,331.0,1.22,"64,333.00","21,258,006.50"
27,2025-03-04,325.0,335.5,325.0,327.0,0.0,"86,140.00","28,379,825.30"
28,2025-03-03,337.0,337.0,325.0,327.0,-1.18,"76,268.00","25,014,289.60"
29,2025-03-02,321.1,332.5,321.1,330.9,3.41,"85,189.00","28,051,037.40"
30,2025-02-27,318.0,325.0,317.2,320.0,0.63,"61,519.00","19,734,672.00"
31,2025-02-25,321.0,323.9,316.0,318.0,-0.06,"44,495.00","14,147,481.50"
32,2025-02-24,320.0,320.0,317.0,318.2,1.02,"52,263.00","16,653,983.10"
33,2025-02-23,305.1,317.0,305.0,315.0,1.22,"56,680.00","17,800,338.00"
34,2025-02-20,315.0,318.0,310.5,311.2,-1.24,"49,030.00","15,394,177.20"
35,2025-02-18,324.0,324.0,314.0,315.1,-1.5,"28,358.00","8,970,037.20"
36,2025-02-17,329.0,329.0,316.1,319.9,-1.54,"24,505.00","7,830,265.30"
