S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,860.50,888.00,851.00,875.00,0.43,"9,637.00","8,245,128.70"
2,2025-03-30,859.00,907.80,859.00,871.29,1.74,"16,840.00","14,793,047.80"
3,2025-03-27,853.90,886.00,825.00,856.37,2.29,"3,100.00","2,681,320.00"
4,2025-03-26,845.00,852.00,822.30,837.18,-0.22,"4,160.00","3,467,134.90"
5,2025-03-25,854.00,889.40,831.00,839.03,-3.72,"8,449.00","7,237,701.30"
6,2025-03-24,850.10,879.00,850.00,871.41,1.02,"1,755.00","1,522,086.00"
7,2025-03-23,883.10,883.10,860.00,862.60,-2.40,"4,511.00","3,920,559.00"
8,2025-03-20,902.00,902.00,877.10,883.83,-2.03,"5,828.00","5,183,798.30"
9,2025-03-19,853.70,940.00,853.70,902.10,3.56,"71,898.00","64,933,734.80"
10,2025-03-18,867.30,902.00,867.30,871.10,-1.57,"3,290.00","2,887,919.30"
11,2025-03-17,855.00,906.00,855.00,885.00,1.49,"35,981.00","32,057,525.70"
12,2025-03-16,894.50,894.50,843.10,872.00,-0.57,"4,138.00","3,556,338.80"
13,2025-03-12,876.10,890.00,860.00,877.00,0.23,"5,710.00","4,963,983.50"
14,2025-03-11,892.00,895.00,858.10,875.00,-2.72,"8,856.00","7,787,799.20"
15,2025-03-10,875.00,917.70,870.10,899.50,1.64,"8,874.00","7,926,035.10"
16,2025-03-09,886.00,899.90,879.30,885.00,-1.25,"6,913.00","6,135,458.70"
17,2025-03-06,909.00,909.00,895.20,896.20,0.48,"3,827.00","3,436,868.90"
18,2025-03-05,890.00,918.00,890.00,891.90,-0.91,"13,351.00","12,088,776.10"
19,2025-03-04,900.00,949.00,895.00,900.10,-0.87,"11,455.00","10,475,693.00"
20,2025-03-03,920.00,934.00,900.10,908.00,-1.84,"8,007.00","7,337,542.30"
21,2025-03-02,944.00,944.00,905.00,925.00,-0.86,"17,844.00","16,256,935.10"
22,2025-02-27,933.30,933.30,917.00,933.00,1.97,"10,700.00","9,901,540.80"
23,2025-02-25,915.00,947.50,915.00,915.00,-0.54,"45,788.00","42,496,098.50"
24,2025-02-24,930.00,953.80,905.00,920.00,-0.97,"36,766.00","34,136,518.50"
25,2025-02-23,950.00,958.80,922.00,929.00,-3.83,"32,188.00","30,135,091.20"
26,2025-02-20,969.00,990.00,936.00,966.00,1.68,"52,376.00","50,942,046.80"
27,2025-02-18,916.90,986.30,916.00,950.00,5.67,"112,917.00","107,619,773.90"
28,2025-02-17,880.20,924.00,867.00,899.00,4.17,"51,383.00","46,386,364.70"
29,2025-02-16,844.00,885.00,817.00,863.00,3.85,"19,182.00","16,234,328.80"
30,2025-02-13,832.10,853.90,830.00,831.00,-1.07,"8,343.00","6,971,482.50"
31,2025-02-12,824.10,855.00,824.10,840.00,0.12,"8,199.00","6,930,761.80"
32,2025-02-11,840.00,840.00,825.10,839.00,1.30,"5,141.00","4,269,599.00"
33,2025-02-10,839.00,840.00,818.10,828.20,-0.58,"14,439.00","11,924,979.50"
34,2025-02-09,862.50,875.00,833.00,833.00,-3.42,"14,781.00","12,531,147.90"
35,2025-02-06,886.90,890.00,859.00,862.50,-4.70,"18,276.00","15,908,425.80"
36,2025-02-05,933.30,933.30,883.30,905.00,-1.09,"15,274.00","13,751,619.00"
37,2025-02-04,919.00,937.00,882.70,915.00,1.55,"22,369.00","20,141,733.20"
38,2025-02-03,915.00,926.10,869.00,901.00,-0.77,"65,297.00","57,886,389.80"
39,2025-02-02,823.20,922.00,823.20,908.00,8.10,"106,065.00","94,323,593.40"
40,2025-01-28,827.00,852.00,813.00,840.00,3.58,"36,509.00","30,514,336.10"
41,2025-01-27,820.00,820.00,803.60,811.00,-0.61,"24,234.00","19,768,652.10"
42,2025-01-26,820.00,825.00,805.00,816.00,0.82,"29,784.00","24,345,840.90"
43,2025-01-23,800.20,821.90,800.20,809.40,0.30,"13,808.00","11,157,878.50"
44,2025-01-22,803.10,819.80,803.10,807.00,0.00,"9,735.00","7,893,371.50"
45,2025-01-21,796.00,822.00,796.00,807.00,0.12,"18,431.00","14,947,937.90"
46,2025-01-20,827.90,827.90,805.00,806.00,-1.56,"9,755.00","7,898,263.30"
47,2025-01-19,811.00,825.00,805.00,818.80,0.96,"18,037.00","14,741,603.00"
48,2025-01-16,785.00,815.00,785.00,811.00,1.63,"26,128.00","21,076,759.90"
49,2025-01-15,778.00,821.90,778.00,798.00,0.63,"16,632.00","13,364,772.80"
50,2025-01-13,788.00,795.10,780.00,793.00,-0.88,"4,721.00","3,727,571.40"
51,2025-01-12,786.10,817.40,786.10,800.00,-0.12,"4,619.00","3,731,428.60"
52,2025-01-09,776.40,818.20,776.40,801.00,1.11,"32,605.00","26,402,186.60"
53,2025-01-08,808.00,808.00,750.00,792.20,-0.23,"8,409.00","6,688,708.70"
54,2025-01-07,787.00,819.00,787.00,794.00,-1.12,"14,700.00","11,725,230.50"
55,2025-01-06,779.00,870.00,763.50,803.00,1.03,"36,480.00","29,100,355.70"
56,2025-01-05,784.00,830.00,753.10,794.80,-0.65,"11,250.00","8,915,731.40"
57,2025-01-02,779.10,820.00,765.00,800.00,0.63,"20,382.00","15,870,365.40"
58,2025-01-01,746.00,805.00,745.00,795.00,4.61,"17,192.00","13,219,562.70"
59,2024-12-31,777.00,815.00,747.00,760.00,-3.05,"10,310.00","7,849,282.70"
60,2024-12-29,790.00,805.70,766.50,783.90,-2.62,"4,944.00","3,848,519.60"
61,2024-12-26,790.00,865.00,790.00,805.00,-0.11,"4,665.00","3,761,543.40"
62,2024-12-24,796.00,815.00,795.00,805.90,1.12,"15,326.00","12,348,091.30"
63,2024-12-23,749.70,799.00,734.80,797.00,4.18,"12,271.00","9,469,414.50"
64,2024-12-22,775.20,775.20,717.00,765.00,0.66,"10,369.00","7,857,900.30"
65,2024-12-19,800.70,800.70,755.00,760.00,-3.18,"6,835.00","5,225,068.00"
66,2024-12-18,809.80,809.80,762.40,785.00,-1.13,"14,611.00","11,385,383.10"
67,2024-12-17,805.60,805.60,750.00,794.00,0.52,"13,257.00","10,418,360.40"
68,2024-12-16,822.00,822.00,780.60,789.90,-2.24,"8,987.00","7,089,397.00"
69,2024-12-12,810.00,816.90,751.70,808.00,1.64,"15,162.00","12,193,283.30"
70,2024-12-11,808.80,808.80,778.00,795.00,0.25,"4,548.00","3,588,272.00"
71,2024-12-10,821.00,821.00,791.00,793.00,-1.52,"8,678.00","6,916,184.90"
72,2024-12-09,804.00,869.00,804.00,805.20,-1.80,"19,055.00","15,503,819.00"
73,2024-12-08,857.00,869.00,807.00,820.00,-3.98,"18,585.00","15,319,238.50"
74,2024-12-05,827.00,896.00,811.00,854.00,1.24,"26,567.00","22,412,174.50"
75,2024-12-04,811.00,890.00,785.00,843.50,4.16,"56,288.00","46,401,608.00"
76,2024-12-03,814.50,820.00,791.10,809.80,1.40,"10,934.00","8,786,447.80"
77,2024-12-02,812.90,817.00,790.10,798.60,0.20,"8,021.00","6,409,796.00"
78,2024-12-01,801.00,809.00,785.20,797.00,1.46,"11,651.00","9,280,926.00"
79,2024-11-28,818.00,818.00,785.10,785.50,-3.61,"15,176.00","12,175,226.90"
80,2024-11-27,785.00,816.90,785.00,814.90,1.74,"7,379.00","5,952,975.60"
81,2024-11-26,777.00,813.00,777.00,801.00,1.10,"18,593.00","14,890,498.80"
82,2024-11-25,771.40,810.00,756.10,792.30,0.66,"36,594.00","28,700,034.60"
