S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2021-11-03,855.00,872.10,825.20,838.00,-0.24,"160,446.00","135,015,361.40"
2,2021-11-02,772.00,852.00,746.10,840.00,8.25,"241,331.00","191,287,389.90"
3,2021-11-01,822.00,830.00,773.10,776.00,-5.25,"230,286.00","182,677,219.00"
4,2021-10-31,813.40,829.80,786.10,819.00,2.70,"159,292.00","130,287,195.20"
5,2021-10-28,730.00,797.50,721.00,797.50,10.00,"151,987.00","118,725,797.90"
6,2021-10-27,720.00,744.00,700.00,725.00,0.71,"129,873.00","94,291,892.20"
7,2021-10-26,728.20,740.00,691.00,719.90,0.83,"155,657.00","112,587,559.20"
8,2021-10-25,694.50,735.00,694.00,714.00,4.86,"108,942.00","77,711,040.90"
9,2021-10-24,631.30,680.90,622.00,680.90,10.00,"95,313.00","63,660,586.40"
10,2021-10-21,633.90,633.90,607.00,619.00,-0.96,"41,891.00","25,754,092.10"
11,2021-10-20,600.70,626.00,580.00,625.00,6.11,"60,521.00","36,894,988.50"
12,2021-10-19,629.40,629.40,577.00,589.00,-4.55,"69,586.00","40,968,851.30"
13,2021-10-18,618.00,623.00,607.00,617.10,-2.05,"67,036.00","41,081,963.50"
14,2021-10-17,644.00,645.00,621.00,630.00,-0.32,"9,906.00","6,274,766.60"
15,2021-10-11,640.00,640.00,607.60,632.00,-1.25,"65,722.00","40,589,465.60"
16,2021-10-10,697.50,697.50,637.00,640.00,-6.42,"86,607.00","56,467,009.30"
17,2021-10-06,709.00,712.90,675.10,683.90,-2.16,"100,455.00","68,934,334.80"
18,2021-10-05,728.20,728.20,691.40,699.00,-2.10,"92,296.00","65,081,707.50"
19,2021-10-04,711.90,715.30,674.00,714.00,2.29,"102,153.00","71,381,484.40"
20,2021-10-03,763.00,763.00,695.00,698.00,-6.81,"199,274.00","141,086,402.60"
21,2021-09-30,760.50,796.00,735.00,749.00,-3.48,"92,867.00","70,791,895.20"
22,2021-09-29,743.90,779.90,733.10,776.00,2.24,"183,203.00","138,272,008.00"
23,2021-09-28,784.00,806.00,744.00,759.00,-5.13,"126,617.00","96,555,781.10"
24,2021-09-27,830.00,847.00,777.00,800.00,-1.72,"141,800.00","113,656,387.10"
25,2021-09-26,855.00,870.00,810.10,814.00,-3.24,"124,179.00","102,802,456.40"
26,2021-09-23,868.10,885.30,837.10,841.30,-1.15,"156,475.00","133,855,990.80"
27,2021-09-22,825.00,865.00,824.00,851.10,5.22,"130,617.00","111,102,588.90"
28,2021-09-21,800.00,835.00,785.00,808.90,1.10,"174,685.00","140,639,566.50"
29,2021-09-20,902.70,902.70,800.00,800.10,-9.59,"174,021.00","145,814,935.00"
30,2021-09-16,910.00,910.00,862.00,885.00,-2.75,"322,765.00","283,874,455.40"
31,2021-09-15,929.00,933.00,900.00,910.00,-2.26,"97,878.00","89,498,119.20"
32,2021-09-14,925.00,947.00,910.00,931.00,0.65,"120,782.00","111,553,589.00"
33,2021-09-13,970.00,970.00,910.00,925.00,-4.43,"202,661.00","189,073,017.00"
34,2021-09-12,974.00,974.10,942.00,967.90,1.35,"227,293.00","218,034,965.40"
35,2021-09-09,"1,028.00","1,028.00",948.80,955.00,-5.26,"507,644.00","493,949,223.20"
36,2021-09-08,958.50,"1,032.20",945.00,"1,008.00",3.07,"240,223.00","236,358,589.50"
37,2021-09-07,960.00,993.40,913.40,978.00,3.27,"167,429.00","160,497,815.30"
38,2021-09-06,860.00,947.10,846.00,947.00,9.99,"189,690.00","170,933,101.30"
39,2021-09-05,962.80,962.80,856.00,861.00,-8.79,"250,391.00","219,151,003.70"
40,2021-09-02,998.50,"1,000.00",940.00,944.00,-3.58,"168,494.00","162,041,628.60"
41,2021-09-01,995.00,"1,030.00",968.00,979.00,-0.61,"224,342.00","221,153,152.00"
42,2021-08-31,"1,064.80","1,064.80",980.00,985.00,-5.65,"252,337.00","255,968,414.60"
43,2021-08-29,"1,084.20","1,105.00","1,036.00","1,044.00",-1.79,"233,130.00","248,756,979.40"
44,2021-08-26,"1,054.60","1,095.00","1,030.60","1,063.00",2.80,"324,878.00","345,630,357.20"
45,2021-08-25,"1,075.00","1,075.00","1,016.00","1,034.00",-3.54,"469,412.00","487,065,218.00"
46,2021-08-24,"1,057.70","1,118.00","1,017.10","1,072.00",3.38,"438,669.00","472,001,919.00"
47,2021-08-19,960.00,"1,044.00",923.00,"1,037.00",8.59,"593,273.00","579,861,320.20"
48,2021-08-18,993.00,"1,032.00",942.00,955.00,-1.95,"402,420.00","392,188,034.50"
49,2021-08-17,903.20,974.00,903.20,974.00,9.99,"571,841.00","551,915,701.10"
50,2021-08-16,788.90,885.50,788.90,885.50,10.00,"465,664.00","403,506,459.60"
51,2021-08-15,880.00,880.00,792.00,805.00,-8.52,"733,588.00","594,745,599.80"
52,2021-08-12,876.00,920.00,841.00,880.00,2.43,"334,036.00","296,829,518.60"
53,2021-08-11,796.60,859.10,784.00,859.10,10.00,"442,320.00","366,990,377.20"
54,2021-08-10,785.40,800.00,760.00,781.00,1.43,"221,190.00","172,330,173.30"
55,2021-08-09,779.00,779.20,749.00,770.00,0.79,"269,678.00","204,603,715.80"
56,2021-08-08,721.00,780.00,715.00,764.00,5.96,"261,351.00","196,500,686.10"
57,2021-08-05,775.20,775.20,721.00,721.00,-5.13,"166,005.00","122,201,755.20"
58,2021-08-04,763.00,775.00,740.00,760.00,0.13,"186,882.00","142,312,420.40"
59,2021-08-03,746.00,769.00,726.00,759.00,2.02,"137,133.00","103,206,836.60"
60,2021-08-02,740.00,759.40,720.00,744.00,1.92,"393,477.00","288,692,466.80"
61,2021-08-01,743.00,750.00,708.00,730.00,0.14,"280,517.00","204,171,357.40"
62,2021-07-29,663.00,729.30,652.00,729.00,9.95,"313,954.00","224,264,944.40"
63,2021-07-28,647.70,673.00,611.00,663.00,4.41,"213,725.00","140,259,431.70"
64,2021-07-27,628.30,666.00,625.00,635.00,3.08,"140,972.00","91,052,702.90"
65,2021-07-26,571.00,616.00,571.00,616.00,10.00,"150,757.00","90,395,532.00"
66,2021-07-25,560.00,575.00,557.00,560.00,0.72,"72,728.00","41,038,880.30"
67,2021-07-22,572.00,586.00,556.00,556.00,-2.63,"55,536.00","31,779,401.60"
68,2021-07-20,566.00,575.00,544.00,571.00,2.88,"62,688.00","35,309,155.70"
69,2021-07-19,578.00,589.50,553.00,555.00,-2.29,"54,287.00","30,549,408.00"
70,2021-07-18,587.00,587.00,560.00,568.00,-1.39,"55,224.00","31,435,109.10"
71,2021-07-15,567.00,582.00,550.00,576.00,2.86,"86,366.00","48,808,943.00"
72,2021-07-14,536.00,571.00,526.00,560.00,4.67,"40,307.00","22,135,085.00"
73,2021-07-13,497.00,540.00,497.00,535.00,2.29,"35,140.00","18,715,327.00"
74,2021-07-12,545.00,565.00,505.00,523.00,-2.06,"51,991.00","27,648,707.00"
75,2021-07-11,516.00,539.00,513.00,534.00,5.53,"27,779.00","14,585,559.00"
76,2021-07-08,474.00,511.00,474.00,506.00,1.61,"38,415.00","19,219,201.00"
77,2021-07-07,518.00,523.00,498.00,498.00,-2.92,"70,200.00","35,999,462.00"
78,2021-07-06,530.00,535.00,511.00,513.00,-4.11,"28,673.00","14,770,235.00"
79,2021-07-05,527.00,535.00,515.00,535.00,0.75,"49,571.00","25,973,992.00"
80,2021-07-04,540.00,550.00,530.00,531.00,-2.39,"95,999.00","51,357,162.00"
81,2021-07-01,559.00,569.00,529.00,544.00,-0.91,"33,721.00","18,320,059.00"
82,2021-06-30,535.00,559.00,516.00,549.00,2.62,"32,057.00","17,123,672.00"
83,2021-06-29,562.00,575.00,520.00,535.00,-5.98,"36,418.00","19,728,751.00"
84,2021-06-28,595.00,595.00,569.00,569.00,-4.21,"68,173.00","39,321,575.00"
85,2021-06-27,532.00,610.00,532.00,594.00,6.26,"150,760.00","89,006,788.00"
86,2021-06-24,525.00,585.00,525.00,559.00,2.19,"116,002.00","65,189,498.00"
87,2021-06-23,543.00,586.00,533.00,547.00,-1.26,"109,753.00","60,401,223.00"
88,2021-06-22,514.00,559.00,510.00,554.00,7.78,"101,345.00","54,670,461.00"
89,2021-06-21,575.00,575.00,512.00,514.00,-6.20,"145,262.00","76,096,741.00"
90,2021-06-20,609.00,609.00,532.00,548.00,-5.52,"95,615.00","52,840,165.00"
91,2021-06-17,592.00,605.00,563.00,580.00,-2.03,"110,509.00","64,486,429.00"
92,2021-06-16,599.00,624.00,567.00,592.00,-6.03,"264,112.00","156,506,076.00"
93,2021-06-15,689.00,689.00,627.00,630.00,-4.11,"147,784.00","93,620,331.00"
94,2021-06-14,700.00,700.00,637.00,657.00,-3.67,"382,355.00","252,491,667.00"
95,2021-06-13,664.00,696.00,613.00,682.00,7.74,"285,677.00","189,923,112.00"
96,2021-06-10,604.00,633.00,567.00,633.00,9.90,"562,704.00","344,281,092.00"
97,2021-06-09,550.00,576.00,550.00,576.00,9.92,"334,179.00","192,420,874.00"
98,2021-06-08,500.00,524.00,500.00,524.00,9.85,"29,475.00","15,402,056.00"
99,2021-06-07,455.00,477.00,455.00,477.00,9.91,"66,636.00","31,675,253.00"
100,2021-06-06,414.00,434.00,396.00,434.00,9.87,"287,176.00","122,188,819.00"
101,2021-06-03,386.00,408.00,386.00,395.00,2.33,"277,663.00","109,769,429.00"
102,2021-06-03,386.00,408.00,386.00,395.00,2.33,"277,663.00","109,769,429.00"
103,2021-06-02,360.00,391.00,360.00,386.00,4.04,"77,692.00","29,529,915.00"
104,2021-06-01,386.00,386.00,355.00,371.00,0.82,"104,453.00","38,782,645.00"
