S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,750.00,750.00,720.00,724.85,-2.04,"23,148.00","16,852,106.30"
2,2025-03-30,749.90,750.00,730.10,739.91,0.48,"21,773.00","16,145,501.80"
3,2025-03-27,712.00,739.00,712.00,736.37,1.51,"14,340.00","10,496,165.50"
4,2025-03-26,726.50,735.00,716.00,725.44,1.84,"16,245.00","11,780,861.20"
5,2025-03-25,736.80,736.80,711.30,712.32,-3.32,"10,641.00","7,654,811.10"
6,2025-03-24,722.00,757.00,722.00,736.80,1.37,"12,985.00","9,607,495.10"
7,2025-03-23,750.00,760.00,725.00,726.83,-2.56,"16,906.00","12,445,062.70"
8,2025-03-20,761.90,761.90,743.00,745.96,-0.14,"11,272.00","8,427,779.80"
9,2025-03-19,760.00,775.00,747.00,747.00,-2.73,"18,232.00","13,735,662.40"
10,2025-03-18,770.00,774.00,755.00,768.00,0.39,"17,557.00","13,414,330.30"
11,2025-03-17,770.00,780.00,760.00,765.00,-0.65,"12,403.00","9,532,102.70"
12,2025-03-16,793.00,793.00,762.00,770.00,-0.96,"27,559.00","21,197,877.50"
13,2025-03-12,790.00,794.90,776.00,777.50,0.32,"19,855.00","15,503,731.30"
14,2025-03-11,786.10,802.00,771.00,775.00,-1.27,"42,598.00","33,543,136.30"
15,2025-03-10,805.00,811.00,780.00,785.00,-1.88,"33,678.00","26,720,996.90"
16,2025-03-09,815.00,820.00,785.00,800.00,-1.59,"47,051.00","37,578,624.30"
17,2025-03-06,800.00,818.00,785.10,812.90,3.03,"82,366.00","66,060,315.40"
18,2025-03-05,790.00,796.00,785.00,789.00,0.51,"49,877.00","39,266,182.20"
19,2025-03-04,811.00,821.00,784.10,785.00,-3.09,"47,111.00","37,848,615.70"
20,2025-03-03,791.00,833.00,791.00,810.00,2.40,"116,434.00","95,421,975.10"
21,2025-03-02,789.50,800.00,775.00,791.00,2.18,"52,129.00","41,013,032.90"
22,2025-02-27,772.10,780.00,770.00,774.10,-0.50,"33,942.00","26,263,783.50"
23,2025-02-25,794.00,794.00,770.00,778.00,-1.39,"36,296.00","28,137,393.80"
24,2025-02-24,765.00,804.00,765.00,789.00,3.95,"113,455.00","89,475,063.10"
25,2025-02-23,740.90,764.90,740.00,759.00,0.53,"37,845.00","28,684,894.10"
26,2025-02-20,765.40,765.40,745.10,755.00,0.53,"20,591.00","15,539,278.30"
27,2025-02-18,770.00,770.00,751.00,751.00,-0.91,"22,484.00","16,963,422.10"
28,2025-02-17,759.00,762.00,752.50,757.90,0.78,"29,752.00","22,574,516.30"
29,2025-02-16,748.00,755.50,748.00,752.00,0.27,"21,949.00","16,481,011.20"
30,2025-02-13,740.10,759.90,740.10,750.00,0.00,"25,345.00","19,032,556.60"
31,2025-02-12,769.90,769.90,750.00,750.00,-0.66,"21,153.00","15,906,399.20"
32,2025-02-11,768.00,768.00,750.10,755.00,0.15,"14,163.00","10,734,767.10"
33,2025-02-10,770.00,770.00,742.00,753.90,-1.19,"22,752.00","17,128,139.50"
34,2025-02-09,779.90,779.90,752.20,763.00,-0.91,"17,915.00","13,662,888.60"
35,2025-02-06,750.00,776.90,750.00,770.00,1.97,"36,820.00","28,162,766.50"
36,2025-02-05,763.40,775.00,755.00,755.10,-0.88,"26,968.00","20,616,402.57"
37,2025-02-04,755.00,800.00,755.00,761.80,-1.05,"27,019.00","20,789,061.70"
38,2025-02-03,785.00,800.00,765.10,769.90,-1.92,"35,252.00","27,299,782.20"
39,2025-02-02,774.60,805.00,774.60,785.00,1.95,"92,382.00","73,210,382.20"
40,2025-01-28,760.00,775.20,746.00,770.00,3.15,"69,715.00","53,395,950.50"
41,2025-01-27,730.00,755.00,727.50,746.50,1.69,"50,434.00","37,633,663.80"
42,2025-01-26,735.00,756.00,727.10,734.10,1.00,"23,397.00","17,331,890.50"
43,2025-01-23,749.00,749.00,723.00,726.80,-1.12,"16,101.00","11,838,142.40"
44,2025-01-22,730.10,745.00,730.10,735.00,0.52,"7,296.00","5,392,747.20"
45,2025-01-21,736.00,742.00,731.20,731.20,-0.52,"8,868.00","6,542,283.80"
46,2025-01-20,740.00,753.00,730.00,735.00,-1.21,"13,232.00","9,763,139.30"
47,2025-01-19,736.10,750.60,736.10,744.00,0.40,"7,633.00","5,648,451.00"
48,2025-01-16,761.00,761.00,740.00,741.00,-1.20,"10,782.00","8,014,969.70"
49,2025-01-15,728.90,759.80,728.90,750.00,2.88,"23,773.00","17,830,823.10"
50,2025-01-13,743.00,753.00,726.20,729.00,-3.57,"23,271.00","17,192,773.10"
51,2025-01-12,784.00,784.00,753.10,756.00,-2.07,"24,794.00","18,983,665.30"
52,2025-01-09,759.80,774.00,745.00,772.00,2.52,"60,889.00","46,343,199.30"
53,2025-01-08,707.00,772.00,697.00,753.00,6.81,"36,597.00","27,011,907.00"
54,2025-01-07,699.00,720.00,699.00,705.00,-0.42,"7,385.00","5,187,684.20"
55,2025-01-06,688.00,714.00,678.00,708.00,4.89,"14,479.00","10,119,700.20"
56,2025-01-05,690.00,701.90,666.00,675.00,-0.53,"8,427.00","5,675,001.90"
57,2025-01-02,666.10,686.00,666.10,678.60,0.68,"7,284.00","4,891,141.90"
58,2025-01-01,672.00,680.00,666.00,674.00,1.35,"3,396.00","2,279,633.00"
59,2024-12-31,667.00,690.00,660.00,665.00,-0.89,"8,256.00","5,485,176.00"
60,2024-12-29,670.00,694.00,660.00,671.00,-1.47,"8,000.00","5,370,683.60"
