S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-08-03,900.00,900.00,802.40,802.40,-9.99,"216,419.00","177,676,816.90"
2,2025-07-31,862.8,930.4,845.9,891.5,5.39,"279,583.00","249,481,931.40"
3,2025-07-30,784.3,845.9,784.3,845.9,10.0,"4,200.00","3,546,923.50"
4,2025-07-29,713.0,769.0,713.0,769.0,10.0,"3,416.00","2,625,469.80"
5,2025-07-28,648.0,699.1,648.0,699.1,9.99,"2,644.00","1,847,131.80"
6,2025-07-27,589.4,635.6,589.4,635.6,9.98,"1,170.00","742,517.00"
7,2025-07-24,535.9,577.9,535.9,577.9,9.99,690.0,"397,721.00"
8,2025-07-23,487.2,525.4,487.2,525.4,9.99,710.0,"372,096.00"
9,2025-07-22,442.9,477.7,442.9,477.7,9.99,500.0,"237,994.00"
10,2025-07-21,388.7,434.3,388.7,434.3,9.98,450.0,"193,508.00"
11,2025-07-20,359.0,394.9,359.0,394.9,10.0,350.0,"136,429.00"
