S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,533.00,562.00,525.00,551.67,2.12,"41,104.00","22,166,191.70"
2,2025-03-30,540.00,550.80,533.20,540.21,-0.51,"47,148.00","25,546,918.90"
3,2025-03-27,557.00,557.00,537.00,542.98,-0.80,"23,780.00","13,011,712.10"
4,2025-03-26,520.00,552.60,515.30,547.36,5.35,"31,406.00","16,955,243.10"
5,2025-03-25,540.00,540.00,511.10,519.58,-2.52,"32,657.00","17,002,549.10"
6,2025-03-24,501.10,535.00,501.00,533.03,5.46,"34,411.00","18,019,338.50"
7,2025-03-23,505.00,524.00,492.00,505.41,0.26,"30,049.00","15,292,978.30"
8,2025-03-20,484.00,508.00,484.00,504.11,3.64,"25,575.00","12,656,507.80"
9,2025-03-19,502.00,508.00,486.40,486.40,-4.23,"15,391.00","7,617,199.50"
10,2025-03-18,515.00,517.70,503.00,507.90,-0.41,"10,052.00","5,113,020.20"
11,2025-03-17,501.20,515.00,500.00,510.00,0.99,"9,192.00","4,650,283.00"
12,2025-03-16,505.10,516.00,502.00,505.00,-1.98,"21,807.00","11,079,054.40"
13,2025-03-12,501.30,525.30,501.20,515.20,1.40,"16,314.00","8,360,442.90"
14,2025-03-11,518.10,530.00,508.00,508.10,-3.77,"18,960.00","9,810,503.70"
15,2025-03-10,545.00,546.70,517.00,528.00,-1.68,"23,718.00","12,478,161.50"
16,2025-03-09,545.00,550.00,534.00,537.00,-1.47,"11,928.00","6,412,438.00"
17,2025-03-06,548.00,553.90,541.10,545.00,-0.51,"13,570.00","7,407,843.00"
18,2025-03-05,553.00,561.00,546.00,547.80,-0.94,"19,663.00","10,881,956.20"
19,2025-03-04,570.00,575.00,550.00,553.00,-4.16,"33,052.00","18,537,047.50"
20,2025-03-03,574.20,590.00,565.00,577.00,-1.20,"30,161.00","17,293,899.40"
21,2025-03-02,579.00,585.00,572.00,584.00,1.21,"17,881.00","10,365,729.50"
22,2025-02-27,573.00,580.00,560.10,577.00,2.30,"25,555.00","14,624,999.80"
23,2025-02-25,570.00,570.00,560.00,564.00,-1.57,"32,452.00","18,345,959.40"
24,2025-02-24,587.00,591.90,570.00,573.00,-2.39,"23,905.00","13,846,615.20"
25,2025-02-23,575.00,597.70,567.00,587.00,0.17,"30,002.00","17,517,807.00"
26,2025-02-20,588.10,599.90,584.00,586.00,-2.33,"31,900.00","18,818,881.20"
27,2025-02-18,615.00,615.00,590.10,600.00,-2.04,"28,802.00","17,359,314.90"
28,2025-02-17,629.00,630.10,612.50,612.50,-1.37,"29,820.00","18,474,416.50"
29,2025-02-16,604.00,621.00,600.00,621.00,1.47,"38,954.00","23,734,413.90"
30,2025-02-13,619.00,623.00,610.00,612.00,-0.54,"34,220.00","21,066,267.40"
31,2025-02-12,615.00,625.00,610.00,615.30,0.54,"33,601.00","20,797,221.60"
32,2025-02-11,608.10,615.00,603.00,612.00,0.08,"35,733.00","21,744,469.00"
33,2025-02-10,604.00,617.10,604.00,611.50,0.25,"31,233.00","19,038,302.10"
34,2025-02-09,611.50,620.00,600.00,610.00,-0.25,"45,391.00","27,647,044.20"
35,2025-02-06,639.00,642.60,611.00,611.50,-2.94,"40,291.00","24,891,477.70"
36,2025-02-05,626.20,649.50,614.00,630.00,2.61,"65,477.00","41,344,182.30"
37,2025-02-04,614.00,614.00,601.20,614.00,1.66,"49,869.00","30,314,370.90"
38,2025-02-03,600.10,612.00,588.00,604.00,0.17,"67,309.00","40,251,163.90"
39,2025-02-02,625.00,627.80,592.90,603.00,-2.74,"121,142.00","73,566,934.30"
40,2025-01-28,604.00,621.00,604.00,620.00,1.69,"60,374.00","37,031,460.50"
41,2025-01-27,590.00,620.00,582.00,609.70,4.04,"114,108.00","69,405,440.90"
42,2025-01-26,561.10,588.00,561.10,586.00,2.99,"55,581.00","32,228,155.50"
43,2025-01-23,555.00,570.00,555.00,569.00,2.52,"43,683.00","24,614,780.40"
44,2025-01-22,560.00,573.00,550.80,555.00,-1.07,"65,868.00","37,086,831.90"
45,2025-01-21,572.00,574.00,560.60,561.00,-2.94,"38,390.00","21,715,458.10"
46,2025-01-20,563.00,585.60,555.00,578.00,2.63,"72,658.00","41,458,142.20"
47,2025-01-19,568.10,576.00,561.50,563.20,-0.86,"81,472.00","46,232,079.20"
48,2025-01-16,566.10,576.00,555.00,568.10,2.36,"86,839.00","49,101,551.00"
49,2025-01-15,520.00,560.00,505.00,555.00,8.19,"103,619.00","56,336,403.70"
50,2025-01-13,517.10,530.00,512.10,513.00,-2.06,"49,905.00","25,825,315.90"
51,2025-01-12,517.00,534.00,517.00,523.80,0.15,"38,928.00","20,592,034.90"
52,2025-01-09,515.00,533.30,510.10,523.00,0.02,"57,743.00","30,226,006.90"
53,2025-01-08,520.00,533.00,513.00,522.90,1.51,"73,290.00","38,444,593.40"
54,2025-01-07,510.00,520.00,500.00,515.10,1.80,"104,376.00","53,228,210.80"
55,2025-01-06,479.40,510.00,471.00,506.00,7.66,"121,883.00","60,673,853.20"
56,2025-01-05,474.90,474.90,458.00,470.00,0.86,"18,522.00","8,671,138.90"
57,2025-01-02,443.50,466.00,443.50,466.00,3.26,"17,309.00","7,987,153.00"
58,2025-01-01,449.00,454.90,442.00,451.30,1.64,"16,117.00","7,215,172.10"
59,2024-12-31,455.00,455.00,433.00,444.00,-3.69,"25,681.00","11,327,378.60"
60,2024-12-29,477.00,477.00,448.00,461.00,-1.50,"21,871.00","10,018,068.00"
61,2024-12-26,471.90,483.00,460.00,468.00,-0.85,"39,512.00","18,643,336.50"
62,2024-12-24,465.00,482.00,465.00,472.00,0.64,"43,486.00","20,710,452.10"
63,2024-12-23,469.00,473.10,460.00,469.00,0.64,"13,811.00","6,459,725.70"
64,2024-12-22,440.20,478.00,440.20,466.00,4.23,"28,285.00","13,032,783.20"
65,2024-12-19,455.10,464.10,447.10,447.10,-3.64,"32,101.00","14,558,906.00"
66,2024-12-18,470.00,473.00,460.10,464.00,-1.04,"23,554.00","10,965,321.90"
67,2024-12-17,460.10,470.90,460.10,468.90,1.06,"13,829.00","6,445,569.30"
