S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,255.70,258.00,249.10,251.66,-2.30,"104,400.00","26,380,897.90"
2,2025-03-30,251.30,263.00,251.00,257.58,2.28,"219,703.00","56,734,334.20"
3,2025-03-27,252.00,254.70,245.00,251.85,0.82,"88,916.00","22,407,208.60"
4,2025-03-26,248.00,252.00,244.10,249.79,2.13,"124,638.00","30,997,591.70"
5,2025-03-25,256.20,256.20,241.10,244.57,-2.64,"155,912.00","37,985,966.80"
6,2025-03-24,245.00,255.00,242.40,251.19,2.39,"127,457.00","31,995,781.70"
7,2025-03-23,254.00,255.00,245.00,245.33,-2.96,"197,152.00","48,815,945.60"
8,2025-03-20,255.00,260.00,252.10,252.81,-1.36,"156,129.00","39,616,639.20"
9,2025-03-19,260.20,263.00,255.00,256.30,-1.46,"117,092.00","30,106,935.40"
10,2025-03-18,258.10,265.00,258.10,260.10,-0.69,"81,836.00","21,416,909.20"
11,2025-03-17,257.70,265.00,257.70,261.90,-0.38,"150,875.00","39,511,975.70"
12,2025-03-16,263.00,266.00,255.90,262.90,-0.23,"204,269.00","53,108,323.90"
13,2025-03-12,255.10,266.00,255.10,263.50,3.33,"212,688.00","55,535,449.80"
14,2025-03-11,255.00,264.00,255.00,255.00,-2.00,"215,465.00","55,606,832.90"
15,2025-03-10,268.00,272.30,260.10,260.20,-2.91,"280,901.00","74,192,681.00"
16,2025-03-09,280.00,280.00,266.90,268.00,-3.60,"359,354.00","97,090,657.50"
17,2025-03-06,274.80,284.00,274.80,278.00,-0.86,"288,808.00","80,840,699.20"
18,2025-03-05,266.50,286.00,266.50,280.40,3.13,"876,685.00","244,768,614.90"
19,2025-03-04,266.60,281.50,266.60,271.90,-0.04,"429,594.00","118,443,001.60"
20,2025-03-03,280.00,284.00,270.70,272.00,-3.20,"386,959.00","106,574,034.30"
21,2025-03-02,282.00,282.00,272.10,281.00,1.33,"425,584.00","118,113,329.60"
22,2025-02-27,266.00,278.00,263.20,277.30,4.96,"890,966.00","242,690,363.90"
23,2025-02-25,254.00,265.00,254.00,264.20,3.97,"377,310.00","98,561,432.40"
24,2025-02-24,250.00,258.00,250.00,254.10,1.84,"279,517.00","71,411,826.40"
25,2025-02-23,246.00,252.00,246.00,249.50,-0.60,"147,137.00","36,685,779.90"
26,2025-02-20,245.30,255.20,245.30,251.00,0.28,"141,521.00","35,578,842.20"
27,2025-02-18,251.20,255.50,250.30,250.30,-0.67,"159,816.00","40,354,559.90"
28,2025-02-17,254.00,257.90,251.10,252.00,-0.79,"146,183.00","37,101,814.30"
29,2025-02-16,254.00,256.00,249.00,254.00,1.15,"183,893.00","46,452,658.90"
30,2025-02-13,252.00,256.00,251.10,251.10,-0.36,"121,197.00","30,587,615.80"
31,2025-02-12,252.00,259.00,252.00,252.00,0.00,"124,568.00","31,609,491.50"
32,2025-02-11,255.00,256.80,250.10,252.00,0.00,"93,057.00","23,487,318.70"
33,2025-02-10,250.90,258.90,250.90,252.00,-1.56,"128,386.00","32,494,131.40"
34,2025-02-09,259.00,266.90,254.50,256.00,-0.78,"117,100.00","30,283,947.80"
35,2025-02-06,266.00,266.00,258.00,258.00,-1.07,"195,150.00","50,852,543.00"
36,2025-02-05,260.00,267.00,258.00,260.80,0.12,"271,715.00","71,301,518.20"
37,2025-02-04,261.00,263.00,256.00,260.50,0.19,"144,604.00","37,529,175.40"
38,2025-02-03,270.00,270.00,259.00,260.00,-2.33,"323,594.00","85,271,611.50"
39,2025-02-02,259.90,269.00,257.90,266.20,4.43,"576,413.00","153,254,026.60"
