S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-15,"1,029.00","1,134.00","1,029.00","1,058.06",0.78,"1,971.00","2,130,805.70"
2,2025-04-13,"1,075.00","1,110.00","1,040.00","1,049.90",-3.8,"13,521.00","14,445,592.30"
3,2025-04-10,"1,100.00","1,110.00","1,088.00","1,091.37",-0.38,"1,040.00","1,140,445.00"
4,2025-04-09,"1,085.00","1,141.00","1,085.00","1,095.50",-1.04,"2,083.00","2,293,048.00"
5,2025-04-08,"1,095.00","1,148.00","1,083.00","1,107.00",0.19,"1,755.00","1,949,029.00"
6,2025-04-07,"1,150.00","1,150.00","1,091.00","1,104.86",-3.88,"2,396.00","2,658,651.10"
7,2025-04-03,"1,144.10","1,166.00","1,135.30","1,149.46",-1.38,"4,666.00","5,357,074.00"
8,2025-04-02,"1,135.00","1,179.00","1,135.00","1,165.55",0.91,"2,343.00","2,746,237.20"
9,2025-04-01,"1,154.00","1,174.00","1,133.00","1,155.02",-1.71,"3,507.00","4,035,226.00"
10,2025-03-30,"1,103.00","1,180.00","1,103.00","1,175.17",4.44,"4,821.00","5,602,413.00"
11,2025-03-27,"1,155.00","1,155.00","1,112.30","1,125.16",-0.7,"1,290.00","1,453,919.00"
12,2025-03-26,"1,091.50","1,140.00","1,091.50","1,133.05",2.15,747.00,"842,520.30"
13,2025-03-25,"1,136.70","1,152.00","1,089.00","1,109.20",-4.36,"3,340.00","3,733,648.00"
14,2025-03-24,"1,123.10","1,161.90","1,123.10","1,159.73",1.33,"1,928.00","2,226,381.40"
15,2025-03-23,"1,148.00","1,194.40","1,131.00","1,144.50",-0.38,"1,372.00","1,572,968.10"
16,2025-03-20,"1,134.00","1,199.00","1,134.00","1,148.84",-0.71,"3,704.00","4,259,672.40"
17,2025-03-19,"1,175.00","1,195.00","1,157.00","1,157.00",-3.18,"1,890.00","2,212,204.50"
18,2025-03-18,"1,219.00","1,220.00","1,175.00","1,195.00",-0.25,"2,452.00","2,930,436.50"
19,2025-03-17,"1,193.40","1,215.00","1,168.50","1,198.00",2.39,"3,650.00","4,334,781.00"
20,2025-03-16,"1,175.60","1,223.00","1,131.00","1,170.00",-2.46,"3,314.00","3,897,317.00"
21,2025-03-12,"1,180.00","1,210.00","1,162.00","1,199.50",1.39,"4,582.00","5,416,161.00"
22,2025-03-11,"1,201.30","1,201.30","1,157.00","1,183.00",-3.03,"12,231.00","14,374,460.70"
23,2025-03-10,"1,300.00","1,300.00","1,190.00","1,220.00",-5.86,"11,174.00","13,648,441.60"
24,2025-03-09,"1,324.30","1,360.00","1,281.00","1,296.00",-2.64,"5,738.00","7,508,017.00"
25,2025-03-06,"1,374.00","1,374.00","1,320.50","1,331.10",-2.75,"9,180.00","12,300,251.50"
26,2025-03-05,"1,339.60","1,390.00","1,322.10","1,368.80",0.15,"6,848.00","9,338,686.00"
27,2025-03-04,"1,345.10","1,366.80","1,327.90","1,366.80",0.87,"11,763.00","15,803,395.00"
28,2025-03-03,"1,341.70","1,374.90","1,316.10","1,355.00",-1.02,"7,219.00","9,791,049.80"
29,2025-03-02,"1,351.10","1,400.00","1,351.00","1,369.00",-0.44,"6,632.00","8,975,568.10"
30,2025-02-27,"1,365.10","1,392.00","1,350.50","1,375.00",-1.22,"6,732.00","9,204,245.50"
31,2025-02-25,"1,372.10","1,425.00","1,366.10","1,392.00",-0.57,"9,273.00","12,753,577.00"
32,2025-02-24,"1,375.00","1,450.00","1,375.00","1,400.00",1.82,"7,054.00","9,887,825.00"
33,2025-02-23,"1,311.00","1,410.00","1,311.00","1,375.00",3.47,"9,079.00","12,292,772.90"
