S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,919.10,938.50,919.10,929.20,0.37,490.00,"454,730.80"
2,2025-04-01,918.00,936.00,918.00,925.77,-1.06,"2,775.00","2,561,546.70"
3,2025-03-30,952.00,952.00,920.00,935.67,0.16,"2,248.00","2,106,485.80"
4,2025-03-27,945.00,959.00,900.00,934.20,0.81,"2,708.00","2,497,431.60"
5,2025-03-26,939.00,939.00,900.00,926.73,0.55,"2,605.00","2,381,506.20"
6,2025-03-25,960.00,960.00,916.10,921.63,-5.28,"3,530.00","3,281,189.00"
7,2025-03-24,960.00,983.00,952.00,973.05,1.78,"1,330.00","1,290,907.00"
8,2025-03-23,990.00,990.00,950.60,956.01,-4.44,"2,898.00","2,814,452.10"
9,2025-03-20,"1,004.00","1,024.00",985.10,"1,000.40",1.54,670.00,"668,034.00"
10,2025-03-19,979.80,"1,036.00",979.80,985.20,-1.28,"1,963.00","1,924,600.90"
11,2025-03-18,988.00,"1,026.00",988.00,998.00,-0.97,"1,879.00","1,862,999.90"
12,2025-03-17,"1,009.90","1,015.00",995.00,"1,007.80",-0.12,"1,705.00","1,702,392.50"
13,2025-03-16,991.30,"1,065.00",991.30,"1,009.00",0.0,"3,045.00","3,173,969.00"
14,2025-03-12,"1,010.00","1,020.00",999.60,"1,009.00",-1.07,"2,695.00","2,703,585.50"
15,2025-03-11,"1,010.00","1,040.00",992.00,"1,019.90",0.88,"1,880.00","1,893,482.00"
16,2025-03-10,"1,002.50","1,080.00","1,002.50","1,011.00",-1.03,"2,256.00","2,287,771.00"
17,2025-03-09,"1,027.00","1,049.00","1,007.00","1,021.50",-2.44,"3,481.00","3,571,538.10"
18,2025-03-06,"1,050.10","1,055.00","1,040.00","1,047.00",-0.29,"1,480.00","1,551,320.00"
19,2025-03-05,"1,065.00","1,065.00","1,044.00","1,050.00",0.0,"1,090.00","1,150,083.00"
20,2025-03-04,"1,050.00","1,065.00","1,050.00","1,050.00",-1.78,"2,277.00","2,395,972.50"
21,2025-03-03,"1,089.10","1,130.00","1,047.00","1,069.00",0.11,"5,506.00","5,948,699.00"
22,2025-03-02,"1,075.00","1,085.00","1,060.20","1,067.80",-1.29,"3,255.00","3,470,281.00"
23,2025-02-27,"1,072.00","1,081.80","1,055.00","1,081.80",1.0,"1,325.00","1,418,368.00"
24,2025-02-25,"1,094.00","1,094.00","1,061.20","1,071.10",-0.18,"2,345.00","2,526,172.40"
25,2025-02-24,"1,040.30","1,142.00","1,021.00","1,073.00",1.13,"5,620.00","6,044,843.00"
26,2025-02-23,"1,046.20","1,091.40","1,046.20","1,061.00",0.0,"2,540.00","2,722,759.50"
27,2025-02-20,"1,078.00","1,078.00","1,058.40","1,061.00",-1.58,"2,845.00","3,028,469.10"
28,2025-02-18,"1,124.00","1,124.00","1,066.30","1,078.00",-2.41,"1,962.00","2,116,827.00"
29,2025-02-17,"1,064.00","1,104.60","1,058.50","1,104.60",3.04,"6,106.00","6,556,225.30"
30,2025-02-16,"1,050.90","1,083.00","1,050.90","1,072.00",0.28,"4,426.00","4,710,973.00"
31,2025-02-13,"1,094.00","1,094.00","1,056.00","1,069.00",-0.56,"1,625.00","1,742,142.30"
32,2025-02-12,"1,089.00","1,095.00","1,040.00","1,075.00",0.0,"6,407.00","6,838,566.00"
33,2025-02-11,"1,081.00","1,101.00","1,051.20","1,075.00",1.42,"3,048.00","3,289,234.70"
