S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,906.00,924.00,871.30,900.91,1.35,"111,866.00","100,758,797.60"
2,2025-04-01,900.00,900.00,871.00,888.92,0.35,"7,998.00","7,080,954.50"
3,2025-03-30,894.00,899.90,873.00,885.79,1.06,"8,057.00","7,155,812.80"
4,2025-03-27,892.90,892.90,870.00,876.49,-0.55,"7,925.00","6,947,481.80"
5,2025-03-26,855.00,887.60,846.00,881.37,2.71,"7,981.00","6,911,147.60"
6,2025-03-25,906.00,907.00,847.80,858.15,-6.6,"21,138.00","18,294,731.30"
7,2025-03-24,953.00,953.00,906.50,918.80,-1.86,"10,514.00","9,647,912.30"
8,2025-03-23,970.20,970.20,934.00,936.20,-1.74,"16,954.00","15,876,083.20"
9,2025-03-20,969.00,980.00,950.00,952.74,-3.28,"19,983.00","19,122,750.50"
10,2025-03-19,971.00,989.90,955.00,985.00,1.12,"10,729.00","10,390,734.10"
11,2025-03-18,976.10,"1,054.10",973.70,974.10,-1.95,"19,579.00","19,333,527.50"
12,2025-03-17,"1,009.00","1,010.00",978.00,993.50,-1.14,"12,128.00","11,970,993.80"
13,2025-03-16,"1,016.00","1,034.00",977.20,"1,005.00",-1.28,"15,690.00","15,579,305.50"
14,2025-03-12,"1,011.00","1,087.00","1,000.00","1,018.00",-0.68,"23,302.00","23,805,663.40"
15,2025-03-11,990.00,"1,089.80",982.00,"1,025.00",1.79,"37,702.00","37,915,199.00"
16,2025-03-10,991.00,"1,018.90",975.20,"1,007.00",0.8,"15,144.00","15,117,385.30"
17,2025-03-09,"1,029.00","1,029.00",998.00,999.00,-2.89,"16,542.00","16,633,579.50"
18,2025-03-06,"1,070.70","1,070.70","1,028.70","1,028.70",-2.02,"36,381.00","37,650,682.30"
19,2025-03-05,"1,023.90","1,086.50","1,004.00","1,049.90",4.57,"34,178.00","35,591,289.00"
20,2025-03-04,"1,024.00","1,035.00","1,000.10","1,004.00",-2.99,"14,712.00","14,858,965.60"
21,2025-03-03,"1,062.00","1,062.00","1,025.00","1,034.90",-0.68,"13,581.00","14,025,634.00"
22,2025-03-02,"1,054.00","1,067.00","1,037.00","1,042.00",-1.12,"15,719.00","16,407,450.70"
23,2025-02-27,"1,055.10","1,069.00","1,041.10","1,053.80",-0.11,"16,776.00","17,606,765.50"
24,2025-02-25,"1,054.00","1,075.00","1,050.00","1,055.00",-1.31,"21,130.00","22,260,362.20"
25,2025-02-24,"1,067.00","1,083.00","1,055.00","1,069.00",-0.37,"20,575.00","21,996,543.60"
26,2025-02-23,"1,050.00","1,135.00","1,048.00","1,073.00",0.28,"22,677.00","24,308,463.10"
27,2025-02-20,"1,070.00","1,090.00","1,057.80","1,070.00",-0.73,"31,574.00","33,832,156.20"
28,2025-02-18,"1,071.00","1,166.80","1,070.00","1,077.90",0.26,"38,128.00","41,134,583.80"
29,2025-02-17,"1,070.20","1,099.80","1,056.00","1,075.10",0.48,"29,438.00","31,631,822.20"
30,2025-02-16,"1,095.10","1,117.00","1,059.10","1,070.00",-2.28,"26,712.00","28,822,976.50"
31,2025-02-13,"1,120.00","1,120.00","1,090.30","1,095.00",-1.99,"21,343.00","23,495,470.00"
32,2025-02-12,"1,259.00","1,259.00","1,117.20","1,117.20",-10.0,"40,906.00","45,984,399.30"
33,2025-02-11,"1,147.00","1,241.30","1,107.10","1,241.30",6.1,"45,816.00","51,798,738.00"
34,2025-02-10,"1,249.50","1,249.50","1,147.50","1,169.90",-8.24,"50,279.00","57,856,723.80"
35,2025-02-09,"1,160.00","1,275.00","1,117.00","1,275.00",9.91,"44,157.00","51,104,357.80"
36,2025-02-06,"1,080.20","1,190.00","1,080.10","1,160.00",5.71,"43,150.00","49,560,499.60"
37,2025-02-05,"1,106.10","1,127.90","1,092.00","1,097.30",-2.11,"29,792.00","32,941,931.80"
38,2025-02-04,"1,164.00","1,167.00","1,117.20","1,121.00",-3.61,"25,786.00","29,220,967.10"
39,2025-02-03,"1,200.00","1,200.00","1,135.10","1,163.00",-1.44,"23,464.00","27,091,998.30"
40,2025-02-02,"1,175.00","1,197.00","1,115.00","1,180.00",0.43,"30,791.00","35,436,587.40"
41,2025-01-28,"1,190.00","1,205.00","1,162.00","1,175.00",0.68,"25,262.00","29,873,590.80"
42,2025-01-27,"1,136.80","1,219.00","1,136.80","1,167.10",0.61,"25,147.00","30,010,415.70"
43,2025-01-26,"1,222.50","1,225.00","1,140.00","1,160.00",-7.01,"43,143.00","50,837,756.60"
44,2025-01-23,"1,358.30","1,358.30","1,247.40","1,247.40",-10.0,"48,147.00","60,418,782.10"
45,2025-01-22,"1,282.00","1,386.00","1,220.00","1,386.00",8.2,"34,907.00","43,914,339.40"
46,2025-01-21,"1,354.90","1,354.90","1,204.00","1,281.00",-3.57,"133,713.00","164,351,664.90"
47,2025-01-20,"1,446.50","1,446.50","1,328.40","1,328.40",-10.0,"19,842.00","26,563,006.80"
48,2025-01-19,"1,607.20","1,607.20","1,476.00","1,476.00",-10.0,"159,868.00","244,554,924.00"
