S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,555.00,560.00,535.00,540.69,-2.48,"37,558.00","20,392,116.00"
2,2025-03-30,524.00,567.00,524.00,554.42,5.80,"75,115.00","40,925,716.30"
3,2025-03-27,518.00,528.00,511.10,524.02,1.21,"28,504.00","14,869,488.60"
4,2025-03-26,510.00,523.90,502.00,517.75,1.90,"26,454.00","13,529,918.40"
5,2025-03-25,520.00,527.30,506.00,508.09,-3.42,"24,503.00","12,543,506.30"
6,2025-03-24,516.00,535.80,510.10,526.08,1.60,"33,378.00","17,549,864.70"
7,2025-03-23,545.00,550.00,515.00,517.77,-4.69,"35,778.00","18,913,024.80"
8,2025-03-20,545.00,550.00,534.10,543.24,-1.03,"34,935.00","18,900,060.40"
9,2025-03-19,560.10,568.00,541.00,548.90,-1.81,"39,438.00","21,685,897.90"
10,2025-03-18,560.00,582.00,556.00,559.00,-0.71,"28,446.00","15,985,643.50"
11,2025-03-17,571.40,583.40,563.00,563.00,-1.92,"33,734.00","19,348,571.10"
12,2025-03-16,575.00,590.00,570.10,574.00,0.35,"42,690.00","24,576,651.10"
13,2025-03-12,574.00,580.00,570.00,572.00,-0.52,"31,620.00","18,107,744.40"
14,2025-03-11,587.00,591.00,572.00,575.00,-2.21,"37,170.00","21,575,604.10"
15,2025-03-10,599.00,611.00,585.00,588.00,-2.20,"44,950.00","26,779,067.40"
16,2025-03-09,611.00,628.00,598.90,601.20,-3.03,"39,857.00","24,137,410.30"
17,2025-03-06,610.00,641.00,600.00,620.00,2.62,"60,491.00","37,399,437.60"
18,2025-03-05,603.00,615.00,598.10,604.20,-0.95,"57,538.00","34,767,979.10"
19,2025-03-04,614.10,627.90,605.00,610.00,-2.09,"77,024.00","47,101,330.90"
20,2025-03-03,634.00,635.40,614.00,623.00,0.00,"80,813.00","50,641,879.60"
21,2025-03-02,627.00,634.00,623.00,623.00,-0.16,"64,137.00","40,304,704.10"
22,2025-02-27,632.00,640.00,620.00,624.00,-1.11,"73,906.00","46,227,866.50"
23,2025-02-25,626.90,639.90,624.00,631.00,0.96,"71,828.00","45,451,581.10"
24,2025-02-24,620.00,633.00,620.00,625.00,0.64,"88,819.00","55,530,569.90"
25,2025-02-23,622.00,636.90,615.00,621.00,-1.43,"80,024.00","49,969,752.60"
26,2025-02-20,640.00,641.00,628.00,630.00,-0.97,"76,465.00","48,542,316.10"
27,2025-02-18,650.00,660.00,636.00,636.20,-0.90,"135,703.00","87,503,896.70"
28,2025-02-17,667.60,667.60,639.00,642.00,-2.00,"132,283.00","86,402,339.80"
29,2025-02-16,674.00,674.00,655.00,655.10,-0.89,"94,530.00","62,682,807.30"
30,2025-02-13,679.70,679.70,661.00,661.00,-1.34,"116,182.00","77,526,713.60"
31,2025-02-12,681.00,694.60,665.00,670.00,-2.74,"172,084.00","116,359,872.90"
32,2025-02-11,671.00,694.00,671.00,688.90,2.82,"124,594.00","85,449,516.00"
33,2025-02-10,672.00,680.00,658.80,670.00,1.45,"139,369.00","93,234,963.40"
34,2025-02-09,698.90,698.90,658.00,660.40,-3.62,"188,857.00","126,307,305.20"
35,2025-02-06,715.10,716.00,681.00,685.20,-4.18,"223,588.00","155,983,874.20"
