S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,752.40,812.00,752.40,799.48,4.15,"3,035.00","2,361,608.50"
2,2025-03-30,785.00,795.00,749.00,767.66,-3.89,"8,366.00","6,474,716.10"
3,2025-03-27,738.90,799.00,738.00,798.70,5.93,"2,341.00","1,790,792.60"
4,2025-03-26,725.00,760.90,725.00,753.96,3.04,"1,936.00","1,421,617.00"
5,2025-03-25,733.10,762.50,708.00,731.71,-2.18,"2,159.00","1,588,993.00"
6,2025-03-24,726.00,770.00,712.50,748.00,3.00,"3,185.00","2,358,028.50"
7,2025-03-23,761.50,761.50,719.60,726.23,-6.48,"4,755.00","3,517,930.50"
8,2025-03-20,766.00,781.00,766.00,776.58,-0.60,"1,010.00","782,714.00"
9,2025-03-19,764.00,807.90,764.00,781.30,2.26,"4,260.00","3,288,019.50"
10,2025-03-18,782.00,787.00,756.60,764.00,-3.29,"4,020.00","3,080,242.00"
11,2025-03-17,780.00,802.90,773.00,790.00,1.28,"2,724.00","2,133,774.00"
12,2025-03-16,775.00,795.00,766.00,780.00,-1.27,"2,125.00","1,665,944.50"
13,2025-03-12,781.10,800.00,771.00,790.00,-0.63,"4,405.00","3,440,693.00"
14,2025-03-11,825.00,825.00,781.10,795.00,-2.09,"2,843.00","2,240,941.00"
15,2025-03-10,792.00,816.00,790.30,812.00,1.00,"3,195.00","2,561,638.50"
16,2025-03-09,812.00,813.00,789.00,804.00,-1.71,"3,375.00","2,703,807.80"
17,2025-03-06,808.00,825.00,806.00,818.00,1.10,"4,014.00","3,265,749.80"
18,2025-03-05,816.50,829.90,809.10,809.10,-2.87,"3,974.00","3,255,365.10"
19,2025-03-04,809.00,839.00,809.00,833.00,0.96,"1,755.00","1,447,624.00"
20,2025-03-03,860.00,860.00,825.10,825.10,-2.36,"5,233.00","4,376,370.80"
21,2025-03-02,827.00,847.40,827.00,845.00,0.24,"5,671.00","4,768,441.40"
22,2025-02-27,835.00,843.00,824.00,843.00,0.24,"5,735.00","4,791,193.70"
23,2025-02-25,830.00,842.00,820.00,841.00,1.45,"3,477.00","2,885,186.20"
24,2025-02-24,823.20,855.00,823.20,829.00,-1.19,"3,380.00","2,832,019.50"
25,2025-02-23,830.00,849.00,820.00,839.00,-0.37,"4,021.00","3,379,341.50"
26,2025-02-20,855.00,860.00,842.10,842.10,-2.08,"6,305.00","5,352,514.00"
27,2025-02-18,881.00,896.90,855.30,860.00,-0.58,"6,953.00","6,080,226.00"
28,2025-02-17,852.00,871.00,852.00,865.00,1.53,"8,056.00","6,963,667.50"
29,2025-02-16,847.00,864.00,833.00,852.00,0.83,"4,038.00","3,415,892.50"
30,2025-02-13,838.10,865.00,838.10,845.00,-1.17,"4,733.00","4,018,094.60"
31,2025-02-12,859.00,865.00,847.00,855.00,-0.54,"6,069.00","5,186,067.80"
32,2025-02-11,859.00,865.00,848.10,859.60,0.07,"5,278.00","4,500,841.90"
33,2025-02-10,858.00,872.00,858.00,859.00,-0.13,"6,235.00","5,381,501.40"
34,2025-02-09,866.00,898.80,855.00,860.10,-0.68,"9,265.00","8,037,152.00"
35,2025-02-06,865.30,882.00,865.30,866.00,-1.48,"6,082.00","5,300,002.70"
36,2025-02-05,875.20,895.00,872.20,879.00,-1.24,"9,267.00","8,122,581.30"
37,2025-02-04,900.00,900.00,873.20,890.00,0.00,"4,956.00","4,380,229.50"
38,2025-02-03,880.10,907.00,870.10,890.00,1.14,"11,016.00","9,740,679.20"
39,2025-02-02,889.50,905.00,877.00,880.00,0.89,"14,533.00","12,912,818.50"
40,2025-01-28,885.00,909.00,872.20,872.20,-0.32,"12,654.00","11,159,997.10"
41,2025-01-27,882.00,897.00,867.90,875.00,-2.56,"6,820.00","6,007,119.60"
42,2025-01-26,845.10,922.00,842.00,898.00,5.65,"21,448.00","19,238,889.00"
43,2025-01-23,841.00,857.00,836.10,850.00,0.47,"11,097.00","9,368,661.20"
44,2025-01-22,860.00,866.00,846.00,846.00,-0.47,"11,888.00","10,152,704.20"
45,2025-01-21,830.20,863.00,830.20,850.00,0.83,"22,911.00","19,512,700.80"
46,2025-01-20,833.00,865.00,827.00,843.00,-0.71,"8,483.00","7,130,327.80"
47,2025-01-19,860.00,874.00,830.50,849.00,-1.28,"10,386.00","8,786,223.20"
48,2025-01-16,811.00,884.00,811.00,860.00,4.87,"13,494.00","11,386,434.90"
49,2025-01-15,812.90,830.00,801.00,820.10,1.88,"7,948.00","6,514,951.50"
50,2025-01-13,817.20,823.00,790.70,805.00,-2.90,"10,237.00","8,258,540.80"
51,2025-01-12,815.20,840.00,815.20,829.00,0.01,"3,917.00","3,225,474.50"
52,2025-01-09,841.00,850.00,811.00,828.90,-1.32,"9,508.00","7,936,816.80"
53,2025-01-08,790.00,850.00,790.00,840.00,4.22,"13,445.00","11,139,480.80"
54,2025-01-07,801.40,828.00,801.40,806.00,-0.74,"11,320.00","9,188,080.50"
55,2025-01-06,805.00,815.00,793.20,812.00,1.51,"9,391.00","7,597,431.90"
56,2025-01-05,773.30,816.00,773.30,799.90,1.38,"12,337.00","9,827,054.50"
57,2025-01-02,765.10,794.00,765.10,789.00,1.15,"6,091.00","4,769,936.60"
58,2025-01-01,804.70,820.00,758.00,780.00,-1.14,"7,245.00","5,666,279.00"
59,2024-12-31,794.00,809.00,763.10,789.00,-2.59,"13,104.00","10,159,510.60"
60,2024-12-29,809.10,810.00,760.10,810.00,-1.82,"16,984.00","13,321,727.30"
61,2024-12-26,828.20,830.00,808.00,825.00,-1.77,"8,841.00","7,236,417.00"
62,2024-12-24,856.10,870.00,826.20,839.90,-1.82,"10,143.00","8,578,349.80"
63,2024-12-23,790.00,865.00,790.00,855.50,8.72,"48,413.00","39,914,912.40"
64,2024-12-22,772.00,789.00,766.00,786.90,1.40,"10,118.00","7,872,154.50"
65,2024-12-19,779.10,781.20,766.10,776.00,-2.27,"4,365.00","3,384,639.40"
66,2024-12-18,761.20,800.00,761.20,794.00,2.45,"10,364.00","8,153,360.70"
67,2024-12-17,768.30,783.00,768.00,775.00,-1.14,"1,174.00","903,261.60"
68,2024-12-16,769.50,830.00,768.00,783.90,-0.14,"6,668.00","5,225,141.10"
69,2024-12-12,810.90,810.90,770.00,785.00,-1.26,"5,589.00","4,357,915.50"
70,2024-12-11,762.20,801.00,762.20,795.00,3.64,"7,966.00","6,312,388.50"
71,2024-12-10,790.50,790.50,765.40,767.10,-1.02,"5,134.00","3,981,339.50"
72,2024-12-09,782.90,782.90,761.10,775.00,-1.01,"3,280.00","2,526,830.50"
73,2024-12-08,797.70,799.90,770.00,782.90,-1.02,"6,049.00","4,742,912.80"
74,2024-12-05,787.90,791.00,770.00,791.00,1.93,"8,552.00","6,624,683.50"
75,2024-12-04,788.00,799.00,775.90,776.00,-1.15,"8,483.00","6,652,700.90"
76,2024-12-03,775.20,790.70,760.00,785.00,3.29,"6,450.00","4,998,701.70"
77,2024-12-02,775.00,799.90,760.00,760.00,0.00,"4,601.00","3,553,641.30"
78,2024-12-01,776.00,779.90,760.00,760.00,-2.60,"5,991.00","4,590,563.00"
79,2024-11-28,804.70,820.00,760.00,780.30,-1.10,"7,522.00","5,873,915.20"
80,2024-11-27,785.00,800.70,773.00,789.00,2.45,"6,452.00","5,107,681.70"
81,2024-11-26,749.20,785.00,749.20,770.10,1.73,"3,290.00","2,532,174.70"
82,2024-11-25,769.00,772.00,751.00,757.00,0.00,"8,335.00","6,322,320.70"
83,2024-11-24,770.00,780.00,750.30,757.00,-2.20,"6,114.00","4,653,463.00"
84,2024-11-21,800.00,805.00,755.00,774.00,-3.73,"10,076.00","7,757,206.20"
85,2024-11-20,824.00,824.00,793.00,804.00,-0.62,"7,720.00","6,167,376.50"
