S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,235.00,235.90,228.00,232.05,-0.74,"61,087.00","14,119,086.40"
2,2025-03-30,231.80,238.70,231.00,233.79,1.63,"95,654.00","22,480,070.80"
3,2025-03-27,230.00,232.40,225.30,230.03,0.95,"53,965.00","12,416,325.50"
4,2025-03-26,222.00,229.00,222.00,227.87,1.28,"48,708.00","11,028,226.30"
5,2025-03-25,227.00,230.00,223.10,225.00,-2.82,"67,313.00","15,197,536.70"
6,2025-03-24,222.30,234.50,222.30,231.53,2.07,"49,388.00","11,370,065.00"
7,2025-03-23,229.00,234.80,226.10,226.83,-1.98,"106,947.00","24,631,000.20"
8,2025-03-20,234.00,234.00,230.60,231.42,-0.93,"74,455.00","17,281,298.70"
9,2025-03-19,232.60,238.00,232.60,233.60,-1.02,"39,889.00","9,390,815.10"
10,2025-03-18,237.90,247.40,230.00,236.00,1.16,"42,659.00","10,081,064.10"
11,2025-03-17,241.20,241.20,232.00,233.30,-1.35,"61,816.00","14,516,583.00"
12,2025-03-16,244.80,244.80,232.60,236.50,-1.46,"154,839.00","36,395,162.50"
13,2025-03-12,234.30,253.30,234.30,240.00,0.42,"85,323.00","20,520,713.20"
14,2025-03-11,242.00,246.00,237.00,239.00,-2.05,"114,592.00","27,585,454.80"
15,2025-03-10,249.90,256.90,243.00,244.00,-1.21,"105,491.00","26,043,537.00"
16,2025-03-09,262.10,262.10,246.70,247.00,-3.89,"154,182.00","38,773,657.20"
17,2025-03-06,254.00,257.80,249.00,257.00,1.98,"180,318.00","45,876,575.70"
18,2025-03-05,263.00,265.00,251.00,252.00,-3.11,"194,596.00","49,830,189.00"
19,2025-03-04,250.00,267.20,249.10,260.10,5.30,"531,770.00","139,038,230.10"
20,2025-03-03,255.00,256.00,246.30,247.00,-1.98,"306,583.00","76,393,536.10"
21,2025-03-02,250.80,253.50,242.50,252.00,2.48,"265,976.00","66,025,079.30"
22,2025-02-27,228.30,246.00,228.30,245.90,5.58,"247,403.00","59,630,748.90"
23,2025-02-25,231.10,239.00,231.10,232.90,-0.89,"73,464.00","17,256,371.70"
24,2025-02-24,232.00,242.00,228.60,235.00,2.84,"74,220.00","17,469,740.00"
25,2025-02-23,227.50,231.90,223.00,228.50,-1.51,"92,559.00","21,199,014.50"
26,2025-02-20,233.00,234.00,230.00,232.00,-1.07,"111,681.00","25,782,258.90"
27,2025-02-18,240.00,241.00,233.00,234.50,-1.64,"76,651.00","18,077,659.80"
28,2025-02-17,236.10,248.00,236.10,238.40,0.97,"97,141.00","23,295,927.30"
29,2025-02-16,234.00,244.80,229.40,236.10,2.21,"106,275.00","25,049,537.80"
30,2025-02-13,235.00,235.00,230.00,231.00,-0.43,"57,125.00","13,215,241.30"
31,2025-02-12,236.00,236.00,231.40,232.00,-0.64,"39,835.00","9,259,951.10"
32,2025-02-11,233.60,237.00,233.00,233.50,-0.04,"61,634.00","14,410,651.10"
33,2025-02-10,240.00,240.00,233.00,233.60,-1.06,"54,948.00","12,927,317.90"
34,2025-02-09,242.00,243.50,235.00,236.10,-1.21,"71,880.00","17,166,850.70"
35,2025-02-06,238.30,243.00,237.00,239.00,-0.25,"124,571.00","29,950,923.60"
36,2025-02-05,238.00,242.50,237.30,239.60,0.25,"129,862.00","31,192,903.95"
37,2025-02-04,243.70,243.70,237.00,239.00,0.00,"80,103.00","19,148,919.70"
38,2025-02-03,240.30,247.00,236.70,239.00,0.42,"194,670.00","46,960,468.50"
39,2025-02-02,234.50,242.00,233.00,238.00,2.63,"135,232.00","32,270,214.80"
40,2025-01-28,230.00,234.00,228.00,231.90,1.27,"127,358.00","29,463,032.10"
41,2025-01-27,232.90,236.00,227.80,229.00,0.26,"82,700.00","19,057,966.00"
42,2025-01-26,231.60,234.00,227.20,228.40,0.18,"50,633.00","11,675,695.40"
43,2025-01-23,234.00,237.00,228.00,228.00,-2.15,"56,496.00","13,106,665.40"
44,2025-01-22,230.40,233.90,223.70,233.00,3.14,"75,588.00","17,434,667.10"
45,2025-01-21,229.60,229.60,225.00,225.90,-0.66,"43,176.00","9,776,295.90"
46,2025-01-20,228.00,230.00,225.00,227.40,0.71,"52,581.00","11,984,880.90"
47,2025-01-19,219.60,228.00,219.60,225.80,0.80,"65,710.00","14,762,534.80"
48,2025-01-16,228.80,229.00,222.70,224.00,-0.58,"54,750.00","12,325,034.40"
49,2025-01-15,224.10,231.90,224.10,225.30,-1.36,"66,816.00","15,171,290.50"
50,2025-01-13,232.00,233.00,227.50,228.40,-1.21,"43,748.00","10,009,980.20"
51,2025-01-12,234.00,238.00,231.10,231.20,-1.62,"49,791.00","11,679,676.00"
52,2025-01-09,229.90,235.80,229.90,235.00,0.90,"100,587.00","23,468,430.30"
53,2025-01-08,233.00,234.00,229.50,232.90,1.26,"68,427.00","15,873,919.48"
54,2025-01-07,226.80,236.00,226.80,230.00,-0.61,"60,458.00","14,034,543.60"
55,2025-01-06,225.50,232.90,225.50,231.40,3.53,"78,908.00","18,192,740.80"
56,2025-01-05,222.00,227.00,220.30,223.50,1.41,"68,640.00","15,371,541.80"
57,2025-01-02,220.00,223.90,219.50,220.40,1.10,"48,699.00","10,750,295.20"
58,2025-01-01,220.00,225.00,218.00,218.00,-1.36,"70,040.00","15,483,213.10"
