S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-15,524.00,536.00,521.00,533.31,1.63,"21,853.00","11,601,319.00"
2,2025-04-13,520.0,527.9,520.0,524.75,0.13,"23,776.00","12,455,391.60"
3,2025-04-10,512.1,525.0,512.1,524.06,1.25,"19,969.00","10,411,926.30"
4,2025-04-09,520.0,525.0,516.0,517.6,1.39,"17,597.00","9,118,597.20"
5,2025-04-08,512.0,512.9,503.4,510.48,-0.48,"12,648.00","6,413,024.00"
6,2025-04-07,512.1,517.0,512.0,512.92,-1.1,"11,305.00","5,805,102.00"
7,2025-04-03,525.5,525.5,516.2,518.64,-0.46,"21,768.00","11,290,338.90"
8,2025-04-02,529.0,529.0,513.1,521.05,0.3,"28,719.00","14,938,329.10"
9,2025-04-01,522.0,524.0,513.1,519.48,-0.56,"23,676.00","12,258,320.80"
10,2025-03-30,515.0,528.8,515.0,522.41,1.76,"46,581.00","24,308,791.40"
11,2025-03-27,508.0,515.0,507.0,513.37,1.24,"14,729.00","7,541,556.80"
12,2025-03-26,503.0,510.0,495.0,507.07,1.52,"9,457.00","4,783,151.00"
13,2025-03-25,504.6,511.0,495.0,499.48,-2.99,"26,726.00","13,402,604.10"
14,2025-03-24,509.45,520.0,505.0,514.89,1.07,"15,806.00","8,096,196.30"
15,2025-03-23,523.1,523.1,509.0,509.45,-2.59,"29,664.00","15,193,828.20"
16,2025-03-20,520.0,530.9,520.0,523.01,-0.19,"10,826.00","5,675,881.20"
17,2025-03-19,533.0,535.0,522.2,524.0,-1.67,"18,116.00","9,554,755.70"
18,2025-03-18,526.0,544.0,526.0,532.9,-0.39,"11,250.00","5,999,890.50"
19,2025-03-17,530.0,544.0,526.2,535.0,-0.19,"15,107.00","8,061,240.30"
20,2025-03-16,540.0,550.8,530.1,536.0,-2.19,"24,153.00","12,931,304.70"
21,2025-03-12,544.0,550.0,535.0,548.0,0.74,"51,183.00","27,804,169.50"
22,2025-03-11,550.0,570.0,544.0,544.0,-2.86,"37,857.00","20,891,170.90"
23,2025-03-10,560.1,566.0,556.0,560.0,-0.53,"36,406.00","20,419,810.50"
24,2025-03-09,570.0,579.0,561.7,563.0,-1.73,"50,421.00","28,585,576.80"
25,2025-03-06,570.0,575.0,569.0,572.9,-0.19,"46,450.00","26,557,880.90"
26,2025-03-05,571.0,576.9,563.0,574.0,0.54,"64,932.00","36,892,304.10"
27,2025-03-04,570.0,579.0,565.5,570.9,-0.54,"45,509.00","26,039,109.30"
28,2025-03-03,592.6,592.6,573.0,574.0,-1.2,"61,346.00","35,535,420.60"
29,2025-03-02,589.5,589.5,576.0,581.0,0.52,"63,721.00","36,914,758.80"
30,2025-02-27,561.1,580.0,560.0,578.0,3.21,"46,966.00","26,872,313.80"
31,2025-02-25,560.2,575.0,559.0,560.0,-1.06,"59,909.00","33,891,343.60"
32,2025-02-24,568.0,584.0,560.0,566.0,-0.35,"71,933.00","41,154,029.30"
33,2025-02-23,570.0,575.9,554.1,568.0,-1.05,"68,349.00","38,920,803.20"
34,2025-02-20,570.0,580.0,560.0,574.0,0.7,"70,308.00","40,154,400.40"
35,2025-02-18,577.0,583.5,565.5,570.0,-0.54,"83,372.00","47,858,056.00"
36,2025-02-17,578.0,586.0,572.6,573.1,-0.74,"82,497.00","47,797,975.60"
37,2025-02-16,575.0,585.0,575.0,577.4,-0.45,"88,191.00","51,146,501.60"
38,2025-02-13,585.0,594.0,580.0,580.0,-1.16,"99,154.00","58,099,349.90"
39,2025-02-12,562.0,596.0,562.0,586.8,4.39,"255,630.00","149,431,478.90"
40,2025-02-11,552.1,568.0,552.1,562.1,0.93,"43,208.00","24,257,386.20"
41,2025-02-10,567.0,573.0,553.0,556.9,-2.13,"64,944.00","36,287,066.10"
42,2025-02-09,580.0,588.0,563.0,569.0,-0.18,"108,332.00","62,306,338.50"
43,2025-02-06,592.1,592.1,567.0,570.0,-1.81,"58,739.00","33,749,165.50"
44,2025-02-05,570.0,586.5,562.0,580.5,1.84,"113,998.00","65,754,588.80"
45,2025-02-04,565.5,594.0,565.5,570.0,-1.21,"94,117.00","54,311,172.20"
46,2025-02-03,597.0,602.0,575.0,577.0,-4.15,"152,546.00","89,218,126.00"
47,2025-02-02,610.0,637.0,599.8,602.0,0.1,"157,442.00","95,158,041.40"
48,2025-01-28,601.0,618.0,601.0,601.4,-1.89,"96,506.00","58,935,204.50"
49,2025-01-27,600.0,630.0,599.1,613.0,1.31,"146,203.00","88,981,564.10"
50,2025-01-26,600.0,614.0,596.0,605.1,0.85,"173,684.00","105,102,413.60"
51,2025-01-23,602.0,613.0,595.2,600.0,0.0,"123,780.00","74,686,509.70"
52,2025-01-22,570.0,605.0,566.7,600.0,5.26,"284,715.00","168,314,829.80"
53,2025-01-21,587.8,587.8,568.0,570.0,-2.4,"118,604.00","68,020,646.00"
54,2025-01-20,605.0,605.8,579.0,584.0,-1.7,"159,984.00","94,041,881.40"
55,2025-01-19,574.8,596.0,566.0,594.1,4.41,"259,543.00","151,530,236.90"
56,2025-01-16,550.0,589.5,545.2,569.0,3.27,"252,098.00","144,251,456.60"
57,2025-01-15,545.0,558.9,542.2,551.0,2.4,"113,658.00","62,804,992.60"
58,2025-01-13,532.0,568.0,532.0,538.1,-0.35,"237,427.00","129,982,397.50"
59,2025-01-12,512.0,550.0,510.4,540.0,3.85,"55,691.00","29,577,955.50"
60,2025-01-09,526.0,527.1,514.0,520.0,0.58,"46,512.00","24,076,735.50"
61,2025-01-08,513.0,530.0,513.0,517.0,-0.77,"71,552.00","37,307,151.60"
62,2025-01-07,528.0,533.0,518.0,521.0,-1.33,"42,858.00","22,376,201.00"
63,2025-01-06,519.0,530.0,512.0,528.0,2.92,"159,651.00","83,177,283.30"
64,2025-01-05,492.0,514.0,492.0,513.0,2.6,"74,538.00","37,409,600.10"
65,2025-01-02,491.0,509.0,490.0,500.0,2.04,"23,441.00","11,686,558.50"
66,2025-01-01,490.0,496.9,484.4,490.0,-0.12,"19,873.00","9,677,035.10"
67,2024-12-31,490.2,496.0,478.0,490.6,-0.93,"47,060.00","22,810,422.10"
68,2024-12-29,498.0,510.0,490.0,495.2,-2.33,"46,121.00","22,965,333.20"
69,2024-12-26,508.0,516.0,503.0,507.0,-1.36,"22,605.00","11,440,799.40"
70,2024-12-24,522.0,526.0,510.5,514.0,-1.7,"28,296.00","14,656,229.40"
71,2024-12-23,505.3,522.9,505.3,522.9,2.13,"17,383.00","8,932,542.20"
72,2024-12-22,496.1,518.0,496.0,512.0,2.4,"28,230.00","14,349,436.60"
73,2024-12-19,512.1,520.0,498.0,500.0,-2.67,"39,279.00","19,803,874.10"
74,2024-12-18,522.0,533.0,513.7,513.7,-0.45,"55,660.00","29,243,806.20"
75,2024-12-17,515.0,529.0,510.0,516.0,0.39,"38,134.00","19,752,336.00"
76,2024-12-16,526.0,532.7,510.1,514.0,-3.38,"50,483.00","26,049,155.00"
77,2024-12-12,538.0,544.8,524.0,532.0,-1.12,"53,017.00","28,418,144.50"
78,2024-12-11,534.9,540.0,526.1,538.0,2.48,"53,688.00","28,688,366.60"
79,2024-12-10,547.0,547.0,522.5,525.0,-2.23,"39,860.00","21,041,911.50"
80,2024-12-09,540.0,549.0,529.8,537.0,0.37,"42,339.00","22,760,556.10"
81,2024-12-08,555.2,572.0,534.7,535.0,-5.56,"120,167.00","65,832,683.30"
82,2024-12-05,538.0,582.0,533.0,566.5,5.49,"241,571.00","135,952,942.50"
83,2024-12-04,508.1,553.0,508.1,537.0,4.68,"207,388.00","111,821,104.40"
84,2024-12-03,519.0,528.0,504.1,513.0,0.79,"58,350.00","29,941,727.20"
85,2024-12-02,501.0,517.0,501.0,509.0,0.39,"42,684.00","21,730,735.10"
86,2024-12-01,505.1,510.1,497.1,507.0,-1.55,"35,443.00","17,909,143.40"
87,2024-11-28,530.0,530.0,512.9,515.0,-2.83,"30,086.00","15,604,796.40"
88,2024-11-27,517.1,533.0,515.2,530.0,2.51,"42,841.00","22,543,320.90"
89,2024-11-26,510.0,520.0,503.6,517.0,3.4,"30,230.00","15,476,884.00"
90,2024-11-25,506.3,513.0,498.2,500.0,-2.72,"17,484.00","8,813,549.50"
91,2024-11-24,500.8,518.0,500.8,514.0,1.78,"22,600.00","11,482,880.60"
92,2024-11-21,518.1,525.0,505.0,505.0,-2.81,"51,593.00","26,441,197.90"
93,2024-11-20,508.0,524.0,501.0,519.6,0.33,"15,860.00","8,203,770.40"
94,2024-11-19,525.0,534.0,507.0,517.9,-1.18,"69,665.00","36,080,725.30"
95,2024-11-17,546.0,548.0,522.0,524.1,-3.12,"51,554.00","27,635,761.30"
96,2024-11-14,562.0,565.0,537.0,541.0,-2.35,"62,946.00","34,512,473.90"
97,2024-11-13,520.4,565.0,520.4,554.0,4.33,"156,510.00","86,188,050.40"
98,2024-11-12,520.0,538.7,520.0,531.0,0.19,"20,022.00","10,591,827.50"
99,2024-11-11,522.5,541.0,522.5,530.0,-0.56,"33,600.00","17,772,867.50"
100,2024-11-10,525.1,537.0,515.0,533.0,1.52,"65,173.00","34,615,368.80"
101,2024-11-06,498.0,525.0,498.0,525.0,3.96,"29,366.00","15,149,659.90"
102,2024-11-05,500.0,512.0,499.3,505.0,-0.59,"8,655.00","4,381,080.00"
103,2024-10-30,518.0,519.0,501.0,508.0,-1.74,"17,130.00","8,729,221.00"
104,2024-10-29,527.0,527.0,507.0,517.0,0.0,"9,462.00","4,909,361.70"
