S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,818.00,818.00,792.30,808.95,0.07,"3,070.00","2,474,071.00"
2,2025-04-01,791.00,816.00,791.00,808.38,0.4,"2,271.00","1,831,132.00"
3,2025-03-30,795.00,820.00,795.00,805.13,1.53,"5,096.00","4,123,496.80"
4,2025-03-27,801.00,817.00,780.00,792.96,0.97,"4,296.00","3,397,431.00"
5,2025-03-26,798.00,810.00,769.10,785.31,0.26,"4,960.00","3,904,315.90"
6,2025-03-25,800.00,800.00,775.00,783.25,-2.89,"6,178.00","4,874,411.00"
7,2025-03-24,806.00,821.40,776.00,806.59,0.15,"3,262.00","2,605,953.80"
8,2025-03-23,856.00,856.00,795.00,805.39,-4.03,"4,103.00","3,364,364.40"
9,2025-03-20,815.00,884.00,815.00,839.22,1.1,"3,555.00","3,000,459.40"
10,2025-03-19,846.00,846.00,830.00,830.10,0.01,"1,789.00","1,489,418.50"
11,2025-03-18,855.50,855.50,830.00,830.00,-1.07,"4,183.00","3,535,482.30"
12,2025-03-17,849.00,855.50,824.00,839.00,-1.18,"5,827.00","4,887,487.50"
13,2025-03-16,861.00,870.00,848.00,849.00,-1.85,"3,330.00","2,845,012.10"
14,2025-03-12,870.00,882.30,860.10,865.00,-0.57,"3,733.00","3,242,515.40"
15,2025-03-11,881.40,881.40,855.00,870.00,0.58,"5,628.00","4,868,688.60"
16,2025-03-10,864.40,892.00,852.10,865.00,-1.93,"6,177.00","5,341,046.20"
17,2025-03-09,900.00,916.00,852.00,882.00,-0.45,"2,640.00","2,301,216.00"
18,2025-03-06,857.00,905.00,857.00,886.00,2.55,"6,218.00","5,472,796.40"
19,2025-03-05,875.00,875.00,850.70,864.00,-1.77,"6,819.00","5,876,608.60"
20,2025-03-04,900.00,900.00,867.00,879.60,-1.17,"8,399.00","7,373,537.80"
21,2025-03-03,910.00,916.00,890.00,890.00,-1.0,"9,138.00","8,193,259.80"
22,2025-03-02,881.20,925.00,881.20,899.00,1.01,"9,883.00","8,908,577.20"
23,2025-02-27,913.00,930.00,880.10,890.00,-0.89,"5,886.00","5,256,342.50"
24,2025-02-25,910.00,910.00,880.00,898.00,0.56,"11,896.00","10,608,648.00"
25,2025-02-24,887.00,914.10,887.00,893.00,-1.22,"7,599.00","6,842,502.20"
26,2025-02-23,892.80,915.00,892.80,904.00,-0.77,"8,686.00","7,851,209.50"
27,2025-02-20,917.00,917.00,908.00,911.00,-1.41,"6,029.00","5,489,164.00"
28,2025-02-18,908.00,943.00,908.00,924.00,1.76,"13,534.00","12,574,525.40"
29,2025-02-17,907.20,925.00,901.00,908.00,0.09,"9,766.00","8,900,725.70"
30,2025-02-16,901.00,919.00,901.00,907.20,-0.21,"5,772.00","5,244,928.40"
31,2025-02-13,901.00,924.10,891.00,909.10,-1.08,"15,244.00","13,803,980.30"
32,2025-02-12,917.00,930.00,910.00,919.00,-1.6,"11,897.00","10,962,629.80"
33,2025-02-11,921.00,933.90,919.00,933.90,0.42,"5,737.00","5,287,785.00"
34,2025-02-10,925.00,950.00,920.00,930.00,0.0,"24,988.00","23,336,462.80"
35,2025-02-09,937.00,966.90,919.00,930.00,-0.75,"10,727.00","10,090,888.50"
36,2025-02-06,944.00,956.00,926.00,937.00,-0.43,"7,816.00","7,336,423.90"
37,2025-02-05,993.80,993.80,940.00,941.00,-3.49,"17,619.00","16,832,397.80"
38,2025-02-04,995.50,"1,015.00",955.10,975.00,-0.1,"32,145.00","31,917,852.60"
39,2025-02-03,"1,030.00","1,030.00",960.00,976.00,-5.52,"41,256.00","40,591,570.30"
40,2025-02-02,970.50,"1,046.60",970.50,"1,033.00",8.57,"62,093.00","63,850,114.10"
41,2025-01-28,875.00,951.50,866.10,951.50,10.0,"43,928.00","40,909,830.00"
42,2025-01-27,865.00,884.00,860.10,865.00,-0.57,"6,353.00","5,539,877.50"
43,2025-01-26,854.00,882.10,854.00,870.00,1.75,"7,768.00","6,795,232.00"
44,2025-01-23,880.00,880.00,855.00,855.00,-0.93,"4,519.00","3,881,541.90"
45,2025-01-22,879.90,879.90,851.20,863.00,0.0,"6,829.00","5,915,496.20"
46,2025-01-21,850.00,884.00,850.00,863.00,-0.35,"4,751.00","4,113,388.90"
47,2025-01-20,880.00,881.00,860.50,866.00,-1.03,"8,559.00","7,456,423.10"
48,2025-01-19,877.00,893.00,871.20,875.00,1.64,"5,315.00","4,668,455.80"
49,2025-01-16,855.00,889.00,842.80,860.90,2.59,"11,902.00","10,124,335.40"
50,2025-01-15,852.00,884.00,839.00,839.20,-1.5,"6,348.00","5,357,935.80"
51,2025-01-13,839.00,856.80,822.40,852.00,2.38,"6,409.00","5,386,678.10"
52,2025-01-12,860.00,860.00,832.00,832.20,-3.65,"2,158.00","1,809,026.00"
53,2025-01-09,870.00,880.00,849.00,863.70,-1.85,"5,217.00","4,505,674.00"
54,2025-01-08,908.20,908.20,870.00,880.00,-1.35,"4,926.00","4,327,477.60"
55,2025-01-07,869.00,915.00,868.00,892.00,2.76,"15,757.00","14,092,067.00"
56,2025-01-06,867.00,870.00,849.70,868.00,2.12,"5,567.00","4,781,744.40"
57,2025-01-05,810.00,858.00,810.00,850.00,3.66,"6,453.00","5,442,782.10"
58,2025-01-02,795.90,825.00,782.00,820.00,0.97,"5,486.00","4,474,844.20"
59,2025-01-01,829.90,832.00,800.00,812.10,-0.36,"3,035.00","2,479,819.50"
60,2024-12-31,840.20,855.00,799.00,815.00,-4.0,"7,736.00","6,371,866.60"
61,2024-12-29,879.00,879.00,838.00,849.00,-1.96,"6,984.00","5,902,281.60"
62,2024-12-26,888.00,888.00,866.00,866.00,-1.59,"4,719.00","4,109,882.50"
63,2024-12-24,880.00,897.00,869.20,880.00,0.57,"15,050.00","13,231,913.50"
64,2024-12-23,865.10,879.80,850.00,875.00,1.16,"12,990.00","11,216,354.30"
65,2024-12-22,864.00,875.00,846.10,865.00,0.71,"5,448.00","4,671,212.50"
66,2024-12-19,843.10,877.00,843.10,858.90,-0.13,"2,912.00","2,498,771.20"
67,2024-12-18,884.90,884.90,860.00,860.00,-1.15,"4,231.00","3,676,286.40"
68,2024-12-17,845.00,887.10,830.30,870.00,1.17,"20,949.00","18,139,803.60"
69,2024-12-16,860.80,891.00,848.20,859.90,-1.73,"9,987.00","8,646,375.70"
70,2024-12-12,880.00,897.80,872.20,875.00,-1.69,"7,275.00","6,418,822.60"
71,2024-12-11,900.00,900.00,867.50,890.00,0.68,"3,760.00","3,320,959.00"
72,2024-12-10,880.00,897.00,868.20,884.00,-0.44,"13,442.00","11,811,287.40"
73,2024-12-09,907.00,907.00,871.00,887.90,-0.24,"8,672.00","7,647,130.00"
74,2024-12-08,900.00,922.00,880.00,890.00,-1.66,"17,551.00","15,763,735.10"
75,2024-12-05,893.00,930.00,893.00,905.00,0.44,"15,559.00","14,171,555.00"
76,2024-12-04,939.00,939.00,901.00,901.00,-2.38,"12,656.00","11,599,640.10"
77,2024-12-03,900.00,930.30,900.00,923.00,1.2,"7,505.00","6,910,728.00"
78,2024-12-02,954.00,954.00,902.00,912.10,-2.67,"11,039.00","10,201,417.50"
79,2024-12-01,918.00,966.90,898.00,937.10,0.22,"19,349.00","18,191,950.50"
80,2024-11-28,984.30,984.30,932.00,935.00,-3.11,"18,809.00","17,689,027.80"
81,2024-11-27,"1,011.70","1,011.70",952.00,965.00,-6.52,"47,093.00","45,568,197.50"
82,2024-11-26,"1,169.90","1,169.90","1,032.30","1,032.30",-10.0,"8,888.00","9,213,458.80"
83,2024-11-25,"1,048.60","1,147.00",963.00,"1,147.00",7.2,"102,555.00","101,667,011.20"
84,2024-11-24,992.90,"1,070.00",980.00,"1,070.00",9.91,"86,003.00","87,909,579.30"
85,2024-11-21,888.00,973.50,871.00,973.50,10.0,"72,819.00","68,700,228.80"
86,2024-11-20,860.00,890.00,845.00,885.00,4.73,"12,539.00","10,897,846.70"
87,2024-11-19,890.00,890.00,845.00,845.00,-3.65,"13,220.00","11,502,995.50"
88,2024-11-17,905.00,919.00,875.00,877.00,-1.24,"17,912.00","15,904,200.90"
89,2024-11-14,895.00,906.00,877.10,888.00,-0.22,"8,657.00","7,665,636.20"
90,2024-11-13,918.00,936.00,874.20,890.00,-1.11,"5,230.00","4,650,403.60"
91,2024-11-12,908.00,928.00,896.10,900.00,-0.88,"17,706.00","16,185,315.00"
92,2024-11-11,910.00,927.90,887.00,908.00,-0.22,"16,547.00","15,065,063.50"
93,2024-11-10,865.00,914.00,862.00,910.00,4.84,"21,202.00","18,875,441.10"
94,2024-11-06,892.00,909.00,865.00,868.00,-0.8,"2,165.00","1,896,263.70"
95,2024-11-05,906.00,906.00,875.00,875.00,-1.69,"4,980.00","4,402,625.70"
96,2024-10-30,910.00,910.00,871.00,890.00,-0.78,"3,618.00","3,217,288.00"
97,2024-10-29,885.70,897.00,874.00,897.00,-0.74,"17,580.00","15,496,456.20"
98,2024-10-28,870.00,943.00,870.00,903.70,3.87,"13,852.00","12,251,934.10"
99,2024-10-27,876.00,880.00,865.00,870.00,-1.14,"5,068.00","4,419,833.70"
100,2024-10-24,890.80,923.00,870.00,880.00,-3.18,"6,276.00","5,535,168.50"
101,2024-10-23,901.60,927.00,900.00,908.90,-1.21,"9,135.00","8,348,236.20"
102,2024-10-22,865.00,920.00,865.00,920.00,6.36,"20,295.00","18,326,372.10"
103,2024-10-21,900.00,903.00,865.00,865.00,-2.35,"20,870.00","18,524,021.60"
104,2024-10-20,895.70,912.00,863.00,885.80,-3.07,"9,010.00","8,059,454.80"
105,2024-10-17,880.10,935.00,880.10,913.90,1.88,"12,199.00","11,169,329.50"
106,2024-10-16,884.00,912.00,867.00,897.00,-0.44,"7,101.00","6,385,285.00"
107,2024-10-15,905.90,905.90,871.00,901.00,-2.52,"6,650.00","5,948,726.20"
108,2024-10-09,"1,006.50","1,006.50",924.30,924.30,-10.0,"17,320.00","16,025,832.20"
109,2024-10-08,954.60,"1,028.00",899.00,"1,027.00",5.44,"29,250.00","27,133,529.30"
110,2024-10-07,876.00,974.00,864.00,974.00,9.93,"37,473.00","34,273,896.70"
111,2024-10-06,870.00,953.00,850.00,886.00,0.31,"24,702.00","22,101,235.00"
112,2024-10-02,819.00,883.30,818.70,883.30,10.0,"25,689.00","22,326,296.90"
113,2024-10-01,743.00,803.00,727.50,803.00,10.0,"23,779.00","18,627,793.90"
114,2024-09-30,735.00,763.90,720.60,730.00,-2.65,"5,374.00","3,919,775.80"
115,2024-09-29,790.00,790.00,735.00,749.90,-5.08,"4,924.00","3,720,101.00"
116,2024-09-26,830.10,830.10,776.00,790.00,-6.73,"7,290.00","5,761,475.70"
117,2024-09-25,775.00,847.00,765.10,847.00,10.0,"19,103.00","15,057,724.20"
118,2024-09-24,841.00,841.60,765.00,770.00,-6.68,"16,495.00","13,345,934.60"
119,2024-09-23,848.00,868.70,816.00,825.10,-4.61,"9,593.00","7,987,266.50"
120,2024-09-22,867.00,868.00,805.00,865.00,1.76,"11,340.00","9,510,012.00"
121,2024-09-18,832.00,895.00,816.00,850.00,0.24,"8,708.00","7,349,456.60"
122,2024-09-16,916.90,916.90,845.00,848.00,-9.36,"17,379.00","15,345,984.30"
123,2024-09-15,"1,018.80","1,018.80",935.60,935.60,-10.0,"54,764.00","51,967,914.60"
124,2024-09-12,"1,131.90","1,131.90","1,039.50","1,039.50",-10.0,"11,815.00","12,286,076.90"
125,2024-09-11,"1,033.90","1,155.00",949.50,"1,155.00",9.48,"69,827.00","68,209,107.80"
126,2024-09-10,941.00,"1,055.00",923.00,"1,055.00",9.9,"76,125.00","72,451,750.70"
127,2024-09-09,992.30,995.00,922.00,960.00,-5.19,"13,646.00","12,855,581.50"
128,2024-09-08,"1,102.50","1,102.50","1,012.50","1,012.50",-10.0,"12,602.00","12,841,383.50"
129,2024-09-05,"1,049.60","1,133.00","1,001.00","1,125.00",5.04,"14,953.00","15,543,551.70"
130,2024-09-04,"1,010.40","1,074.00","1,010.00","1,071.00",3.88,"18,600.00","19,246,319.40"
131,2024-09-03,"1,027.10","1,131.00",987.00,"1,031.00",-1.62,"11,544.00","11,920,162.70"
132,2024-09-02,977.30,"1,060.00",930.00,"1,048.00",5.09,"41,738.00","40,859,341.80"
133,2024-09-01,"1,085.80","1,085.80",997.20,997.20,-9.99,"23,167.00","23,181,320.90"
134,2024-08-29,"1,206.40","1,206.40","1,107.90","1,107.90",-10.0,"16,712.00","18,555,324.30"
135,2024-08-28,"1,119.20","1,231.00","1,027.80","1,231.00",7.79,"71,327.00","75,135,172.30"
136,2024-08-27,"1,019.20","1,142.00",950.00,"1,142.00",9.81,"52,580.00","51,718,793.30"
137,2024-08-25,927.10,"1,040.00",927.10,"1,040.00",9.94,"36,969.00","35,511,524.80"
138,2024-08-22,842.80,946.00,842.80,946.00,10.0,"46,200.00","42,621,018.80"
139,2024-08-21,841.50,878.00,841.50,860.00,2.2,"27,194.00","23,400,929.50"
140,2024-08-18,835.10,867.00,805.00,841.50,-1.0,"34,923.00","28,807,895.90"
141,2024-08-15,877.10,965.00,827.00,850.00,-5.03,"32,649.00","28,013,579.90"
142,2024-08-14,799.00,895.00,799.00,895.00,9.82,"35,188.00","29,619,407.40"
143,2024-08-13,846.00,856.80,793.00,815.00,-2.98,"23,085.00","19,036,034.00"
144,2024-08-12,838.90,885.00,800.00,840.00,-1.87,"31,108.00","25,867,455.20"
145,2024-08-11,765.00,856.00,765.00,856.00,9.88,"43,207.00","34,720,666.50"
146,2024-08-08,769.00,810.00,756.00,779.00,1.3,"27,898.00","21,951,227.50"
147,2024-08-07,769.00,799.00,741.00,769.00,1.89,"25,975.00","20,043,578.00"
