S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,765.00,779.90,748.10,758.53,-0.89,"27,994.00","21,099,972.20"
2,2025-03-30,736.90,771.00,736.90,765.37,1.79,"36,458.00","27,750,094.00"
3,2025-03-27,767.30,767.30,747.00,751.89,-0.06,"14,687.00","11,048,315.70"
4,2025-03-26,750.00,764.00,743.00,752.32,-0.07,"10,610.00","8,007,344.50"
5,2025-03-25,790.00,790.00,750.00,752.81,-6.55,"20,695.00","15,655,904.10"
6,2025-03-24,838.60,838.60,796.00,805.55,-4.26,"28,262.00","22,693,891.50"
7,2025-03-23,885.00,888.00,799.70,841.37,-5.31,"65,126.00","53,428,921.20"
8,2025-03-20,860.50,895.50,818.30,888.55,1.20,"34,172.00","29,152,439.60"
9,2025-03-19,883.00,900.00,844.00,878.00,-0.68,"49,330.00","43,138,686.00"
10,2025-03-18,880.00,930.00,875.30,884.00,0.45,"18,756.00","16,551,111.90"
11,2025-03-17,861.00,913.40,861.00,880.00,2.14,"18,568.00","16,185,978.60"
12,2025-03-16,825.00,894.00,825.00,861.60,4.18,"57,774.00","50,572,804.40"
13,2025-03-12,829.00,839.90,820.00,827.00,-0.48,"5,999.00","4,973,481.60"
14,2025-03-11,830.00,861.90,830.00,831.00,-1.80,"7,988.00","6,655,326.00"
15,2025-03-10,860.00,877.20,846.20,846.20,0.26,"3,301.00","2,828,858.60"
16,2025-03-09,867.10,882.00,840.10,844.00,-3.87,"10,736.00","9,229,019.60"
17,2025-03-06,888.00,915.90,878.00,878.00,-2.23,"10,720.00","9,510,054.40"
18,2025-03-05,929.00,929.00,886.10,898.00,-3.02,"18,059.00","16,205,955.60"
19,2025-03-04,934.00,950.00,900.00,926.00,-2.83,"13,155.00","12,205,125.50"
20,2025-03-03,937.00,953.80,935.00,953.00,1.49,"19,234.00","18,098,688.90"
21,2025-03-02,974.00,993.40,935.10,939.00,-5.47,"32,627.00","31,022,641.80"
22,2025-02-27,903.00,993.30,884.00,993.30,10.00,"34,789.00","32,210,059.10"
23,2025-02-25,905.00,924.10,885.00,903.00,0.00,"75,061.00","67,761,080.40"
24,2025-02-24,910.00,958.00,886.20,903.00,0.00,"15,986.00","14,592,014.40"
25,2025-02-23,933.80,933.80,880.00,903.00,-5.23,"14,122.00","12,836,447.40"
26,2025-02-20,855.60,952.80,855.60,952.80,9.14,"16,568.00","14,831,122.10"
27,2025-02-18,865.60,891.00,857.00,873.00,-1.02,"7,372.00","6,417,236.50"
28,2025-02-17,897.00,899.10,874.00,882.00,0.06,"4,296.00","3,806,960.80"
29,2025-02-16,900.00,908.00,873.00,881.50,-2.06,"7,981.00","7,059,257.10"
30,2025-02-13,931.00,931.00,890.00,900.00,-1.64,"16,074.00","14,628,850.60"
31,2025-02-12,912.00,958.00,912.00,915.00,0.33,"19,262.00","17,698,288.40"
32,2025-02-11,914.00,969.00,895.80,912.00,1.33,"14,053.00","12,910,389.00"
33,2025-02-10,848.10,918.00,848.10,900.00,4.28,"40,237.00","36,153,169.50"
34,2025-02-09,867.10,879.30,861.10,863.10,-0.01,"7,752.00","6,726,337.00"
35,2025-02-06,855.20,875.00,855.20,863.20,-0.67,"6,755.00","5,843,019.10"
36,2025-02-05,874.00,885.00,863.00,869.00,-0.57,"9,318.00","8,136,330.90"
37,2025-02-04,860.00,889.00,855.10,874.00,2.22,"13,387.00","11,683,234.80"
38,2025-02-03,874.00,877.00,850.10,855.00,-0.58,"25,253.00","21,799,191.10"
39,2025-02-02,874.00,890.00,860.00,860.00,-1.60,"34,768.00","30,188,767.90"
40,2025-01-28,872.00,879.20,855.00,874.00,2.22,"15,544.00","13,535,070.90"
41,2025-01-27,900.00,900.00,855.00,855.00,-3.93,"6,203.00","5,372,341.40"
42,2025-01-26,852.00,955.90,852.00,890.00,2.42,"34,387.00","30,602,453.00"
43,2025-01-23,852.00,885.00,852.00,869.00,0.00,"16,673.00","14,383,643.70"
44,2025-01-22,844.00,870.00,844.00,869.00,2.83,"9,945.00","8,528,399.00"
45,2025-01-21,842.00,860.10,836.00,845.10,-1.62,"23,424.00","19,840,833.70"
46,2025-01-20,873.00,919.90,850.00,859.00,-3.48,"62,455.00","54,719,475.40"
47,2025-01-19,912.60,912.60,862.10,890.00,-4.42,"41,518.00","36,600,229.50"
48,2025-01-16,862.00,931.20,835.10,931.20,9.99,"31,524.00","26,990,591.20"
49,2025-01-15,840.00,862.00,808.00,846.60,2.74,"28,589.00","24,090,106.70"
50,2025-01-13,861.00,861.00,818.00,824.00,-4.21,"25,822.00","21,469,990.60"
51,2025-01-12,856.60,907.00,856.60,860.20,-1.58,"38,590.00","33,248,109.50"
52,2025-01-09,848.00,897.00,832.20,874.00,1.04,"25,125.00","21,801,480.30"
53,2025-01-08,840.00,870.00,825.00,865.00,1.17,"11,257.00","9,506,907.90"
54,2025-01-07,795.00,855.00,791.00,855.00,8.37,"46,577.00","38,440,424.80"
55,2025-01-06,750.00,790.00,750.00,789.00,5.20,"24,121.00","18,781,740.00"
56,2025-01-05,708.00,750.00,708.00,750.00,5.93,"37,557.00","27,615,827.90"
57,2025-01-02,689.90,710.00,685.60,708.00,2.64,"8,316.00","5,841,694.00"
58,2025-01-01,679.50,690.90,679.50,689.80,1.59,"3,183.00","2,186,634.00"
59,2024-12-31,686.00,694.00,670.00,679.00,-2.99,"11,215.00","7,640,083.00"
60,2024-12-29,680.00,713.00,678.00,699.90,2.01,"15,375.00","10,702,485.60"
61,2024-12-26,691.00,695.00,681.00,686.10,-1.89,"5,035.00","3,470,491.00"
62,2024-12-24,720.00,720.00,699.30,699.30,-0.95,"7,068.00","4,995,207.00"
63,2024-12-23,690.00,717.70,686.00,706.00,3.82,"6,483.00","4,573,388.90"
64,2024-12-22,663.10,693.60,662.00,680.00,0.77,"10,937.00","7,366,377.80"
65,2024-12-19,677.80,685.00,670.00,674.80,-1.92,"11,648.00","7,896,698.50"
66,2024-12-18,686.00,703.00,686.00,688.00,-0.30,"11,882.00","8,222,878.90"
67,2024-12-17,700.10,708.90,682.40,690.10,-2.11,"13,955.00","9,703,920.20"
68,2024-12-16,721.30,742.50,690.00,705.00,-4.21,"33,516.00","23,852,239.80"
69,2024-12-12,750.00,760.00,736.00,736.00,-3.72,"29,885.00","22,316,780.80"
70,2024-12-11,721.10,764.40,721.10,764.40,4.14,"32,697.00","24,342,204.00"
71,2024-12-10,736.00,750.00,723.50,734.00,-1.91,"7,897.00","5,806,941.80"
72,2024-12-09,745.00,784.50,732.00,748.30,0.46,"51,323.00","38,177,497.60"
73,2024-12-08,745.00,775.30,731.00,744.90,-0.01,"57,437.00","43,040,087.00"
74,2024-12-05,750.00,760.00,727.00,745.00,-2.42,"29,851.00","22,263,999.90"
75,2024-12-04,699.00,763.50,698.00,763.50,8.78,"53,340.00","38,746,451.20"
76,2024-12-03,708.00,714.00,696.00,701.90,-0.90,"31,015.00","21,793,523.20"
77,2024-12-02,691.00,713.90,691.00,708.30,1.91,"27,932.00","19,758,822.90"
78,2024-12-01,686.00,700.00,680.30,695.00,-0.71,"34,310.00","23,770,969.10"
79,2024-11-28,714.00,715.00,689.00,700.00,-2.13,"64,704.00","45,091,919.30"
80,2024-11-27,693.00,735.00,693.00,715.20,1.45,"28,494.00","20,617,474.40"
81,2024-11-26,660.90,711.90,640.10,705.00,8.80,"61,644.00","42,026,710.10"
82,2024-11-25,668.10,680.90,643.00,648.00,-1.07,"16,864.00","11,062,929.10"
83,2024-11-24,658.00,674.00,646.30,655.00,-1.65,"57,878.00","38,133,684.90"
84,2024-11-21,666.00,687.80,663.10,666.00,-1.33,"24,419.00","16,462,107.30"
85,2024-11-20,643.00,681.00,629.00,675.00,6.30,"57,550.00","38,096,697.50"
86,2024-11-19,657.10,676.20,628.00,635.00,-1.54,"110,907.00","72,712,028.10"
87,2024-11-17,598.00,644.90,598.00,644.90,9.99,"135,335.00","86,965,510.30"
88,2024-11-14,543.00,586.30,543.00,586.30,10.00,"94,588.00","55,367,484.40"
89,2024-11-13,517.00,535.00,517.00,533.00,3.07,"11,603.00","6,112,601.40"
90,2024-11-12,527.00,554.00,517.10,517.10,-3.71,"12,134.00","6,384,803.90"
91,2024-11-11,524.00,564.00,524.00,537.00,0.73,"16,383.00","8,741,848.50"
92,2024-11-10,527.00,548.00,517.59,533.10,1.16,"18,951.00","10,142,300.30"
