S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-15,518.20,540.00,508.00,525.01,3.32,"60,393.00","31,885,369.90"
2,2025-04-13,523.2,523.2,507.3,508.12,-1.15,"16,577.00","8,504,884.40"
3,2025-04-10,517.3,525.0,510.0,514.01,1.15,"23,368.00","12,088,666.80"
4,2025-04-09,519.8,520.0,504.0,508.19,-0.41,"16,274.00","8,347,644.20"
5,2025-04-08,515.0,515.0,496.0,510.3,0.21,"13,871.00","6,960,536.70"
6,2025-04-07,510.0,519.7,507.0,509.22,-1.3,"11,835.00","6,051,919.20"
7,2025-04-03,520.0,531.4,512.0,515.94,-1.2,"26,952.00","14,097,208.90"
8,2025-04-02,520.0,532.0,518.0,522.23,-0.42,"9,627.00","5,059,502.30"
9,2025-04-01,541.0,541.0,516.3,524.44,-1.2,"29,594.00","15,564,520.80"
10,2025-03-30,515.0,545.0,512.0,530.83,2.42,"24,958.00","13,287,331.80"
11,2025-03-27,522.0,523.0,507.1,518.3,0.92,"16,696.00","8,639,632.80"
12,2025-03-26,509.6,519.0,497.0,513.58,2.79,"24,571.00","12,563,488.40"
13,2025-03-25,502.0,519.9,496.0,499.64,-2.43,"32,116.00","16,130,741.20"
14,2025-03-24,500.0,526.7,500.0,512.1,1.15,"12,441.00","6,411,938.10"
15,2025-03-23,525.0,525.0,502.0,506.3,-2.22,"20,131.00","10,318,878.20"
16,2025-03-20,525.0,530.0,515.0,517.78,-0.41,"30,744.00","15,993,407.80"
17,2025-03-19,520.2,532.0,511.6,519.9,-1.16,"9,735.00","5,051,707.60"
18,2025-03-18,538.4,538.4,520.0,526.0,-0.38,"13,781.00","7,278,606.70"
19,2025-03-17,543.6,543.6,522.3,528.0,-0.94,"18,500.00","9,812,971.50"
20,2025-03-16,539.9,544.0,524.4,533.0,-0.19,"12,765.00","6,800,656.60"
21,2025-03-12,538.0,538.0,521.0,534.0,1.14,"18,802.00","9,940,014.90"
22,2025-03-11,541.1,549.4,525.2,528.0,-2.4,"26,400.00","14,226,297.00"
23,2025-03-10,560.0,574.0,540.0,541.0,-2.7,"28,731.00","15,734,306.30"
24,2025-03-09,565.0,572.6,553.1,556.0,-2.46,"17,193.00","9,615,137.20"
25,2025-03-06,578.0,578.0,561.0,570.0,0.53,"19,546.00","11,065,430.20"
26,2025-03-05,550.5,569.0,550.5,567.0,1.47,"21,762.00","12,179,467.10"
27,2025-03-04,565.0,577.0,556.6,558.8,-1.79,"39,607.00","22,422,162.00"
28,2025-03-03,580.0,589.0,569.0,569.0,-1.9,"39,281.00","22,712,526.10"
29,2025-03-02,585.0,595.0,576.1,580.0,-0.85,"40,605.00","23,602,730.20"
30,2025-02-27,580.0,603.0,575.0,585.0,0.86,"31,419.00","18,346,225.50"
31,2025-02-25,590.0,598.0,576.0,580.0,-1.69,"31,266.00","18,310,460.30"
32,2025-02-24,578.5,603.0,578.5,590.0,0.85,"34,696.00","20,656,767.00"
33,2025-02-23,573.4,595.5,570.1,585.0,-0.02,"53,373.00","31,260,413.40"
34,2025-02-20,608.0,609.0,585.1,585.1,-3.61,"53,874.00","32,042,295.10"
35,2025-02-18,620.0,625.0,600.0,607.0,-2.11,"51,066.00","30,999,582.00"
36,2025-02-17,632.0,638.0,605.1,620.1,-1.57,"54,755.00","34,135,279.00"
37,2025-02-16,605.0,633.9,605.0,630.0,2.61,"57,510.00","35,583,834.40"
38,2025-02-13,629.9,630.0,609.3,614.0,-1.6,"76,608.00","47,144,222.00"
39,2025-02-12,617.2,636.3,617.2,624.0,0.65,"40,646.00","25,444,068.30"
40,2025-02-11,622.0,642.0,613.0,620.0,-0.32,"76,701.00","48,069,687.50"
41,2025-02-10,676.5,676.5,608.0,622.0,-6.25,"156,672.00","99,298,182.60"
42,2025-02-09,642.9,693.0,642.9,663.5,5.27,"210,601.00","141,101,347.20"
43,2025-02-06,573.0,630.3,567.0,630.3,10.0,"204,910.00","125,064,046.60"
44,2025-02-05,570.0,579.9,564.0,573.0,1.42,"37,291.00","21,313,173.40"
45,2025-02-04,546.0,567.8,546.0,565.0,2.36,"45,197.00","25,299,698.00"
46,2025-02-03,560.0,568.0,545.0,552.0,-1.02,"61,174.00","33,934,017.20"
47,2025-02-02,592.9,594.9,557.7,557.7,-4.18,"79,593.00","45,872,051.80"
48,2025-01-28,570.0,583.0,568.0,582.0,2.11,"68,427.00","39,477,682.10"
49,2025-01-27,561.0,581.3,561.0,570.0,1.6,"72,988.00","41,874,634.90"
50,2025-01-26,560.0,571.0,551.0,561.0,0.54,"42,777.00","24,157,661.90"
51,2025-01-23,537.0,565.0,537.0,558.0,2.39,"55,495.00","30,956,488.10"
52,2025-01-22,540.0,558.0,540.0,545.0,0.0,"65,775.00","36,137,925.80"
