S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,750.00,750.00,734.10,736.86,-1.31,"1,926.00","1,424,298.90"
2,2025-03-30,735.00,760.00,735.00,746.63,2.09,"2,634.00","1,981,402.20"
3,2025-03-27,721.90,744.50,721.90,731.33,0.12,"1,432.00","1,049,455.50"
4,2025-03-26,735.00,754.10,728.10,730.43,0.75,"1,403.00","1,027,954.40"
5,2025-03-25,770.00,770.00,725.00,725.02,-3.97,"3,730.00","2,737,593.00"
6,2025-03-24,740.00,756.90,731.00,755.01,1.35,"2,216.00","1,659,019.00"
7,2025-03-23,740.00,763.50,731.00,744.98,-0.53,"3,369.00","2,516,723.30"
8,2025-03-20,735.10,759.90,735.10,748.94,-0.01,"3,080.00","2,307,981.10"
9,2025-03-19,752.20,755.00,742.10,749.00,-0.43,"3,673.00","2,744,371.70"
10,2025-03-18,746.00,787.00,746.00,752.20,-0.88,"1,380.00","1,041,778.00"
11,2025-03-17,751.00,765.00,748.00,758.90,1.05,"2,156.00","1,632,966.00"
12,2025-03-16,770.00,774.90,751.00,751.00,-2.34,"3,543.00","2,693,003.40"
13,2025-03-12,767.00,779.90,765.00,769.00,0.26,"5,390.00","4,125,702.50"
14,2025-03-11,770.00,785.00,766.00,767.00,-1.78,"5,216.00","4,008,168.60"
15,2025-03-10,778.00,780.90,770.00,780.90,0.24,"4,568.00","3,537,580.30"
16,2025-03-09,765.00,791.50,765.00,779.00,0.39,"4,718.00","3,675,646.40"
17,2025-03-06,794.00,810.00,776.00,776.00,-2.14,"5,173.00","4,090,128.00"
18,2025-03-05,797.00,797.00,782.00,793.00,-0.50,"4,148.00","3,269,276.00"
19,2025-03-04,815.00,815.00,784.00,797.00,-1.48,"7,101.00","5,644,125.40"
20,2025-03-03,818.00,818.00,800.00,809.00,0.62,"7,931.00","6,401,746.20"
21,2025-03-02,805.40,819.00,798.00,804.00,-0.15,"7,999.00","6,427,886.00"
22,2025-02-27,806.30,821.10,801.20,805.20,-1.20,"3,935.00","3,174,785.00"
23,2025-02-25,808.60,829.60,805.00,815.00,-0.73,"2,928.00","2,389,676.00"
24,2025-02-24,830.00,830.00,807.50,821.00,0.12,"7,894.00","6,420,415.00"
25,2025-02-23,815.00,820.00,801.20,820.00,-0.74,"8,139.00","6,614,066.90"
26,2025-02-20,831.00,843.90,824.20,826.10,-0.46,"8,200.00","6,813,786.30"
