S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,674.20,699.00,660.80,670.15,-2.47,"13,621.00","9,121,722.90"
2,2025-03-30,672.00,696.00,672.00,687.15,2.25,"11,193.00","7,644,927.00"
3,2025-03-27,669.00,679.00,650.10,672.04,1.79,"5,080.00","3,404,364.50"
4,2025-03-26,660.00,673.00,647.30,660.20,1.41,"10,773.00","7,091,082.40"
5,2025-03-25,675.00,675.00,649.10,651.02,-3.49,"14,845.00","9,704,803.50"
6,2025-03-24,670.00,685.00,670.00,674.58,-0.39,"7,694.00","5,204,257.00"
7,2025-03-23,684.20,710.00,677.00,677.22,-1.83,"9,777.00","6,694,570.40"
8,2025-03-20,694.00,705.00,683.10,689.81,-1.88,"14,015.00","9,714,602.50"
9,2025-03-19,694.00,713.90,694.00,703.00,0.43,"4,484.00","3,132,197.70"
10,2025-03-18,720.00,720.00,700.00,700.00,-1.13,"7,164.00","5,041,512.10"
11,2025-03-17,700.00,719.00,700.00,708.00,-0.83,"7,831.00","5,521,902.20"
12,2025-03-16,721.00,730.00,705.00,713.90,-0.85,"27,334.00","19,541,348.80"
13,2025-03-12,700.00,720.00,688.00,720.00,3.60,"21,768.00","15,223,981.60"
14,2025-03-11,700.20,709.80,694.00,695.00,-2.25,"18,954.00","13,280,474.50"
15,2025-03-10,714.50,740.00,705.00,711.00,-2.20,"25,795.00","18,505,670.80"
16,2025-03-09,732.00,740.00,725.00,727.00,-0.68,"14,140.00","10,288,410.10"
17,2025-03-06,720.00,735.00,720.00,732.00,0.14,"14,495.00","10,564,873.00"
18,2025-03-05,725.00,740.00,722.10,731.00,0.14,"16,829.00","12,271,184.50"
19,2025-03-04,737.00,749.00,725.00,730.00,-1.35,"33,316.00","24,542,471.40"
20,2025-03-03,750.00,765.00,740.00,740.00,-1.33,"31,861.00","23,865,006.80"
21,2025-03-02,760.00,760.00,745.00,750.00,-0.27,"32,627.00","24,424,774.70"
22,2025-02-27,765.00,766.00,745.20,752.00,0.13,"20,488.00","15,417,726.10"
23,2025-02-25,755.00,768.00,745.00,751.00,-0.53,"28,244.00","21,365,586.50"
24,2025-02-24,770.00,788.00,755.00,755.00,-1.71,"40,268.00","30,888,250.10"
25,2025-02-23,767.00,784.00,730.00,768.10,-0.76,"50,376.00","38,713,770.40"
26,2025-02-20,795.00,795.00,768.00,774.00,-2.64,"31,931.00","24,838,278.80"
27,2025-02-18,788.70,802.00,788.70,795.00,1.40,"54,548.00","43,484,995.10"
28,2025-02-17,778.00,793.00,778.00,784.00,0.77,"57,299.00","45,027,431.30"
29,2025-02-16,761.00,786.00,761.00,778.00,1.04,"49,038.00","38,047,611.30"
30,2025-02-13,763.30,785.40,746.00,770.00,-1.13,"57,759.00","44,080,972.30"
31,2025-02-12,780.00,789.90,777.00,778.80,0.12,"45,888.00","35,898,056.80"
32,2025-02-11,747.80,779.00,747.80,777.90,1.95,"45,999.00","35,643,051.00"
33,2025-02-10,755.60,775.00,755.00,763.00,1.71,"54,426.00","41,745,997.00"
34,2025-02-09,762.00,767.00,750.00,750.20,-0.50,"54,700.00","41,563,842.80"
35,2025-02-06,763.00,765.00,750.00,754.00,0.40,"47,803.00","36,145,472.70"
36,2025-02-05,740.10,769.00,740.10,751.00,1.49,"40,887.00","30,875,048.60"
37,2025-02-04,735.00,764.60,735.00,740.00,-1.33,"28,952.00","21,592,670.10"
38,2025-02-03,743.90,764.00,740.10,750.00,-1.19,"38,103.00","28,479,378.80"
39,2025-02-02,760.00,783.00,754.60,759.00,0.40,"57,326.00","44,004,169.20"
40,2025-01-28,738.00,770.00,732.00,756.00,2.30,"62,185.00","46,932,997.70"
41,2025-01-27,756.00,767.90,735.00,739.00,-2.53,"71,689.00","53,537,923.80"
42,2025-01-26,770.00,774.00,751.00,758.20,-0.21,"78,458.00","59,851,205.50"
43,2025-01-23,715.40,774.90,715.40,759.80,4.08,"129,243.00","98,235,806.20"
44,2025-01-22,705.00,744.00,696.00,730.00,3.99,"116,180.00","83,990,228.20"
45,2025-01-21,716.50,716.50,697.00,702.00,-0.07,"23,525.00","16,480,900.00"
46,2025-01-20,714.00,718.00,699.70,702.50,0.36,"63,006.00","44,577,940.50"
47,2025-01-19,699.00,709.90,688.70,700.00,2.04,"68,640.00","48,238,901.00"
48,2025-01-16,675.00,699.00,675.00,686.00,0.44,"30,058.00","20,758,174.10"
49,2025-01-15,675.00,689.00,675.00,683.00,1.04,"18,674.00","12,743,881.80"
50,2025-01-13,680.00,687.00,672.00,676.00,-1.31,"35,556.00","24,117,750.70"
51,2025-01-12,689.00,696.00,680.20,685.00,-0.44,"17,737.00","12,200,104.60"
52,2025-01-09,700.00,704.30,685.00,688.00,-1.57,"37,776.00","26,251,107.80"
53,2025-01-08,699.00,703.80,687.20,699.00,-0.11,"55,465.00","38,477,173.60"
54,2025-01-07,705.00,709.00,679.20,699.80,-0.17,"54,006.00","37,489,730.40"
55,2025-01-06,677.20,705.00,677.20,701.00,2.05,"74,424.00","52,082,001.60"
56,2025-01-05,670.00,693.00,666.00,686.90,3.32,"44,271.00","30,267,051.40"
57,2025-01-02,640.30,665.00,640.30,664.80,2.31,"21,310.00","13,986,362.10"
58,2025-01-01,627.00,652.00,627.00,649.80,2.77,"22,807.00","14,628,880.90"
59,2024-12-31,655.00,656.10,630.10,632.30,-3.76,"41,888.00","26,774,731.30"
60,2024-12-29,650.00,669.90,645.00,657.00,-0.90,"50,165.00","32,798,793.50"
61,2024-12-26,660.00,669.90,640.00,663.00,-1.34,"35,154.00","22,843,169.90"
62,2024-12-24,671.00,682.00,665.00,672.00,-0.30,"23,369.00","15,744,074.50"
63,2024-12-23,647.00,674.00,647.00,674.00,4.01,"16,276.00","10,813,546.30"
64,2024-12-22,640.00,665.00,638.00,648.00,-0.03,"18,509.00","12,085,114.90"
65,2024-12-19,678.90,683.00,648.00,648.20,-3.96,"25,200.00","16,647,963.60"
66,2024-12-18,670.00,678.00,662.30,674.90,0.73,"16,744.00","11,205,691.10"
67,2024-12-17,675.00,680.00,664.20,670.00,-1.02,"30,720.00","20,657,375.40"
68,2024-12-16,689.70,700.00,657.00,676.90,-3.81,"51,360.00","35,023,051.70"
69,2024-12-12,693.00,722.00,693.00,703.70,1.69,"127,011.00","90,180,356.50"
70,2024-12-11,677.00,695.00,658.00,692.00,3.45,"37,490.00","25,565,176.40"
71,2024-12-10,672.00,676.90,660.00,668.90,0.00,"16,000.00","10,674,321.10"
72,2024-12-09,689.00,689.00,657.00,668.90,-1.30,"18,958.00","12,622,182.10"
73,2024-12-08,691.00,698.00,667.00,677.70,-2.77,"46,518.00","31,654,373.10"
74,2024-12-05,680.00,721.00,680.00,697.00,2.50,"141,337.00","99,308,507.90"
75,2024-12-04,663.00,692.00,651.20,680.00,3.05,"57,726.00","39,229,017.70"
76,2024-12-03,660.00,673.00,643.00,659.90,1.84,"15,706.00","10,366,048.30"
