S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,"1,178.00","1,225.00","1,154.00","1,182.19",0.41,"4,189.00","4,925,050.50"
2,2025-03-30,"1,130.00","1,196.00","1,130.00","1,177.36",4.92,"3,414.00","3,990,420.10"
3,2025-03-27,"1,111.00","1,123.90","1,111.00","1,122.20",1.01,"2,943.00","3,290,497.40"
4,2025-03-26,"1,091.00","1,129.40","1,091.00","1,111.00",0.10,"1,981.00","2,197,886.80"
5,2025-03-25,"1,122.00","1,125.00","1,080.00","1,109.92",-1.16,"2,044.00","2,254,248.10"
6,2025-03-24,"1,134.70","1,134.70","1,110.00","1,122.96",0.94,"2,315.00","2,592,661.00"
7,2025-03-23,"1,131.35","1,146.50","1,108.00","1,112.52",-1.66,"1,549.00","1,729,656.30"
8,2025-03-20,"1,155.60","1,155.60","1,120.00","1,131.35",-0.15,"2,008.00","2,264,474.90"
9,2025-03-19,"1,126.00","1,163.00","1,126.00","1,133.00",-1.05,"1,922.00","2,190,108.50"
10,2025-03-18,"1,120.00","1,168.00","1,115.00","1,145.00",1.78,"1,974.00","2,233,938.80"
11,2025-03-17,"1,127.00","1,155.00","1,117.20","1,125.00",-2.17,"3,381.00","3,833,126.90"
12,2025-03-16,"1,170.00","1,179.00","1,102.00","1,150.00",-1.46,"2,508.00","2,855,176.00"
13,2025-03-12,"1,180.00","1,224.00","1,140.00","1,167.00",-1.10,"4,263.00","4,938,943.60"
14,2025-03-11,"1,195.00","1,260.00","1,100.20","1,180.00",-1.01,"6,753.00","7,737,160.00"
15,2025-03-10,"1,235.00","1,235.00","1,178.20","1,192.00",-1.81,"4,616.00","5,523,337.90"
16,2025-03-09,"1,246.60","1,265.00","1,208.00","1,214.00",-4.56,"8,674.00","10,607,360.30"
17,2025-03-06,"1,299.90","1,301.00","1,256.20","1,272.00",-0.55,"4,872.00","6,201,250.10"
18,2025-03-05,"1,250.00","1,309.00","1,227.00","1,279.00",1.03,"4,664.00","5,952,959.70"
19,2025-03-04,"1,330.00","1,330.00","1,260.00","1,266.00",-4.81,"12,425.00","15,982,631.40"
20,2025-03-03,"1,360.00","1,378.90","1,320.00","1,330.00",-2.64,"9,940.00","13,378,952.00"
21,2025-03-02,"1,353.00","1,380.00","1,353.00","1,366.00",-0.73,"8,644.00","11,787,275.60"
22,2025-02-27,"1,330.00","1,393.00","1,270.10","1,376.00",2.69,"8,314.00","11,204,931.00"
23,2025-02-25,"1,336.00","1,379.00","1,320.00","1,340.00",-1.69,"10,719.00","14,469,829.70"
24,2025-02-24,"1,380.00","1,411.00","1,346.10","1,363.00",0.14,"14,133.00","19,403,424.70"
25,2025-02-23,"1,409.60","1,426.00","1,328.00","1,361.10",-1.51,"24,432.00","33,607,769.90"
26,2025-02-20,"1,375.00","1,452.00","1,350.00","1,382.00",2.23,"24,906.00","34,708,174.00"
27,2025-02-18,"1,211.00","1,351.90","1,205.00","1,351.90",10.00,"38,623.00","51,306,503.20"
28,2025-02-17,"1,210.10","1,235.00","1,209.10","1,229.00",-0.24,"4,056.00","4,987,669.60"
29,2025-02-16,"1,166.00","1,237.00","1,166.00","1,232.00",3.60,"15,032.00","18,364,402.90"
30,2025-02-13,"1,200.00","1,219.00","1,181.20","1,189.20",-1.00,"5,827.00","6,966,585.10"
31,2025-02-12,"1,210.00","1,224.00","1,191.00","1,201.20",-0.73,"7,398.00","8,924,293.10"
32,2025-02-11,"1,145.00","1,224.00","1,104.00","1,210.00",7.56,"14,407.00","16,980,405.30"
33,2025-02-10,"1,155.00","1,155.00","1,109.00","1,125.00",-2.43,"7,317.00","8,276,111.90"
34,2025-02-09,"1,175.00","1,179.90","1,153.00","1,153.00",-1.85,"4,947.00","5,777,785.50"
35,2025-02-06,"1,151.50","1,196.00","1,151.50","1,174.70",-0.03,"8,660.00","10,181,864.00"
36,2025-02-05,"1,180.00","1,195.00","1,174.00","1,175.00",-1.43,"4,542.00","5,365,345.70"
37,2025-02-04,"1,190.00","1,200.00","1,179.00","1,192.00",0.17,"2,938.00","3,488,457.90"
38,2025-02-03,"1,212.50","1,213.80","1,176.00","1,190.00",-1.86,"6,746.00","8,084,576.00"
39,2025-02-02,"1,192.00","1,224.00","1,172.00","1,212.50",1.72,"10,019.00","11,976,308.30"
40,2025-01-28,"1,175.00","1,212.00","1,157.00","1,192.00",0.08,"7,904.00","9,303,531.00"
41,2025-01-27,"1,216.90","1,239.00","1,175.50","1,191.00",-0.18,"14,521.00","17,273,317.50"
42,2025-01-26,"1,210.00","1,229.00","1,187.00","1,193.10",-1.40,"4,078.00","4,905,751.40"
43,2025-01-23,"1,197.10","1,227.00","1,197.10","1,210.00",-0.90,"5,229.00","6,338,385.40"
44,2025-01-22,"1,200.00","1,245.00","1,200.00","1,221.00",2.61,"8,087.00","9,957,704.20"
45,2025-01-21,"1,175.00","1,205.00","1,175.00","1,190.00",-0.25,"4,227.00","5,046,081.50"
46,2025-01-20,"1,219.00","1,219.90","1,184.00","1,193.00",-1.00,"3,246.00","3,876,160.00"
47,2025-01-19,"1,200.00","1,220.00","1,171.70","1,205.00",-1.22,"4,872.00","5,792,606.80"
48,2025-01-16,"1,220.20","1,229.90","1,200.00","1,219.90",-2.02,"3,226.00","3,911,624.10"
49,2025-01-15,"1,219.00","1,250.10","1,219.00","1,245.00",3.75,"9,241.00","11,413,764.10"
50,2025-01-13,"1,137.00","1,230.00","1,137.00","1,200.00",3.45,"5,723.00","6,922,838.90"
51,2025-01-12,"1,170.00","1,171.00","1,160.00","1,160.00",-1.44,"1,319.00","1,533,393.70"
52,2025-01-09,"1,180.30","1,193.00","1,160.00","1,177.00",-1.43,"6,661.00","7,816,024.60"
53,2025-01-08,"1,177.00","1,209.00","1,177.00","1,194.10",-0.33,"1,688.00","2,014,660.50"
54,2025-01-07,"1,201.90","1,220.00","1,178.00","1,198.00",-0.33,"1,300.00","1,567,452.50"
55,2025-01-06,"1,210.40","1,224.00","1,165.00","1,202.00",1.29,"2,674.00","3,207,583.00"
56,2025-01-05,"1,170.00","1,193.00","1,146.60","1,186.70",0.82,"2,575.00","2,996,180.50"
57,2025-01-02,"1,150.00","1,195.00","1,145.00","1,177.00",1.38,"2,460.00","2,873,788.00"
58,2025-01-01,"1,165.00","1,180.00","1,148.00","1,161.00",-1.61,"3,858.00","4,486,391.50"
59,2024-12-31,"1,235.10","1,238.00","1,150.00","1,180.00",-6.13,"7,060.00","8,404,537.60"
60,2024-12-29,"1,241.70","1,275.00","1,235.00","1,257.00",-0.79,"3,326.00","4,153,107.00"
61,2024-12-26,"1,289.60","1,289.60","1,243.00","1,267.00",-1.78,"4,487.00","5,641,840.00"
62,2024-12-24,"1,297.40","1,323.00","1,266.00","1,290.00",1.42,"8,387.00","10,769,169.10"
63,2024-12-23,"1,312.70","1,312.70","1,262.00","1,272.00",-1.17,"1,954.00","2,488,164.30"
64,2024-12-22,"1,271.90","1,310.00","1,260.00","1,287.00",3.21,"4,473.00","5,771,496.00"
65,2024-12-19,"1,246.20","1,281.00","1,240.00","1,247.00",0.56,"3,603.00","4,521,250.80"
66,2024-12-18,"1,205.40","1,284.00","1,205.40","1,240.00",0.81,"3,762.00","4,735,611.50"
67,2024-12-17,"1,205.00","1,303.00","1,205.00","1,230.00",0.24,"5,355.00","6,624,135.20"
68,2024-12-16,"1,260.10","1,285.00","1,225.00","1,227.00",-4.22,"9,475.00","11,834,329.90"
69,2024-12-12,"1,393.00","1,393.00","1,281.00","1,281.00",-6.24,"7,648.00","10,036,083.10"
70,2024-12-11,"1,360.00","1,385.00","1,335.00","1,366.20",-1.36,"6,744.00","9,159,838.50"
71,2024-12-10,"1,316.00","1,400.00","1,276.00","1,385.00",5.24,"20,374.00","27,890,627.90"
72,2024-12-09,"1,210.00","1,326.00","1,210.00","1,316.00",8.76,"19,873.00","25,534,345.40"
73,2024-12-08,"1,245.00","1,260.00","1,186.00","1,210.00",-1.63,"7,216.00","8,759,615.00"
74,2024-12-05,"1,236.10","1,279.00","1,225.00","1,230.00",-2.23,"4,357.00","5,435,180.00"
75,2024-12-04,"1,300.00","1,303.00","1,237.00","1,258.00",-1.92,"5,893.00","7,500,807.40"
76,2024-12-03,"1,310.00","1,345.00","1,282.60","1,282.60",-1.64,"9,509.00","12,602,095.20"
77,2024-12-02,"1,251.00","1,317.00","1,251.00","1,304.00",2.27,"13,342.00","17,336,746.80"
78,2024-12-01,"1,166.00","1,287.00","1,163.00","1,275.00",7.50,"14,323.00","17,804,257.60"
79,2024-11-28,"1,191.00","1,210.00","1,186.00","1,186.00",-1.75,"2,004.00","2,387,815.00"
80,2024-11-27,"1,167.00","1,219.90","1,167.00","1,207.10",1.44,"5,624.00","6,757,238.40"
81,2024-11-26,"1,153.10","1,190.00","1,140.00","1,190.00",3.47,"3,020.00","3,523,421.40"
82,2024-11-25,"1,150.00","1,207.60","1,140.00","1,150.10",0.89,"1,783.00","2,059,686.50"
83,2024-11-24,"1,154.00","1,200.00","1,131.00","1,140.00",-3.14,"4,906.00","5,717,155.00"
84,2024-11-21,"1,174.00","1,210.00","1,174.00","1,177.00",-1.66,"3,204.00","3,812,005.50"
85,2024-11-20,"1,175.00","1,197.90","1,165.00","1,196.90",0.92,"1,050.00","1,241,484.00"
86,2024-11-19,"1,224.00","1,242.00","1,170.00","1,186.00",-3.10,"6,012.00","7,209,126.80"
87,2024-11-17,"1,210.00","1,273.00","1,199.00","1,223.90",2.00,"6,451.00","7,945,326.30"
88,2024-11-14,"1,172.00","1,218.00","1,170.00","1,199.90",0.41,"5,888.00","7,014,322.40"
89,2024-11-13,"1,200.00","1,200.00","1,173.00","1,195.00",-2.05,"1,745.00","2,067,693.40"
90,2024-11-12,"1,200.00","1,250.00","1,200.00","1,220.00",1.67,"4,948.00","6,091,631.90"
91,2024-11-11,"1,167.00","1,200.00","1,165.00","1,200.00",4.53,"10,937.00","12,945,921.00"
92,2024-11-10,"1,162.80","1,162.80","1,125.00","1,148.00",0.70,"4,414.00","5,064,216.00"
93,2024-11-06,"1,177.00","1,177.00","1,136.00","1,140.00",-1.30,683.00,"778,073.70"
94,2024-11-05,"1,161.70","1,161.70","1,132.00","1,155.00",1.40,826.00,"942,931.00"
95,2024-10-30,"1,160.00","1,160.00","1,122.10","1,139.00",-2.32,"2,095.00","2,392,120.00"
96,2024-10-29,"1,149.00","1,170.00","1,122.00","1,166.00",3.46,"2,785.00","3,197,867.00"
97,2024-10-28,"1,129.00","1,129.90","1,106.00","1,127.00",1.53,"1,612.00","1,814,628.80"
98,2024-10-27,"1,090.30","1,112.00","1,090.30","1,110.00",0.00,761.00,"843,707.00"
99,2024-10-24,"1,140.00","1,140.00","1,095.70","1,110.00",-0.72,"1,592.00","1,752,397.70"
100,2024-10-23,"1,142.40","1,142.40","1,098.20","1,118.00",-0.18,"2,744.00","3,049,811.00"
101,2024-10-22,"1,100.10","1,127.10","1,100.00","1,120.00",2.54,610.00,"681,709.00"
102,2024-10-21,"1,120.00","1,120.00","1,092.30","1,092.30",-2.47,"3,257.00","3,581,153.50"
103,2024-10-20,"1,148.00","1,162.00","1,120.00","1,120.00",-2.44,"2,654.00","3,016,494.00"
104,2024-10-17,"1,146.60","1,200.00","1,146.60","1,148.00",-1.88,"3,814.00","4,471,067.00"
105,2024-10-16,"1,190.00","1,199.50","1,167.00","1,170.00",-1.68,"3,166.00","3,717,601.00"
106,2024-10-15,"1,191.00","1,192.50","1,150.00","1,190.00",1.71,"2,671.00","3,113,872.40"
107,2024-10-09,"1,128.00","1,170.00","1,104.00","1,170.00",1.83,"3,767.00","4,255,916.60"
108,2024-10-08,"1,145.00","1,163.00","1,120.00","1,149.00",-0.95,"2,370.00","2,673,296.00"
109,2024-10-07,"1,170.00","1,220.00","1,160.00","1,160.00",-0.34,"4,263.00","5,050,256.00"
110,2024-10-06,"1,118.00","1,179.90","1,118.00","1,164.00",2.11,"2,089.00","2,423,798.40"
111,2024-10-02,"1,141.70","1,160.00","1,118.00","1,140.00",-2.15,"5,435.00","6,190,653.00"
112,2024-10-01,"1,137.00","1,173.00","1,130.00","1,165.00",4.48,"3,971.00","4,580,870.00"
113,2024-09-30,"1,078.00","1,127.00","1,055.60","1,115.00",5.35,"2,699.00","2,943,781.20"
114,2024-09-29,"1,071.50","1,101.60","1,051.10","1,058.40",-3.17,"2,025.00","2,171,458.00"
115,2024-09-26,"1,113.20","1,157.00","1,091.00","1,093.00",-3.53,"3,704.00","4,128,969.40"
116,2024-09-25,"1,059.10","1,143.00","1,059.10","1,133.00",4.90,"4,216.00","4,629,595.00"
117,2024-09-24,"1,150.00","1,168.00","1,080.10","1,080.10",-4.92,"4,652.00","5,126,068.00"
118,2024-09-23,"1,172.00","1,185.00","1,118.00","1,136.00",-4.78,"3,864.00","4,502,766.00"
119,2024-09-22,"1,220.00","1,224.00","1,186.00","1,193.00",-0.58,"2,308.00","2,751,073.40"
120,2024-09-18,"1,200.00","1,210.00","1,180.00","1,200.00",0.18,"3,429.00","4,118,498.40"
121,2024-09-16,"1,201.00","1,225.00","1,181.20","1,197.90",-2.22,"5,531.00","6,614,110.20"
122,2024-09-15,"1,345.00","1,345.00","1,225.10","1,225.10",-7.12,"17,528.00","22,638,185.20"
123,2024-09-12,"1,210.00","1,320.00","1,196.00","1,319.00",9.92,"27,888.00","35,916,147.10"
124,2024-09-11,"1,165.10","1,220.00","1,165.10","1,200.00",1.27,"7,786.00","9,316,597.10"
125,2024-09-10,"1,224.90","1,226.00","1,161.20","1,185.00",-1.41,"7,477.00","8,836,205.00"
126,2024-09-09,"1,111.00","1,219.00","1,111.00","1,202.00",6.38,"13,617.00","16,111,754.60"
127,2024-09-08,"1,125.00","1,155.80","1,115.20","1,129.90",1.70,"6,748.00","7,635,367.80"
128,2024-09-05,"1,122.00","1,139.90","1,111.00","1,111.00",-1.77,"2,000.00","2,247,643.50"
129,2024-09-04,"1,129.00","1,170.00","1,109.00","1,131.00",-1.57,"5,313.00","6,026,794.50"
130,2024-09-03,"1,200.00","1,200.00","1,130.00","1,149.00",-2.54,"4,639.00","5,342,488.40"
131,2024-09-02,"1,130.00","1,179.00","1,123.00","1,179.00",4.81,"6,907.00","7,888,771.60"
132,2024-09-01,"1,151.10","1,169.00","1,105.00","1,124.90",-4.10,"4,371.00","4,911,299.50"
133,2024-08-29,"1,156.00","1,173.00","1,135.00","1,173.00",-0.09,"4,336.00","4,959,664.00"
134,2024-08-28,"1,170.00","1,200.00","1,152.00","1,174.00",1.21,"4,171.00","4,913,299.50"
135,2024-08-27,"1,180.00","1,210.00","1,150.00","1,160.00",-3.33,"6,645.00","7,795,083.00"
136,2024-08-25,"1,213.00","1,299.90","1,168.00","1,200.00",-0.99,"10,104.00","12,394,417.80"
