S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,770.00,774.00,752.30,758.99,-1.38,"39,595.00","30,147,793.30"
2,2025-03-30,758.00,775.30,758.00,769.60,1.54,"87,771.00","67,434,722.50"
3,2025-03-27,726.00,761.00,726.00,757.90,4.09,"37,119.00","27,662,728.50"
4,2025-03-26,718.00,730.90,715.00,728.13,1.47,"17,234.00","12,420,630.40"
5,2025-03-25,726.20,726.20,717.00,717.57,-1.19,"17,781.00","12,786,329.90"
6,2025-03-24,720.50,737.50,720.50,726.21,0.94,"21,162.00","15,454,860.50"
7,2025-03-23,726.20,732.00,716.00,719.43,-2.44,"26,189.00","18,989,003.60"
8,2025-03-20,743.00,743.00,736.00,737.41,-0.20,"20,307.00","14,998,323.80"
9,2025-03-19,746.40,751.90,735.00,738.90,-0.95,"24,607.00","18,305,079.80"
10,2025-03-18,760.00,760.00,745.50,746.00,0.08,"24,107.00","18,099,663.30"
11,2025-03-17,752.00,762.90,745.40,745.40,-1.01,"29,347.00","22,056,300.90"
12,2025-03-16,770.00,770.00,752.00,753.00,-2.21,"22,785.00","17,253,625.80"
13,2025-03-12,780.00,780.00,758.50,770.00,0.68,"19,460.00","14,908,297.50"
14,2025-03-11,755.20,770.00,755.00,764.80,-0.55,"20,276.00","15,486,398.10"
15,2025-03-10,775.00,783.00,765.00,769.00,-0.65,"23,849.00","18,438,285.30"
16,2025-03-09,781.00,781.00,758.60,774.00,-0.90,"49,876.00","38,437,075.10"
17,2025-03-06,775.10,789.00,775.10,781.00,-0.37,"63,554.00","49,635,954.20"
18,2025-03-05,783.10,814.00,777.30,783.90,-1.89,"52,091.00","40,982,817.30"
19,2025-03-04,805.00,815.00,795.00,799.00,-1.11,"76,494.00","61,503,750.40"
20,2025-03-03,821.00,831.00,805.20,808.00,-1.22,"99,727.00","81,494,995.60"
21,2025-03-02,765.00,818.00,765.00,818.00,4.95,"146,981.00","118,199,876.80"
22,2025-02-27,762.00,790.00,762.00,779.40,0.26,"57,034.00","44,327,214.20"
23,2025-02-25,769.10,782.90,769.10,777.40,-0.26,"47,099.00","36,608,330.70"
24,2025-02-24,777.00,795.00,772.10,779.40,-0.71,"63,910.00","50,121,063.70"
25,2025-02-23,776.00,788.00,762.10,785.00,1.13,"107,370.00","83,776,475.00"
26,2025-02-20,761.00,785.00,761.00,776.20,0.17,"89,362.00","69,423,254.70"
27,2025-02-18,774.00,786.10,758.00,774.90,0.25,"65,988.00","50,981,026.50"
28,2025-02-17,755.00,775.00,755.00,773.00,0.39,"31,171.00","24,019,572.60"
29,2025-02-16,752.00,772.00,752.00,770.00,0.39,"37,128.00","28,487,059.20"
30,2025-02-13,762.00,776.00,746.00,767.00,0.79,"30,798.00","23,433,169.30"
31,2025-02-12,744.80,770.10,744.80,761.00,0.13,"18,145.00","13,804,536.60"
32,2025-02-11,760.10,771.00,760.00,760.00,-0.26,"29,372.00","22,516,156.70"
33,2025-02-10,751.00,773.00,751.00,762.00,-0.52,"25,234.00","19,218,049.40"
34,2025-02-09,763.00,780.00,763.00,766.00,-0.39,"18,773.00","14,439,758.10"
35,2025-02-06,765.00,795.00,765.00,769.00,-1.41,"37,350.00","29,042,007.00"
36,2025-02-05,774.00,793.00,760.10,780.00,0.79,"71,561.00","55,984,724.60"
37,2025-02-04,750.00,777.00,750.00,773.90,1.16,"75,146.00","57,889,900.90"
38,2025-02-03,749.00,775.00,749.00,765.00,0.66,"54,478.00","41,664,607.30"
39,2025-02-02,732.00,762.90,732.00,760.00,2.07,"47,665.00","36,192,043.90"
40,2025-01-28,740.00,744.90,735.10,744.60,1.03,"25,101.00","18,537,673.60"
41,2025-01-27,736.90,766.00,735.00,737.00,-1.98,"44,820.00","33,256,301.50"
42,2025-01-26,734.00,760.00,734.00,751.90,0.40,"49,932.00","37,547,574.50"
43,2025-01-23,728.00,761.00,728.00,748.90,0.85,"56,950.00","42,643,387.60"
44,2025-01-22,742.00,745.00,734.10,742.60,1.24,"25,554.00","18,913,978.20"
45,2025-01-21,709.60,738.90,709.60,733.50,1.31,"27,618.00","20,167,737.50"
46,2025-01-20,725.00,725.00,710.00,724.00,0.98,"40,116.00","28,772,486.60"
47,2025-01-19,715.00,717.00,706.00,717.00,1.33,"13,335.00","9,472,240.50"
48,2025-01-16,720.00,720.00,707.60,707.60,-0.48,"7,585.00","5,393,638.50"
49,2025-01-15,693.40,716.00,693.40,711.00,0.49,"7,518.00","5,350,551.50"
50,2025-01-13,717.00,719.10,707.50,707.50,-2.55,"22,283.00","15,925,963.80"
51,2025-01-12,731.00,744.00,717.00,726.00,-0.55,"6,027.00","4,366,924.30"
52,2025-01-09,730.00,736.00,723.10,730.00,-0.82,"10,808.00","7,876,616.60"
53,2025-01-08,716.00,738.00,716.00,736.00,1.94,"25,675.00","18,653,571.20"
54,2025-01-07,715.20,728.00,715.20,722.00,0.00,"7,691.00","5,533,749.20"
55,2025-01-06,707.30,722.00,707.30,722.00,2.25,"15,351.00","10,995,132.70"
56,2025-01-05,718.90,718.90,706.00,706.10,0.16,"20,200.00","14,341,972.40"
57,2025-01-02,719.10,719.10,701.00,705.00,0.00,"13,102.00","9,215,346.50"
58,2025-01-01,701.30,710.00,701.30,705.00,0.14,"12,493.00","8,823,696.00"
59,2024-12-31,709.00,710.00,702.10,704.00,-0.71,"13,367.00","9,416,495.80"
60,2024-12-29,720.00,720.00,705.70,709.00,0.14,"16,351.00","11,609,497.30"
61,2024-12-26,715.00,715.00,704.00,708.00,0.11,"11,149.00","7,878,677.90"
62,2024-12-24,704.10,715.00,704.10,707.20,0.17,"9,915.00","7,038,648.31"
63,2024-12-23,712.00,717.50,700.00,706.00,-0.84,"30,004.00","21,124,578.50"
64,2024-12-22,715.00,718.80,707.20,712.00,-0.27,"16,746.00","11,928,839.20"
65,2024-12-19,715.00,722.90,710.00,713.90,-0.85,"19,264.00","13,787,853.50"
66,2024-12-18,715.00,729.30,710.10,720.00,-0.07,"22,697.00","16,309,784.60"
67,2024-12-17,709.10,725.90,709.10,720.50,0.07,"16,736.00","12,063,691.20"
68,2024-12-16,725.00,725.00,712.00,720.00,-1.17,"30,320.00","21,724,208.50"
69,2024-12-12,728.00,740.00,727.20,728.50,-1.15,"8,903.00","6,534,415.50"
70,2024-12-11,730.00,737.00,720.30,737.00,0.96,"21,271.00","15,462,530.70"
71,2024-12-10,723.00,737.00,723.00,730.00,0.27,"8,441.00","6,163,025.30"
72,2024-12-09,735.30,744.90,726.10,728.00,-0.68,"22,166.00","16,208,507.80"
73,2024-12-08,736.20,748.90,730.10,733.00,-2.01,"23,799.00","17,525,066.40"
74,2024-12-05,747.00,761.90,745.40,748.00,-1.70,"30,084.00","22,550,774.30"
75,2024-12-04,753.00,768.00,744.20,760.90,1.05,"34,208.00","25,897,045.00"
76,2024-12-03,748.00,759.00,748.00,753.00,0.53,"23,384.00","17,582,922.40"
77,2024-12-02,749.00,755.50,741.00,749.00,1.08,"30,117.00","22,560,486.90"
78,2024-12-01,738.00,749.00,737.00,741.00,-1.58,"33,673.00","24,939,071.60"
79,2024-11-28,746.10,763.00,745.00,752.90,-0.32,"17,497.00","13,212,358.90"
80,2024-11-27,760.80,760.80,751.00,755.30,0.73,"41,991.00","31,738,415.60"
81,2024-11-26,725.10,749.80,725.10,749.80,2.01,"14,697.00","10,928,842.50"
82,2024-11-25,725.10,736.00,725.10,735.00,1.32,"32,858.00","24,091,452.80"
83,2024-11-24,720.20,742.00,720.20,725.40,-1.04,"19,554.00","14,293,497.60"
84,2024-11-21,734.90,754.90,733.00,733.00,-2.24,"23,020.00","17,012,488.50"
85,2024-11-20,740.50,750.00,736.00,749.80,-0.03,"20,980.00","15,583,247.70"
86,2024-11-19,751.00,765.00,746.20,750.00,-1.19,"49,662.00","37,321,318.10"
87,2024-11-17,765.00,770.00,755.10,759.00,1.20,"45,391.00","34,685,698.20"
88,2024-11-14,747.30,761.00,747.30,750.00,-0.65,"23,415.00","17,611,550.40"
89,2024-11-13,767.00,767.00,749.20,754.90,-1.19,"24,321.00","18,362,949.20"
90,2024-11-12,755.00,777.00,755.00,764.00,-0.59,"29,181.00","22,450,214.40"
91,2024-11-11,755.10,780.00,755.10,768.50,-0.07,"47,625.00","36,745,234.10"
92,2024-11-10,763.00,778.00,752.00,769.00,0.79,"43,584.00","33,541,089.80"
93,2024-11-06,765.00,765.00,750.00,763.00,1.09,"43,749.00","33,218,391.90"
94,2024-11-05,744.90,759.00,732.00,754.80,1.33,"20,574.00","15,478,789.00"
95,2024-10-30,724.20,745.90,724.20,744.90,1.21,"20,536.00","15,143,936.00"
96,2024-10-29,709.20,741.60,709.20,736.00,1.80,"25,723.00","18,862,681.60"
97,2024-10-28,694.90,727.90,694.90,723.00,1.97,"19,857.00","14,334,508.00"
98,2024-10-27,715.00,715.00,704.10,709.00,-0.14,"19,250.00","13,622,558.20"
99,2024-10-24,706.10,715.50,706.10,710.00,-0.63,"15,699.00","11,146,907.20"
100,2024-10-23,707.00,721.00,707.00,714.50,-0.17,"12,842.00","9,189,321.40"
101,2024-10-22,709.00,719.00,709.00,715.70,0.80,"19,193.00","13,696,362.90"
102,2024-10-21,707.00,725.00,707.00,710.00,-1.39,"25,432.00","18,151,240.70"
103,2024-10-20,723.00,739.00,718.00,720.00,-1.40,"59,294.00","43,000,770.60"
104,2024-10-17,721.50,748.00,721.50,730.20,-0.64,"38,290.00","28,299,614.80"
105,2024-10-16,720.00,740.00,719.00,734.90,2.07,"24,999.00","18,275,460.10"
106,2024-10-15,702.30,727.00,702.30,720.00,0.56,"12,125.00","8,709,529.20"
107,2024-10-09,703.40,717.00,703.40,716.00,0.28,"15,078.00","10,716,244.30"
108,2024-10-08,715.00,731.70,713.00,714.00,-1.90,"21,205.00","15,305,630.90"
109,2024-10-07,726.00,740.00,722.20,727.80,-0.03,"59,646.00","43,439,856.00"
110,2024-10-06,707.30,730.00,707.00,728.00,1.42,"22,645.00","16,299,211.90"
111,2024-10-02,730.00,730.00,707.00,717.80,-0.86,"38,512.00","27,459,163.80"
112,2024-10-01,709.00,732.00,694.00,724.00,4.10,"32,506.00","23,233,759.60"
113,2024-09-30,672.00,699.00,671.10,695.50,3.50,"51,486.00","35,190,904.70"
114,2024-09-29,661.00,678.00,660.20,672.00,-0.30,"19,019.00","12,724,214.20"
115,2024-09-26,677.20,690.00,666.00,674.00,-0.44,"16,318.00","11,084,416.20"
116,2024-09-25,665.00,681.00,654.10,677.00,1.80,"24,579.00","16,448,180.20"
117,2024-09-24,674.00,678.90,660.20,665.00,-1.34,"26,326.00","17,546,010.60"
118,2024-09-23,679.00,691.00,666.00,674.00,-1.61,"34,075.00","22,972,542.60"
119,2024-09-22,697.00,708.00,681.10,685.00,0.15,"30,134.00","20,752,951.60"
120,2024-09-18,690.00,700.00,676.20,684.00,-2.13,"30,128.00","20,706,190.30"
121,2024-09-16,693.00,711.00,687.50,698.90,-1.15,"44,455.00","30,864,513.30"
122,2024-09-15,738.00,738.00,706.00,707.00,-2.48,"27,583.00","19,936,694.30"
123,2024-09-12,705.00,725.00,705.00,725.00,2.98,"32,686.00","23,402,617.50"
124,2024-09-11,726.00,726.00,702.00,704.00,-1.26,"27,077.00","19,186,942.40"
125,2024-09-10,725.00,742.80,708.00,713.00,-1.52,"61,277.00","43,951,276.10"
126,2024-09-09,725.00,742.00,712.10,724.00,-1.76,"68,060.00","49,119,455.80"
127,2024-09-08,745.30,749.00,732.40,737.00,-0.14,"53,509.00","39,530,895.70"
128,2024-09-05,734.00,748.90,730.00,738.00,-1.20,"53,027.00","39,080,620.20"
129,2024-09-04,785.00,785.00,745.10,747.00,-3.61,"53,645.00","40,796,246.30"
130,2024-09-03,763.00,787.00,752.00,775.00,3.06,"113,182.00","87,122,681.30"
131,2024-09-02,735.00,758.00,727.00,752.00,3.01,"69,199.00","51,626,765.30"
132,2024-09-01,750.00,751.00,730.00,730.00,-1.06,"57,272.00","42,312,121.50"
133,2024-08-29,732.00,750.00,730.00,737.80,-1.22,"88,216.00","65,042,709.40"
134,2024-08-28,749.00,778.00,741.00,746.90,-0.40,"59,612.00","45,096,239.70"
135,2024-08-27,756.10,782.00,748.00,749.90,-2.80,"126,016.00","96,071,216.00"
136,2024-08-25,793.00,797.40,770.00,771.50,-2.70,"87,771.00","68,723,179.80"
137,2024-08-22,790.00,806.00,786.00,792.90,-0.51,"96,215.00","76,740,259.40"
138,2024-08-21,800.00,811.00,795.00,797.00,0.13,"98,241.00","78,600,161.90"
139,2024-08-18,802.00,825.00,777.00,796.00,0.51,"228,667.00","184,343,646.00"
140,2024-08-15,808.00,808.00,789.00,792.00,-0.88,"122,925.00","97,702,029.90"
141,2024-08-14,800.10,809.90,781.40,799.00,-0.13,"139,385.00","110,577,554.50"
142,2024-08-13,824.10,824.10,790.00,800.00,-0.99,"145,911.00","117,146,078.30"
143,2024-08-12,778.00,813.00,778.00,808.00,4.68,"211,990.00","168,260,344.70"
144,2024-08-11,738.00,783.00,738.00,771.90,2.51,"122,582.00","93,885,622.70"
145,2024-08-08,761.00,776.00,750.00,753.00,-1.05,"137,517.00","104,389,362.60"
146,2024-08-07,720.30,761.90,720.30,761.00,3.54,"129,416.00","96,819,919.10"
147,2024-08-06,758.60,787.00,731.00,735.00,-5.04,"199,875.00","152,525,022.70"
