S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,516.00,521.00,509.00,509.51,-1.36,"23,266.00","11,892,766.00"
2,2025-03-30,499.80,524.00,499.80,516.55,1.30,"41,571.00","21,527,613.30"
3,2025-03-27,490.50,511.00,490.50,509.93,1.90,"41,093.00","20,848,584.50"
4,2025-03-26,495.10,501.90,495.00,500.43,1.16,"26,613.00","13,262,143.60"
5,2025-03-25,505.00,505.00,492.00,494.69,-2.18,"33,405.00","16,611,854.00"
6,2025-03-24,493.00,509.60,492.00,505.73,1.30,"55,400.00","27,756,392.00"
7,2025-03-23,507.00,512.00,498.30,499.26,-2.02,"42,888.00","21,549,966.40"
8,2025-03-20,510.00,512.90,505.10,509.53,-1.16,"52,110.00","26,463,092.80"
9,2025-03-19,530.00,530.00,514.00,515.50,-2.79,"60,567.00","31,528,290.80"
10,2025-03-18,532.00,538.00,529.00,530.30,-0.23,"33,849.00","18,011,271.40"
11,2025-03-17,549.00,549.70,529.40,531.50,-1.39,"36,114.00","19,374,022.50"
12,2025-03-16,565.00,565.00,539.00,539.00,-4.11,"70,449.00","38,319,783.10"
13,2025-03-12,582.80,590.00,560.10,562.10,-1.63,"105,955.00","59,919,001.10"
14,2025-03-11,734.00,734.00,710.50,725.60,0.64,"335,477.00","241,746,338.80"
15,2025-03-10,725.00,727.80,719.00,721.00,-0.37,"110,594.00","79,748,695.30"
16,2025-03-09,725.00,730.00,722.50,723.70,-0.18,"120,242.00","87,207,226.00"
17,2025-03-06,711.10,734.90,711.10,725.00,-0.08,"98,015.00","71,135,758.90"
18,2025-03-05,734.00,744.00,722.20,725.60,-1.01,"140,846.00","102,474,537.10"
19,2025-03-04,740.00,746.00,731.00,733.00,-0.41,"103,747.00","76,336,286.00"
20,2025-03-03,745.00,752.50,730.00,736.00,-0.27,"203,943.00","150,718,800.10"
21,2025-03-02,735.90,744.80,726.00,738.00,2.29,"139,217.00","102,821,142.20"
22,2025-02-27,735.00,739.00,717.50,721.50,-0.47,"135,152.00","97,528,622.70"
23,2025-02-25,730.00,739.90,720.00,724.90,-0.18,"116,463.00","84,649,118.50"
24,2025-02-24,742.10,749.00,725.00,726.20,-2.14,"213,832.00","157,042,003.30"
25,2025-02-23,774.00,774.90,737.00,742.10,-2.33,"810,672.00","614,885,979.70"
26,2025-02-20,743.00,764.00,741.00,759.80,2.25,"183,321.00","138,407,678.10"
27,2025-02-18,733.00,747.00,730.20,743.10,1.79,"114,576.00","84,692,495.30"
28,2025-02-17,722.00,743.50,722.00,730.00,0.14,"56,014.00","40,980,450.70"
29,2025-02-16,723.10,732.00,720.00,729.00,0.82,"57,276.00","41,715,480.10"
30,2025-02-13,725.00,733.90,722.00,723.10,-1.36,"54,806.00","39,740,952.80"
31,2025-02-12,722.00,740.00,721.00,733.10,1.64,"37,339.00","27,349,229.70"
32,2025-02-11,723.10,758.30,720.30,721.30,-0.04,"42,492.00","30,887,054.70"
33,2025-02-10,729.00,735.00,719.00,721.60,-1.02,"77,500.00","56,064,212.50"
