S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,"2,631.00","2,778.00","2,550.00","2,582.26",0.10,"55,122.00","146,621,940.70"
2,2025-04-01,"2,345.00","2,579.80","2,345.00","2,579.80",10.0,"78,789.00","197,491,855.90"
3,2025-03-30,"2,300.00","2,380.00","2,255.00","2,345.30",2.09,"77,081.00","179,411,506.50"
4,2025-03-27,"2,260.00","2,359.00","2,255.00","2,297.21",0.48,"42,297.00","98,056,619.60"
5,2025-03-26,"2,280.00","2,312.00","2,151.00","2,286.16",0.09,"101,487.00","229,879,706.50"
6,2025-03-25,"2,265.00","2,410.00","2,231.10","2,284.09",0.81,"42,770.00","99,941,176.60"
7,2025-03-24,"2,070.00","2,269.90","2,030.10","2,265.63",9.51,"57,992.00","124,483,644.10"
8,2025-03-23,"2,000.00","2,084.00","2,000.00","2,068.85",1.64,"41,850.00","86,023,694.40"
9,2025-03-20,"1,940.00","2,080.00","1,922.10","2,035.52",4.82,"63,141.00","128,129,540.10"
10,2025-03-19,"1,955.00","1,980.00","1,935.30","1,942.00",-1.02,"46,156.00","89,759,395.50"
11,2025-03-18,"1,953.00","1,990.00","1,952.10","1,962.00",-0.91,"40,656.00","79,763,570.30"
12,2025-03-17,"1,922.00","1,993.00","1,922.00","1,980.00",1.85,"67,016.00","132,221,068.60"
13,2025-03-16,"1,922.00","1,960.50","1,901.00","1,944.10",-0.86,"134,733.00","262,057,030.90"
14,2025-03-12,"1,958.20","1,968.00","1,880.70","1,961.00",-1.86,"188,461.00","368,693,400.10"
15,2025-03-11,"2,000.00","2,000.00","1,884.60","1,998.10",-0.1,"187,395.00","372,846,812.50"
16,2025-03-10,"1,874.80","2,001.20","1,770.00","2,000.00",8.73,"156,648.00","304,257,333.90"
17,2025-03-09,"1,705.60","1,839.40","1,519.00","1,839.40",10.0,"253,093.00","455,678,013.90"
18,2025-03-06,"1,550.60","1,672.20","1,550.60","1,672.20",10.0,"143,850.00","240,491,334.00"
19,2025-03-05,"1,409.60","1,520.20","1,409.60","1,520.20",10.0,"73,730.00","112,069,496.00"
20,2025-03-04,"1,281.50","1,382.00","1,281.50","1,382.00",10.0,"8,440.00","11,647,546.00"
21,2025-03-03,"1,165.00","1,256.40","1,165.00","1,256.40",10.0,"12,620.00","15,840,555.00"
22,2025-03-02,"1,059.10","1,142.20","1,059.10","1,142.20",10.0,"29,640.00","33,802,950.00"
23,2025-02-27,962.80,"1,038.40",962.80,"1,038.40",10.0,"32,050.00","33,278,864.00"
24,2025-02-25,875.30,944.00,875.30,944.00,10.0,"9,770.00","9,217,073.00"
25,2025-02-24,795.80,858.20,795.80,858.20,10.0,"8,010.00","6,869,532.00"
26,2025-02-23,723.40,780.20,723.40,780.20,10.0,"8,930.00","6,962,950.00"
27,2025-02-20,657.00,709.30,657.00,709.30,9.99,"6,010.00","4,261,075.00"
28,2025-02-18,598.00,644.93,598.00,644.90,9.99,"2,240.00","1,443,426.00"
29,2025-02-17,533.00,586.30,533.00,586.30,10.0,"1,310.00","765,936.00"
30,2025-02-16,494.00,533.00,494.00,533.00,9.99,"1,700.00","904,746.00"
31,2025-02-13,449.40,484.60,449.40,484.60,9.99,530.00,"255,972.00"
32,2025-02-12,400.60,440.60,400.60,440.60,9.99,570.00,"249,556.00"
33,2025-02-11,364.20,400.60,364.20,400.60,9.99,370.00,"146,775.00"
34,2025-02-10,331.90,364.20,331.90,364.20,10.0,510.00,"183,831.00"
35,2025-02-09,301.00,331.10,301.00,331.10,10.0,490.00,"161,043.00"
