S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,424.10,429.00,422.40,426.18,-0.80,"42,300.00","18,004,595.50"
2,2025-03-30,428.00,442.00,426.10,429.63,0.26,"79,349.00","34,328,833.60"
3,2025-03-27,427.00,432.40,423.20,428.51,1.02,"52,906.00","22,616,802.50"
4,2025-03-26,412.10,427.00,412.10,424.19,3.09,"35,644.00","14,963,324.20"
5,2025-03-25,415.00,420.00,410.00,411.49,-1.77,"59,895.00","24,715,986.30"
6,2025-03-24,412.00,422.00,412.00,418.91,0.21,"64,807.00","27,090,858.00"
7,2025-03-23,425.00,426.90,417.10,418.03,-1.76,"50,119.00","21,153,671.90"
8,2025-03-20,425.50,429.90,425.00,425.51,0.00,"29,807.00","12,687,277.00"
9,2025-03-19,427.10,434.90,425.10,425.50,-0.82,"86,256.00","36,803,525.80"
10,2025-03-18,428.00,435.00,427.40,429.00,-0.26,"20,858.00","8,970,215.00"
11,2025-03-17,427.00,435.50,427.00,430.10,-0.21,"30,926.00","13,332,588.50"
12,2025-03-16,437.10,438.00,428.00,431.00,-1.37,"46,739.00","20,148,082.20"
13,2025-03-12,435.00,443.70,432.00,437.00,0.02,"31,643.00","13,834,919.20"
14,2025-03-11,440.00,445.00,435.00,436.90,-1.33,"50,508.00","22,204,497.80"
15,2025-03-10,443.00,452.00,440.30,442.80,-0.72,"52,695.00","23,411,796.10"
16,2025-03-09,465.10,465.10,445.70,446.00,-2.19,"67,080.00","30,083,484.40"
17,2025-03-06,452.00,465.00,452.00,456.00,-0.22,"74,838.00","34,278,472.40"
18,2025-03-05,470.00,470.00,453.50,457.00,-0.87,"165,252.00","75,861,329.40"
19,2025-03-04,456.00,477.00,456.00,461.00,-0.41,"217,223.00","101,525,332.80"
20,2025-03-03,455.00,470.00,455.00,462.90,2.43,"293,745.00","136,421,804.50"
21,2025-03-02,431.50,452.00,431.50,451.90,4.85,"180,670.00","80,241,338.30"
22,2025-02-27,425.10,432.00,425.00,431.00,1.41,"44,789.00","19,191,389.50"
23,2025-02-25,420.10,432.00,420.10,425.00,0.24,"83,414.00","35,751,496.80"
24,2025-02-24,431.00,432.10,421.00,424.00,-1.28,"71,691.00","30,560,559.10"
25,2025-02-23,421.00,435.00,420.50,429.50,0.12,"83,760.00","35,964,568.20"
26,2025-02-20,426.50,432.00,415.60,429.00,1.18,"117,036.00","49,927,993.90"
27,2025-02-18,430.00,431.70,422.50,424.00,-0.70,"61,732.00","26,386,749.70"
