S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,"1,030.00","1,032.00","1,010.00","1,013.19",-1.51,"22,340.00","22,666,830.40"
2,2025-03-30,"1,027.10","1,052.00","1,020.00","1,028.70",0.16,"39,739.00","41,216,831.60"
3,2025-03-27,"1,013.00","1,029.00","1,001.20","1,027.10",1.36,"36,640.00","37,288,368.20"
4,2025-03-26,985.00,"1,020.00",985.00,"1,013.31",2.97,"33,732.00","33,963,829.90"
5,2025-03-25,"1,000.00","1,000.00",980.00,984.13,-1.37,"26,128.00","25,727,098.60"
6,2025-03-24,986.00,"1,004.80",975.00,997.79,1.22,"36,599.00","36,316,694.30"
7,2025-03-23,"1,009.90","1,009.90",985.00,985.80,-2.61,"47,502.00","47,206,365.20"
8,2025-03-20,"1,008.00","1,017.00",978.10,"1,012.26",1.43,"51,051.00","50,869,703.30"
9,2025-03-19,"1,040.00","1,040.00",982.00,998.00,-3.48,"129,969.00","130,246,743.90"
10,2025-03-18,"1,065.00","1,065.00","1,021.00","1,034.00",-2.91,"160,855.00","167,517,067.90"
11,2025-03-17,"1,069.20","1,079.90","1,048.00","1,065.00",-2.38,"98,870.00","105,278,333.30"
12,2025-03-16,"1,115.00","1,115.00","1,090.00","1,091.00",-1.01,"17,673.00","19,357,119.00"
13,2025-03-12,"1,105.00","1,108.80","1,091.20","1,102.10",1.20,"27,809.00","30,643,247.20"
14,2025-03-11,"1,132.00","1,132.00","1,089.00","1,089.00",-1.88,"37,761.00","41,454,810.90"
15,2025-03-10,"1,115.00","1,137.10","1,082.20","1,109.90",-0.46,"68,567.00","75,911,884.00"
16,2025-03-09,"1,156.40","1,178.00","1,111.00","1,115.00",-5.51,"120,543.00","136,222,411.90"
17,2025-03-06,"1,240.00","1,240.00","1,175.00","1,180.00",-6.35,"183,312.00","218,973,941.70"
18,2025-03-05,"1,306.00","1,306.00","1,250.00","1,260.00",-1.60,"44,585.00","56,665,276.60"
19,2025-03-04,"1,314.10","1,320.00","1,280.30","1,280.50",-2.25,"49,724.00","64,801,150.40"
20,2025-03-03,"1,366.00","1,366.00","1,301.00","1,310.00",-2.24,"57,893.00","76,988,127.00"
21,2025-03-02,"1,323.00","1,415.00","1,301.00","1,340.00",1.44,"92,892.00","125,309,715.80"
22,2025-02-27,"1,346.00","1,347.00","1,305.00","1,321.00",0.08,"75,082.00","99,598,410.80"
23,2025-02-25,"1,302.90","1,373.90","1,286.00","1,320.00",3.27,"155,688.00","206,814,324.10"
24,2025-02-24,"1,315.80","1,325.00","1,270.10","1,278.20",-0.91,"71,558.00","92,762,717.50"
25,2025-02-23,"1,220.00","1,351.50","1,188.10","1,290.00",4.37,"122,862.00","157,084,215.70"
26,2025-02-20,"1,175.00","1,269.90","1,175.00","1,236.00",5.64,"77,297.00","95,481,965.10"
27,2025-02-18,"1,110.90","1,188.00","1,107.00","1,170.00",7.34,"58,676.00","67,358,323.30"
28,2025-02-17,"1,110.90","1,110.90","1,080.60","1,090.00",-0.64,"28,063.00","30,671,188.50"
29,2025-02-16,"1,129.10","1,129.10","1,097.00","1,097.00",-1.62,"22,512.00","25,016,041.40"
30,2025-02-13,"1,126.00","1,135.00","1,115.00","1,115.10",-1.12,"5,283.00","5,913,905.90"
31,2025-02-12,"1,122.00","1,144.00","1,119.20","1,127.70",1.40,"18,887.00","21,424,524.80"
32,2025-02-11,"1,111.00","1,130.00","1,105.00","1,112.10",0.10,"15,548.00","17,345,713.70"
33,2025-02-10,"1,106.00","1,115.80","1,103.30","1,111.00",0.45,"9,293.00","10,300,296.60"
34,2025-02-09,"1,132.00","1,132.00","1,101.60","1,106.00",-0.36,"9,831.00","10,934,073.30"
35,2025-02-06,"1,117.70","1,134.90","1,107.00","1,110.00",0.54,"9,866.00","11,033,663.90"
36,2025-02-05,"1,123.50","1,123.50","1,103.00","1,104.00",-0.90,"6,166.00","6,817,090.30"
37,2025-02-04,"1,145.40","1,145.40","1,107.40","1,114.00",-0.80,"7,867.00","8,794,583.70"
38,2025-02-03,"1,111.00","1,145.00","1,101.20","1,123.00",2.09,"23,563.00","26,615,817.50"
39,2025-02-02,"1,082.00","1,110.00","1,077.00","1,100.00",2.14,"13,581.00","14,880,062.10"
40,2025-01-28,"1,073.10","1,090.00","1,070.00","1,077.00",-0.54,"11,146.00","11,982,528.50"
41,2025-01-27,"1,099.00","1,099.00","1,079.00","1,082.90",-0.56,"6,423.00","6,968,339.60"
42,2025-01-26,"1,111.00","1,111.40","1,089.00","1,089.00",-0.10,"11,182.00","12,262,175.70"
43,2025-01-23,"1,099.90","1,125.00","1,090.00","1,090.10",-0.81,"12,461.00","13,743,714.20"
44,2025-01-22,"1,085.00","1,104.60","1,070.00","1,099.00",1.75,"7,438.00","8,138,460.50"
45,2025-01-21,"1,085.00","1,090.00","1,080.10","1,080.10",0.01,"6,628.00","7,179,041.70"
46,2025-01-20,"1,096.00","1,112.00","1,080.00","1,080.00",-0.92,"8,279.00","9,057,943.70"
47,2025-01-19,"1,090.00","1,097.00","1,085.00","1,090.00",-0.36,"5,044.00","5,495,208.00"
48,2025-01-16,"1,115.00","1,120.00","1,080.00","1,093.90",-1.19,"14,587.00","15,934,167.50"
49,2025-01-15,"1,115.00","1,120.00","1,102.00","1,107.10",-0.26,"5,602.00","6,231,203.10"
50,2025-01-13,"1,115.00","1,118.00","1,108.30","1,110.00",-0.45,"6,304.00","7,014,428.90"
51,2025-01-12,"1,120.00","1,129.00","1,110.00","1,115.00",-0.27,"4,914.00","5,490,438.00"
52,2025-01-09,"1,120.00","1,134.90","1,110.00","1,118.00",-0.18,"11,444.00","12,779,972.50"
53,2025-01-08,"1,105.70","1,148.00","1,105.70","1,120.00",-0.71,"12,416.00","13,983,816.90"
54,2025-01-07,"1,156.40","1,156.40","1,122.00","1,128.00",-0.53,"11,725.00","13,216,393.80"
