S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,653.00,662.30,636.50,646.30,-0.48,"79,497.00","51,324,744.90"
2,2025-03-30,640.00,655.00,640.00,649.41,1.15,"34,040.00","22,113,303.00"
3,2025-03-27,639.70,652.00,630.90,642.00,2.36,"51,969.00","33,237,883.10"
4,2025-03-26,632.90,633.00,622.00,627.18,1.02,"10,129.00","6,367,682.20"
5,2025-03-25,633.90,635.00,616.00,620.82,-2.23,"17,654.00","11,020,007.10"
6,2025-03-24,628.50,639.00,615.10,635.00,1.31,"20,682.00","12,990,743.50"
7,2025-03-23,627.30,639.00,623.80,626.81,-1.94,"45,168.00","28,638,956.10"
8,2025-03-20,650.00,650.00,635.00,639.19,0.03,"23,636.00","15,094,197.00"
9,2025-03-19,647.90,647.90,636.20,639.00,0.00,"24,194.00","15,468,344.70"
10,2025-03-18,649.90,650.70,637.80,639.00,0.16,"24,312.00","15,538,006.00"
11,2025-03-17,656.60,656.60,637.00,638.00,-0.93,"14,518.00","9,349,811.30"
12,2025-03-16,650.00,654.90,638.40,644.00,0.17,"27,327.00","17,646,779.10"
13,2025-03-12,655.70,655.70,632.00,642.90,0.00,"20,465.00","13,166,270.60"
14,2025-03-11,665.90,679.00,637.00,642.90,-1.55,"26,462.00","17,126,416.80"
15,2025-03-10,663.00,665.00,650.10,653.00,-0.76,"28,769.00","18,968,645.10"
16,2025-03-09,675.10,675.10,655.00,658.00,-0.59,"61,313.00","40,330,794.30"
17,2025-03-06,674.90,707.00,656.10,661.90,-1.06,"52,687.00","35,037,173.50"
18,2025-03-05,699.00,709.00,665.30,669.00,-3.34,"52,745.00","35,777,085.30"
19,2025-03-04,700.00,738.00,684.10,692.10,-0.63,"102,016.00","71,424,361.90"
20,2025-03-03,658.00,721.60,652.00,696.50,6.17,"231,279.00","160,707,419.40"
21,2025-03-02,630.00,656.80,625.00,656.00,5.72,"72,693.00","46,755,361.60"
22,2025-02-27,626.20,626.20,612.00,620.50,1.06,"21,980.00","13,580,809.60"
23,2025-02-25,597.10,632.50,597.10,614.00,1.55,"29,423.00","18,052,888.80"
24,2025-02-24,610.00,615.00,604.00,604.60,0.08,"30,726.00","18,665,481.60"
25,2025-02-23,595.70,608.90,595.70,604.10,-0.61,"22,546.00","13,621,305.10"
26,2025-02-20,603.80,612.00,597.00,607.80,0.98,"40,445.00","24,456,461.30"
27,2025-02-18,596.50,605.00,596.50,601.90,0.97,"15,356.00","9,227,047.50"
28,2025-02-17,600.00,600.00,595.00,596.10,-0.15,"19,233.00","11,512,310.00"
29,2025-02-16,586.20,597.80,586.20,597.00,0.59,"7,889.00","4,687,628.10"
30,2025-02-13,595.00,599.00,591.40,593.50,-0.25,"9,226.00","5,472,181.10"
31,2025-02-12,600.70,602.00,588.70,595.00,1.02,"15,063.00","9,002,492.00"
32,2025-02-11,600.00,612.00,586.00,589.00,0.00,"11,534.00","6,804,733.60"
33,2025-02-10,586.60,599.90,581.00,589.00,-0.57,"18,416.00","10,859,653.70"
34,2025-02-09,610.90,610.90,590.50,592.40,-1.27,"14,219.00","8,453,361.10"
35,2025-02-06,595.10,604.00,595.10,600.00,-0.15,"17,435.00","10,428,727.00"
36,2025-02-05,593.00,603.70,593.00,600.90,0.48,"15,272.00","9,154,276.20"
37,2025-02-04,597.00,608.00,596.00,598.00,-1.48,"27,298.00","16,397,061.40"
38,2025-02-03,612.00,617.00,603.00,607.00,-0.49,"37,630.00","22,957,562.20"
39,2025-02-02,593.90,610.00,593.80,610.00,3.18,"29,412.00","17,839,211.20"
40,2025-01-28,600.80,610.00,578.20,591.20,0.36,"25,626.00","15,334,277.60"
41,2025-01-27,603.60,603.60,588.50,589.10,-1.82,"12,665.00","7,533,060.30"
42,2025-01-26,590.00,618.90,579.00,600.00,-0.20,"28,230.00","17,046,206.10"
