S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-24,563.00,563.00,550.00,552.45,-0.42,"23,962.00","13,261,255.50"
2,2025-04-23,546.2,560.0,545.0,554.76,1.44,"19,369.00","10,676,890.60"
3,2025-04-22,555.0,558.0,545.0,546.91,-1.29,"23,816.00","13,137,568.00"
4,2025-04-21,555.3,562.0,544.0,554.07,-1.16,"27,890.00","15,405,831.70"
5,2025-04-20,566.0,570.0,555.0,560.55,-0.98,"11,904.00","6,691,775.10"
6,2025-04-17,565.0,570.0,558.0,566.11,1.51,"24,487.00","13,782,536.10"
7,2025-04-16,550.0,560.0,550.0,557.71,1.22,"12,003.00","6,667,776.00"
8,2025-04-15,547.1,564.0,545.0,550.98,0.62,"17,483.00","9,696,807.70"
9,2025-04-13,540.0,554.0,540.0,547.57,0.01,"10,545.00","5,779,015.90"
10,2025-04-10,559.9,559.9,542.0,547.51,-0.51,"13,968.00","7,672,126.30"
11,2025-04-09,550.1,559.9,550.0,550.32,0.04,"9,965.00","5,495,615.60"
12,2025-04-08,546.0,551.0,545.1,550.1,-0.36,"13,745.00","7,527,473.40"
13,2025-04-07,551.0,560.0,549.0,552.1,-0.74,"10,585.00","5,860,283.60"
14,2025-04-03,555.0,565.0,552.0,556.24,-1.02,"21,572.00","12,034,359.80"
15,2025-04-02,555.0,567.0,555.0,561.95,0.29,"11,041.00","6,193,933.20"
16,2025-04-01,580.1,580.1,558.2,560.35,-2.07,"14,699.00","8,272,668.40"
17,2025-03-30,580.5,582.5,571.0,572.17,0.35,"31,303.00","18,069,725.00"
18,2025-03-27,563.9,575.0,557.0,570.2,1.67,"24,669.00","14,054,173.90"
19,2025-03-26,548.0,563.0,548.0,560.83,2.4,"15,746.00","8,793,962.70"
20,2025-03-25,575.0,580.9,547.2,547.66,-4.31,"25,797.00","14,335,297.60"
21,2025-03-24,554.0,581.2,549.0,572.31,2.25,"28,668.00","16,150,795.90"
22,2025-03-23,574.0,574.0,559.0,559.74,-1.91,"27,365.00","15,367,141.30"
23,2025-03-20,575.3,580.0,567.0,570.65,-1.43,"15,457.00","8,839,574.50"
24,2025-03-19,598.0,598.0,576.0,578.9,-1.71,"20,050.00","11,642,840.50"
25,2025-03-18,591.0,597.0,586.0,589.0,0.34,"15,493.00","9,130,888.50"
26,2025-03-17,585.0,600.0,585.0,587.0,-0.25,"26,430.00","15,622,060.80"
27,2025-03-16,592.1,608.0,587.0,588.5,-1.9,"25,084.00","14,851,624.80"
28,2025-03-12,586.1,608.9,585.1,599.9,1.32,"35,402.00","21,249,888.90"
29,2025-03-11,622.0,622.0,592.1,592.1,-3.09,"27,404.00","16,424,243.30"
30,2025-03-10,613.1,622.0,603.0,611.0,0.07,"41,650.00","25,417,804.00"
