S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-01,553.00,554.90,540.00,549.91,-0.42,"79,154.00","43,266,872.40"
2,2025-03-30,544.00,555.00,536.00,552.22,1.47,"174,878.00","95,773,793.80"
3,2025-03-27,527.00,549.00,520.00,544.22,1.56,"100,760.00","54,216,930.50"
4,2025-03-26,528.00,545.00,519.20,535.87,2.81,"70,480.00","37,371,007.10"
5,2025-03-25,535.00,537.00,515.00,521.23,-2.91,"74,570.00","39,297,633.90"
6,2025-03-24,521.20,545.00,521.00,536.84,0.95,"85,320.00","45,276,737.10"
7,2025-03-23,541.10,548.70,531.50,531.77,-2.84,"110,510.00","59,716,845.10"
8,2025-03-20,545.00,555.00,542.10,547.34,-0.48,"69,391.00","37,817,742.90"
9,2025-03-19,565.00,566.00,549.00,550.00,-2.65,"63,467.00","35,150,543.90"
10,2025-03-18,586.50,586.50,562.10,565.00,-1.74,"87,850.00","49,776,887.80"
11,2025-03-17,583.00,583.00,566.50,575.00,0.00,"129,451.00","73,943,650.30"
12,2025-03-16,577.00,577.00,566.30,575.00,0.88,"141,638.00","80,563,281.40"
13,2025-03-12,552.00,570.00,552.00,570.00,3.26,"101,273.00","56,727,748.66"
14,2025-03-11,572.00,572.00,550.00,552.00,-1.95,"87,554.00","49,046,337.10"
15,2025-03-10,561.00,570.90,558.10,563.00,-0.02,"107,896.00","60,599,324.60"
16,2025-03-09,574.90,581.00,560.20,563.10,-1.90,"104,344.00","59,040,868.10"
17,2025-03-06,565.00,574.00,560.20,574.00,0.74,"61,586.00","34,936,522.00"
18,2025-03-05,562.40,571.90,560.10,569.80,-0.04,"118,893.00","67,246,434.20"
19,2025-03-04,585.00,590.00,568.00,570.00,-1.89,"135,852.00","78,934,100.90"
20,2025-03-03,575.00,593.00,575.00,581.00,-0.33,"194,373.00","113,799,557.10"
21,2025-03-02,567.00,590.00,567.00,582.90,2.80,"186,981.00","108,524,780.40"
22,2025-02-27,554.00,576.00,554.00,567.00,2.35,"124,023.00","70,307,203.50"
23,2025-02-25,566.00,566.00,553.10,554.00,-1.07,"45,631.00","25,437,621.85"
24,2025-02-24,577.00,578.00,560.00,560.00,-2.61,"94,899.00","54,042,190.70"
25,2025-02-23,561.60,576.00,556.00,575.00,0.35,"174,237.00","99,530,851.50"
26,2025-02-20,556.20,575.00,556.00,573.00,1.06,"159,295.00","90,399,563.50"
27,2025-02-18,575.00,577.00,562.00,567.00,-0.18,"164,742.00","93,769,778.40"
28,2025-02-17,563.00,570.00,562.00,568.00,1.07,"99,661.00","56,515,145.40"
29,2025-02-16,553.00,564.00,550.10,562.00,1.63,"67,471.00","37,801,712.60"
30,2025-02-13,560.00,569.00,553.00,553.00,-1.60,"65,148.00","36,425,313.80"
31,2025-02-12,562.00,573.20,552.00,562.00,1.65,"105,966.00","59,579,781.90"
32,2025-02-11,556.90,556.90,550.10,552.90,0.71,"90,570.00","50,045,751.00"
33,2025-02-10,545.00,554.00,544.00,549.00,-0.90,"96,850.00","52,985,140.10"
34,2025-02-09,557.00,565.00,550.10,554.00,-0.54,"108,711.00","60,498,980.40"
35,2025-02-06,574.90,574.90,555.00,557.00,-1.22,"140,028.00","78,378,075.70"
36,2025-02-05,565.00,565.00,556.00,563.90,0.71,"113,932.00","63,814,648.90"
37,2025-02-04,548.00,562.00,545.20,559.90,2.17,"124,843.00","69,411,044.20"
38,2025-02-03,528.30,555.80,527.00,548.00,1.67,"208,551.00","114,217,115.74"
39,2025-02-02,528.90,540.00,522.50,539.00,3.10,"97,068.00","51,889,679.50"
