S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-03-20,276.90,276.90,276.90,276.90,0.00,1.00,277.30
2,2025-03-16,276.90,276.90,276.90,276.90,0.00,2.00,545.40
3,2025-02-25,256.80,276.90,256.80,276.90,9.97,60.00,"16,120.00"
4,2025-02-06,251.80,251.80,251.80,251.80,0.00,10.00,"2,562.30"
5,2025-01-02,251.80,251.80,251.80,251.80,0.00,3.00,769.50
6,2024-12-31,251.80,251.80,251.80,251.80,1.98,10.00,"2,518.00"
7,2024-12-22,246.90,246.90,246.90,246.90,1.98,10.00,"2,469.00"
8,2024-12-17,242.10,242.10,242.10,242.10,0.00,3.00,732.60
9,2024-11-25,242.10,242.10,242.10,242.10,0.00,10.00,"2,421.00"
10,2024-11-19,242.10,242.10,242.10,242.10,0.00,36.00,"8,686.80"
11,2024-10-23,242.10,242.10,242.10,242.10,0.00,3.00,719.00
12,2024-10-20,242.10,242.10,242.10,242.10,1.97,19.00,"4,556.70"
13,2024-10-01,237.42,237.42,237.42,237.42,0.00,1.00,242.00
14,2024-09-10,284.90,284.90,284.90,284.90,1.97,117.00,"33,333.30"
15,2024-09-08,279.40,279.40,279.40,279.40,1.97,10.00,"2,794.00"
16,2024-09-04,274.00,274.00,274.00,274.00,1.97,10.00,"2,740.00"
17,2024-07-28,268.70,268.70,268.70,268.70,1.97,10.00,"2,687.00"
18,2024-07-18,258.40,263.50,258.40,263.50,3.99,172.00,"45,260.80"
19,2024-03-26,253.40,253.40,253.40,253.40,0.00,45.00,"11,359.60"
20,2024-02-20,253.40,253.40,253.40,253.40,1.97,79.00,"19,826.30"
21,2024-02-15,248.50,248.50,248.50,248.50,0.00,115.00,"28,229.40"
22,2024-01-23,230.40,248.50,230.40,248.50,9.99,57.00,"13,719.50"
23,2023-10-12,276.90,282.40,276.90,282.40,4.01,20.00,"5,593.00"
24,2023-09-19,271.50,271.50,271.50,271.50,1.99,10.00,"2,715.00"
25,2023-08-07,266.20,266.20,266.20,266.20,0.00,23.00,"6,216.90"
26,2023-07-24,266.20,266.20,266.20,266.20,1.99,15.00,"3,993.00"
27,2023-07-16,261.00,261.00,261.00,261.00,1.99,15.00,"3,915.00"
28,2023-06-11,255.90,255.90,255.90,255.90,0.00,1.00,250.80
29,2023-05-23,255.90,255.90,255.90,255.90,0.00,1.00,254.00
30,2023-04-06,250.90,255.90,250.90,255.90,4.02,46.00,"11,721.40"
31,2023-02-01,246.00,246.00,246.00,246.00,1.99,10.00,"2,460.00"
32,2022-12-11,241.20,241.20,241.20,241.20,0.00,9.00,"2,128.50"
33,2022-11-28,231.90,241.20,231.90,241.20,6.09,188.00,"45,205.60"
34,2022-09-29,278.70,284.20,278.70,284.20,3.99,91.00,"25,807.20"
35,2022-09-18,268.00,273.30,268.00,273.30,4.00,20.00,"5,413.00"
36,2022-09-16,262.80,262.80,262.80,262.80,1.98,10.00,"2,628.00"
37,2022-09-13,257.70,257.70,257.70,257.70,1.98,36.00,"9,277.20"
38,2022-09-04,252.70,252.70,252.70,252.70,0.00,8.00,"2,048.00"
39,2022-05-11,252.70,252.70,252.70,252.70,0.00,3.00,772.80
40,2022-05-10,252.70,252.70,272.70,252.70,0.00,6.00,"1,531.20"
41,2022-03-06,247.80,252.70,247.80,252.70,3.99,255.00,"64,389.50"
42,2021-07-05,316.00,316.00,316.00,316.00,4.98,10.00,"3,160.00"
43,2021-05-23,301.00,301.00,301.00,301.00,4.88,10.00,"3,010.00"
44,2021-05-20,287.00,287.00,287.00,287.00,4.74,10.00,"2,870.00"
45,2021-02-09,274.00,274.00,274.00,274.00,4.98,10.00,"2,740.00"
46,2020-12-28,261.00,261.00,261.00,261.00,4.82,10.00,"2,610.00"
47,2020-12-09,249.00,249.00,249.00,249.00,4.62,24.00,"5,976.00"
48,2020-12-02,238.00,238.00,238.00,238.00,4.39,10.00,"2,380.00"
49,2020-11-23,228.00,228.00,228.00,228.00,4.59,10.00,"2,280.00"
50,2020-11-05,218.00,218.00,218.00,218.00,4.81,10.00,"2,180.00"
51,2020-11-04,208.00,208.00,208.00,208.00,4.52,10.00,"2,080.00"
52,2020-10-18,199.00,199.00,199.00,199.00,4.74,10.00,"1,990.00"
53,2020-09-22,190.00,190.00,190.00,190.00,1.60,80.00,"15,200.00"
54,2020-02-23,187.00,187.00,187.00,187.00,1.60,"3,500.00","654,500.00"
55,2019-07-28,214.00,214.00,214.00,214.00,1.90,19.00,"4,102.00"
56,2019-07-25,202.00,210.00,202.00,210.00,-1.41,73.00,"15,046.00"
57,2015-04-13,213.00,213.00,213.00,213.00,0.00,681.00,"145,053.00"
58,2015-01-05,209.00,213.00,213.00,213.00,0.00,17.00,"3,621.00"
59,2014-03-25,205.00,209.00,209.00,209.00,0.00,178.00,"37,202.00"
60,2014-02-06,246.00,0.00,0.00,246.00,0.00,"1,050.00","1,050.00"
61,2014-01-29,242.00,246.00,246.00,246.00,0.00,36.00,"8,856.00"
62,2012-09-13,246.00,242.00,242.00,242.00,0.00,12.00,"2,904.00"
63,2012-01-08,251.00,246.00,246.00,246.00,0.00,14.00,"3,444.00"
64,2011-10-30,250.00,251.00,251.00,251.00,0.00,17.00,"4,267.00"
