S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-12-14,862.40,867.00,830.00,839.00,-4.65,"91,110.00","77,074,289.00"
2,2025-12-11,820.00,890.00,800.10,879.90,5.99,"148,500.00","123,512,074.50"
3,2025-12-10,876.90,930.00,814.90,830.20,-3.44,"311,450.00","263,942,843.50"
4,2025-12-09,769.20,859.80,769.20,859.80,9.99,"37,290.00","32,058,270.00"
5,2025-12-08,724.90,781.70,724.90,781.70,9.99,"6,050.00","4,726,185.00"
6,2025-12-07,655.90,710.70,655.90,710.70,10.00,"2,530.00","1,796,665.00"
7,2025-12-03,599.10,646.10,599.10,646.10,9.99,930.00,"599,718.00"
8,2025-12-02,534.00,587.40,534.00,587.40,10.00,810.00,"473,139.00"
9,2025-12-01,490.00,534.00,490.00,534.00,9.99,790.00,"420,214.00"
10,2025-11-30,443.60,485.50,443.60,485.50,9.99,650.00,"313,961.00"
11,2025-11-27,409.30,441.40,409.30,441.40,9.99,490.00,"215,496.00"
12,2025-11-26,362.90,401.30,362.90,401.30,9.98,260.00,"103,147.00"
13,2025-11-25,328.70,364.90,328.70,364.90,9.98,300.00,"108,304.00"
14,2025-11-24,301.70,331.80,301.70,331.80,9.98,250.00,"81,755.00"
