S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,8.71,8.90,8.71,8.82,-0.34,"9,450.00","83,331.50"
2,2025-04-01,8.81,9.00,8.81,8.85,-0.11,"13,530.00","121,434.00"
3,2025-03-30,8.82,8.86,8.70,8.86,-1.45,"15,679.00","138,398.46"
4,2025-03-27,8.80,8.99,8.80,8.99,1.12,"10,397.00","92,849.87"
5,2025-03-26,8.90,8.90,8.73,8.89,0.91,"2,200.00","19,430.00"
6,2025-03-25,8.72,8.90,8.72,8.81,-0.90,"13,100.00","114,905.00"
7,2025-03-24,8.70,9.15,8.67,8.89,0.79,"11,330.00","99,749.06"
8,2025-03-23,8.80,8.98,8.80,8.82,-0.34,"34,400.00","304,050.00"
9,2025-03-20,8.80,8.98,8.80,8.85,-0.78,"11,700.00","103,199.00"
10,2025-03-19,9.06,9.06,8.91,8.92,0.22,"8,120.00","72,386.70"
11,2025-03-18,8.90,9.00,8.88,8.90,-1.11,"12,420.00","111,062.10"
12,2025-03-17,8.82,9.00,8.82,9.00,0.00,"2,752.00","24,519.00"
13,2025-03-16,8.84,9.01,8.84,9.00,0.00,"11,854.00","105,737.64"
14,2025-03-12,8.70,9.00,8.70,9.00,2.27,"9,700.00","86,360.00"
15,2025-03-11,8.80,8.90,8.74,8.80,-0.23,"5,500.00","48,324.00"
16,2025-03-10,8.85,9.00,8.82,8.82,-0.34,"16,025.00","141,926.25"
17,2025-03-09,8.85,9.10,8.85,8.85,-1.67,"517,450.00","4,594,941.20"
18,2025-03-06,8.81,9.00,8.81,9.00,0.33,"25,700.00","228,952.00"
19,2025-03-05,8.89,9.03,8.89,8.97,-0.99,"18,300.00","164,182.00"
20,2025-03-04,9.10,9.20,9.05,9.06,-1.41,"14,845.00","134,786.25"
21,2025-03-03,9.01,9.19,8.87,9.19,2.00,"877,871.00","8,056,539.49"
22,2025-03-02,9.00,9.18,8.84,9.01,-1.85,"5,400.00","48,551.00"
23,2025-02-27,8.80,9.18,8.80,9.18,4.20,"514,500.00","4,699,280.00"
24,2025-02-25,8.72,8.97,8.72,8.81,-0.23,"21,654.00","191,579.63"
25,2025-02-24,8.83,8.97,8.77,8.83,-2.00,"33,100.00","291,404.27"
26,2025-02-23,9.00,9.01,8.77,9.01,-0.11,"179,991.00","1,593,595.44"
27,2025-02-20,8.86,9.03,8.71,9.02,-0.22,"12,360.00","109,585.80"
28,2025-02-18,8.86,9.04,8.86,9.04,0.22,"5,900.00","52,806.00"
29,2025-02-17,8.76,9.02,8.76,9.02,1.12,"15,200.00","134,925.00"
