S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-17,9.00,9.00,8.82,9.00,1.12,"1,700.00","15,246.00"
2,2025-04-16,8.71,8.9,8.71,8.9,0.34,600.00,"5,286.00"
3,2025-04-15,8.85,8.87,8.85,8.87,-1.44,550.00,"4,871.50"
4,2025-04-13,8.86,9.0,8.86,9.0,-0.22,"4,888.00","43,935.00"
5,2025-04-10,9.02,9.02,9.02,9.02,-1.96,100.00,902.00
6,2025-04-09,9.1,9.2,9.1,9.2,0.0,"2,250.00","20,660.00"
7,2025-04-08,9.15,9.65,9.15,9.2,-1.39,"546,200.00","5,260,685.00"
8,2025-04-07,8.81,9.33,8.66,9.33,4.6,"11,160.00","101,960.50"
9,2025-04-03,9.28,9.28,8.92,8.92,-5.71,"509,500.00","4,637,260.00"
10,2025-04-01,9.3,9.46,9.3,9.46,3.28,200.00,"1,876.00"
11,2025-03-30,8.61,9.16,8.61,9.16,6.39,"9,200.00","79,716.00"
12,2025-03-27,8.7,8.7,8.61,8.61,-1.82,600.00,"5,184.00"
13,2025-03-26,8.78,8.8,8.77,8.77,-1.9,500.00,"4,390.00"
14,2025-03-25,8.6,8.94,8.6,8.94,1.94,"3,350.00","29,623.00"
15,2025-03-24,8.77,8.77,8.77,8.77,-0.34,100.00,877.00
16,2025-03-23,8.68,8.85,8.68,8.8,-0.34,"2,300.00","20,087.50"
17,2025-03-20,9.0,9.0,8.82,8.83,0.0,"2,300.00","20,410.50"
18,2025-03-19,8.55,8.83,8.55,8.83,1.38,"1,450.00","12,650.00"
19,2025-03-18,8.69,8.8,8.69,8.71,-0.8,978.00,"8,552.86"
20,2025-03-17,8.73,8.8,8.73,8.78,-1.13,500.00,"4,391.00"
21,2025-03-16,8.71,8.88,8.71,8.88,1.14,"1,380.00","12,146.20"
22,2025-03-12,8.63,8.78,8.63,8.78,-0.11,"1,000.00","8,715.00"
23,2025-03-11,8.7,8.87,8.7,8.79,-0.9,"1,310.00","11,520.70"
24,2025-03-10,8.81,8.9,8.81,8.87,-1.22,"1,800.00","15,922.00"
25,2025-03-09,9.14,9.14,8.96,8.98,-3.65,800.00,"7,260.00"
26,2025-03-06,9.32,9.32,9.14,9.32,-2.0,"11,350.00","104,264.00"
27,2025-03-05,9.26,9.8,9.26,9.51,4.74,"5,500.00","53,742.00"
28,2025-03-04,9.07,9.25,8.89,9.08,2.02,"4,000.00","36,280.50"
29,2025-03-03,8.84,8.9,8.84,8.9,-1.33,"1,758.00","15,585.46"
30,2025-03-02,9.22,9.22,8.82,9.02,-4.04,"8,400.00","76,678.00"
31,2025-02-24,9.43,9.43,8.74,9.4,-2.29,"3,600.00","31,793.00"
32,2025-02-23,8.58,9.62,8.25,9.62,9.94,"2,800.00","24,365.00"
33,2025-02-20,8.85,8.85,8.72,8.75,-3.1,"14,682.00","129,276.50"
34,2025-02-18,9.06,9.1,8.81,9.03,-2.27,"6,550.00","58,264.00"
35,2025-02-17,9.83,9.83,8.93,9.24,-6.0,"24,350.00","225,358.50"
36,2025-02-16,9.87,10.64,9.83,9.83,1.55,"6,500.00","66,609.00"
37,2025-02-13,8.97,9.68,8.97,9.68,10.0,500.00,"4,661.00"
38,2025-02-12,8.82,9.34,8.5,8.8,1.73,"1,200.00","10,583.00"
39,2025-02-11,8.7,8.7,8.53,8.65,-2.48,"1,700.00","14,640.60"
40,2025-02-10,9.0,9.0,8.53,8.87,-1.55,"2,800.00","24,389.00"
41,2025-02-09,8.68,9.01,8.51,9.01,1.92,"19,500.00","169,058.00"
42,2025-02-06,9.02,9.02,8.67,8.84,-3.91,"20,050.00","175,315.00"
43,2025-02-05,8.79,9.2,8.65,9.2,2.79,"9,000.00","81,107.00"
44,2025-02-04,8.77,8.95,8.77,8.95,1.94,650.00,"5,756.00"
45,2025-02-03,8.6,8.78,8.5,8.78,2.33,"1,900.00","16,337.00"
46,2025-02-02,8.37,8.87,8.37,8.58,0.47,"7,200.00","62,378.00"
47,2025-01-28,8.54,8.54,8.54,8.54,-1.73,100.00,854.00
48,2025-01-27,8.76,8.78,8.62,8.69,-2.58,"2,900.00","25,239.00"
49,2025-01-26,8.61,8.92,8.45,8.92,5.56,"15,200.00","131,208.00"
50,2025-01-23,8.75,8.75,8.45,8.45,-1.52,"1,800.00","15,345.00"
51,2025-01-22,8.56,8.58,8.56,8.58,0.23,600.00,"5,144.00"
52,2025-01-21,8.4,8.56,8.4,8.56,0.12,"3,900.00","33,352.00"
53,2025-01-20,8.4,8.84,8.4,8.55,0.47,"7,950.00","68,894.50"
54,2025-01-19,8.68,8.85,8.51,8.51,0.0,"11,950.00","102,261.00"
55,2025-01-16,8.43,8.52,8.43,8.51,-0.82,800.00,"6,780.00"
56,2025-01-15,8.53,8.7,8.53,8.58,-1.38,950.00,"8,136.50"
57,2025-01-13,8.82,8.82,8.65,8.7,-3.33,500.00,"4,363.00"
58,2025-01-12,8.72,9.0,8.72,9.0,3.33,"3,000.00","26,290.00"
59,2025-01-09,8.82,8.82,8.66,8.71,-3.22,850.00,"7,448.00"
60,2025-01-08,9.0,9.1,9.0,9.0,1.69,"2,500.00","22,539.00"
61,2025-01-07,8.79,8.85,8.78,8.85,-1.12,"1,550.00","13,636.00"
62,2025-01-06,8.86,9.02,8.7,8.95,1.47,"2,500.00","22,190.00"
63,2025-01-05,8.65,9.15,8.65,8.82,0.11,"2,750.00","24,237.50"
64,2025-01-02,9.0,9.15,8.81,8.81,-1.78,"3,400.00","30,989.00"
65,2025-01-01,9.1,9.1,8.97,8.97,-0.88,"1,800.00","16,297.00"
