S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-02,9.41,9.59,9.33,9.58,1.91,"23,594.00","224,681.52"
2,2025-04-01,9.28,9.50,9.28,9.40,0.00,"3,891.00","36,569.40"
3,2025-03-30,9.20,9.55,9.20,9.40,1.08,"7,090.00","66,525.20"
4,2025-03-27,9.50,9.61,9.30,9.30,-1.38,"41,899.00","398,844.53"
5,2025-03-26,9.48,9.48,9.27,9.43,1.29,"6,800.00","63,951.00"
6,2025-03-25,9.35,9.48,9.28,9.31,-1.48,"78,500.00","732,574.00"
7,2025-03-24,9.15,9.45,9.15,9.45,3.28,"4,210.00","39,255.30"
8,2025-03-23,9.40,9.40,9.15,9.15,-3.58,"69,833.00","644,511.95"
9,2025-03-20,9.36,9.52,9.12,9.49,0.00,"166,640.00","1,546,865.70"
10,2025-03-19,9.50,9.57,9.49,9.49,-0.21,"41,117.00","392,606.84"
11,2025-03-18,9.37,9.58,9.37,9.51,-0.11,"19,323.00","184,130.88"
12,2025-03-17,9.40,9.56,9.40,9.52,0.74,"30,803.00","292,578.48"
13,2025-03-16,9.36,9.55,9.36,9.45,-0.84,"8,750.00","83,003.50"
14,2025-03-12,9.53,9.53,9.52,9.53,0.11,"7,655.00","72,904.05"
15,2025-03-11,9.53,9.55,9.52,9.52,-0.63,"98,650.00","941,607.50"
16,2025-03-10,9.50,9.60,9.50,9.58,-0.21,"13,419.00","128,434.98"
17,2025-03-09,9.50,9.60,9.50,9.60,-0.41,"34,220.00","327,764.00"
18,2025-03-06,9.60,9.75,9.60,9.64,0.00,"239,378.00","2,312,182.52"
19,2025-03-05,9.64,9.65,9.55,9.64,0.00,"74,300.00","716,138.00"
20,2025-03-04,9.52,9.75,9.52,9.64,0.21,"117,550.00","1,137,588.00"
21,2025-03-03,9.50,9.70,9.50,9.62,1.16,"86,315.00","832,847.20"
22,2025-03-02,9.60,9.63,9.45,9.51,0.63,"32,700.00","313,634.00"
23,2025-02-27,9.40,9.47,9.35,9.45,1.61,"64,290.00","605,632.90"
24,2025-02-25,9.41,9.41,9.30,9.30,-1.06,"9,500.00","88,469.00"
25,2025-02-24,9.19,9.41,9.17,9.40,0.64,"66,000.00","610,647.00"
26,2025-02-23,9.62,9.62,9.31,9.34,-1.48,"25,555.00","239,523.10"
27,2025-02-20,9.40,9.48,9.23,9.48,-0.11,"26,700.00","250,566.00"
28,2025-02-18,9.35,9.50,9.34,9.49,-0.42,"17,000.00","158,849.00"
29,2025-02-17,9.30,9.54,9.23,9.53,1.60,"13,500.00","127,852.00"
30,2025-02-16,9.23,9.38,9.19,9.38,0.75,"60,769.00","560,308.71"
31,2025-02-13,9.55,9.55,9.30,9.31,-0.75,"33,400.00","311,675.00"
32,2025-02-12,9.34,9.40,9.21,9.38,1.74,"57,800.00","538,866.74"
33,2025-02-11,9.30,9.30,9.21,9.22,-0.32,"12,690.00","117,308.80"
34,2025-02-10,9.39,9.39,9.22,9.25,0.00,859.00,"7,973.31"
35,2025-02-09,9.23,9.40,9.23,9.25,-1.49,"9,070.00","84,305.10"
36,2025-02-06,9.40,9.40,9.14,9.39,0.97,"3,938.00","36,431.18"
37,2025-02-05,9.30,9.30,9.21,9.30,-0.85,"18,500.00","171,060.00"
38,2025-02-04,9.25,9.40,9.23,9.38,1.41,"3,500.00","32,786.00"
39,2025-02-03,9.25,9.48,9.25,9.25,0.98,"35,765.00","333,350.25"
40,2025-02-02,9.15,9.48,9.15,9.16,0.22,"32,985.00","305,476.20"
41,2025-01-28,9.04,9.40,8.86,9.14,-0.87,"128,854.00","1,152,053.24"
42,2025-01-27,9.40,9.40,9.10,9.22,0.00,"4,250.00","38,929.50"
43,2025-01-26,9.36,9.39,9.22,9.22,0.44,"16,350.00","152,493.50"
44,2025-01-23,9.22,9.29,9.11,9.18,-0.43,"3,441.00","31,654.89"
45,2025-01-22,9.00,9.39,9.00,9.22,0.44,"23,464.00","217,209.58"
46,2025-01-21,9.16,9.29,9.11,9.18,-1.61,"2,500.00","22,894.00"
47,2025-01-20,9.17,9.34,9.17,9.33,-0.21,"2,600.00","24,099.00"
48,2025-01-19,9.39,9.39,9.16,9.35,0.11,"13,800.00","127,078.50"
49,2025-01-16,9.19,9.34,9.18,9.34,-0.11,"22,300.00","206,704.00"
50,2025-01-15,9.30,9.35,9.21,9.35,-0.32,"1,855.00","17,244.25"
51,2025-01-13,9.15,9.38,8.97,9.38,2.51,"86,536.00","785,605.28"
52,2025-01-12,9.20,9.35,9.15,9.15,-0.54,"17,800.00","163,798.00"
53,2025-01-09,9.05,9.39,9.05,9.20,-0.11,"81,200.00","747,331.85"
54,2025-01-08,9.30,9.34,9.21,9.21,0.55,"18,198.00","167,933.58"
55,2025-01-07,9.32,9.50,9.16,9.16,-1.72,"17,836.00","165,070.20"
56,2025-01-06,9.30,9.48,9.20,9.32,1.19,"15,375.00","143,087.00"
57,2025-01-05,9.15,9.21,9.15,9.21,-0.97,"1,600.00","14,695.00"
58,2025-01-02,9.38,9.56,9.10,9.30,1.09,"2,100.00","19,475.00"
59,2025-01-01,9.68,9.68,9.20,9.20,-3.66,"4,025.00","37,275.50"
60,2024-12-31,9.49,9.55,9.40,9.55,-1.34,"14,150.00","133,833.00"
61,2024-12-29,9.69,9.69,9.50,9.68,1.89,800.00,"7,637.00"
62,2024-12-26,9.80,9.80,9.33,9.50,-1.35,"8,867.00","84,585.50"
63,2024-12-24,9.67,9.67,9.31,9.63,1.48,"1,900.00","18,036.00"
