S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-21,8.29,8.49,8.29,8.46,0.24,"21,700.00","183,961.67"
2,2025-04-20,8.36,8.44,8.36,8.44,0.0,"8,100.00","67,784.00"
3,2025-04-17,8.45,8.54,8.25,8.44,0.6,"8,320.00","70,031.40"
4,2025-04-16,8.4,8.4,8.3,8.39,0.12,"9,400.00","78,670.00"
5,2025-04-15,8.39,8.55,8.38,8.38,1.82,"57,150.00","486,373.00"
6,2025-04-13,8.06,8.31,8.06,8.23,0.24,"8,200.00","67,487.00"
7,2025-04-10,8.11,8.32,8.11,8.21,0.12,"15,600.00","128,590.00"
8,2025-04-09,8.3,8.46,8.2,8.2,-1.2,"20,901.00","175,427.88"
9,2025-04-08,8.22,8.35,8.22,8.3,-0.95,"2,550.00","21,198.50"
10,2025-04-07,8.3,8.38,8.17,8.38,0.6,"9,050.00","75,338.00"
11,2025-04-03,8.1,8.33,8.1,8.33,0.97,"10,500.00","85,632.00"
12,2025-04-02,8.45,8.45,8.15,8.25,-0.48,"12,600.00","103,634.00"
13,2025-04-01,8.21,8.5,8.21,8.29,-0.84,"69,403.00","577,482.60"
14,2025-03-30,8.18,8.36,8.11,8.36,1.09,"27,345.00","225,720.20"
15,2025-03-27,8.18,8.45,8.18,8.27,0.24,"2,920.00","24,170.80"
16,2025-03-26,8.18,8.25,8.18,8.25,0.86,"16,850.00","138,603.50"
17,2025-03-25,8.46,8.46,8.17,8.18,-1.45,"112,800.00","929,674.00"
18,2025-03-24,8.2,8.3,8.1,8.3,1.22,"1,555.00","12,768.80"
19,2025-03-23,8.15,8.36,8.15,8.2,-1.32,"16,050.00","131,880.00"
20,2025-03-20,8.2,8.35,8.06,8.31,1.22,"76,948.00","622,168.88"
21,2025-03-19,8.2,8.36,8.2,8.21,-0.24,"2,605.00","21,442.75"
22,2025-03-18,8.2,8.23,8.19,8.23,-0.84,"1,200.00","9,845.00"
23,2025-03-17,8.14,8.3,8.14,8.3,0.0,"5,460.00","45,019.10"
24,2025-03-16,8.16,8.38,8.16,8.3,0.0,"26,080.00","217,206.20"
25,2025-03-12,8.44,8.54,8.17,8.3,0.24,"25,010.00","206,608.60"
26,2025-03-11,8.14,8.54,8.14,8.28,-0.24,"4,670.00","38,903.10"
